  time  ,43:20 PM,43:36 PM,43:46 PM,43:59 PM,44:08 PM,45:32 PM,45:47 PM,45:59 PM,46:13 PM,46:25 PM,47:26 PM,47:37 PM,47:47 PM,47:56 PM,48:06 PM,48:43 PM,48:54 PM,49:04 PM,49:14 PM,49:26 PM,51:21 PM,51:33 PM,51:46 PM,51:59 PM,52:12 PM,53:19 PM,53:29 PM,53:40 PM,53:51 PM,54:04 PM,54:33 PM,54:43 PM,55:01 PM,55:15 PM,55:27 PM,56:16 PM,56:26 PM,56:36 PM,56:50 PM,57:00 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 429 , 0.023951 , 0.026899 , 0.019214 , 0.027252 , 0.023597 , 0.052738 , 0.050993 , 0.034595 , 0.042314 , 0.045583 , 0.030863 , 0.036649 , 0.034673 , 0.051258 , 0.042822 , 0.041707 , 0.046245 , 0.048387 , 0.055101 , 0.062411 , 0.026711 , 0.024448 , 0.028147 , 0.027186 , 0.03719 , 0.027727 , 0.029704 , 0.033138 , 0.037765 , 0.041453 , 0.035921 , 0.035181 , 0.024845 , 0.025861 , 0.023818 , 0.027639 , 0.028986 , 0.034662 , 0.026369 , 0.025839 
 430 , 0.024274 , 0.027254 , 0.019439 , 0.027574 , 0.023799 , 0.053305 , 0.051484 , 0.034904 , 0.042631 , 0.046075 , 0.031261 , 0.037244 , 0.035257 , 0.052069 , 0.043437 , 0.042311 , 0.04677 , 0.048989 , 0.055634 , 0.062875 , 0.027066 , 0.024726 , 0.028523 , 0.027508 , 0.037674 , 0.028005 , 0.030036 , 0.033425 , 0.038138 , 0.041803 , 0.036306 , 0.035555 , 0.025024 , 0.02604 , 0.024009 , 0.027927 , 0.029318 , 0.03508 , 0.026702 , 0.026128 
 431 , 0.024596 , 0.0276 , 0.019659 , 0.027898 , 0.023989 , 0.053853 , 0.051953 , 0.035188 , 0.04293 , 0.046564 , 0.031653 , 0.037838 , 0.035839 , 0.05287 , 0.044045 , 0.042897 , 0.047292 , 0.049579 , 0.05615 , 0.06334 , 0.027401 , 0.024994 , 0.028892 , 0.027832 , 0.03817 , 0.028274 , 0.03035 , 0.033686 , 0.038512 , 0.042135 , 0.036679 , 0.035906 , 0.025181 , 0.026197 , 0.024187 , 0.028186 , 0.029621 , 0.035486 , 0.027026 , 0.026418 
 432 , 0.024907 , 0.027935 , 0.019868 , 0.0282 , 0.024167 , 0.054389 , 0.0524 , 0.03546 , 0.043218 , 0.04703 , 0.032035 , 0.0384 , 0.036411 , 0.053638 , 0.044632 , 0.043461 , 0.047792 , 0.050146 , 0.056644 , 0.063782 , 0.027725 , 0.02525 , 0.029239 , 0.028134 , 0.038643 , 0.028543 , 0.030665 , 0.033946 , 0.038875 , 0.042455 , 0.037052 , 0.036256 , 0.025338 , 0.026344 , 0.024355 , 0.028443 , 0.029924 , 0.03588 , 0.027349 , 0.026697 
 433 , 0.025253 , 0.028289 , 0.020118 , 0.028543 , 0.024402 , 0.054977 , 0.052913 , 0.035776 , 0.043538 , 0.047535 , 0.032474 , 0.039033 , 0.03699 , 0.054481 , 0.045283 , 0.044046 , 0.048319 , 0.050737 , 0.057164 , 0.064242 , 0.028079 , 0.025551 , 0.029603 , 0.028444 , 0.039143 , 0.028819 , 0.031028 , 0.034241 , 0.039243 , 0.042842 , 0.037465 , 0.036615 , 0.025529 , 0.026556 , 0.024557 , 0.028753 , 0.030277 , 0.036328 , 0.027693 , 0.027019 
 434 , 0.025647 , 0.028671 , 0.020416 , 0.028935 , 0.02472 , 0.05562 , 0.053479 , 0.036142 , 0.043922 , 0.048082 , 0.032986 , 0.039739 , 0.037598 , 0.055399 , 0.045974 , 0.044672 , 0.048866 , 0.05136 , 0.057716 , 0.064691 , 0.028483 , 0.025901 , 0.029984 , 0.028781 , 0.039673 , 0.029112 , 0.031485 , 0.034586 , 0.039618 , 0.043293 , 0.037963 , 0.037002 , 0.025768 , 0.026839 , 0.024786 , 0.029123 , 0.030712 , 0.036859 , 0.028064 , 0.027379 
 435 , 0.026019 , 0.02903 , 0.020692 , 0.029317 , 0.025027 , 0.05623 , 0.054035 , 0.036498 , 0.044285 , 0.048608 , 0.033475 , 0.040413 , 0.038174 , 0.056285 , 0.046645 , 0.045266 , 0.049391 , 0.05195 , 0.058259 , 0.065131 , 0.028865 , 0.02624 , 0.030343 , 0.029097 , 0.040171 , 0.029394 , 0.031909 , 0.034909 , 0.039972 , 0.043722 , 0.038428 , 0.037369 , 0.025997 , 0.0271 , 0.025005 , 0.029483 , 0.031126 , 0.037358 , 0.028413 , 0.027729 
 436 , 0.026367 , 0.029388 , 0.020952 , 0.029675 , 0.025308 , 0.056813 , 0.054553 , 0.036832 , 0.044628 , 0.049105 , 0.033942 , 0.041055 , 0.038739 , 0.057122 , 0.047286 , 0.04583 , 0.049888 , 0.052502 , 0.058765 , 0.065558 , 0.029234 , 0.026554 , 0.030689 , 0.029388 , 0.040647 , 0.029675 , 0.03231 , 0.035222 , 0.040316 , 0.044132 , 0.038872 , 0.037725 , 0.026223 , 0.027348 , 0.02522 , 0.029818 , 0.031505 , 0.037835 , 0.028748 , 0.028054 
 437 , 0.026653 , 0.029744 , 0.021154 , 0.030009 , 0.025527 , 0.05738 , 0.055072 , 0.037109 , 0.044926 , 0.049618 , 0.034393 , 0.041657 , 0.039405 , 0.057987 , 0.047951 , 0.046383 , 0.05038 , 0.053008 , 0.059246 , 0.066025 , 0.029535 , 0.026807 , 0.031036 , 0.0297 , 0.041061 , 0.029976 , 0.032637 , 0.035563 , 0.04062 , 0.044451 , 0.039273 , 0.038102 , 0.026388 , 0.027525 , 0.025372 , 0.030109 , 0.03182 , 0.038224 , 0.029082 , 0.02832 
 438 , 0.026924 , 0.030085 , 0.021342 , 0.030328 , 0.025752 , 0.057915 , 0.055561 , 0.037379 , 0.045216 , 0.050101 , 0.034826 , 0.042231 , 0.040043 , 0.05881 , 0.048587 , 0.046907 , 0.050852 , 0.053483 , 0.059717 , 0.06647 , 0.02982 , 0.027056 , 0.031367 , 0.029996 , 0.041458 , 0.030262 , 0.032958 , 0.035887 , 0.040916 , 0.044763 , 0.039656 , 0.038463 , 0.026559 , 0.027686 , 0.02552 , 0.030383 , 0.032118 , 0.038595 , 0.0294 , 0.028582 
 439 , 0.027184 , 0.030414 , 0.021519 , 0.030636 , 0.025956 , 0.058439 , 0.056038 , 0.03765 , 0.045494 , 0.050573 , 0.035238 , 0.042795 , 0.040659 , 0.059612 , 0.049201 , 0.047419 , 0.051314 , 0.053947 , 0.060165 , 0.066903 , 0.030105 , 0.027294 , 0.031687 , 0.030282 , 0.041843 , 0.030547 , 0.033258 , 0.036201 , 0.041202 , 0.045063 , 0.040029 , 0.038812 , 0.026708 , 0.027848 , 0.025668 , 0.030647 , 0.032406 , 0.038967 , 0.029706 , 0.028821 
 440 , 0.027439 , 0.030753 , 0.02171 , 0.030897 , 0.026153 , 0.058978 , 0.056529 , 0.037934 , 0.045791 , 0.051044 , 0.035673 , 0.043408 , 0.041269 , 0.060441 , 0.049825 , 0.047963 , 0.051764 , 0.054446 , 0.060652 , 0.067356 , 0.030387 , 0.027561 , 0.031983 , 0.030531 , 0.042256 , 0.030808 , 0.033623 , 0.036493 , 0.041491 , 0.045403 , 0.040394 , 0.039142 , 0.026896 , 0.028026 , 0.025854 , 0.030963 , 0.032725 , 0.039341 , 0.029977 , 0.029101 
 441 , 0.027703 , 0.031075 , 0.0219 , 0.031131 , 0.026349 , 0.059521 , 0.057025 , 0.038242 , 0.046086 , 0.051511 , 0.036101 , 0.044022 , 0.041859 , 0.061274 , 0.050435 , 0.048504 , 0.052188 , 0.05495 , 0.061141 , 0.067809 , 0.030676 , 0.027836 , 0.032273 , 0.030776 , 0.04268 , 0.031064 , 0.033993 , 0.036767 , 0.041781 , 0.045775 , 0.040738 , 0.039451 , 0.027081 , 0.028213 , 0.02605 , 0.031286 , 0.033039 , 0.039718 , 0.030243 , 0.029378 
 442 , 0.027943 , 0.031397 , 0.022079 , 0.031364 , 0.026533 , 0.060063 , 0.057508 , 0.038528 , 0.04638 , 0.051966 , 0.036517 , 0.044625 , 0.042437 , 0.062084 , 0.051044 , 0.049045 , 0.05261 , 0.055442 , 0.061617 , 0.068259 , 0.030964 , 0.028099 , 0.032552 , 0.031009 , 0.043103 , 0.031308 , 0.034363 , 0.037028 , 0.042059 , 0.046124 , 0.041082 , 0.03976 , 0.027266 , 0.028388 , 0.026244 , 0.031597 , 0.033352 , 0.040094 , 0.030498 , 0.029643 
 443 , 0.028219 , 0.031731 , 0.022295 , 0.03162 , 0.02673 , 0.060595 , 0.057994 , 0.038833 , 0.046669 , 0.052437 , 0.036955 , 0.045257 , 0.043023 , 0.062895 , 0.05167 , 0.04958 , 0.053059 , 0.055949 , 0.062095 , 0.068697 , 0.031264 , 0.028363 , 0.032842 , 0.031275 , 0.043523 , 0.031575 , 0.034732 , 0.037321 , 0.042345 , 0.046468 , 0.041456 , 0.040089 , 0.027474 , 0.028586 , 0.026441 , 0.031909 , 0.033676 , 0.040489 , 0.030797 , 0.029953 
 444 , 0.028532 , 0.032097 , 0.022568 , 0.031919 , 0.026932 , 0.061161 , 0.058496 , 0.039149 , 0.046979 , 0.052921 , 0.037394 , 0.045946 , 0.043658 , 0.063738 , 0.052343 , 0.050144 , 0.053565 , 0.056497 , 0.062616 , 0.069136 , 0.031608 , 0.028654 , 0.033196 , 0.031597 , 0.043947 , 0.031875 , 0.035095 , 0.03765 , 0.042681 , 0.046801 , 0.04187 , 0.040482 , 0.02771 , 0.028809 , 0.026655 , 0.032219 , 0.034018 , 0.040926 , 0.031153 , 0.03032 
 445 , 0.028844 , 0.032451 , 0.02284 , 0.032218 , 0.027135 , 0.061695 , 0.058976 , 0.039454 , 0.04729 , 0.053394 , 0.037834 , 0.046613 , 0.044282 , 0.064558 , 0.053016 , 0.050686 , 0.054048 , 0.057034 , 0.063127 , 0.069564 , 0.031941 , 0.028933 , 0.033528 , 0.031907 , 0.044371 , 0.032174 , 0.035459 , 0.037967 , 0.042995 , 0.047134 , 0.042284 , 0.040864 , 0.027945 , 0.029033 , 0.026858 , 0.032518 , 0.03436 , 0.041363 , 0.031508 , 0.030675 
 446 , 0.029146 , 0.032795 , 0.023102 , 0.032506 , 0.027338 , 0.062229 , 0.059456 , 0.03976 , 0.047578 , 0.053845 , 0.038262 , 0.047268 , 0.044883 , 0.065368 , 0.053667 , 0.051227 , 0.054532 , 0.05756 , 0.063615 , 0.069981 , 0.032273 , 0.029212 , 0.033859 , 0.032207 , 0.044784 , 0.032462 , 0.035811 , 0.038273 , 0.043309 , 0.047445 , 0.042676 , 0.041235 , 0.028181 , 0.029246 , 0.027061 , 0.032806 , 0.034691 , 0.041778 , 0.031852 , 0.031031 
 447 , 0.029388 , 0.033104 , 0.023278 , 0.032782 , 0.027514 , 0.062714 , 0.059908 , 0.040024 , 0.047853 , 0.054285 , 0.03866 , 0.047842 , 0.045447 , 0.066074 , 0.054274 , 0.051713 , 0.055017 , 0.058023 , 0.064067 , 0.070388 , 0.032538 , 0.029433 , 0.034146 , 0.032516 , 0.045203 , 0.032715 , 0.03612 , 0.03856 , 0.043617 , 0.047776 , 0.043018 , 0.041554 , 0.028302 , 0.029411 , 0.027248 , 0.033015 , 0.034911 , 0.042098 , 0.032128 , 0.031318 
 448 , 0.029632 , 0.0334 , 0.023437 , 0.033045 , 0.027693 , 0.063198 , 0.060361 , 0.040292 , 0.048116 , 0.05472 , 0.039051 , 0.048404 , 0.045999 , 0.066788 , 0.054865 , 0.052205 , 0.055496 , 0.058477 , 0.064494 , 0.070789 , 0.032801 , 0.029665 , 0.03443 , 0.032812 , 0.045634 , 0.032967 , 0.036436 , 0.038852 , 0.043916 , 0.048105 , 0.043362 , 0.041866 , 0.028413 , 0.029588 , 0.027427 , 0.033222 , 0.035128 , 0.042409 , 0.032391 , 0.031593 
 449 , 0.029864 , 0.033695 , 0.023597 , 0.033308 , 0.02786 , 0.06367 , 0.060813 , 0.04055 , 0.048389 , 0.055144 , 0.039442 , 0.048954 , 0.046551 , 0.067479 , 0.055454 , 0.052686 , 0.055974 , 0.058931 , 0.064922 , 0.071189 , 0.033064 , 0.029886 , 0.034714 , 0.033097 , 0.046053 , 0.033219 , 0.036741 , 0.039132 , 0.044215 , 0.048434 , 0.043694 , 0.042177 , 0.028524 , 0.029753 , 0.027605 , 0.033419 , 0.035345 , 0.042709 , 0.032655 , 0.031879 
 450 , 0.030079 , 0.033976 , 0.023769 , 0.033567 , 0.028042 , 0.064122 , 0.061233 , 0.040796 , 0.048645 , 0.055553 , 0.0398 , 0.049453 , 0.047062 , 0.068174 , 0.056007 , 0.053151 , 0.056395 , 0.059362 , 0.065329 , 0.071551 , 0.033323 , 0.030113 , 0.034984 , 0.033356 , 0.046442 , 0.033445 , 0.037032 , 0.03939 , 0.044494 , 0.048745 , 0.04404 , 0.042457 , 0.028673 , 0.029913 , 0.027755 , 0.033644 , 0.035571 , 0.042999 , 0.032902 , 0.032128 
 451 , 0.030287 , 0.034246 , 0.023951 , 0.033815 , 0.028231 , 0.064566 , 0.061636 , 0.041024 , 0.048909 , 0.055963 , 0.040129 , 0.049915 , 0.047537 , 0.068857 , 0.056538 , 0.053608 , 0.056782 , 0.059756 , 0.065727 , 0.071898 , 0.033583 , 0.030343 , 0.035252 , 0.033594 , 0.046797 , 0.03366 , 0.037309 , 0.039631 , 0.044762 , 0.049063 , 0.044408 , 0.042727 , 0.02885 , 0.030088 , 0.027899 , 0.033881 , 0.035794 , 0.043269 , 0.033118 , 0.032355 
 452 , 0.030484 , 0.034515 , 0.024122 , 0.034051 , 0.028407 , 0.06501 , 0.062039 , 0.041252 , 0.049171 , 0.056362 , 0.040457 , 0.050375 , 0.048023 , 0.069549 , 0.057079 , 0.054053 , 0.057168 , 0.060161 , 0.066125 , 0.072255 , 0.033841 , 0.030572 , 0.03552 , 0.033819 , 0.04715 , 0.033874 , 0.037596 , 0.039883 , 0.04503 , 0.04937 , 0.044764 , 0.042997 , 0.029015 , 0.030252 , 0.028032 , 0.034106 , 0.036028 , 0.043539 , 0.033333 , 0.032582 
 453 , 0.03068 , 0.034775 , 0.024265 , 0.034279 , 0.028571 , 0.065444 , 0.06243 , 0.041488 , 0.049414 , 0.056744 , 0.04077 , 0.050827 , 0.048476 , 0.070191 , 0.057584 , 0.054503 , 0.05755 , 0.060553 , 0.066515 , 0.072609 , 0.03408 , 0.03079 , 0.035769 , 0.034058 , 0.047493 , 0.034069 , 0.037866 , 0.040119 , 0.045285 , 0.049679 , 0.045098 , 0.043254 , 0.029178 , 0.030404 , 0.028162 , 0.034323 , 0.036233 , 0.043806 , 0.033561 , 0.032799 
 454 , 0.03083 , 0.034989 , 0.024322 , 0.034459 , 0.028668 , 0.065852 , 0.062796 , 0.041695 , 0.049604 , 0.057072 , 0.041077 , 0.051237 , 0.048898 , 0.070749 , 0.058042 , 0.054943 , 0.057921 , 0.060932 , 0.066933 , 0.072978 , 0.034272 , 0.030985 , 0.035992 , 0.034272 , 0.047839 , 0.03425 , 0.038099 , 0.040349 , 0.045512 , 0.049957 , 0.045357 , 0.043504 , 0.029275 , 0.030521 , 0.028293 , 0.034481 , 0.036401 , 0.044045 , 0.033775 , 0.033003 
 455 , 0.030992 , 0.035202 , 0.024379 , 0.03464 , 0.028765 , 0.066259 , 0.063162 , 0.041913 , 0.049805 , 0.057387 , 0.041373 , 0.051645 , 0.049331 , 0.071296 , 0.058489 , 0.055392 , 0.058291 , 0.061322 , 0.067361 , 0.073357 , 0.034463 , 0.031179 , 0.036216 , 0.034485 , 0.048185 , 0.034441 , 0.038332 , 0.04058 , 0.045749 , 0.050245 , 0.045617 , 0.043754 , 0.029371 , 0.030639 , 0.028435 , 0.03464 , 0.036568 , 0.044283 , 0.033989 , 0.033207 
 456 , 0.031152 , 0.035425 , 0.024435 , 0.034819 , 0.028862 , 0.066676 , 0.063538 , 0.042131 , 0.049993 , 0.057713 , 0.041669 , 0.052064 , 0.049751 , 0.071863 , 0.058946 , 0.055841 , 0.05866 , 0.06171 , 0.067777 , 0.073735 , 0.034654 , 0.031373 , 0.036449 , 0.034709 , 0.048529 , 0.034621 , 0.038563 , 0.04081 , 0.045985 , 0.050533 , 0.045886 , 0.044003 , 0.029467 , 0.030756 , 0.028565 , 0.034797 , 0.036724 , 0.044532 , 0.034203 , 0.03341 
 457 , 0.031326 , 0.035603 , 0.024553 , 0.035031 , 0.029006 , 0.06705 , 0.063894 , 0.042343 , 0.050216 , 0.058001 , 0.041969 , 0.052448 , 0.050128 , 0.07235 , 0.059353 , 0.056209 , 0.059001 , 0.062069 , 0.06815 , 0.074098 , 0.034866 , 0.031579 , 0.036692 , 0.03491 , 0.048864 , 0.034811 , 0.038803 , 0.041046 , 0.046236 , 0.050799 , 0.046159 , 0.044257 , 0.029589 , 0.030908 , 0.028709 , 0.034965 , 0.036934 , 0.044751 , 0.034438 , 0.033635 
 458 , 0.031496 , 0.035778 , 0.024679 , 0.03524 , 0.029158 , 0.067417 , 0.064255 , 0.042552 , 0.050445 , 0.058283 , 0.042266 , 0.052849 , 0.050511 , 0.072829 , 0.059754 , 0.056571 , 0.059348 , 0.062433 , 0.068526 , 0.074443 , 0.035075 , 0.031793 , 0.036931 , 0.035108 , 0.049215 , 0.03501 , 0.039039 , 0.041289 , 0.046504 , 0.05106 , 0.046449 , 0.044506 , 0.029718 , 0.031079 , 0.028851 , 0.03513 , 0.037139 , 0.044989 , 0.03468 , 0.033857 
 459 , 0.031666 , 0.035963 , 0.024816 , 0.035459 , 0.02931 , 0.067782 , 0.064626 , 0.042759 , 0.050672 , 0.058575 , 0.042561 , 0.053248 , 0.050881 , 0.073318 , 0.060154 , 0.056931 , 0.059693 , 0.062784 , 0.068901 , 0.074808 , 0.035283 , 0.032006 , 0.03718 , 0.035316 , 0.049554 , 0.035207 , 0.039273 , 0.04152 , 0.046759 , 0.05133 , 0.046727 , 0.044765 , 0.029847 , 0.03125 , 0.028992 , 0.035294 , 0.037355 , 0.045214 , 0.034933 , 0.034078 
 460 , 0.031833 , 0.036128 , 0.024921 , 0.035657 , 0.029478 , 0.068136 , 0.064971 , 0.042952 , 0.050883 , 0.058869 , 0.042843 , 0.053611 , 0.051245 , 0.073811 , 0.060567 , 0.057313 , 0.060041 , 0.063141 , 0.069287 , 0.075158 , 0.035481 , 0.032206 , 0.037409 , 0.035525 , 0.04993 , 0.035405 , 0.039523 , 0.041758 , 0.047005 , 0.051595 , 0.047016 , 0.045023 , 0.030004 , 0.031395 , 0.029139 , 0.03547 , 0.037541 , 0.045439 , 0.035164 , 0.034276 
 461 , 0.032014 , 0.036286 , 0.025016 , 0.035848 , 0.02966 , 0.068498 , 0.065321 , 0.04312 , 0.051094 , 0.059177 , 0.043098 , 0.053953 , 0.051587 , 0.074313 , 0.060984 , 0.057709 , 0.060382 , 0.063503 , 0.06968 , 0.075496 , 0.035684 , 0.03242 , 0.037633 , 0.03576 , 0.050338 , 0.035585 , 0.039791 , 0.042003 , 0.04726 , 0.051861 , 0.047315 , 0.045278 , 0.030185 , 0.031533 , 0.029287 , 0.035651 , 0.037699 , 0.045661 , 0.035377 , 0.034457 
 462 , 0.032195 , 0.036444 , 0.02511 , 0.03605 , 0.029841 , 0.068848 , 0.065672 , 0.043278 , 0.051305 , 0.059474 , 0.043354 , 0.054305 , 0.051929 , 0.074816 , 0.061412 , 0.058116 , 0.060733 , 0.063854 , 0.070085 , 0.075845 , 0.035897 , 0.032622 , 0.037857 , 0.035995 , 0.050746 , 0.035765 , 0.040058 , 0.042259 , 0.047505 , 0.052126 , 0.047614 , 0.045544 , 0.030378 , 0.031659 , 0.029436 , 0.035842 , 0.037868 , 0.045895 , 0.035601 , 0.034648 
 463 , 0.032373 , 0.0366 , 0.0252 , 0.036228 , 0.030008 , 0.069192 , 0.066006 , 0.043445 , 0.051506 , 0.059774 , 0.043609 , 0.054649 , 0.052261 , 0.075303 , 0.061822 , 0.058504 , 0.061077 , 0.064199 , 0.070474 , 0.07618 , 0.036097 , 0.032822 , 0.038079 , 0.036217 , 0.051133 , 0.035943 , 0.040302 , 0.042492 , 0.047749 , 0.052382 , 0.047902 , 0.045789 , 0.030544 , 0.031793 , 0.02958 , 0.036009 , 0.038024 , 0.046106 , 0.035823 , 0.034826 
 464 , 0.032513 , 0.036732 , 0.025248 , 0.03637 , 0.030069 , 0.069486 , 0.066264 , 0.043603 , 0.051679 , 0.060018 , 0.043811 , 0.054933 , 0.052555 , 0.075688 , 0.062133 , 0.05878 , 0.061377 , 0.064467 , 0.070801 , 0.076444 , 0.03625 , 0.032973 , 0.038255 , 0.036381 , 0.051405 , 0.036074 , 0.040458 , 0.042638 , 0.047975 , 0.052588 , 0.048106 , 0.045937 , 0.030628 , 0.031921 , 0.029675 , 0.036118 , 0.038167 , 0.046265 , 0.035987 , 0.034968 
 465 , 0.032653 , 0.036863 , 0.025307 , 0.036502 , 0.030131 , 0.06978 , 0.066534 , 0.04376 , 0.051852 , 0.060262 , 0.044023 , 0.055218 , 0.052861 , 0.076073 , 0.062444 , 0.059056 , 0.061677 , 0.064725 , 0.071139 , 0.07672 , 0.036403 , 0.033135 , 0.038431 , 0.036545 , 0.051677 , 0.036195 , 0.040602 , 0.042795 , 0.048201 , 0.052795 , 0.048311 , 0.046074 , 0.030712 , 0.032061 , 0.02978 , 0.036217 , 0.038311 , 0.046414 , 0.036162 , 0.03512 
 466 , 0.032794 , 0.036985 , 0.025355 , 0.036645 , 0.030204 , 0.070074 , 0.066805 , 0.043919 , 0.052037 , 0.060507 , 0.044237 , 0.055515 , 0.053156 , 0.07646 , 0.062767 , 0.059344 , 0.061988 , 0.064995 , 0.071479 , 0.076997 , 0.036568 , 0.033298 , 0.038608 , 0.036721 , 0.05195 , 0.036326 , 0.040759 , 0.042942 , 0.048428 , 0.053014 , 0.048527 , 0.046223 , 0.030797 , 0.03219 , 0.029886 , 0.036326 , 0.038444 , 0.046574 , 0.036337 , 0.035273 
 467 , 0.032902 , 0.037063 , 0.025404 , 0.0368 , 0.030289 , 0.070361 , 0.067111 , 0.044067 , 0.052169 , 0.060754 , 0.044462 , 0.055825 , 0.053432 , 0.076827 , 0.063082 , 0.059679 , 0.06228 , 0.065299 , 0.071799 , 0.077288 , 0.036701 , 0.033462 , 0.038809 , 0.036887 , 0.052235 , 0.036448 , 0.040927 , 0.043123 , 0.048623 , 0.053223 , 0.048744 , 0.046406 , 0.030849 , 0.032276 , 0.030015 , 0.036459 , 0.038567 , 0.046757 , 0.036503 , 0.035416 
 468 , 0.033005 , 0.037127 , 0.025466 , 0.036962 , 0.030389 , 0.070638 , 0.067428 , 0.044205 , 0.052305 , 0.060999 , 0.044677 , 0.05613 , 0.05369 , 0.077188 , 0.063395 , 0.060032 , 0.062581 , 0.065615 , 0.072121 , 0.077584 , 0.036819 , 0.033632 , 0.039006 , 0.037039 , 0.052514 , 0.036566 , 0.041116 , 0.043304 , 0.04881 , 0.053426 , 0.048975 , 0.04659 , 0.030884 , 0.032346 , 0.030148 , 0.036588 , 0.038676 , 0.046953 , 0.036665 , 0.035566 
 469 , 0.033098 , 0.037191 , 0.025528 , 0.037125 , 0.03049 , 0.070917 , 0.067737 , 0.044355 , 0.052442 , 0.061245 , 0.044905 , 0.056447 , 0.05395 , 0.077541 , 0.06371 , 0.060398 , 0.062884 , 0.065921 , 0.072446 , 0.077893 , 0.036938 , 0.033802 , 0.039216 , 0.037202 , 0.052794 , 0.036685 , 0.041296 , 0.043485 , 0.049009 , 0.053631 , 0.049207 , 0.046775 , 0.030931 , 0.032416 , 0.03027 , 0.036729 , 0.038798 , 0.04715 , 0.036817 , 0.035706 
 470 , 0.033217 , 0.037301 , 0.025601 , 0.037279 , 0.030587 , 0.07119 , 0.068042 , 0.04451 , 0.052611 , 0.061504 , 0.045115 , 0.056738 , 0.054229 , 0.077937 , 0.064035 , 0.060711 , 0.063177 , 0.066215 , 0.072775 , 0.078201 , 0.037092 , 0.033966 , 0.039414 , 0.037367 , 0.053084 , 0.036817 , 0.041483 , 0.043674 , 0.049188 , 0.053854 , 0.049441 , 0.046953 , 0.031005 , 0.032524 , 0.0304 , 0.036861 , 0.038919 , 0.047339 , 0.036993 , 0.035859 
 471 , 0.033369 , 0.037445 , 0.02569 , 0.037445 , 0.030703 , 0.071463 , 0.068335 , 0.044671 , 0.052823 , 0.061769 , 0.045299 , 0.056988 , 0.054509 , 0.078359 , 0.064336 , 0.060976 , 0.063465 , 0.066473 , 0.073138 , 0.078514 , 0.037279 , 0.034118 , 0.039604 , 0.037555 , 0.053396 , 0.03696 , 0.041664 , 0.043845 , 0.049375 , 0.05409 , 0.049662 , 0.047106 , 0.031154 , 0.032664 , 0.030526 , 0.037004 , 0.039053 , 0.047547 , 0.03718 , 0.036013 
 472 , 0.033509 , 0.0376 , 0.025791 , 0.037611 , 0.030819 , 0.071737 , 0.068617 , 0.044833 , 0.053026 , 0.062034 , 0.045484 , 0.057249 , 0.054801 , 0.078783 , 0.064647 , 0.06124 , 0.063754 , 0.06672 , 0.07349 , 0.078827 , 0.037467 , 0.034281 , 0.039794 , 0.037732 , 0.05372 , 0.037104 , 0.041845 , 0.044028 , 0.049552 , 0.054327 , 0.049883 , 0.047259 , 0.031293 , 0.032814 , 0.030653 , 0.037148 , 0.039188 , 0.047744 , 0.037368 , 0.036177 
 473 , 0.033663 , 0.037756 , 0.025884 , 0.037778 , 0.030926 , 0.072003 , 0.068914 , 0.044994 , 0.053236 , 0.062294 , 0.045678 , 0.057506 , 0.055089 , 0.079208 , 0.064953 , 0.061511 , 0.064037 , 0.066983 , 0.073846 , 0.079142 , 0.037657 , 0.034435 , 0.039985 , 0.037911 , 0.05403 , 0.037249 , 0.042037 , 0.044211 , 0.049727 , 0.05456 , 0.050113 , 0.04741 , 0.031434 , 0.032957 , 0.030783 , 0.037282 , 0.039312 , 0.04794 , 0.037557 , 0.036333 
 474 , 0.033772 , 0.037944 , 0.025969 , 0.037955 , 0.031013 , 0.072313 , 0.069222 , 0.045129 , 0.053385 , 0.062556 , 0.045902 , 0.057766 , 0.055349 , 0.079509 , 0.065249 , 0.061817 , 0.064311 , 0.067269 , 0.074178 , 0.079431 , 0.037823 , 0.0346 , 0.040174 , 0.03811 , 0.054345 , 0.03737 , 0.042238 , 0.044379 , 0.049952 , 0.054753 , 0.050361 , 0.047612 , 0.031521 , 0.033088 , 0.030892 , 0.037381 , 0.039456 , 0.048131 , 0.037768 , 0.036498 
 475 , 0.033892 , 0.038132 , 0.026051 , 0.038121 , 0.031098 , 0.07262 , 0.069528 , 0.045266 , 0.053526 , 0.062814 , 0.046116 , 0.058032 , 0.055602 , 0.079798 , 0.065541 , 0.062129 , 0.06457 , 0.067551 , 0.074508 , 0.07971 , 0.037978 , 0.034775 , 0.040352 , 0.038309 , 0.054653 , 0.037492 , 0.042439 , 0.044548 , 0.050158 , 0.054962 , 0.050622 , 0.047817 , 0.031606 , 0.033229 , 0.030998 , 0.037492 , 0.039601 , 0.048325 , 0.037978 , 0.036663 
