  time  ,6:43 AM",6:58 AM",7:07 AM",7:20 AM",7:28 AM",7:41 AM",7:50 AM",8:01 AM",8:08 AM",8:16 AM",9:12 AM",9:20 AM",9:27 AM",9:34 AM",9:41 AM",9:55 AM",0:02 AM",0:10 AM",0:18 AM",0:27 AM",0:58 AM",1:10 AM",1:19 AM",1:27 AM",1:38 AM",1:53 AM",2:03 AM",2:11 AM",2:29 AM",2:39 AM",3:15 AM",3:24 AM",3:34 AM",3:43 AM",3:53 AM",4:33 AM",4:40 AM",4:49 AM",4:57 AM",5:05 AM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0.040129 , 0.027466 , 0.026335 , 0.034237 , 0.049561 , 0.027529 , 0.042046 , 0.033972 , 0.030611 , 0.026542 , 0.034337 , 0.031961 , 0.030788 , 0.037028 , 0.026697 , 0.035991 , 0.033236 , 0.018666 , 0.031711 , 0.032501 , 0.040992 , 0.024597 , 0.022012 , 0.02322 , 0.019116 , 0.023465 , 0.033823 , 0.033422 , 0.035702 , 0.024704 , 0.022519 , 0.029897 , 0.042696 , 0.031508 , 0.014369 , 0.025551 , 0.024568 , 0.030985 , 0.036105 , 0.023733 
 327 , 0.039632 , 0.029403 , 0.026066 , 0.031194 , 0.048918 , 0.029814 , 0.040586 , 0.035547 , 0.028373 , 0.025835 , 0.033357 , 0.032087 , 0.032048 , 0.036628 , 0.027332 , 0.035766 , 0.033747 , 0.020486 , 0.031663 , 0.034323 , 0.040743 , 0.026924 , 0.021491 , 0.023699 , 0.019344 , 0.024807 , 0.033899 , 0.0317 , 0.035283 , 0.024148 , 0.022547 , 0.032022 , 0.042636 , 0.031865 , 0.01511 , 0.026914 , 0.024083 , 0.031082 , 0.036013 , 0.02337 
 328 , 0.039208 , 0.030995 , 0.025868 , 0.028681 , 0.048452 , 0.031705 , 0.039368 , 0.036868 , 0.026524 , 0.025269 , 0.032557 , 0.032226 , 0.033124 , 0.036296 , 0.027903 , 0.035598 , 0.034204 , 0.022005 , 0.031624 , 0.035876 , 0.040513 , 0.028932 , 0.021052 , 0.024121 , 0.019526 , 0.025931 , 0.033953 , 0.030281 , 0.034925 , 0.023707 , 0.022571 , 0.033761 , 0.042608 , 0.03222 , 0.015724 , 0.028146 , 0.023707 , 0.031166 , 0.035926 , 0.023052 
 329 , 0.03524 , 0.028624 , 0.02422 , 0.028025 , 0.047876 , 0.028855 , 0.038808 , 0.032792 , 0.026019 , 0.027011 , 0.029164 , 0.030451 , 0.027586 , 0.03519 , 0.028164 , 0.032499 , 0.030511 , 0.020322 , 0.030521 , 0.033182 , 0.038212 , 0.026625 , 0.020657 , 0.022006 , 0.017375 , 0.022612 , 0.031542 , 0.028439 , 0.032601 , 0.023057 , 0.02068 , 0.031887 , 0.040393 , 0.029407 , 0.014952 , 0.024164 , 0.02195 , 0.029387 , 0.034678 , 0.022839 
 330 , 0.031748 , 0.026415 , 0.022751 , 0.027537 , 0.047365 , 0.026234 , 0.038321 , 0.02916 , 0.025632 , 0.028627 , 0.02619 , 0.028865 , 0.022676 , 0.03421 , 0.028412 , 0.02975 , 0.027219 , 0.018779 , 0.029536 , 0.03074 , 0.03616 , 0.024525 , 0.020325 , 0.020108 , 0.015453 , 0.019614 , 0.029382 , 0.026851 , 0.030539 , 0.022499 , 0.018983 , 0.030153 , 0.038425 , 0.026903 , 0.014244 , 0.020623 , 0.020401 , 0.027795 , 0.033566 , 0.022664 
 331 , 0.028754 , 0.024493 , 0.021484 , 0.027132 , 0.04688 , 0.023963 , 0.037868 , 0.02605 , 0.025313 , 0.030062 , 0.023639 , 0.027502 , 0.018478 , 0.033356 , 0.028662 , 0.027379 , 0.024379 , 0.01745 , 0.028681 , 0.028632 , 0.034391 , 0.022721 , 0.020049 , 0.018468 , 0.013795 , 0.017022 , 0.027516 , 0.025479 , 0.028759 , 0.022024 , 0.017512 , 0.028658 , 0.036725 , 0.024742 , 0.013633 , 0.017592 , 0.019065 , 0.026424 , 0.032608 , 0.02253 
 332 , 0.028732 , 0.024685 , 0.022764 , 0.027543 , 0.046722 , 0.023485 , 0.037454 , 0.026159 , 0.025929 , 0.029993 , 0.023747 , 0.026969 , 0.018696 , 0.032888 , 0.02854 , 0.027433 , 0.023983 , 0.017352 , 0.028607 , 0.028254 , 0.034793 , 0.023095 , 0.019886 , 0.01857 , 0.014526 , 0.017367 , 0.027776 , 0.025441 , 0.028677 , 0.022243 , 0.017149 , 0.028848 , 0.037066 , 0.024874 , 0.013795 , 0.017715 , 0.019425 , 0.025857 , 0.032876 , 0.021864 
 333 , 0.030434 , 0.026112 , 0.025469 , 0.028387 , 0.046756 , 0.024065 , 0.037073 , 0.028141 , 0.027059 , 0.029046 , 0.025397 , 0.026947 , 0.021456 , 0.032661 , 0.028203 , 0.02887 , 0.024994 , 0.017964 , 0.028994 , 0.028896 , 0.036457 , 0.024703 , 0.0198 , 0.019679 , 0.016597 , 0.019456 , 0.029264 , 0.02618 , 0.029584 , 0.022858 , 0.017452 , 0.030015 , 0.038562 , 0.026328 , 0.014397 , 0.019658 , 0.020761 , 0.025793 , 0.033846 , 0.020931 
 334 , 0.031936 , 0.02731 , 0.027805 , 0.029072 , 0.046791 , 0.024519 , 0.036726 , 0.029905 , 0.028031 , 0.028224 , 0.02685 , 0.026888 , 0.023859 , 0.032448 , 0.027882 , 0.030074 , 0.025813 , 0.018481 , 0.029333 , 0.029446 , 0.037928 , 0.02609 , 0.019722 , 0.020636 , 0.018372 , 0.021341 , 0.030545 , 0.026837 , 0.030362 , 0.023395 , 0.017696 , 0.031018 , 0.03983 , 0.02758 , 0.014914 , 0.021352 , 0.021925 , 0.025714 , 0.034694 , 0.020113 
 335 , 0.032622 , 0.027992 , 0.028976 , 0.029256 , 0.046254 , 0.024488 , 0.036237 , 0.030813 , 0.028189 , 0.027452 , 0.027541 , 0.02686 , 0.025259 , 0.032055 , 0.027413 , 0.030644 , 0.026291 , 0.018587 , 0.029122 , 0.02951 , 0.03874 , 0.026732 , 0.019458 , 0.021078 , 0.019229 , 0.022556 , 0.031128 , 0.02719 , 0.030725 , 0.02359 , 0.017836 , 0.031456 , 0.040212 , 0.028281 , 0.015152 , 0.022245 , 0.022473 , 0.025513 , 0.034917 , 0.019393 
 336 , 0.030804 , 0.027305 , 0.026762 , 0.027974 , 0.043699 , 0.023001 , 0.035138 , 0.02912 , 0.025811 , 0.026585 , 0.025944 , 0.026973 , 0.023854 , 0.030949 , 0.026334 , 0.029405 , 0.025894 , 0.017394 , 0.027044 , 0.028064 , 0.037599 , 0.025195 , 0.018514 , 0.020017 , 0.017443 , 0.021863 , 0.029632 , 0.026646 , 0.029894 , 0.022733 , 0.017734 , 0.030227 , 0.037913 , 0.02743 , 0.014554 , 0.020826 , 0.021202 , 0.024868 , 0.033159 , 0.01873 
 337 , 0.029234 , 0.026712 , 0.024847 , 0.026868 , 0.041494 , 0.02172 , 0.034192 , 0.027658 , 0.023766 , 0.025835 , 0.024565 , 0.02708 , 0.022642 , 0.029998 , 0.025403 , 0.028338 , 0.025567 , 0.016359 , 0.02525 , 0.026815 , 0.03662 , 0.023869 , 0.017699 , 0.0191 , 0.015898 , 0.021253 , 0.028342 , 0.026171 , 0.029171 , 0.021992 , 0.017636 , 0.029167 , 0.03593 , 0.026699 , 0.014038 , 0.019602 , 0.020106 , 0.024315 , 0.031641 , 0.018164 
 338 , 0.027865 , 0.026196 , 0.023173 , 0.025901 , 0.03957 , 0.020605 , 0.033368 , 0.026383 , 0.021987 , 0.025182 , 0.023364 , 0.027182 , 0.021585 , 0.029172 , 0.024591 , 0.02741 , 0.025296 , 0.015455 , 0.023683 , 0.025724 , 0.035771 , 0.022712 , 0.016989 , 0.0183 , 0.014549 , 0.020713 , 0.027218 , 0.02575 , 0.028536 , 0.021345 , 0.017543 , 0.02824 , 0.0342 , 0.026065 , 0.013591 , 0.018536 , 0.01915 , 0.023837 , 0.030318 , 0.017673 
 339 , 0.028238 , 0.026118 , 0.02374 , 0.026992 , 0.040542 , 0.020809 , 0.033514 , 0.026099 , 0.022862 , 0.025791 , 0.023664 , 0.026869 , 0.021085 , 0.02972 , 0.025328 , 0.027309 , 0.025746 , 0.015495 , 0.024574 , 0.026069 , 0.035986 , 0.022953 , 0.017504 , 0.017877 , 0.014865 , 0.020605 , 0.027739 , 0.025744 , 0.028223 , 0.0212 , 0.01773 , 0.028539 , 0.034814 , 0.026404 , 0.013757 , 0.018879 , 0.019847 , 0.023641 , 0.030646 , 0.018285 
 340 , 0.028871 , 0.026123 , 0.024614 , 0.028321 , 0.041877 , 0.021217 , 0.033819 , 0.026021 , 0.024095 , 0.026537 , 0.024189 , 0.026522 , 0.020732 , 0.030437 , 0.026255 , 0.027353 , 0.026274 , 0.015693 , 0.025811 , 0.026627 , 0.03635 , 0.023412 , 0.018167 , 0.017563 , 0.015437 , 0.020574 , 0.028475 , 0.025801 , 0.027995 , 0.021154 , 0.017947 , 0.029013 , 0.035766 , 0.026872 , 0.014008 , 0.019419 , 0.020752 , 0.023513 , 0.031209 , 0.019037 
 341 , 0.029432 , 0.02613 , 0.025367 , 0.0295 , 0.043031 , 0.021589 , 0.034106 , 0.025963 , 0.02519 , 0.027178 , 0.024659 , 0.026214 , 0.020424 , 0.031061 , 0.02708 , 0.02738 , 0.026741 , 0.015868 , 0.026928 , 0.027134 , 0.03666 , 0.023828 , 0.018747 , 0.017289 , 0.015951 , 0.020544 , 0.02911 , 0.025846 , 0.027795 , 0.021117 , 0.018145 , 0.029434 , 0.036618 , 0.027287 , 0.014227 , 0.019892 , 0.021559 , 0.023396 , 0.031692 , 0.01972 
 342 , 0.030185 , 0.026347 , 0.025479 , 0.030391 , 0.043664 , 0.021688 , 0.034057 , 0.026608 , 0.025619 , 0.026921 , 0.02506 , 0.026126 , 0.021085 , 0.031164 , 0.027218 , 0.027377 , 0.026679 , 0.015918 , 0.027328 , 0.027359 , 0.036851 , 0.02415 , 0.018841 , 0.01747 , 0.016307 , 0.020529 , 0.029295 , 0.025624 , 0.028113 , 0.021329 , 0.018182 , 0.029635 , 0.037508 , 0.027453 , 0.014347 , 0.019853 , 0.02151 , 0.023293 , 0.031505 , 0.019649 
 343 , 0.031159 , 0.026785 , 0.02495 , 0.031002 , 0.043799 , 0.021508 , 0.033665 , 0.027991 , 0.025376 , 0.025751 , 0.025388 , 0.026262 , 0.022736 , 0.030749 , 0.02666 , 0.027353 , 0.026079 , 0.015845 , 0.026992 , 0.027293 , 0.03694 , 0.024378 , 0.018451 , 0.018121 , 0.016506 , 0.020528 , 0.029035 , 0.025132 , 0.029023 , 0.021806 , 0.018058 , 0.029624 , 0.038465 , 0.027374 , 0.014372 , 0.019298 , 0.020593 , 0.023208 , 0.030646 , 0.018808 
 344 , 0.032057 , 0.027184 , 0.024494 , 0.031556 , 0.043953 , 0.021352 , 0.033334 , 0.029254 , 0.025169 , 0.024722 , 0.025671 , 0.026393 , 0.024203 , 0.0304 , 0.026182 , 0.027347 , 0.025548 , 0.015785 , 0.026703 , 0.027234 , 0.037049 , 0.024584 , 0.01811 , 0.018705 , 0.016694 , 0.020526 , 0.028809 , 0.024699 , 0.029958 , 0.022244 , 0.017951 , 0.029644 , 0.039365 , 0.027324 , 0.014402 , 0.018812 , 0.019783 , 0.023141 , 0.029883 , 0.018065 
 345 , 0.032761 , 0.02751 , 0.024095 , 0.032006 , 0.044083 , 0.021248 , 0.033128 , 0.030213 , 0.024954 , 0.023922 , 0.025774 , 0.026512 , 0.025333 , 0.030114 , 0.025784 , 0.02736 , 0.025098 , 0.015774 , 0.026454 , 0.027171 , 0.037182 , 0.024737 , 0.017815 , 0.019216 , 0.016823 , 0.020522 , 0.028593 , 0.024336 , 0.030773 , 0.02258 , 0.017884 , 0.029672 , 0.040099 , 0.027278 , 0.014427 , 0.018429 , 0.019129 , 0.023051 , 0.029285 , 0.017465 
 346 , 0.031802 , 0.027362 , 0.02378 , 0.0318 , 0.04388 , 0.021575 , 0.033923 , 0.028805 , 0.024354 , 0.024672 , 0.02411 , 0.026579 , 0.024098 , 0.030087 , 0.025716 , 0.027482 , 0.025004 , 0.016252 , 0.026318 , 0.026989 , 0.037523 , 0.024485 , 0.017665 , 0.019443 , 0.016394 , 0.020499 , 0.028204 , 0.024262 , 0.030161 , 0.022073 , 0.018126 , 0.029654 , 0.039481 , 0.02716 , 0.014354 , 0.01867 , 0.019354 , 0.022569 , 0.029759 , 0.017689 
 347 , 0.030971 , 0.027213 , 0.023493 , 0.031592 , 0.043664 , 0.021847 , 0.034612 , 0.027563 , 0.023817 , 0.025323 , 0.022654 , 0.026623 , 0.023016 , 0.030032 , 0.025632 , 0.027586 , 0.02492 , 0.016666 , 0.026176 , 0.026822 , 0.037807 , 0.024253 , 0.017522 , 0.019638 , 0.016012 , 0.020472 , 0.027848 , 0.024205 , 0.029572 , 0.021625 , 0.018345 , 0.02961 , 0.038919 , 0.027017 , 0.014286 , 0.018879 , 0.019554 , 0.022139 , 0.030179 , 0.017874 
 348 , 0.030246 , 0.027064 , 0.02323 , 0.031384 , 0.043438 , 0.022073 , 0.035216 , 0.026457 , 0.023329 , 0.025892 , 0.021372 , 0.026648 , 0.02206 , 0.029957 , 0.025535 , 0.027674 , 0.024843 , 0.017028 , 0.026029 , 0.026669 , 0.038043 , 0.024038 , 0.017385 , 0.019809 , 0.015668 , 0.020442 , 0.027521 , 0.024161 , 0.029009 , 0.021225 , 0.018545 , 0.029544 , 0.038401 , 0.026853 , 0.014222 , 0.019061 , 0.019733 , 0.021752 , 0.030553 , 0.018027 
 349 , 0.030254 , 0.026792 , 0.023524 , 0.031734 , 0.043737 , 0.022074 , 0.035442 , 0.026447 , 0.02318 , 0.025855 , 0.021755 , 0.026324 , 0.022229 , 0.030161 , 0.026058 , 0.027948 , 0.024982 , 0.017281 , 0.026393 , 0.026626 , 0.03801 , 0.023913 , 0.017614 , 0.019724 , 0.0158 , 0.020246 , 0.027718 , 0.024406 , 0.028914 , 0.021346 , 0.018532 , 0.029649 , 0.038807 , 0.02684 , 0.014263 , 0.019273 , 0.019781 , 0.022071 , 0.030744 , 0.018107 
