JUL13WSG100005.spu,JUL13WSG100004.spu,JUL13WSG100003.spu,
Wavelength,JUL13WSG100006.spu,JUL13WSG100007.spu,JUL13WSG100008.spu,JUL13WSG100009.spu,JUL13WSG100010.spu,JUL13WSG100011.spu,JUL13WSG100012.spu,JUL13WSG100013.spu,JUL13WSG100014.spu,JUL13WSG100015.spu,JUL13WSG100016.spu,JUL13WSG100017.spu,JUL13WSG100018.spu,JUL13WSG100019.spu,JUL13WSG100020.spu,JUL13WSG100021.spu,JUL13WSG100022.spu,JUL13WSG100023.spu,JUL13WSG100024.spu,JUL13WSG100025.spu,JUL13WSG100026.spu,JUL13WSG100027.spu,JUL13WSG100028.spu,JUL13WSG100029.spu,JUL13WSG100030.spu
  (nm),7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 ,7/13/2016 
  time  ,:53:32 A,:53:46 A,:53:52 A,:54:01 A,:54:07 A,:54:37 A,:54:45 A,:54:54 A,:55:01 A,:55:10 A,:56:00 A,:56:06 A,:56:13 A,:56:20 A,:56:30 A,:57:06 A,:57:15 A,:57:20 A,:57:26 A,:57:32 A,:58:05 A,:58:12 A,:58:17 A,:58:23 A,:58:29 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.857747 , 0.857747 , 0.857747 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.92482 , 0.92482 , 0.92482 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 332 , 0 , 0 , 0 , 0 , 0 , 0.000383 , 0.002036 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000772 , 0 , 0 , 0 , 0.000163 , 0 , 0 , 0 , 0 , 0 
 333 , 0 , 0 , 0 , 0 , 0 , 0.001305 , 0.003169 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001202 , 0 , 0 , 0 , 0.000554 , 0 , 0 , 0 , 0 , 0 
 334 , 0 , 0 , 0 , 0 , 0 , 0.002296 , 0.00401 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001521 , 0 , 0 , 0 , 0.000975 , 0 , 0 , 0 , 0 , 0 
 335 , 0 , 0 , 0 , 0 , 0 , 0.003218 , 0.005391 , 0.000064 , 0.000231 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001643 , 0.000177 , 0.000137 , 0 , 0.001758 , 0 , 0 , 0 , 0 , 0 
 336 , 0 , 0 , 0 , 0 , 0 , 0.003912 , 0.009209 , 0.000327 , 0.001075 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001325 , 0.001178 , 0.000851 , 0 , 0.003885 , 0 , 0 , 0 , 0 , 0 
 337 , 0 , 0 , 0 , 0 , 0 , 0.00455 , 0.012688 , 0.000528 , 0.001641 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001109 , 0.002339 , 0.001582 , 0 , 0.005743 , 0 , 0 , 0 , 0 , 0 
 338 , 0 , 0 , 0 , 0 , 0 , 0.005136 , 0.015827 , 0.000689 , 0.002064 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000949 , 0.003624 , 0.002306 , 0 , 0.007367 , 0 , 0 , 0 , 0 , 0 
 339 , 0 , 0.001304 , 0 , 0.000964 , 0.00117 , 0.006081 , 0.013222 , 0.001672 , 0.002076 , 0 , 0 , 0 , 0 , 0.000158 , 0.000104 , 0.002091 , 0.004674 , 0.003662 , 0.000629 , 0.008272 , 0 , 0 , 0 , 0 , 0 
 340 , 0 , 0.002289 , 0 , 0.002019 , 0.002388 , 0.006885 , 0.01153 , 0.002919 , 0.002029 , 0 , 0 , 0 , 0 , 0.00036 , 0.000209 , 0.003461 , 0.005514 , 0.00484 , 0.001422 , 0.00894 , 0 , 0 , 0 , 0 , 0 
