JUL12WSG200005.spu,JUL12WSG200004.spu,
Wavelength,JUL12WSG200006.spu,JUL12WSG200007.spu,JUL12WSG200008.spu,JUL12WSG200009.spu,JUL12WSG200010.spu,JUL12WSG200011.spu,JUL12WSG200012.spu,JUL12WSG200013.spu,JUL12WSG200014.spu,JUL12WSG200015.spu
  (nm),7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 
  time  ,:01:52 A,:02:00 A,:02:08 A,:02:15 A,:02:23 A,:03:28 A,:03:36 A,:03:44 A,:03:53 A,:04:01 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,
 358 , 0.005566 , 0.007943 , 0.006755 , 0.008596 , 0.005058 , 0.016471 , 0.009352 , 0.01119 , 0.014936 , 0.009818 
 359 , 0.005588 , 0.008159 , 0.006921 , 0.008966 , 0.005131 , 0.016811 , 0.009558 , 0.011433 , 0.015319 , 0.010072 
 360 , 0.005307 , 0.008409 , 0.006988 , 0.009368 , 0.005367 , 0.016977 , 0.009722 , 0.011612 , 0.015282 , 0.010198 
 361 , 0.005072 , 0.008641 , 0.007052 , 0.00975 , 0.005591 , 0.01713 , 0.009874 , 0.011777 , 0.015252 , 0.010316 
 362 , 0.004994 , 0.008953 , 0.00713 , 0.009981 , 0.005816 , 0.017271 , 0.010062 , 0.011985 , 0.015273 , 0.010473 
 363 , 0.005415 , 0.009646 , 0.007269 , 0.009673 , 0.006068 , 0.017399 , 0.010421 , 0.012405 , 0.015468 , 0.010813 
 364 , 0.00582 , 0.010326 , 0.007398 , 0.00941 , 0.006298 , 0.017519 , 0.010761 , 0.012805 , 0.015651 , 0.011136 
 365 , 0.006209 , 0.010992 , 0.007516 , 0.009185 , 0.006511 , 0.017631 , 0.011082 , 0.013187 , 0.015822 , 0.011442 
 366 , 0.006266 , 0.010514 , 0.007657 , 0.009371 , 0.006562 , 0.017587 , 0.010951 , 0.013053 , 0.015604 , 0.011234 
 367 , 0.006255 , 0.009869 , 0.007801 , 0.009642 , 0.00658 , 0.017517 , 0.010744 , 0.012827 , 0.015324 , 0.010947 
