  time  ,:07:22 A,:07:35 A,:07:42 A,:07:49 A,:07:57 A,:08:27 A,:08:36 A,:08:44 A,:08:51 A,:09:00 A,:10:12 A,:10:19 A,:10:26 A,:10:42 A,:10:50 A,:11:29 A,:11:36 A,:11:43 A,:11:50 A,:11:56 A,:12:16 A,:12:23 A,:12:33 A,:12:46 A,:12:55 A,:13:39 A,:13:47 A,:13:57 A,:14:05 A,:14:13 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 328 , 0.050191 , 0 , 0.050191 , 0 , 0 , 0.050191 , 0 , 0 , 0.050191 , 0 , 0 , 0 , 0.050191 , 0.050191 , 0 , 0.050191 , 0.050191 , 0.050191 , 0.050191 , 0.050191 , 0 , 0.050191 , 0.050191 , 0.050191 , 0 , 0 , 0.050191 , 0.050191 , 0 , 0.050191 
 329 , 0.913228 , 0 , 0.913228 , 0 , 0 , 0.913228 , 0 , 0 , 0.913228 , 0 , 0 , 0 , 0.913228 , 0.913228 , 0 , 0.913228 , 0.913228 , 0.913228 , 0.913228 , 0.913228 , 0 , 0.913228 , 0.913228 , 0.913228 , 0 , 0 , 0.913228 , 0.913228 , 0 , 0.913228 
 330 , 1.075131 , 0 , 1.075131 , 0 , 0 , 1.075131 , 0 , 0 , 1.075131 , 0 , 0 , 0 , 1.075131 , 1.075131 , 0 , 1.075131 , 1.075131 , 1.075131 , 1.075131 , 1.075131 , 0 , 1.075131 , 1.075131 , 1.075131 , 0 , 0 , 1.075131 , 1.075131 , 0 , 1.075131 
 331 , 1.177152 , 0 , 1.177152 , 0 , 0 , 1.177152 , 0 , 0 , 1.177152 , 0 , 0 , 0 , 1.177152 , 1.177152 , 0 , 1.177152 , 1.177152 , 1.177152 , 1.177152 , 1.177152 , 0 , 1.177152 , 1.177152 , 1.177152 , 0 , 0 , 1.177152 , 1.177152 , 0 , 1.177152 
 332 , 0 , 0 , 0 , 0 , 0 , 0.001272 , 0.000464 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 333 , 0 , 0 , 0 , 0 , 0 , 0.001324 , 0.000766 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 334 , 0 , 0 , 0 , 0 , 0 , 0.000688 , 0.000462 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 335 , 0.00001 , 0 , 0 , 0 , 0 , 0.00119 , 0.000902 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 336 , 0.000133 , 0 , 0 , 0 , 0 , 0.004172 , 0.003801 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 337 , 0.000254 , 0 , 0 , 0 , 0 , 0.006023 , 0.006152 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 338 , 0.000354 , 0 , 0 , 0 , 0 , 0.007383 , 0.008163 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 339 , 0.001212 , 0 , 0 , 0 , 0 , 0.010043 , 0.010291 , 0.00099 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000532 , 0.000964 , 0 , 0 , 0 , 0 , 0 , 0.000179 , 0 , 0 , 0.001447 , 0 , 0 , 0 , 0 
 340 , 0.002111 , 0 , 0 , 0 , 0 , 0.012358 , 0.012459 , 0.002099 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000985 , 0.001818 , 0 , 0 , 0 , 0 , 0 , 0.000384 , 0 , 0 , 0.002699 , 0 , 0 , 0 , 0 
 341 , 0.002894 , 0 , 0 , 0 , 0 , 0.014147 , 0.014614 , 0.003107 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001312 , 0.002452 , 0 , 0 , 0 , 0 , 0 , 0.000576 , 0 , 0 , 0.003613 , 0 , 0 , 0 , 0 
 342 , 0.003915 , 0.000317 , 0.000222 , 0 , 0 , 0.014813 , 0.016272 , 0.004084 , 0.000032 , 0.000185 , 0 , 0 , 0 , 0 , 0 , 0.001577 , 0.003703 , 0.000362 , 0.00032 , 0.000124 , 0 , 0.000122 , 0.000909 , 0 , 0 , 0.004268 , 0.000164 , 0.000167 , 0 , 0 
 343 , 0.005307 , 0.00092 , 0.000718 , 0 , 0 , 0.014498 , 0.017234 , 0.005025 , 0.000107 , 0.000531 , 0 , 0 , 0 , 0 , 0 , 0.001841 , 0.005865 , 0.000966 , 0.001053 , 0.000369 , 0 , 0.000373 , 0.001237 , 0 , 0 , 0.004734 , 0.000501 , 0.000467 , 0 , 0 
 344 , 0.006677 , 0.001409 , 0.001213 , 0 , 0 , 0.014209 , 0.018002 , 0.005853 , 0.000189 , 0.000807 , 0 , 0 , 0 , 0 , 0 , 0.002116 , 0.00805 , 0.001392 , 0.001812 , 0.000576 , 0 , 0.000598 , 0.001429 , 0 , 0 , 0.005102 , 0.000801 , 0.000695 , 0 , 0 
 345 , 0.00803 , 0.001884 , 0.001712 , 0.000028 , 0.00008 , 0.014126 , 0.01863 , 0.006588 , 0.0003 , 0.001057 , 0 , 0 , 0 , 0 , 0.00003 , 0.002481 , 0.009945 , 0.001744 , 0.002605 , 0.000817 , 0.000082 , 0.000851 , 0.001624 , 0.000041 , 0.00005 , 0.005409 , 0.001139 , 0.00096 , 0.000143 , 0 
 346 , 0.009462 , 0.003261 , 0.002336 , 0.000451 , 0.001145 , 0.016011 , 0.019066 , 0.007322 , 0.000678 , 0.001584 , 0 , 0 , 0 , 0 , 0.000418 , 0.00381 , 0.008885 , 0.002452 , 0.003565 , 0.001826 , 0.001075 , 0.001708 , 0.002714 , 0.000631 , 0.000637 , 0.00586 , 0.002193 , 0.002331 , 0.001883 , 0 
 347 , 0.010739 , 0.004712 , 0.002897 , 0.000902 , 0.002072 , 0.017715 , 0.019307 , 0.007888 , 0.000992 , 0.002072 , 0 , 0 , 0 , 0 , 0.000738 , 0.004895 , 0.008133 , 0.003054 , 0.004393 , 0.002701 , 0.001804 , 0.002482 , 0.004128 , 0.001228 , 0.001046 , 0.006146 , 0.002886 , 0.003734 , 0.003176 , 0 
 348 , 0.01186 , 0.006226 , 0.003394 , 0.001377 , 0.002869 , 0.019236 , 0.019392 , 0.008314 , 0.001249 , 0.002518 , 0 , 0 , 0 , 0 , 0.000999 , 0.005772 , 0.007551 , 0.003558 , 0.005096 , 0.003448 , 0.002346 , 0.003167 , 0.006031 , 0.001821 , 0.001338 , 0.006315 , 0.003356 , 0.005148 , 0.004148 , 0 
 349 , 0.012208 , 0.00644 , 0.003942 , 0.001401 , 0.003223 , 0.01988 , 0.020742 , 0.009131 , 0.001687 , 0.002967 , 0 , 0.00011 , 0 , 0 , 0.001257 , 0.006043 , 0.007836 , 0.004043 , 0.005399 , 0.003989 , 0.00282 , 0.003594 , 0.00717 , 0.002386 , 0.001933 , 0.006935 , 0.003629 , 0.00606 , 0.004637 , 0.000416 
 350 , 0.012297 , 0.006152 , 0.004445 , 0.001259 , 0.00341 , 0.020167 , 0.022601 , 0.010022 , 0.002177 , 0.003362 , 0 , 0.000232 , 0 , 0 , 0.001483 , 0.006099 , 0.008403 , 0.004507 , 0.005541 , 0.004426 , 0.003258 , 0.003895 , 0.007752 , 0.002838 , 0.002637 , 0.00771 , 0.003825 , 0.006652 , 0.00494 , 0.000932 
 351 , 0.012385 , 0.005915 , 0.004866 , 0.001144 , 0.003588 , 0.020409 , 0.024406 , 0.010788 , 0.002626 , 0.003693 , 0 , 0.000327 , 0 , 0 , 0.00167 , 0.006147 , 0.008925 , 0.004932 , 0.005663 , 0.004813 , 0.003647 , 0.004157 , 0.008279 , 0.0032 , 0.003293 , 0.008429 , 0.003989 , 0.007139 , 0.005199 , 0.001375 
 352 , 0.012375 , 0.00582 , 0.005252 , 0.001247 , 0.003782 , 0.020534 , 0.025646 , 0.011183 , 0.002889 , 0.00402 , 0.000064 , 0.000367 , 0.000106 , 0 , 0.001783 , 0.006186 , 0.009431 , 0.00532 , 0.005936 , 0.005166 , 0.003911 , 0.004359 , 0.008543 , 0.003501 , 0.003744 , 0.00889 , 0.004257 , 0.007303 , 0.005385 , 0.001707 
 353 , 0.01213 , 0.005945 , 0.005651 , 0.001746 , 0.004018 , 0.020453 , 0.025792 , 0.010994 , 0.002844 , 0.004393 , 0.000265 , 0.000325 , 0.000446 , 0 , 0.001791 , 0.006198 , 0.009937 , 0.005669 , 0.006531 , 0.005502 , 0.003972 , 0.004481 , 0.008364 , 0.003769 , 0.003839 , 0.008892 , 0.004789 , 0.006966 , 0.00547 , 0.0019 
 354 , 0.011875 , 0.006046 , 0.006022 , 0.002203 , 0.004232 , 0.020345 , 0.025883 , 0.01082 , 0.002805 , 0.004715 , 0.000467 , 0.000281 , 0.000801 , 0 , 0.001795 , 0.006194 , 0.010376 , 0.005979 , 0.007089 , 0.005809 , 0.004021 , 0.004581 , 0.008201 , 0.004004 , 0.003917 , 0.008876 , 0.005335 , 0.006674 , 0.005537 , 0.002081 
 355 , 0.011617 , 0.006125 , 0.006367 , 0.002619 , 0.004426 , 0.020216 , 0.025928 , 0.010656 , 0.002772 , 0.004995 , 0.000668 , 0.000236 , 0.001167 , 0 , 0.001795 , 0.006177 , 0.010757 , 0.006255 , 0.007611 , 0.00609 , 0.004058 , 0.004664 , 0.008051 , 0.00421 , 0.003981 , 0.008846 , 0.005894 , 0.006419 , 0.00559 , 0.00225 
 356 , 0.011759 , 0.006654 , 0.006379 , 0.002602 , 0.004674 , 0.021244 , 0.023983 , 0.010943 , 0.003088 , 0.005134 , 0.000906 , 0.000548 , 0.001425 , 0 , 0.002247 , 0.006709 , 0.011154 , 0.00639 , 0.007784 , 0.006442 , 0.004371 , 0.005219 , 0.008421 , 0.004278 , 0.004274 , 0.009428 , 0.006081 , 0.006956 , 0.005635 , 0.002572 
 357 , 0.011873 , 0.007161 , 0.006368 , 0.002562 , 0.004888 , 0.022195 , 0.022361 , 0.01119 , 0.003431 , 0.005237 , 0.001138 , 0.00086 , 0.001659 , 0 , 0.002677 , 0.007212 , 0.011486 , 0.006484 , 0.0079 , 0.006754 , 0.004659 , 0.00577 , 0.008761 , 0.004321 , 0.004557 , 0.009995 , 0.006221 , 0.0075 , 0.005659 , 0.002869 
 358 , 0.011951 , 0.007627 , 0.006353 , 0.00252 , 0.005072 , 0.023027 , 0.021045 , 0.011387 , 0.003784 , 0.005316 , 0.001359 , 0.001151 , 0.001875 , 0 , 0.003065 , 0.007661 , 0.011764 , 0.006551 , 0.007986 , 0.007027 , 0.004912 , 0.006292 , 0.009052 , 0.004351 , 0.004817 , 0.010519 , 0.006336 , 0.008012 , 0.005669 , 0.003137 
 359 , 0.012304 , 0.007984 , 0.006785 , 0.002665 , 0.005142 , 0.022592 , 0.021642 , 0.011587 , 0.004317 , 0.005724 , 0.001481 , 0.0013 , 0.002066 , 0.000283 , 0.003365 , 0.008145 , 0.011872 , 0.006892 , 0.008292 , 0.007356 , 0.005266 , 0.006599 , 0.009045 , 0.004548 , 0.005108 , 0.010915 , 0.006546 , 0.008337 , 0.005924 , 0.003314 
 360 , 0.012848 , 0.00826 , 0.007557 , 0.002938 , 0.005139 , 0.02144 , 0.023557 , 0.011803 , 0.00493 , 0.006374 , 0.001531 , 0.001352 , 0.002239 , 0.000746 , 0.003616 , 0.008666 , 0.011875 , 0.007436 , 0.008754 , 0.007725 , 0.005703 , 0.006744 , 0.008847 , 0.004859 , 0.005414 , 0.011212 , 0.00682 , 0.008525 , 0.006354 , 0.00343 
 361 , 0.013353 , 0.008512 , 0.008329 , 0.003196 , 0.005132 , 0.020467 , 0.025473 , 0.012008 , 0.00549 , 0.007001 , 0.001577 , 0.001399 , 0.002404 , 0.001171 , 0.003864 , 0.009168 , 0.011874 , 0.00796 , 0.009189 , 0.00807 , 0.006128 , 0.006871 , 0.008662 , 0.005149 , 0.005698 , 0.011484 , 0.007074 , 0.008698 , 0.006763 , 0.003536 
 362 , 0.013802 , 0.008759 , 0.00888 , 0.003502 , 0.005237 , 0.020083 , 0.026467 , 0.012213 , 0.005925 , 0.007479 , 0.001652 , 0.001524 , 0.002547 , 0.001509 , 0.004164 , 0.009611 , 0.012013 , 0.008393 , 0.009546 , 0.008386 , 0.006491 , 0.007033 , 0.008699 , 0.005426 , 0.005939 , 0.011692 , 0.007324 , 0.00887 , 0.007125 , 0.003701 
 363 , 0.014107 , 0.009049 , 0.008544 , 0.004037 , 0.005785 , 0.021638 , 0.024009 , 0.012471 , 0.006036 , 0.00743 , 0.001836 , 0.001962 , 0.002627 , 0.001614 , 0.004623 , 0.009823 , 0.012714 , 0.008493 , 0.009651 , 0.008635 , 0.006629 , 0.007346 , 0.009591 , 0.00571 , 0.006068 , 0.011711 , 0.007623 , 0.009074 , 0.007341 , 0.004121 
 364 , 0.014385 , 0.009321 , 0.008253 , 0.004542 , 0.006307 , 0.023218 , 0.022142 , 0.012717 , 0.00614 , 0.007387 , 0.001997 , 0.002384 , 0.002699 , 0.001715 , 0.005027 , 0.010012 , 0.013389 , 0.008582 , 0.009745 , 0.008862 , 0.006754 , 0.007625 , 0.010472 , 0.005977 , 0.006185 , 0.011725 , 0.007911 , 0.009262 , 0.007537 , 0.004522 
 365 , 0.01464 , 0.009577 , 0.007999 , 0.00502 , 0.006806 , 0.024823 , 0.020676 , 0.012952 , 0.006237 , 0.007349 , 0.00214 , 0.002791 , 0.002766 , 0.001813 , 0.005385 , 0.01018 , 0.01404 , 0.008662 , 0.009829 , 0.009069 , 0.006867 , 0.007875 , 0.01134 , 0.006228 , 0.006291 , 0.011735 , 0.008188 , 0.009434 , 0.007716 , 0.004905 
 366 , 0.014846 , 0.009341 , 0.008042 , 0.004901 , 0.00681 , 0.02495 , 0.022062 , 0.013235 , 0.006286 , 0.007479 , 0.002277 , 0.002914 , 0.002888 , 0.001791 , 0.005262 , 0.010285 , 0.014108 , 0.008748 , 0.010052 , 0.00926 , 0.00687 , 0.007915 , 0.011511 , 0.006418 , 0.00647 , 0.011969 , 0.008225 , 0.009719 , 0.007757 , 0.004947 
 367 , 0.015041 , 0.009023 , 0.008144 , 0.004669 , 0.006695 , 0.024761 , 0.024197 , 0.013519 , 0.006324 , 0.007638 , 0.002414 , 0.002974 , 0.00302 , 0.001742 , 0.005037 , 0.010376 , 0.01405 , 0.008828 , 0.010296 , 0.009441 , 0.006853 , 0.007911 , 0.011518 , 0.006587 , 0.00666 , 0.012241 , 0.008214 , 0.010018 , 0.007765 , 0.004918 
 368 , 0.015233 , 0.008732 , 0.008238 , 0.004452 , 0.006566 , 0.024599 , 0.026481 , 0.013797 , 0.006362 , 0.007782 , 0.002549 , 0.003033 , 0.003149 , 0.001693 , 0.004808 , 0.010463 , 0.013994 , 0.008894 , 0.010526 , 0.00961 , 0.006838 , 0.007902 , 0.011517 , 0.006747 , 0.006844 , 0.012499 , 0.00821 , 0.010305 , 0.007767 , 0.004891 
 369 , 0.015255 , 0.00865 , 0.008362 , 0.004459 , 0.006534 , 0.024633 , 0.027888 , 0.013998 , 0.006352 , 0.007948 , 0.002577 , 0.002975 , 0.003241 , 0.001707 , 0.004716 , 0.01048 , 0.014129 , 0.009028 , 0.010706 , 0.009629 , 0.006925 , 0.007904 , 0.011499 , 0.006822 , 0.006817 , 0.01253 , 0.008282 , 0.010485 , 0.007835 , 0.004803 
 370 , 0.015051 , 0.008808 , 0.00852 , 0.004732 , 0.006622 , 0.024877 , 0.027973 , 0.01411 , 0.006289 , 0.008144 , 0.002472 , 0.002764 , 0.00329 , 0.001797 , 0.004789 , 0.010408 , 0.014496 , 0.00925 , 0.010824 , 0.009477 , 0.007134 , 0.007921 , 0.011457 , 0.006796 , 0.006539 , 0.012284 , 0.00844 , 0.010533 , 0.00798 , 0.004639 
