  time  ,:07:22 A,:07:35 A,:07:42 A,:07:49 A,:07:57 A,:08:27 A,:08:36 A,:08:44 A,:08:51 A,:09:00 A,:10:12 A,:10:19 A,:10:26 A,:10:42 A,:10:50 A,:11:29 A,:11:36 A,:11:43 A,:11:50 A,:11:56 A,:12:16 A,:12:23 A,:12:33 A,:12:46 A,:12:55 A,:13:39 A,:13:47 A,:13:57 A,:14:05 A,:14:13 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 501 , 0.066745 , 0.05561 , 0.047751 , 0.043773 , 0.033958 , 0.071426 , 0.077546 , 0.054445 , 0.040436 , 0.053634 , 0.023568 , 0.02367 , 0.02368 , 0.017736 , 0.033044 , 0.045025 , 0.058957 , 0.03366 , 0.042736 , 0.038105 , 0.037264 , 0.033778 , 0.036642 , 0.030626 , 0.022608 , 0.037305 , 0.036658 , 0.038229 , 0.033275 , 0.023752 
 502 , 0.067538 , 0.056218 , 0.048289 , 0.044294 , 0.03438 , 0.072199 , 0.078328 , 0.055068 , 0.041041 , 0.05431 , 0.024075 , 0.024183 , 0.02407 , 0.018059 , 0.033581 , 0.045551 , 0.059563 , 0.03403 , 0.043159 , 0.03852 , 0.037757 , 0.034133 , 0.03702 , 0.031014 , 0.022848 , 0.037824 , 0.037185 , 0.03871 , 0.033741 , 0.024121 
 503 , 0.068326 , 0.056828 , 0.048835 , 0.044817 , 0.034805 , 0.07297 , 0.07911 , 0.055689 , 0.041644 , 0.054985 , 0.02458 , 0.024694 , 0.024461 , 0.018378 , 0.034116 , 0.04608 , 0.060167 , 0.034401 , 0.043585 , 0.038936 , 0.038253 , 0.034489 , 0.037399 , 0.031398 , 0.023089 , 0.038346 , 0.037709 , 0.03919 , 0.034199 , 0.024487 
 504 , 0.069275 , 0.057566 , 0.049533 , 0.045435 , 0.035283 , 0.073846 , 0.080172 , 0.056457 , 0.042442 , 0.055921 , 0.025214 , 0.025303 , 0.025084 , 0.018873 , 0.034752 , 0.046664 , 0.060961 , 0.034846 , 0.044155 , 0.039479 , 0.038865 , 0.03494 , 0.037876 , 0.031852 , 0.023439 , 0.039047 , 0.038292 , 0.039792 , 0.034783 , 0.024949 
 505 , 0.070241 , 0.058325 , 0.050254 , 0.046067 , 0.035776 , 0.074742 , 0.081277 , 0.05725 , 0.043269 , 0.056899 , 0.025866 , 0.025934 , 0.02574 , 0.019394 , 0.035403 , 0.047262 , 0.061788 , 0.035309 , 0.044747 , 0.040041 , 0.039496 , 0.035403 , 0.038369 , 0.032312 , 0.023807 , 0.039779 , 0.038883 , 0.040413 , 0.035388 , 0.025431 
 506 , 0.071208 , 0.059082 , 0.050976 , 0.046704 , 0.036271 , 0.075638 , 0.082384 , 0.058038 , 0.044093 , 0.057875 , 0.026519 , 0.026556 , 0.026403 , 0.01991 , 0.036055 , 0.047854 , 0.062616 , 0.035765 , 0.045343 , 0.040601 , 0.040127 , 0.035865 , 0.038861 , 0.032774 , 0.024172 , 0.040512 , 0.039473 , 0.041034 , 0.035986 , 0.025913 
 507 , 0.072114 , 0.059885 , 0.051684 , 0.047374 , 0.036795 , 0.076509 , 0.08342 , 0.058829 , 0.044911 , 0.058839 , 0.027299 , 0.027257 , 0.027087 , 0.020393 , 0.036731 , 0.048414 , 0.063441 , 0.036195 , 0.045904 , 0.041148 , 0.04076 , 0.036317 , 0.039343 , 0.033244 , 0.024523 , 0.041254 , 0.040107 , 0.041657 , 0.036604 , 0.026413 
 508 , 0.072961 , 0.060726 , 0.05239 , 0.048085 , 0.037356 , 0.077362 , 0.08439 , 0.059626 , 0.045725 , 0.059802 , 0.028192 , 0.028032 , 0.027802 , 0.020849 , 0.037426 , 0.048956 , 0.064267 , 0.036598 , 0.04643 , 0.041682 , 0.041394 , 0.036758 , 0.039808 , 0.03372 , 0.024854 , 0.042003 , 0.040785 , 0.04228 , 0.037239 , 0.026937 
 509 , 0.073808 , 0.061568 , 0.053095 , 0.048802 , 0.037917 , 0.078219 , 0.085365 , 0.060429 , 0.04654 , 0.060768 , 0.029089 , 0.028799 , 0.028519 , 0.021298 , 0.038121 , 0.049495 , 0.065093 , 0.036998 , 0.046959 , 0.04222 , 0.042027 , 0.037202 , 0.040281 , 0.034193 , 0.025183 , 0.042752 , 0.041468 , 0.042908 , 0.037868 , 0.027461 
 510 , 0.074604 , 0.062361 , 0.053783 , 0.049475 , 0.038459 , 0.079031 , 0.086279 , 0.061199 , 0.047345 , 0.061701 , 0.029978 , 0.029562 , 0.029253 , 0.021767 , 0.03881 , 0.05001 , 0.065858 , 0.037383 , 0.047458 , 0.042734 , 0.042642 , 0.037621 , 0.040713 , 0.034653 , 0.025502 , 0.043496 , 0.042129 , 0.043513 , 0.03848 , 0.027983 
 511 , 0.075138 , 0.062884 , 0.054372 , 0.049926 , 0.03889 , 0.0796 , 0.086883 , 0.061812 , 0.048101 , 0.062462 , 0.030817 , 0.03027 , 0.030053 , 0.022348 , 0.039443 , 0.050392 , 0.066301 , 0.037672 , 0.047803 , 0.043114 , 0.043146 , 0.03791 , 0.04097 , 0.035019 , 0.02577 , 0.044202 , 0.042659 , 0.044018 , 0.038966 , 0.028472 
 512 , 0.07567 , 0.063404 , 0.054956 , 0.050374 , 0.039323 , 0.080165 , 0.087491 , 0.062417 , 0.048856 , 0.063214 , 0.031651 , 0.030978 , 0.030854 , 0.022921 , 0.040077 , 0.05077 , 0.066744 , 0.037962 , 0.048146 , 0.043493 , 0.043645 , 0.038201 , 0.041221 , 0.035387 , 0.026033 , 0.044908 , 0.043195 , 0.044523 , 0.039448 , 0.028961 
 513 , 0.076203 , 0.063926 , 0.055548 , 0.050829 , 0.039752 , 0.080731 , 0.088094 , 0.063025 , 0.049607 , 0.063975 , 0.032482 , 0.031683 , 0.031656 , 0.023501 , 0.040708 , 0.051149 , 0.067189 , 0.038253 , 0.048494 , 0.043873 , 0.044145 , 0.038487 , 0.041479 , 0.03575 , 0.026297 , 0.045611 , 0.043727 , 0.04503 , 0.039931 , 0.029446 
 514 , 0.07675 , 0.064444 , 0.056086 , 0.051361 , 0.040213 , 0.081275 , 0.088725 , 0.063634 , 0.050469 , 0.06489 , 0.033459 , 0.032535 , 0.032519 , 0.024161 , 0.041393 , 0.051464 , 0.067664 , 0.038544 , 0.048794 , 0.044215 , 0.044689 , 0.038788 , 0.041725 , 0.036173 , 0.026564 , 0.046374 , 0.044286 , 0.045591 , 0.040436 , 0.029995 
 515 , 0.077296 , 0.064966 , 0.056612 , 0.051912 , 0.040677 , 0.081811 , 0.089365 , 0.064247 , 0.051351 , 0.065854 , 0.034468 , 0.033428 , 0.033395 , 0.02484 , 0.042098 , 0.05177 , 0.068152 , 0.038825 , 0.049085 , 0.044549 , 0.045235 , 0.039097 , 0.041978 , 0.036603 , 0.026833 , 0.047158 , 0.044854 , 0.046161 , 0.040949 , 0.030558 
 516 , 0.077849 , 0.065489 , 0.057139 , 0.052459 , 0.041141 , 0.082348 , 0.090001 , 0.064862 , 0.052235 , 0.066815 , 0.035474 , 0.034318 , 0.034275 , 0.02552 , 0.0428 , 0.052077 , 0.068636 , 0.039112 , 0.049377 , 0.044883 , 0.045788 , 0.039402 , 0.042227 , 0.037034 , 0.027097 , 0.047937 , 0.045418 , 0.046732 , 0.041458 , 0.031122 
 517 , 0.078604 , 0.066187 , 0.057817 , 0.053126 , 0.041732 , 0.083076 , 0.09084 , 0.065635 , 0.053301 , 0.067959 , 0.036691 , 0.035395 , 0.035281 , 0.026298 , 0.043695 , 0.052546 , 0.069298 , 0.039469 , 0.049824 , 0.045357 , 0.046478 , 0.039802 , 0.042574 , 0.03755 , 0.027441 , 0.048916 , 0.046144 , 0.047413 , 0.04212 , 0.031787 
 518 , 0.079612 , 0.067094 , 0.058676 , 0.053927 , 0.042472 , 0.084041 , 0.09192 , 0.066615 , 0.054582 , 0.069333 , 0.03818 , 0.036711 , 0.036441 , 0.027192 , 0.044821 , 0.053217 , 0.070181 , 0.039919 , 0.050455 , 0.045988 , 0.047347 , 0.040315 , 0.043038 , 0.038169 , 0.027874 , 0.050136 , 0.047066 , 0.048221 , 0.042961 , 0.032573 
 519 , 0.080626 , 0.068001 , 0.059535 , 0.054723 , 0.043211 , 0.085005 , 0.093007 , 0.067591 , 0.055864 , 0.070703 , 0.039662 , 0.038018 , 0.037602 , 0.028084 , 0.045947 , 0.053887 , 0.071063 , 0.040365 , 0.051091 , 0.046622 , 0.048206 , 0.040831 , 0.043505 , 0.038787 , 0.028306 , 0.051351 , 0.04799 , 0.049031 , 0.043798 , 0.033361 
 520 , 0.081669 , 0.068937 , 0.060434 , 0.055548 , 0.043963 , 0.086004 , 0.094134 , 0.068603 , 0.057186 , 0.072113 , 0.041161 , 0.039339 , 0.038793 , 0.028997 , 0.047084 , 0.054573 , 0.071974 , 0.040832 , 0.051736 , 0.047279 , 0.049095 , 0.041361 , 0.043997 , 0.039422 , 0.028757 , 0.052594 , 0.048934 , 0.049859 , 0.044654 , 0.034162 
 521 , 0.082999 , 0.070195 , 0.061684 , 0.05657 , 0.044835 , 0.087274 , 0.095645 , 0.069931 , 0.058837 , 0.073902 , 0.042788 , 0.040723 , 0.040262 , 0.030085 , 0.048318 , 0.055372 , 0.073182 , 0.041494 , 0.052509 , 0.048138 , 0.050197 , 0.042068 , 0.044695 , 0.0402 , 0.029388 , 0.054078 , 0.050073 , 0.050866 , 0.045623 , 0.03512 
 522 , 0.084331 , 0.071448 , 0.062936 , 0.0576 , 0.0457 , 0.088548 , 0.097162 , 0.071261 , 0.060481 , 0.075693 , 0.044416 , 0.042109 , 0.041728 , 0.031175 , 0.049547 , 0.056173 , 0.074392 , 0.042154 , 0.053281 , 0.04899 , 0.051298 , 0.042774 , 0.045393 , 0.040984 , 0.030022 , 0.05556 , 0.051207 , 0.051877 , 0.046592 , 0.036074 
 523 , 0.085662 , 0.072707 , 0.064183 , 0.058627 , 0.046567 , 0.089823 , 0.09868 , 0.072586 , 0.062128 , 0.077477 , 0.046045 , 0.043491 , 0.043198 , 0.032264 , 0.050786 , 0.056974 , 0.0756 , 0.042819 , 0.054058 , 0.049845 , 0.052399 , 0.043479 , 0.046091 , 0.041769 , 0.030651 , 0.057037 , 0.052347 , 0.052887 , 0.04756 , 0.037028 
 524 , 0.086955 , 0.074008 , 0.065409 , 0.059756 , 0.047557 , 0.091124 , 0.100169 , 0.073857 , 0.063768 , 0.079267 , 0.047817 , 0.044982 , 0.044675 , 0.033397 , 0.052131 , 0.057866 , 0.076832 , 0.043515 , 0.054897 , 0.050717 , 0.053534 , 0.044205 , 0.04682 , 0.042651 , 0.031264 , 0.058567 , 0.053523 , 0.053923 , 0.048629 , 0.038024 
 525 , 0.088236 , 0.07533 , 0.066631 , 0.060919 , 0.048593 , 0.09243 , 0.101651 , 0.075113 , 0.065412 , 0.081048 , 0.049636 , 0.046514 , 0.046145 , 0.034551 , 0.053514 , 0.058798 , 0.078077 , 0.044223 , 0.055764 , 0.051593 , 0.054686 , 0.044944 , 0.047562 , 0.043579 , 0.031868 , 0.060116 , 0.054715 , 0.054967 , 0.049724 , 0.039039 
 526 , 0.089512 , 0.076652 , 0.067851 , 0.062081 , 0.049623 , 0.093737 , 0.103135 , 0.076367 , 0.067052 , 0.082824 , 0.051458 , 0.048043 , 0.047617 , 0.03571 , 0.054902 , 0.059732 , 0.079327 , 0.04493 , 0.056631 , 0.05247 , 0.055832 , 0.045682 , 0.048304 , 0.044504 , 0.032467 , 0.061661 , 0.055909 , 0.056003 , 0.050825 , 0.040054 
 527 , 0.090825 , 0.077948 , 0.069089 , 0.06323 , 0.050634 , 0.095075 , 0.10464 , 0.077703 , 0.068718 , 0.08465 , 0.053187 , 0.049552 , 0.049074 , 0.036873 , 0.056272 , 0.060654 , 0.080543 , 0.045631 , 0.057485 , 0.053354 , 0.056971 , 0.046402 , 0.049008 , 0.04538 , 0.033083 , 0.063182 , 0.057085 , 0.057049 , 0.051878 , 0.041046 
 528 , 0.0922 , 0.07921 , 0.070354 , 0.064366 , 0.051617 , 0.096456 , 0.106192 , 0.079173 , 0.070402 , 0.08655 , 0.05478 , 0.05102 , 0.050507 , 0.038041 , 0.057629 , 0.061565 , 0.081721 , 0.046323 , 0.058336 , 0.054255 , 0.0581 , 0.047102 , 0.049661 , 0.046191 , 0.033719 , 0.064668 , 0.058233 , 0.058088 , 0.052873 , 0.042001 
 529 , 0.093585 , 0.080475 , 0.071619 , 0.065506 , 0.052604 , 0.097845 , 0.107743 , 0.080633 , 0.072088 , 0.088453 , 0.05637 , 0.052482 , 0.051945 , 0.039207 , 0.058985 , 0.062477 , 0.0829 , 0.047021 , 0.05918 , 0.055157 , 0.059229 , 0.047801 , 0.050318 , 0.046996 , 0.03435 , 0.066146 , 0.059381 , 0.059137 , 0.053871 , 0.042962 
 530 , 0.094953 , 0.081737 , 0.072876 , 0.066643 , 0.053581 , 0.099217 , 0.109284 , 0.082087 , 0.073769 , 0.090345 , 0.057955 , 0.053937 , 0.053371 , 0.04037 , 0.060343 , 0.063382 , 0.084075 , 0.047711 , 0.060023 , 0.056054 , 0.060349 , 0.048504 , 0.050972 , 0.047803 , 0.03498 , 0.067628 , 0.060521 , 0.060177 , 0.054867 , 0.043914 
 531 , 0.096121 , 0.082877 , 0.073971 , 0.06769 , 0.054384 , 0.10039 , 0.110705 , 0.083249 , 0.07533 , 0.092074 , 0.059424 , 0.055172 , 0.054614 , 0.041364 , 0.061571 , 0.064134 , 0.085229 , 0.048333 , 0.060764 , 0.056836 , 0.061335 , 0.049159 , 0.051585 , 0.04852 , 0.035543 , 0.068994 , 0.061552 , 0.06113 , 0.055787 , 0.04479 
 532 , 0.097288 , 0.084022 , 0.075061 , 0.068728 , 0.055193 , 0.101562 , 0.112125 , 0.084416 , 0.076894 , 0.093796 , 0.060887 , 0.056407 , 0.055862 , 0.042364 , 0.062796 , 0.064886 , 0.086381 , 0.04896 , 0.0615 , 0.057621 , 0.062326 , 0.049811 , 0.052195 , 0.049235 , 0.036101 , 0.070361 , 0.062589 , 0.062089 , 0.056707 , 0.045669 
 533 , 0.098461 , 0.085162 , 0.076152 , 0.069774 , 0.055994 , 0.102733 , 0.113547 , 0.085578 , 0.078455 , 0.095521 , 0.06236 , 0.057641 , 0.057105 , 0.043363 , 0.064026 , 0.065635 , 0.087534 , 0.049584 , 0.06224 , 0.058398 , 0.063313 , 0.050467 , 0.052808 , 0.04995 , 0.036663 , 0.071729 , 0.063622 , 0.063042 , 0.057635 , 0.046543 
 534 , 0.099484 , 0.086133 , 0.077059 , 0.070616 , 0.056744 , 0.103741 , 0.114702 , 0.086578 , 0.07976 , 0.096948 , 0.063582 , 0.058714 , 0.058123 , 0.044188 , 0.065062 , 0.066301 , 0.088491 , 0.05011 , 0.062857 , 0.059057 , 0.064147 , 0.051019 , 0.053313 , 0.0506 , 0.03716 , 0.072846 , 0.064522 , 0.063823 , 0.058435 , 0.047283 
 535 , 0.100442 , 0.087032 , 0.077876 , 0.071378 , 0.05747 , 0.104672 , 0.115731 , 0.087492 , 0.080943 , 0.098244 , 0.064702 , 0.059718 , 0.059035 , 0.044928 , 0.066012 , 0.066932 , 0.089364 , 0.050589 , 0.063424 , 0.059655 , 0.064913 , 0.051521 , 0.05377 , 0.051227 , 0.037619 , 0.073851 , 0.06536 , 0.064529 , 0.059182 , 0.047969 
 536 , 0.101399 , 0.087929 , 0.078698 , 0.072139 , 0.058193 , 0.105601 , 0.116759 , 0.088411 , 0.082122 , 0.099537 , 0.065825 , 0.060718 , 0.059947 , 0.045673 , 0.066962 , 0.067559 , 0.090235 , 0.051063 , 0.063994 , 0.060255 , 0.065677 , 0.052026 , 0.05423 , 0.051853 , 0.038087 , 0.074863 , 0.066197 , 0.065234 , 0.059934 , 0.048647 
 537 , 0.102296 , 0.088766 , 0.079486 , 0.072867 , 0.058866 , 0.106455 , 0.117737 , 0.089302 , 0.083264 , 0.100779 , 0.066874 , 0.061617 , 0.060835 , 0.046395 , 0.067855 , 0.068146 , 0.09104 , 0.05151 , 0.064529 , 0.060829 , 0.066415 , 0.052491 , 0.054648 , 0.05242 , 0.03849 , 0.075805 , 0.066977 , 0.065898 , 0.060635 , 0.049295 
 538 , 0.103076 , 0.089493 , 0.080192 , 0.073517 , 0.059422 , 0.107162 , 0.118624 , 0.090149 , 0.084324 , 0.101908 , 0.067777 , 0.062328 , 0.061686 , 0.047079 , 0.06864 , 0.068627 , 0.091718 , 0.051917 , 0.065001 , 0.061355 , 0.067096 , 0.052877 , 0.054992 , 0.052864 , 0.038795 , 0.076624 , 0.067647 , 0.06648 , 0.061219 , 0.049874 
 539 , 0.103865 , 0.090223 , 0.0809 , 0.074171 , 0.059982 , 0.107872 , 0.119514 , 0.090992 , 0.085383 , 0.103044 , 0.068679 , 0.063037 , 0.062535 , 0.047766 , 0.069421 , 0.069109 , 0.092399 , 0.05232 , 0.065473 , 0.061877 , 0.067786 , 0.053258 , 0.05533 , 0.05331 , 0.039095 , 0.077448 , 0.06832 , 0.067057 , 0.061806 , 0.05045 
 540 , 0.104651 , 0.090949 , 0.081606 , 0.07482 , 0.060543 , 0.108583 , 0.120406 , 0.091833 , 0.086441 , 0.104179 , 0.069579 , 0.063743 , 0.06339 , 0.048445 , 0.070208 , 0.069593 , 0.093076 , 0.052724 , 0.065941 , 0.062402 , 0.068474 , 0.053647 , 0.055675 , 0.053752 , 0.039403 , 0.078269 , 0.068991 , 0.067643 , 0.062389 , 0.05103 
 541 , 0.105344 , 0.091723 , 0.082349 , 0.075493 , 0.061142 , 0.109361 , 0.121384 , 0.092598 , 0.087372 , 0.105246 , 0.070411 , 0.064469 , 0.064087 , 0.049014 , 0.07101 , 0.070162 , 0.093801 , 0.053103 , 0.066408 , 0.062911 , 0.069103 , 0.054056 , 0.056107 , 0.054253 , 0.039751 , 0.079043 , 0.069609 , 0.068229 , 0.062963 , 0.051518 
 542 , 0.106032 , 0.092498 , 0.083093 , 0.07617 , 0.061751 , 0.110127 , 0.12236 , 0.093357 , 0.088298 , 0.106303 , 0.071243 , 0.065199 , 0.06479 , 0.049585 , 0.071811 , 0.070728 , 0.094513 , 0.053488 , 0.066877 , 0.063416 , 0.06973 , 0.054473 , 0.05654 , 0.05475 , 0.0401 , 0.079817 , 0.070232 , 0.068819 , 0.063541 , 0.051996 
 543 , 0.106722 , 0.09327 , 0.083839 , 0.076844 , 0.06235 , 0.110903 , 0.12334 , 0.094119 , 0.089228 , 0.107366 , 0.072073 , 0.065927 , 0.065489 , 0.050146 , 0.072617 , 0.071296 , 0.095234 , 0.053869 , 0.067341 , 0.063923 , 0.07036 , 0.054884 , 0.056968 , 0.055256 , 0.04045 , 0.080594 , 0.070852 , 0.069411 , 0.064115 , 0.052475 
 544 , 0.107497 , 0.094047 , 0.084571 , 0.077542 , 0.062951 , 0.111739 , 0.124335 , 0.094934 , 0.090206 , 0.108498 , 0.072854 , 0.066632 , 0.066119 , 0.050741 , 0.073414 , 0.071874 , 0.095974 , 0.054282 , 0.067846 , 0.064438 , 0.070994 , 0.055296 , 0.057396 , 0.055729 , 0.040805 , 0.08139 , 0.071514 , 0.07002 , 0.064738 , 0.052988 
 545 , 0.108337 , 0.094824 , 0.085292 , 0.078241 , 0.063562 , 0.11262 , 0.125341 , 0.095769 , 0.091218 , 0.109684 , 0.073603 , 0.067316 , 0.066706 , 0.051343 , 0.074206 , 0.072457 , 0.096727 , 0.054708 , 0.068368 , 0.06497 , 0.071646 , 0.055707 , 0.057811 , 0.056196 , 0.041155 , 0.082203 , 0.072195 , 0.070634 , 0.065385 , 0.053521 
 546 , 0.109172 , 0.095604 , 0.086017 , 0.07895 , 0.06417 , 0.113504 , 0.126345 , 0.096608 , 0.092229 , 0.110863 , 0.074356 , 0.068003 , 0.067295 , 0.051942 , 0.075003 , 0.073035 , 0.097477 , 0.055142 , 0.068892 , 0.065497 , 0.072288 , 0.056119 , 0.058234 , 0.056658 , 0.041513 , 0.083013 , 0.07288 , 0.071243 , 0.066036 , 0.054057 
 547 , 0.109954 , 0.096343 , 0.086714 , 0.079604 , 0.064707 , 0.114308 , 0.127309 , 0.097372 , 0.093188 , 0.111958 , 0.075047 , 0.068628 , 0.067876 , 0.052492 , 0.075731 , 0.073557 , 0.098198 , 0.055552 , 0.069393 , 0.066001 , 0.072901 , 0.056514 , 0.058627 , 0.057103 , 0.041834 , 0.083769 , 0.073503 , 0.07181 , 0.06663 , 0.05455 
 548 , 0.110584 , 0.096948 , 0.087311 , 0.080129 , 0.065024 , 0.114903 , 0.128138 , 0.097996 , 0.093997 , 0.112822 , 0.075573 , 0.069112 , 0.068432 , 0.052891 , 0.07628 , 0.073934 , 0.098825 , 0.055911 , 0.06984 , 0.066425 , 0.073424 , 0.05685 , 0.058965 , 0.057482 , 0.042071 , 0.084387 , 0.073975 , 0.072274 , 0.067072 , 0.054918 
 549 , 0.111207 , 0.097553 , 0.087909 , 0.080648 , 0.065347 , 0.115504 , 0.128974 , 0.098612 , 0.094807 , 0.113687 , 0.076106 , 0.069596 , 0.068988 , 0.053298 , 0.07683 , 0.074302 , 0.099452 , 0.05627 , 0.070279 , 0.066843 , 0.073954 , 0.057178 , 0.059296 , 0.057868 , 0.042308 , 0.085012 , 0.074446 , 0.072745 , 0.067513 , 0.055293 
 550 , 0.111838 , 0.09816 , 0.088508 , 0.081174 , 0.065664 , 0.116105 , 0.129805 , 0.09923 , 0.095615 , 0.114548 , 0.076633 , 0.070082 , 0.069547 , 0.0537 , 0.077381 , 0.074678 , 0.10008 , 0.056629 , 0.070727 , 0.067269 , 0.074479 , 0.057514 , 0.059634 , 0.058248 , 0.042553 , 0.085633 , 0.074911 , 0.07321 , 0.067948 , 0.055662 
 551 , 0.11225 , 0.098566 , 0.08881 , 0.081497 , 0.065963 , 0.116515 , 0.130261 , 0.099577 , 0.096006 , 0.114981 , 0.076915 , 0.070318 , 0.069712 , 0.053854 , 0.077713 , 0.074927 , 0.100444 , 0.056799 , 0.070923 , 0.067504 , 0.074721 , 0.057659 , 0.059771 , 0.05845 , 0.042702 , 0.085941 , 0.075209 , 0.073469 , 0.068261 , 0.05585 
 552 , 0.112648 , 0.098964 , 0.089099 , 0.081806 , 0.066261 , 0.116915 , 0.130688 , 0.099895 , 0.096365 , 0.115391 , 0.077187 , 0.070528 , 0.069853 , 0.053997 , 0.078035 , 0.075167 , 0.100777 , 0.056948 , 0.071107 , 0.067722 , 0.07494 , 0.057789 , 0.059891 , 0.058637 , 0.042837 , 0.086225 , 0.075491 , 0.073713 , 0.06857 , 0.056024 
 553 , 0.11304 , 0.099363 , 0.089382 , 0.082116 , 0.06656 , 0.117323 , 0.131124 , 0.100213 , 0.096725 , 0.115803 , 0.077453 , 0.070746 , 0.069986 , 0.054134 , 0.078358 , 0.075408 , 0.101118 , 0.057097 , 0.071292 , 0.067942 , 0.07516 , 0.057919 , 0.060005 , 0.058831 , 0.042978 , 0.086509 , 0.075781 , 0.073958 , 0.068881 , 0.056199 
 554 , 0.113198 , 0.099529 , 0.089554 , 0.082242 , 0.066678 , 0.117535 , 0.131398 , 0.10038 , 0.096886 , 0.115979 , 0.07742 , 0.070731 , 0.070012 , 0.054171 , 0.078465 , 0.075532 , 0.101244 , 0.05718 , 0.071388 , 0.068027 , 0.075241 , 0.057962 , 0.060051 , 0.058882 , 0.04302 , 0.0866 , 0.075919 , 0.074065 , 0.069043 , 0.056267 
 555 , 0.113179 , 0.09952 , 0.089631 , 0.082237 , 0.066663 , 0.117606 , 0.131562 , 0.100426 , 0.096892 , 0.115966 , 0.077182 , 0.070536 , 0.069962 , 0.054131 , 0.07842 , 0.075577 , 0.101222 , 0.057209 , 0.071428 , 0.068011 , 0.075232 , 0.057935 , 0.060037 , 0.058848 , 0.043003 , 0.086553 , 0.075958 , 0.074077 , 0.069104 , 0.056247 
 556 , 0.113168 , 0.099512 , 0.089708 , 0.08224 , 0.066648 , 0.117676 , 0.131726 , 0.10048 , 0.096899 , 0.115955 , 0.076937 , 0.070347 , 0.069912 , 0.054098 , 0.078375 , 0.075623 , 0.101199 , 0.057244 , 0.071467 , 0.067996 , 0.075229 , 0.057908 , 0.060024 , 0.058807 , 0.042987 , 0.086506 , 0.075989 , 0.074088 , 0.069165 , 0.056235 
 557 , 0.113119 , 0.099495 , 0.089734 , 0.08222 , 0.066611 , 0.117709 , 0.131846 , 0.100476 , 0.096833 , 0.115885 , 0.076641 , 0.070129 , 0.069784 , 0.054009 , 0.078314 , 0.075646 , 0.101174 , 0.057258 , 0.071477 , 0.067959 , 0.075183 , 0.057866 , 0.059995 , 0.058744 , 0.042949 , 0.086402 , 0.075984 , 0.074083 , 0.069182 , 0.056186 
 558 , 0.112975 , 0.099449 , 0.08958 , 0.082154 , 0.066495 , 0.117627 , 0.131857 , 0.100318 , 0.096522 , 0.115618 , 0.076177 , 0.0698 , 0.069386 , 0.053741 , 0.078192 , 0.075597 , 0.101126 , 0.057192 , 0.071408 , 0.067854 , 0.075018 , 0.057764 , 0.059938 , 0.058593 , 0.042851 , 0.086094 , 0.075853 , 0.074017 , 0.069069 , 0.056018 
 559 , 0.112828 , 0.099401 , 0.089433 , 0.082096 , 0.066382 , 0.11754 , 0.131862 , 0.100152 , 0.096218 , 0.115356 , 0.075717 , 0.069482 , 0.068986 , 0.053472 , 0.078073 , 0.075552 , 0.101082 , 0.05713 , 0.071342 , 0.067746 , 0.074856 , 0.057661 , 0.059879 , 0.058446 , 0.042746 , 0.085782 , 0.075717 , 0.07396 , 0.068959 , 0.055856 
 560 , 0.11268 , 0.099353 , 0.089279 , 0.082031 , 0.066263 , 0.117453 , 0.131866 , 0.099993 , 0.095915 , 0.115087 , 0.075258 , 0.069158 , 0.068581 , 0.053204 , 0.077947 , 0.075505 , 0.101038 , 0.057062 , 0.071269 , 0.067645 , 0.074694 , 0.057557 , 0.059827 , 0.0583 , 0.042649 , 0.085476 , 0.075581 , 0.073896 , 0.068849 , 0.055694 
 561 , 0.11257 , 0.099184 , 0.089098 , 0.081825 , 0.066052 , 0.117366 , 0.131877 , 0.099802 , 0.095548 , 0.11469 , 0.074608 , 0.068755 , 0.068124 , 0.052782 , 0.077661 , 0.075438 , 0.100947 , 0.057002 , 0.071191 , 0.067534 , 0.074491 , 0.057441 , 0.059733 , 0.058155 , 0.042559 , 0.085112 , 0.07539 , 0.073771 , 0.068714 , 0.055458 
 562 , 0.112471 , 0.099012 , 0.088905 , 0.081604 , 0.065825 , 0.117274 , 0.131897 , 0.0996 , 0.095173 , 0.11427 , 0.073941 , 0.06835 , 0.067666 , 0.052339 , 0.077355 , 0.075371 , 0.100845 , 0.056944 , 0.071108 , 0.067413 , 0.074296 , 0.057327 , 0.05964 , 0.058004 , 0.042465 , 0.084738 , 0.0752 , 0.073646 , 0.068583 , 0.055206 
 563 , 0.11237 , 0.098838 , 0.088712 , 0.081383 , 0.065592 , 0.117188 , 0.131914 , 0.099405 , 0.094792 , 0.113851 , 0.073269 , 0.067939 , 0.067202 , 0.051896 , 0.077043 , 0.075309 , 0.100742 , 0.056891 , 0.071024 , 0.067298 , 0.074095 , 0.057212 , 0.059546 , 0.057854 , 0.042377 , 0.084358 , 0.075002 , 0.073515 , 0.068444 , 0.05496 
