  time  ,47:18 PM,47:30 PM,47:41 PM,47:49 PM,47:58 PM,06:54 PM,07:14 PM,07:31 PM,07:43 PM,07:53 PM,09:57 PM,10:12 PM,10:21 PM,10:30 PM,10:42 PM,10:50 PM,10:56 PM,11:04 PM,11:15 PM,11:21 PM,12:38 PM,12:52 PM,13:04 PM,13:28 PM,13:36 PM,15:27 PM,15:37 PM,15:47 PM,15:59 PM,16:07 PM,17:00 PM,17:13 PM,17:30 PM,17:39 PM,17:54 PM,19:28 PM,19:36 PM,19:43 PM,19:49 PM,19:56 PM,20:09 PM,20:16 PM,20:22 PM,20:30 PM,20:41 PM,21:54 PM,22:03 PM,22:11 PM,22:22 PM,22:35 PM,23:09 PM,23:22 PM,23:30 PM,23:39 PM,23:52 PM,24:33 PM,24:54 PM,25:04 PM,25:13 PM,25:22 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 391 , 0.023662 , 0.02847 , 0.026474 , 0.020638 , 0.018176 , 0.009321 , 0.01213 , 0.015041 , 0.012366 , 0.011806 , 0.045865 , 0.023418 , 0.032737 , 0.017671 , 0.019153 , 0.017104 , 0.016458 , 0.013392 , 0.019838 , 0.015952 , 0.014664 , 0.017317 , 0.013804 , 0.018227 , 0.018903 , 0.022731 , 0.014621 , 0.010123 , 0.016719 , 0.015954 , 0.020307 , 0.017551 , 0.01547 , 0.013655 , 0.018962 , 0.032296 , 0.034899 , 0.02139 , 0.039463 , 0.017092 , 0.017258 , 0.014516 , 0.012214 , 0.01388 , 0.009043 , 0.013238 , 0.021268 , 0.017812 , 0.016508 , 0.020459 , 0.010755 , 0.021405 , 0.023961 , 0.019311 , 0.017073 , 0.023148 , 0.015538 , 0.018366 , 0.015891 , 0.016492 
 392 , 0.023991 , 0.028765 , 0.026646 , 0.020969 , 0.018525 , 0.009688 , 0.012405 , 0.015352 , 0.012728 , 0.012142 , 0.046371 , 0.023979 , 0.033207 , 0.018082 , 0.019452 , 0.017551 , 0.016408 , 0.013929 , 0.020284 , 0.016568 , 0.014864 , 0.017684 , 0.014165 , 0.018811 , 0.01937 , 0.0231 , 0.015042 , 0.010305 , 0.017063 , 0.016419 , 0.020605 , 0.018103 , 0.015876 , 0.01397 , 0.019249 , 0.032616 , 0.035161 , 0.021675 , 0.03978 , 0.017297 , 0.017505 , 0.014912 , 0.012394 , 0.014298 , 0.009418 , 0.013452 , 0.021601 , 0.018098 , 0.016827 , 0.020818 , 0.010932 , 0.021682 , 0.024307 , 0.019695 , 0.017386 , 0.023494 , 0.015895 , 0.018871 , 0.016176 , 0.016985 
 393 , 0.024135 , 0.02888 , 0.027133 , 0.021367 , 0.019009 , 0.010045 , 0.012873 , 0.015811 , 0.013035 , 0.01242 , 0.046757 , 0.024461 , 0.03357 , 0.018566 , 0.019898 , 0.018051 , 0.016801 , 0.014207 , 0.020702 , 0.016791 , 0.015146 , 0.017899 , 0.014372 , 0.019039 , 0.01949 , 0.023695 , 0.015509 , 0.010697 , 0.017551 , 0.016779 , 0.021116 , 0.018529 , 0.016326 , 0.014419 , 0.019694 , 0.033018 , 0.035719 , 0.022141 , 0.040205 , 0.017755 , 0.01782 , 0.015248 , 0.012783 , 0.014618 , 0.009652 , 0.013866 , 0.021937 , 0.018477 , 0.01723 , 0.02124 , 0.011225 , 0.022116 , 0.024805 , 0.020262 , 0.017795 , 0.023834 , 0.016219 , 0.019191 , 0.016644 , 0.017337 
 394 , 0.024239 , 0.028953 , 0.027631 , 0.021745 , 0.019482 , 0.010372 , 0.013338 , 0.016261 , 0.013306 , 0.012668 , 0.047091 , 0.024893 , 0.033887 , 0.019026 , 0.020332 , 0.018522 , 0.017234 , 0.014424 , 0.021082 , 0.016937 , 0.015422 , 0.018074 , 0.014537 , 0.019192 , 0.019541 , 0.024282 , 0.01595 , 0.011094 , 0.018025 , 0.017092 , 0.021619 , 0.018905 , 0.016749 , 0.014859 , 0.02013 , 0.033399 , 0.036276 , 0.022597 , 0.04061 , 0.018221 , 0.018119 , 0.015545 , 0.013177 , 0.014899 , 0.009841 , 0.014279 , 0.022244 , 0.018838 , 0.017615 , 0.02164 , 0.011512 , 0.022544 , 0.02529 , 0.020814 , 0.018189 , 0.024147 , 0.01651 , 0.019455 , 0.017108 , 0.017637 
 395 , 0.024336 , 0.029018 , 0.028087 , 0.022093 , 0.019914 , 0.01067 , 0.013763 , 0.01667 , 0.013555 , 0.012894 , 0.047387 , 0.025288 , 0.034169 , 0.019443 , 0.020726 , 0.018951 , 0.017631 , 0.014621 , 0.021429 , 0.017067 , 0.015673 , 0.018231 , 0.014684 , 0.019328 , 0.01958 , 0.024817 , 0.016353 , 0.011456 , 0.018457 , 0.017379 , 0.022078 , 0.019246 , 0.017136 , 0.015258 , 0.020526 , 0.033741 , 0.036782 , 0.023016 , 0.040969 , 0.018648 , 0.018391 , 0.015816 , 0.013535 , 0.015152 , 0.010016 , 0.014658 , 0.022521 , 0.019168 , 0.017965 , 0.022001 , 0.011774 , 0.02293 , 0.025731 , 0.021318 , 0.018545 , 0.024428 , 0.016773 , 0.019694 , 0.017531 , 0.017908 
 396 , 0.024639 , 0.029386 , 0.028576 , 0.022379 , 0.020335 , 0.011113 , 0.014178 , 0.017147 , 0.014015 , 0.013271 , 0.047859 , 0.025752 , 0.034552 , 0.019871 , 0.021107 , 0.01941 , 0.018114 , 0.014835 , 0.021809 , 0.017367 , 0.016167 , 0.018705 , 0.014986 , 0.019651 , 0.019916 , 0.025384 , 0.016794 , 0.011926 , 0.019 , 0.017795 , 0.022632 , 0.019684 , 0.017731 , 0.01582 , 0.021086 , 0.034218 , 0.037289 , 0.023503 , 0.041451 , 0.019073 , 0.018801 , 0.016179 , 0.013937 , 0.015537 , 0.01035 , 0.014983 , 0.022982 , 0.019618 , 0.018349 , 0.022496 , 0.012168 , 0.023404 , 0.026351 , 0.021876 , 0.0191 , 0.024959 , 0.017213 , 0.020049 , 0.018054 , 0.018416 
 397 , 0.025116 , 0.030015 , 0.029065 , 0.022597 , 0.020729 , 0.011666 , 0.014567 , 0.01766 , 0.014643 , 0.013769 , 0.048474 , 0.026259 , 0.035008 , 0.02029 , 0.021455 , 0.019876 , 0.018658 , 0.015053 , 0.022206 , 0.017809 , 0.016865 , 0.019453 , 0.01541 , 0.020129 , 0.020508 , 0.025956 , 0.01725 , 0.012474 , 0.019617 , 0.018304 , 0.023241 , 0.020192 , 0.018494 , 0.016508 , 0.02177 , 0.034803 , 0.037777 , 0.02403 , 0.042025 , 0.019475 , 0.019321 , 0.016609 , 0.014356 , 0.016022 , 0.010814 , 0.015249 , 0.023588 , 0.020157 , 0.018746 , 0.023093 , 0.012661 , 0.023936 , 0.027111 , 0.022452 , 0.01981 , 0.025697 , 0.017803 , 0.020495 , 0.018648 , 0.019119 
 398 , 0.025527 , 0.030558 , 0.029489 , 0.022785 , 0.021067 , 0.012145 , 0.0149 , 0.018108 , 0.015189 , 0.014202 , 0.049004 , 0.026695 , 0.0354 , 0.02065 , 0.021752 , 0.020279 , 0.019128 , 0.015242 , 0.022549 , 0.01819 , 0.017472 , 0.020102 , 0.015779 , 0.020542 , 0.021017 , 0.026446 , 0.017646 , 0.012949 , 0.020151 , 0.018748 , 0.023769 , 0.02063 , 0.019154 , 0.017104 , 0.022362 , 0.035308 , 0.038194 , 0.024484 , 0.042517 , 0.019823 , 0.019768 , 0.016983 , 0.01472 , 0.016442 , 0.011217 , 0.015478 , 0.024114 , 0.020624 , 0.019089 , 0.023608 , 0.013087 , 0.024396 , 0.027767 , 0.022949 , 0.020424 , 0.026334 , 0.018311 , 0.02088 , 0.019164 , 0.019728 
 399 , 0.025899 , 0.031041 , 0.029872 , 0.022987 , 0.021391 , 0.012586 , 0.015244 , 0.018516 , 0.015678 , 0.014594 , 0.049479 , 0.027108 , 0.035792 , 0.020999 , 0.022055 , 0.02064 , 0.019546 , 0.015454 , 0.022888 , 0.01855 , 0.017984 , 0.020673 , 0.016145 , 0.020934 , 0.021483 , 0.026902 , 0.018032 , 0.013375 , 0.020646 , 0.019163 , 0.024226 , 0.021032 , 0.019739 , 0.017635 , 0.022895 , 0.035806 , 0.03859 , 0.024887 , 0.042959 , 0.020148 , 0.020182 , 0.017331 , 0.015051 , 0.016826 , 0.01158 , 0.015715 , 0.024562 , 0.021036 , 0.019434 , 0.024074 , 0.013486 , 0.024816 , 0.028365 , 0.02341 , 0.020975 , 0.026892 , 0.018773 , 0.021256 , 0.01962 , 0.02027 
 400 , 0.026319 , 0.031537 , 0.0303 , 0.02345 , 0.021886 , 0.013132 , 0.015951 , 0.019049 , 0.016229 , 0.015054 , 0.050026 , 0.027741 , 0.036544 , 0.021559 , 0.022651 , 0.021038 , 0.01997 , 0.016017 , 0.023516 , 0.019098 , 0.01835 , 0.021225 , 0.016834 , 0.021566 , 0.022039 , 0.027515 , 0.018698 , 0.01382 , 0.021295 , 0.019755 , 0.024605 , 0.021545 , 0.020346 , 0.01818 , 0.023523 , 0.036731 , 0.039217 , 0.025279 , 0.043466 , 0.020593 , 0.020735 , 0.017818 , 0.015482 , 0.017317 , 0.012002 , 0.016222 , 0.024907 , 0.021448 , 0.02012 , 0.024619 , 0.014049 , 0.025335 , 0.0291 , 0.024021 , 0.021559 , 0.027393 , 0.01932 , 0.021938 , 0.020088 , 0.020853 
 401 , 0.026689 , 0.031973 , 0.030679 , 0.023862 , 0.022322 , 0.013613 , 0.016579 , 0.01952 , 0.016714 , 0.015462 , 0.050511 , 0.028296 , 0.037208 , 0.022055 , 0.023175 , 0.02139 , 0.020348 , 0.016511 , 0.024071 , 0.019584 , 0.01867 , 0.021717 , 0.017443 , 0.022126 , 0.022532 , 0.028054 , 0.019285 , 0.014214 , 0.021867 , 0.020277 , 0.024939 , 0.022002 , 0.020885 , 0.018659 , 0.024079 , 0.037549 , 0.039768 , 0.025625 , 0.043911 , 0.020985 , 0.021223 , 0.01825 , 0.01586 , 0.017749 , 0.012375 , 0.016668 , 0.025209 , 0.021813 , 0.020729 , 0.025103 , 0.014545 , 0.025796 , 0.029751 , 0.024559 , 0.022076 , 0.027834 , 0.019804 , 0.022542 , 0.020505 , 0.021369 
 402 , 0.027016 , 0.032362 , 0.031013 , 0.024227 , 0.022711 , 0.014043 , 0.017137 , 0.019937 , 0.017148 , 0.015824 , 0.050939 , 0.028794 , 0.037799 , 0.022497 , 0.023643 , 0.021703 , 0.020684 , 0.016956 , 0.024565 , 0.020017 , 0.018958 , 0.022156 , 0.017986 , 0.022624 , 0.022969 , 0.028536 , 0.01981 , 0.014565 , 0.022378 , 0.020746 , 0.025236 , 0.022403 , 0.021366 , 0.019088 , 0.024576 , 0.038278 , 0.040258 , 0.025932 , 0.044306 , 0.021333 , 0.02166 , 0.018635 , 0.016194 , 0.018134 , 0.012708 , 0.017068 , 0.025479 , 0.022138 , 0.021268 , 0.025533 , 0.01499 , 0.026204 , 0.030328 , 0.02504 , 0.022537 , 0.028228 , 0.020234 , 0.023078 , 0.020873 , 0.02183 
 403 , 0.027265 , 0.03256 , 0.031311 , 0.024447 , 0.022963 , 0.014389 , 0.017439 , 0.020282 , 0.01755 , 0.016099 , 0.051273 , 0.029022 , 0.038065 , 0.022712 , 0.024019 , 0.02201 , 0.021054 , 0.017136 , 0.024809 , 0.020256 , 0.0193 , 0.022465 , 0.018163 , 0.022808 , 0.023277 , 0.028889 , 0.020153 , 0.014836 , 0.022705 , 0.02105 , 0.025636 , 0.022723 , 0.021722 , 0.019437 , 0.024913 , 0.038386 , 0.040598 , 0.026127 , 0.044641 , 0.021608 , 0.02194 , 0.018898 , 0.016387 , 0.018381 , 0.012975 , 0.017269 , 0.025754 , 0.022383 , 0.02146 , 0.025862 , 0.015242 , 0.026545 , 0.030783 , 0.025418 , 0.02293 , 0.028561 , 0.020559 , 0.023402 , 0.02118 , 0.02211 
 404 , 0.027476 , 0.032697 , 0.031584 , 0.024613 , 0.023162 , 0.014703 , 0.017657 , 0.020591 , 0.01793 , 0.016334 , 0.051564 , 0.029159 , 0.038214 , 0.022847 , 0.024354 , 0.022308 , 0.021423 , 0.017229 , 0.024965 , 0.020426 , 0.01965 , 0.02272 , 0.018226 , 0.022885 , 0.023537 , 0.029189 , 0.020426 , 0.01507 , 0.022964 , 0.0213 , 0.026052 , 0.023009 , 0.02203 , 0.019748 , 0.02519 , 0.0383 , 0.040875 , 0.026281 , 0.044949 , 0.021851 , 0.022169 , 0.019118 , 0.016528 , 0.018575 , 0.013212 , 0.017405 , 0.026018 , 0.022596 , 0.021536 , 0.026149 , 0.015427 , 0.02685 , 0.031183 , 0.025756 , 0.023286 , 0.028863 , 0.020846 , 0.023653 , 0.021457 , 0.022323 
 405 , 0.027674 , 0.032819 , 0.031842 , 0.024767 , 0.023353 , 0.014998 , 0.017859 , 0.02088 , 0.018288 , 0.016556 , 0.051833 , 0.029285 , 0.038359 , 0.022973 , 0.024668 , 0.022582 , 0.021765 , 0.017316 , 0.025109 , 0.020587 , 0.019979 , 0.022962 , 0.018281 , 0.022954 , 0.023775 , 0.029467 , 0.020678 , 0.015286 , 0.023205 , 0.02153 , 0.026439 , 0.023274 , 0.02232 , 0.02004 , 0.025447 , 0.038218 , 0.041133 , 0.026424 , 0.045236 , 0.022077 , 0.022381 , 0.019322 , 0.016662 , 0.018759 , 0.013436 , 0.017532 , 0.026268 , 0.022791 , 0.021606 , 0.026416 , 0.015598 , 0.027138 , 0.031557 , 0.026074 , 0.023619 , 0.029144 , 0.021112 , 0.023885 , 0.02172 , 0.022525 
 406 , 0.027907 , 0.032998 , 0.032097 , 0.024952 , 0.023563 , 0.015306 , 0.018115 , 0.021201 , 0.018627 , 0.016791 , 0.052175 , 0.029527 , 0.038612 , 0.02314 , 0.024952 , 0.022863 , 0.022024 , 0.017488 , 0.025287 , 0.020835 , 0.020193 , 0.023171 , 0.018423 , 0.023167 , 0.024033 , 0.029781 , 0.020935 , 0.015529 , 0.023506 , 0.021836 , 0.026772 , 0.02354 , 0.022651 , 0.020343 , 0.025764 , 0.038315 , 0.041405 , 0.02663 , 0.045503 , 0.022282 , 0.022586 , 0.019542 , 0.016834 , 0.018977 , 0.013644 , 0.017684 , 0.02653 , 0.023044 , 0.021782 , 0.026649 , 0.015849 , 0.027438 , 0.031994 , 0.026407 , 0.023975 , 0.029412 , 0.021339 , 0.02414 , 0.021978 , 0.022778 
 407 , 0.028209 , 0.033263 , 0.032365 , 0.025195 , 0.023823 , 0.015654 , 0.01848 , 0.021591 , 0.018955 , 0.017057 , 0.052646 , 0.029951 , 0.039053 , 0.023376 , 0.025203 , 0.023166 , 0.022151 , 0.0178 , 0.025526 , 0.021226 , 0.020238 , 0.023345 , 0.01871 , 0.023609 , 0.024332 , 0.030164 , 0.021202 , 0.015813 , 0.02392 , 0.022271 , 0.027034 , 0.023831 , 0.023068 , 0.020681 , 0.026191 , 0.038707 , 0.041708 , 0.026945 , 0.045764 , 0.022466 , 0.022796 , 0.019802 , 0.017081 , 0.019262 , 0.013846 , 0.017886 , 0.026821 , 0.023399 , 0.022135 , 0.026844 , 0.016225 , 0.027773 , 0.032548 , 0.026793 , 0.024383 , 0.029667 , 0.021529 , 0.024449 , 0.022244 , 0.023127 
 408 , 0.028494 , 0.033516 , 0.032617 , 0.025423 , 0.024069 , 0.015984 , 0.018823 , 0.02196 , 0.019267 , 0.017311 , 0.053089 , 0.030355 , 0.039468 , 0.023602 , 0.025443 , 0.023452 , 0.022274 , 0.018097 , 0.025753 , 0.021599 , 0.020284 , 0.023511 , 0.018976 , 0.02403 , 0.024615 , 0.030528 , 0.021458 , 0.016086 , 0.024308 , 0.022679 , 0.027288 , 0.024108 , 0.023464 , 0.021002 , 0.026597 , 0.039072 , 0.041997 , 0.027245 , 0.04601 , 0.02264 , 0.022997 , 0.020048 , 0.017311 , 0.01953 , 0.014037 , 0.018077 , 0.0271 , 0.023735 , 0.022471 , 0.027029 , 0.016585 , 0.028089 , 0.033068 , 0.027159 , 0.024772 , 0.029907 , 0.021705 , 0.02474 , 0.022494 , 0.023456 
 409 , 0.028764 , 0.033757 , 0.032854 , 0.025638 , 0.024303 , 0.016298 , 0.019151 , 0.022313 , 0.019559 , 0.01755 , 0.053507 , 0.030734 , 0.039864 , 0.023815 , 0.02567 , 0.023724 , 0.022389 , 0.018375 , 0.025963 , 0.021953 , 0.020324 , 0.023669 , 0.01923 , 0.024425 , 0.024881 , 0.030873 , 0.021699 , 0.016342 , 0.024679 , 0.02307 , 0.027524 , 0.024366 , 0.023839 , 0.021303 , 0.026981 , 0.03942 , 0.042269 , 0.027528 , 0.046243 , 0.022805 , 0.023185 , 0.020281 , 0.01753 , 0.019785 , 0.014214 , 0.018256 , 0.027362 , 0.024053 , 0.022785 , 0.027207 , 0.016924 , 0.028388 , 0.033567 , 0.027504 , 0.025139 , 0.030135 , 0.02187 , 0.02502 , 0.022733 , 0.023772 
 410 , 0.028924 , 0.033954 , 0.033267 , 0.025965 , 0.024692 , 0.016747 , 0.019606 , 0.022923 , 0.019961 , 0.017849 , 0.053955 , 0.031012 , 0.040218 , 0.024125 , 0.026057 , 0.024129 , 0.022692 , 0.01858 , 0.026428 , 0.022209 , 0.020564 , 0.024081 , 0.019398 , 0.024708 , 0.025123 , 0.031363 , 0.022053 , 0.016751 , 0.025055 , 0.023418 , 0.027938 , 0.024728 , 0.024265 , 0.021754 , 0.027423 , 0.039715 , 0.042661 , 0.027826 , 0.046701 , 0.023127 , 0.023602 , 0.020624 , 0.017845 , 0.020101 , 0.014496 , 0.018536 , 0.027722 , 0.024416 , 0.023043 , 0.027614 , 0.017342 , 0.028816 , 0.034185 , 0.028013 , 0.025598 , 0.030616 , 0.022285 , 0.025434 , 0.023175 , 0.024229 
 411 , 0.029075 , 0.034141 , 0.033659 , 0.026276 , 0.025054 , 0.017177 , 0.02004 , 0.023498 , 0.020342 , 0.018126 , 0.054374 , 0.031274 , 0.040551 , 0.024419 , 0.026425 , 0.024511 , 0.022979 , 0.018773 , 0.026863 , 0.022449 , 0.020792 , 0.024471 , 0.019554 , 0.02497 , 0.025352 , 0.031825 , 0.022388 , 0.017137 , 0.025412 , 0.023747 , 0.028323 , 0.025066 , 0.024664 , 0.022175 , 0.027845 , 0.039992 , 0.043031 , 0.028102 , 0.047137 , 0.023434 , 0.023993 , 0.020953 , 0.018146 , 0.020398 , 0.014765 , 0.018806 , 0.028066 , 0.024761 , 0.023285 , 0.028001 , 0.01774 , 0.02922 , 0.034773 , 0.028496 , 0.026031 , 0.031069 , 0.022678 , 0.025826 , 0.02359 , 0.024668 
 412 , 0.029218 , 0.034318 , 0.034027 , 0.026567 , 0.025401 , 0.017584 , 0.020446 , 0.024045 , 0.020701 , 0.018394 , 0.054773 , 0.031521 , 0.040868 , 0.024692 , 0.026769 , 0.024871 , 0.023251 , 0.018957 , 0.027279 , 0.022677 , 0.021009 , 0.024842 , 0.019705 , 0.025223 , 0.025567 , 0.032262 , 0.022705 , 0.017503 , 0.025753 , 0.024057 , 0.028692 , 0.025389 , 0.025045 , 0.022575 , 0.028238 , 0.040257 , 0.043378 , 0.028368 , 0.047547 , 0.023721 , 0.024365 , 0.02126 , 0.01843 , 0.020677 , 0.015014 , 0.019058 , 0.028384 , 0.025085 , 0.023514 , 0.028368 , 0.018115 , 0.029603 , 0.03533 , 0.028951 , 0.026441 , 0.031501 , 0.023049 , 0.026198 , 0.023988 , 0.025077 
 413 , 0.029445 , 0.03455 , 0.034359 , 0.026762 , 0.025714 , 0.017966 , 0.020841 , 0.024446 , 0.021078 , 0.018643 , 0.055175 , 0.031859 , 0.041201 , 0.024923 , 0.027023 , 0.025176 , 0.02352 , 0.019137 , 0.027565 , 0.022913 , 0.021277 , 0.025233 , 0.019858 , 0.025416 , 0.025775 , 0.032707 , 0.023047 , 0.017775 , 0.026126 , 0.024434 , 0.029025 , 0.025702 , 0.025457 , 0.022929 , 0.028568 , 0.040577 , 0.043746 , 0.02863 , 0.047897 , 0.023957 , 0.024654 , 0.021522 , 0.018647 , 0.02091 , 0.015251 , 0.019267 , 0.028678 , 0.025408 , 0.023781 , 0.028744 , 0.018484 , 0.029963 , 0.035925 , 0.029474 , 0.026823 , 0.031839 , 0.023304 , 0.026464 , 0.024315 , 0.025433 
 414 , 0.029711 , 0.034813 , 0.034665 , 0.026906 , 0.026007 , 0.018335 , 0.021218 , 0.024766 , 0.021456 , 0.018885 , 0.055575 , 0.032242 , 0.04154 , 0.025124 , 0.027218 , 0.025452 , 0.023777 , 0.019316 , 0.027785 , 0.023148 , 0.021571 , 0.025633 , 0.020014 , 0.02558 , 0.025978 , 0.033149 , 0.023399 , 0.01799 , 0.026516 , 0.024844 , 0.02933 , 0.026003 , 0.025888 , 0.023255 , 0.028861 , 0.040932 , 0.04412 , 0.028882 , 0.048206 , 0.024154 , 0.024894 , 0.021752 , 0.018827 , 0.021111 , 0.015468 , 0.019452 , 0.028948 , 0.025719 , 0.024064 , 0.029116 , 0.01884 , 0.030303 , 0.036529 , 0.030024 , 0.027181 , 0.032122 , 0.023493 , 0.026672 , 0.024598 , 0.025748 
 415 , 0.029969 , 0.03506 , 0.03496 , 0.027041 , 0.026288 , 0.018684 , 0.021582 , 0.025073 , 0.021822 , 0.019114 , 0.05596 , 0.032603 , 0.041866 , 0.025317 , 0.027405 , 0.025714 , 0.024022 , 0.019486 , 0.027992 , 0.023377 , 0.021851 , 0.026016 , 0.02016 , 0.025734 , 0.026173 , 0.033567 , 0.023733 , 0.0182 , 0.026888 , 0.025234 , 0.029622 , 0.026293 , 0.026301 , 0.023567 , 0.029142 , 0.041267 , 0.044476 , 0.029121 , 0.0485 , 0.024345 , 0.025122 , 0.021975 , 0.018998 , 0.021301 , 0.015681 , 0.019631 , 0.029208 , 0.02602 , 0.024332 , 0.029477 , 0.019184 , 0.030626 , 0.037111 , 0.030548 , 0.027525 , 0.032392 , 0.023675 , 0.026872 , 0.02487 , 0.026053 
 416 , 0.030237 , 0.035357 , 0.035277 , 0.027234 , 0.026601 , 0.019078 , 0.02196 , 0.025422 , 0.022227 , 0.019369 , 0.056363 , 0.032982 , 0.042213 , 0.025572 , 0.02765 , 0.026013 , 0.024272 , 0.019694 , 0.028263 , 0.023664 , 0.022114 , 0.026397 , 0.020344 , 0.025972 , 0.026426 , 0.03399 , 0.024085 , 0.01847 , 0.027301 , 0.025626 , 0.029954 , 0.026588 , 0.026701 , 0.023897 , 0.029467 , 0.041626 , 0.044845 , 0.029383 , 0.04884 , 0.024555 , 0.025393 , 0.022231 , 0.019203 , 0.021535 , 0.015904 , 0.01984 , 0.0295 , 0.026334 , 0.024626 , 0.029841 , 0.019557 , 0.031012 , 0.037731 , 0.031074 , 0.027905 , 0.032695 , 0.023901 , 0.027113 , 0.025189 , 0.026384 
 417 , 0.030555 , 0.035784 , 0.035683 , 0.027587 , 0.027017 , 0.019609 , 0.022425 , 0.025917 , 0.022778 , 0.019722 , 0.056849 , 0.03343 , 0.042646 , 0.026009 , 0.028066 , 0.026425 , 0.024544 , 0.020016 , 0.028716 , 0.024121 , 0.022345 , 0.026798 , 0.020637 , 0.026437 , 0.026849 , 0.034458 , 0.024511 , 0.018925 , 0.027839 , 0.026064 , 0.03042 , 0.026928 , 0.027092 , 0.024309 , 0.029934 , 0.04208 , 0.04527 , 0.029711 , 0.049316 , 0.024821 , 0.025791 , 0.02261 , 0.0195 , 0.021896 , 0.016192 , 0.020146 , 0.029908 , 0.026719 , 0.025023 , 0.030248 , 0.020037 , 0.031596 , 0.038504 , 0.031659 , 0.02841 , 0.033098 , 0.024263 , 0.027474 , 0.025648 , 0.026811 
 418 , 0.030866 , 0.036197 , 0.036079 , 0.027924 , 0.027416 , 0.020119 , 0.022872 , 0.026402 , 0.023315 , 0.020064 , 0.057323 , 0.033859 , 0.043067 , 0.026431 , 0.028465 , 0.026824 , 0.024812 , 0.020326 , 0.029154 , 0.024567 , 0.022567 , 0.027192 , 0.020923 , 0.026888 , 0.02726 , 0.034912 , 0.024926 , 0.019367 , 0.028363 , 0.026486 , 0.030866 , 0.02726 , 0.027471 , 0.024706 , 0.030388 , 0.042517 , 0.04568 , 0.030033 , 0.049776 , 0.025083 , 0.026178 , 0.022973 , 0.019785 , 0.022246 , 0.016471 , 0.020441 , 0.030299 , 0.027086 , 0.025408 , 0.030646 , 0.0205 , 0.03216 , 0.039249 , 0.032223 , 0.0289 , 0.033487 , 0.024618 , 0.027822 , 0.026089 , 0.027226 
 419 , 0.031163 , 0.036599 , 0.036459 , 0.028255 , 0.027808 , 0.020618 , 0.023304 , 0.026867 , 0.023832 , 0.020396 , 0.057779 , 0.034279 , 0.04347 , 0.026842 , 0.028851 , 0.027212 , 0.025067 , 0.020626 , 0.029579 , 0.024994 , 0.022785 , 0.02757 , 0.021197 , 0.027327 , 0.027659 , 0.035352 , 0.025326 , 0.019796 , 0.028868 , 0.026893 , 0.031303 , 0.027578 , 0.027842 , 0.025092 , 0.030831 , 0.042938 , 0.046076 , 0.030341 , 0.050222 , 0.025335 , 0.026552 , 0.02333 , 0.020064 , 0.022585 , 0.016739 , 0.020728 , 0.030682 , 0.027446 , 0.025777 , 0.031031 , 0.020946 , 0.032708 , 0.039975 , 0.032772 , 0.029371 , 0.033866 , 0.024956 , 0.028162 , 0.026522 , 0.027625 
 420 , 0.031475 , 0.036886 , 0.036813 , 0.028495 , 0.028148 , 0.021022 , 0.023684 , 0.02729 , 0.024255 , 0.02067 , 0.058092 , 0.03454 , 0.043866 , 0.027102 , 0.02922 , 0.027492 , 0.025412 , 0.020795 , 0.029893 , 0.025284 , 0.023076 , 0.027895 , 0.021446 , 0.027505 , 0.027925 , 0.035788 , 0.025631 , 0.0201 , 0.029292 , 0.02729 , 0.031642 , 0.027942 , 0.028251 , 0.025434 , 0.03123 , 0.043291 , 0.046503 , 0.030686 , 0.050674 , 0.025605 , 0.026874 , 0.02359 , 0.020327 , 0.022861 , 0.016932 , 0.020988 , 0.031042 , 0.027766 , 0.026055 , 0.031419 , 0.021403 , 0.033083 , 0.040599 , 0.033331 , 0.029807 , 0.03427 , 0.025249 , 0.028486 , 0.026857 , 0.028032 
 421 , 0.031783 , 0.037151 , 0.037156 , 0.028719 , 0.028477 , 0.021404 , 0.024058 , 0.027701 , 0.024663 , 0.02093 , 0.058388 , 0.034787 , 0.044255 , 0.027338 , 0.029582 , 0.027757 , 0.025759 , 0.020943 , 0.030191 , 0.025552 , 0.023368 , 0.028214 , 0.021685 , 0.027653 , 0.028167 , 0.036219 , 0.025923 , 0.020382 , 0.029699 , 0.027683 , 0.031964 , 0.028305 , 0.028654 , 0.025767 , 0.031623 , 0.043633 , 0.046926 , 0.031028 , 0.05112 , 0.025875 , 0.027179 , 0.023834 , 0.020589 , 0.023122 , 0.017111 , 0.021236 , 0.03139 , 0.02808 , 0.026315 , 0.0318 , 0.021849 , 0.033432 , 0.041204 , 0.033889 , 0.03023 , 0.03467 , 0.025539 , 0.028801 , 0.027179 , 0.028434 
