  time  ,47:18 PM,47:30 PM,47:41 PM,47:49 PM,47:58 PM,06:54 PM,07:14 PM,07:31 PM,07:43 PM,07:53 PM,09:57 PM,10:12 PM,10:21 PM,10:30 PM,10:42 PM,10:50 PM,10:56 PM,11:04 PM,11:15 PM,11:21 PM,12:38 PM,12:52 PM,13:04 PM,13:28 PM,13:36 PM,15:27 PM,15:37 PM,15:47 PM,15:59 PM,16:07 PM,17:00 PM,17:13 PM,17:30 PM,17:39 PM,17:54 PM,19:28 PM,19:36 PM,19:43 PM,19:49 PM,19:56 PM,20:09 PM,20:16 PM,20:22 PM,20:30 PM,20:41 PM,21:54 PM,22:03 PM,22:11 PM,22:22 PM,22:35 PM,23:09 PM,23:22 PM,23:30 PM,23:39 PM,23:52 PM,24:33 PM,24:54 PM,25:04 PM,25:13 PM,25:22 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0 , 0 , 0 , 0 , 0 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 , 2.21198 
 327 , 0 , 0 , 0 , 0 , 0 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 , 2.09389 
 328 , 0 , 0 , 0 , 0 , 0 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 , 0.106081 
 329 , 0 , 0.000248 , 0 , 0 , 0 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 , 3.24403 
 330 , 0 , 0.000506 , 0 , 0 , 0 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 , 4.44772 
 331 , 0 , 0.000715 , 0 , 0 , 0 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 , 5.283166 
 332 , 0.000191 , 0.001725 , 0.000662 , 0 , 0 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 , 5.805382 
 333 , 0.00055 , 0.003282 , 0.002192 , 0 , 0 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 , 6.0021 
 334 , 0.000927 , 0.004704 , 0.004375 , 0 , 0 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 , 6.050812 
 335 , 0.001818 , 0.006088 , 0.006902 , 0.000207 , 0 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 0 , 6.089281 , 6.089281 , 0 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 0 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 , 6.089281 
