JUL26MNAT00005.spu,JUL26MNAT00004.spu,JUL26MNAT00003.spu,
Wavelength,JUL26MNAT00006.spu,JUL26MNAT00007.spu,JUL26MNAT00008.spu,JUL26MNAT00009.spu,JUL26MNAT00010.spu,JUL26MNAT00011.spu,JUL26MNAT00012.spu,JUL26MNAT00013.spu,JUL26MNAT00014.spu,JUL26MNAT00015.spu,JUL26MNAT00016.spu,JUL26MNAT00017.spu,JUL26MNAT00018.spu,JUL26MNAT00019.spu,JUL26MNAT00020.spu,JUL26MNAT00021.spu,JUL26MNAT00022.spu,JUL26MNAT00023.spu,JUL26MNAT00024.spu,JUL26MNAT00025.spu,JUL26MNAT00026.spu,JUL26MNAT00027.spu,JUL26MNAT00028.spu,JUL26MNAT00029.spu,JUL26MNAT00030.spu
  (nm),7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 
  time  ,28:42 PM,29:27 PM,29:38 PM,29:45 PM,29:51 PM,30:54 PM,31:00 PM,31:08 PM,31:14 PM,31:20 PM,32:09 PM,32:14 PM,32:22 PM,32:30 PM,32:38 PM,32:55 PM,33:02 PM,33:07 PM,33:14 PM,33:20 PM,34:06 PM,34:16 PM,34:25 PM,34:39 PM,34:48 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 486 , 0.062151 , 0.051748 , 0.048945 , 0.055355 , 0.062196 , 0.074816 , 0.086006 , 0.073649 , 0.05153 , 0.070466 , 0.041026 , 0.058041 , 0.042194 , 0.042523 , 0.062637 , 0.039608 , 0.045935 , 0.036023 , 0.054015 , 0.043757 , 0.03437 , 0.038234 , 0.047431 , 0.034917 , 0.042154 
 487 , 0.062391 , 0.051945 , 0.049173 , 0.055576 , 0.062441 , 0.075096 , 0.086367 , 0.073891 , 0.051716 , 0.070712 , 0.041192 , 0.058275 , 0.042419 , 0.04267 , 0.062854 , 0.039765 , 0.046111 , 0.036173 , 0.054215 , 0.043936 , 0.034511 , 0.038359 , 0.047573 , 0.035041 , 0.042308 
 488 , 0.062667 , 0.052152 , 0.049442 , 0.055804 , 0.062656 , 0.07539 , 0.086725 , 0.074136 , 0.05189 , 0.070969 , 0.041358 , 0.058508 , 0.042663 , 0.042785 , 0.063113 , 0.039925 , 0.046303 , 0.036346 , 0.054404 , 0.044123 , 0.034656 , 0.038481 , 0.047714 , 0.035181 , 0.04249 
 489 , 0.062943 , 0.052353 , 0.049711 , 0.056037 , 0.06287 , 0.075684 , 0.087088 , 0.07438 , 0.052063 , 0.07122 , 0.041523 , 0.058735 , 0.042906 , 0.042906 , 0.063372 , 0.040091 , 0.04649 , 0.036513 , 0.054588 , 0.04431 , 0.034807 , 0.038603 , 0.047855 , 0.035314 , 0.042666 
 490 , 0.06326 , 0.052606 , 0.049995 , 0.056307 , 0.063143 , 0.076028 , 0.087489 , 0.074681 , 0.052277 , 0.071492 , 0.041741 , 0.059024 , 0.043177 , 0.043082 , 0.06366 , 0.040277 , 0.046706 , 0.036714 , 0.054838 , 0.044552 , 0.034995 , 0.038785 , 0.048086 , 0.035495 , 0.04286 
 491 , 0.063667 , 0.052967 , 0.050302 , 0.056662 , 0.06355 , 0.07648 , 0.087969 , 0.075106 , 0.052584 , 0.071795 , 0.042079 , 0.059444 , 0.043509 , 0.043403 , 0.064028 , 0.040505 , 0.046986 , 0.036988 , 0.055215 , 0.044917 , 0.03528 , 0.039086 , 0.0485 , 0.035786 , 0.043081 
 492 , 0.064074 , 0.053329 , 0.050604 , 0.057011 , 0.063952 , 0.076921 , 0.08845 , 0.075525 , 0.05289 , 0.072094 , 0.042417 , 0.059858 , 0.043836 , 0.043719 , 0.064391 , 0.040732 , 0.047262 , 0.037262 , 0.055587 , 0.045276 , 0.035555 , 0.039386 , 0.048908 , 0.036072 , 0.043296 
 493 , 0.06447 , 0.053685 , 0.050906 , 0.057354 , 0.064348 , 0.077362 , 0.088925 , 0.075939 , 0.053185 , 0.072386 , 0.042745 , 0.060267 , 0.044157 , 0.044034 , 0.064754 , 0.04096 , 0.047537 , 0.037525 , 0.055953 , 0.04563 , 0.035835 , 0.039687 , 0.049316 , 0.036352 , 0.043512 
 494 , 0.064857 , 0.054017 , 0.051176 , 0.057664 , 0.064723 , 0.077676 , 0.089344 , 0.076297 , 0.0535 , 0.072684 , 0.043188 , 0.060588 , 0.044472 , 0.044311 , 0.065051 , 0.041226 , 0.04778 , 0.037751 , 0.056257 , 0.045862 , 0.036078 , 0.039969 , 0.049614 , 0.036673 , 0.043805 
 495 , 0.065244 , 0.054341 , 0.051446 , 0.05797 , 0.0651 , 0.077986 , 0.089767 , 0.076652 , 0.053819 , 0.072979 , 0.043639 , 0.060904 , 0.044783 , 0.044583 , 0.065339 , 0.041494 , 0.048018 , 0.037965 , 0.056564 , 0.046084 , 0.03632 , 0.040255 , 0.049907 , 0.036998 , 0.044111 
 496 , 0.06562 , 0.054666 , 0.051716 , 0.058271 , 0.06547 , 0.078291 , 0.090184 , 0.077002 , 0.054133 , 0.073269 , 0.044084 , 0.061215 , 0.045095 , 0.044856 , 0.065631 , 0.041756 , 0.048255 , 0.038184 , 0.056866 , 0.0463 , 0.036557 , 0.04054 , 0.0502 , 0.037323 , 0.044417 
 497 , 0.065986 , 0.05507 , 0.052037 , 0.058614 , 0.065853 , 0.078624 , 0.090657 , 0.077352 , 0.05447 , 0.073625 , 0.044387 , 0.061558 , 0.04542 , 0.045176 , 0.06598 , 0.04202 , 0.048537 , 0.038465 , 0.057181 , 0.04662 , 0.036876 , 0.040887 , 0.050576 , 0.037732 , 0.044726 
 498 , 0.066338 , 0.055539 , 0.052407 , 0.058981 , 0.066238 , 0.078986 , 0.091168 , 0.077703 , 0.054823 , 0.074033 , 0.044595 , 0.061913 , 0.04575 , 0.045534 , 0.066377 , 0.042275 , 0.048843 , 0.038793 , 0.057499 , 0.047016 , 0.037255 , 0.041281 , 0.051019 , 0.038199 , 0.045034 
 499 , 0.06669 , 0.056002 , 0.052773 , 0.059348 , 0.066623 , 0.079348 , 0.091678 , 0.078055 , 0.055175 , 0.074431 , 0.044798 , 0.062267 , 0.04608 , 0.045886 , 0.066768 , 0.042534 , 0.049149 , 0.039122 , 0.057817 , 0.047401 , 0.037629 , 0.041669 , 0.051457 , 0.038667 , 0.045342 
 500 , 0.067095 , 0.056484 , 0.053164 , 0.05975 , 0.067045 , 0.079734 , 0.092208 , 0.078432 , 0.055553 , 0.07485 , 0.045081 , 0.062666 , 0.046467 , 0.046267 , 0.067184 , 0.04283 , 0.049499 , 0.039471 , 0.058181 , 0.047803 , 0.038046 , 0.042104 , 0.051939 , 0.039199 , 0.045691 
 501 , 0.067677 , 0.057008 , 0.053623 , 0.060238 , 0.067605 , 0.080214 , 0.092805 , 0.078912 , 0.056017 , 0.075333 , 0.045624 , 0.063224 , 0.047048 , 0.04676 , 0.067683 , 0.043281 , 0.050017 , 0.039907 , 0.058731 , 0.04825 , 0.038589 , 0.042688 , 0.052554 , 0.039935 , 0.046211 
 502 , 0.06825 , 0.057533 , 0.054078 , 0.060721 , 0.068156 , 0.080694 , 0.093398 , 0.079382 , 0.056481 , 0.075817 , 0.046162 , 0.063782 , 0.047624 , 0.047242 , 0.068172 , 0.043726 , 0.050524 , 0.040344 , 0.059276 , 0.048698 , 0.039132 , 0.043267 , 0.053159 , 0.040665 , 0.046721 
 503 , 0.068816 , 0.058045 , 0.054533 , 0.061199 , 0.068705 , 0.081168 , 0.09398 , 0.079852 , 0.056933 , 0.076289 , 0.046694 , 0.064335 , 0.048193 , 0.047723 , 0.068661 , 0.044172 , 0.051026 , 0.040775 , 0.059816 , 0.049139 , 0.039669 , 0.04384 , 0.053764 , 0.041389 , 0.047231 
 504 , 0.069467 , 0.058746 , 0.055086 , 0.06176 , 0.069301 , 0.081697 , 0.094652 , 0.080426 , 0.057508 , 0.076826 , 0.047334 , 0.064861 , 0.048811 , 0.048263 , 0.069252 , 0.044675 , 0.051559 , 0.041297 , 0.060372 , 0.049657 , 0.040301 , 0.044537 , 0.054517 , 0.042181 , 0.047837 
 505 , 0.070122 , 0.059471 , 0.05565 , 0.062325 , 0.069901 , 0.082233 , 0.095329 , 0.081011 , 0.058089 , 0.077372 , 0.047979 , 0.065383 , 0.049434 , 0.048798 , 0.069857 , 0.045176 , 0.052099 , 0.041824 , 0.06092 , 0.050186 , 0.040945 , 0.045242 , 0.055279 , 0.042975 , 0.048444 
 506 , 0.070772 , 0.060185 , 0.056208 , 0.06289 , 0.070495 , 0.082758 , 0.095999 , 0.081596 , 0.058664 , 0.077912 , 0.048619 , 0.065899 , 0.050046 , 0.049333 , 0.070456 , 0.045671 , 0.052629 , 0.042352 , 0.061463 , 0.05071 , 0.041583 , 0.045937 , 0.056036 , 0.043757 , 0.049051 
 507 , 0.071467 , 0.060931 , 0.056858 , 0.063504 , 0.071134 , 0.083325 , 0.096744 , 0.082191 , 0.059287 , 0.078538 , 0.049343 , 0.066486 , 0.050754 , 0.049957 , 0.071129 , 0.046255 , 0.05325 , 0.042946 , 0.062093 , 0.051319 , 0.042327 , 0.046753 , 0.056874 , 0.0447 , 0.049753 
 508 , 0.072191 , 0.061711 , 0.057586 , 0.064158 , 0.071809 , 0.083922 , 0.097562 , 0.082798 , 0.059961 , 0.079244 , 0.050129 , 0.067136 , 0.051547 , 0.050677 , 0.071858 , 0.046913 , 0.053944 , 0.043597 , 0.062807 , 0.051989 , 0.043154 , 0.047693 , 0.057791 , 0.045795 , 0.050544 
 509 , 0.072915 , 0.062475 , 0.05831 , 0.064807 , 0.072478 , 0.084518 , 0.09837 , 0.083405 , 0.060631 , 0.079938 , 0.05091 , 0.067781 , 0.052328 , 0.051387 , 0.072583 , 0.047571 , 0.054627 , 0.044236 , 0.063516 , 0.052661 , 0.043976 , 0.048617 , 0.058698 , 0.046873 , 0.051326 
 510 , 0.073639 , 0.063259 , 0.059028 , 0.065455 , 0.073151 , 0.085107 , 0.099158 , 0.084003 , 0.061301 , 0.080615 , 0.051708 , 0.068427 , 0.053122 , 0.052091 , 0.073312 , 0.048226 , 0.055313 , 0.044893 , 0.064229 , 0.053327 , 0.044805 , 0.049551 , 0.059621 , 0.047976 , 0.052119 
 511 , 0.074434 , 0.064152 , 0.059727 , 0.066156 , 0.073918 , 0.085704 , 0.099873 , 0.084566 , 0.062003 , 0.081235 , 0.052615 , 0.069104 , 0.053981 , 0.052815 , 0.074068 , 0.048923 , 0.056041 , 0.045636 , 0.06499 , 0.054036 , 0.045703 , 0.050567 , 0.06071 , 0.049234 , 0.052993 
 512 , 0.07523 , 0.065045 , 0.060427 , 0.066862 , 0.074685 , 0.086299 , 0.100585 , 0.085126 , 0.0627 , 0.081853 , 0.053521 , 0.069785 , 0.054843 , 0.053532 , 0.074824 , 0.049625 , 0.056766 , 0.04638 , 0.065756 , 0.054749 , 0.046603 , 0.051581 , 0.061794 , 0.050498 , 0.053865 
 513 , 0.076027 , 0.065933 , 0.061128 , 0.067563 , 0.075454 , 0.086893 , 0.101297 , 0.085692 , 0.063397 , 0.082467 , 0.054433 , 0.07046 , 0.055701 , 0.054249 , 0.075576 , 0.050323 , 0.057497 , 0.04712 , 0.066517 , 0.055456 , 0.047504 , 0.052598 , 0.062875 , 0.051752 , 0.054739 
 514 , 0.076834 , 0.066912 , 0.061929 , 0.068298 , 0.076193 , 0.087429 , 0.102011 , 0.086254 , 0.064128 , 0.083186 , 0.055432 , 0.071121 , 0.056657 , 0.055047 , 0.07631 , 0.051094 , 0.058277 , 0.047915 , 0.067335 , 0.056211 , 0.04855 , 0.053772 , 0.064023 , 0.053199 , 0.055654 
 515 , 0.077644 , 0.067917 , 0.06275 , 0.069043 , 0.076925 , 0.087951 , 0.102717 , 0.086808 , 0.064862 , 0.083932 , 0.056451 , 0.071774 , 0.057632 , 0.05586 , 0.077042 , 0.051885 , 0.059071 , 0.048714 , 0.068173 , 0.05698 , 0.049622 , 0.054985 , 0.06518 , 0.054695 , 0.056579 
 516 , 0.078451 , 0.068924 , 0.063572 , 0.069789 , 0.077653 , 0.088474 , 0.103431 , 0.087369 , 0.065604 , 0.084679 , 0.057467 , 0.072429 , 0.058611 , 0.056674 , 0.077776 , 0.052673 , 0.059867 , 0.049519 , 0.069008 , 0.057751 , 0.050697 , 0.0562 , 0.06634 , 0.056183 , 0.0575 
 517 , 0.079411 , 0.070062 , 0.064527 , 0.070642 , 0.078539 , 0.089156 , 0.104263 , 0.088062 , 0.066487 , 0.08556 , 0.058602 , 0.073211 , 0.059724 , 0.057647 , 0.078701 , 0.053592 , 0.06083 , 0.050437 , 0.069995 , 0.058674 , 0.051894 , 0.057563 , 0.067688 , 0.05782 , 0.058602 
 518 , 0.080556 , 0.071352 , 0.065655 , 0.071621 , 0.079599 , 0.090018 , 0.105261 , 0.088926 , 0.067549 , 0.086595 , 0.059874 , 0.074142 , 0.061 , 0.058798 , 0.079856 , 0.054681 , 0.061997 , 0.051505 , 0.071162 , 0.059779 , 0.053236 , 0.059101 , 0.069274 , 0.059611 , 0.059919 
 519 , 0.081689 , 0.072637 , 0.066771 , 0.072598 , 0.080655 , 0.090876 , 0.106244 , 0.089781 , 0.068597 , 0.087623 , 0.061135 , 0.075076 , 0.062264 , 0.059949 , 0.081004 , 0.055758 , 0.063158 , 0.05256 , 0.072322 , 0.060871 , 0.054572 , 0.060629 , 0.070845 , 0.061388 , 0.061225 
 520 , 0.082822 , 0.073915 , 0.067886 , 0.073571 , 0.081701 , 0.09173 , 0.107235 , 0.090637 , 0.069638 , 0.088642 , 0.062398 , 0.075994 , 0.063531 , 0.061086 , 0.082146 , 0.056826 , 0.064303 , 0.053615 , 0.073475 , 0.061959 , 0.055897 , 0.062162 , 0.07241 , 0.06317 , 0.062528 
 521 , 0.083968 , 0.075207 , 0.069029 , 0.074568 , 0.082736 , 0.092588 , 0.108274 , 0.091481 , 0.070657 , 0.089683 , 0.06371 , 0.076886 , 0.064829 , 0.062195 , 0.08329 , 0.057904 , 0.065355 , 0.054688 , 0.074608 , 0.06302 , 0.057243 , 0.063777 , 0.074009 , 0.065027 , 0.063806 
 522 , 0.085096 , 0.076482 , 0.070155 , 0.075546 , 0.083757 , 0.093432 , 0.109298 , 0.092308 , 0.071664 , 0.090708 , 0.065008 , 0.077764 , 0.066114 , 0.063289 , 0.084421 , 0.058965 , 0.066393 , 0.055747 , 0.075716 , 0.064072 , 0.058573 , 0.065377 , 0.075585 , 0.066864 , 0.065065 
 523 , 0.086209 , 0.077744 , 0.071267 , 0.076508 , 0.084762 , 0.094269 , 0.11031 , 0.09313 , 0.072663 , 0.091717 , 0.066288 , 0.078638 , 0.067382 , 0.064369 , 0.085536 , 0.060011 , 0.067411 , 0.056793 , 0.076821 , 0.065109 , 0.059886 , 0.066955 , 0.077146 , 0.068675 , 0.066306 
 524 , 0.087439 , 0.079095 , 0.072446 , 0.07759 , 0.085871 , 0.095175 , 0.111393 , 0.094059 , 0.073813 , 0.092846 , 0.067656 , 0.079582 , 0.068721 , 0.065516 , 0.08674 , 0.061144 , 0.068549 , 0.057911 , 0.078031 , 0.066231 , 0.061241 , 0.068543 , 0.078746 , 0.070535 , 0.067633 
 525 , 0.088702 , 0.080467 , 0.073641 , 0.078701 , 0.087006 , 0.096092 , 0.112488 , 0.095023 , 0.075009 , 0.094016 , 0.069046 , 0.080542 , 0.070069 , 0.066671 , 0.087966 , 0.0623 , 0.069718 , 0.059039 , 0.079277 , 0.067384 , 0.062605 , 0.070127 , 0.080352 , 0.072393 , 0.068982 
 526 , 0.089952 , 0.081821 , 0.074822 , 0.079804 , 0.088126 , 0.097003 , 0.113571 , 0.09598 , 0.076198 , 0.095171 , 0.070424 , 0.081497 , 0.071401 , 0.067818 , 0.089178 , 0.063443 , 0.070875 , 0.060161 , 0.080503 , 0.068517 , 0.063946 , 0.07169 , 0.081936 , 0.074239 , 0.070315 
 527 , 0.091193 , 0.083176 , 0.076012 , 0.080887 , 0.089258 , 0.097961 , 0.114704 , 0.096973 , 0.077378 , 0.096352 , 0.071789 , 0.082467 , 0.072742 , 0.068994 , 0.090391 , 0.064579 , 0.072033 , 0.061268 , 0.081717 , 0.069651 , 0.065294 , 0.073282 , 0.08353 , 0.076076 , 0.071609 
 528 , 0.09242 , 0.084556 , 0.077212 , 0.081956 , 0.090428 , 0.098998 , 0.115935 , 0.09804 , 0.078556 , 0.097579 , 0.07314 , 0.083487 , 0.074104 , 0.070231 , 0.091608 , 0.065726 , 0.073216 , 0.062373 , 0.08292 , 0.070774 , 0.066661 , 0.07494 , 0.085134 , 0.077919 , 0.072871 
 529 , 0.093639 , 0.085925 , 0.078405 , 0.083017 , 0.091594 , 0.100025 , 0.11715 , 0.099102 , 0.079727 , 0.098797 , 0.074481 , 0.084498 , 0.075456 , 0.07145 , 0.092816 , 0.066867 , 0.074387 , 0.06346 , 0.084104 , 0.071884 , 0.068019 , 0.076584 , 0.08673 , 0.079751 , 0.074128 
 530 , 0.094858 , 0.08729 , 0.079598 , 0.084076 , 0.092755 , 0.101055 , 0.118371 , 0.100157 , 0.080897 , 0.100009 , 0.075816 , 0.085505 , 0.076803 , 0.072668 , 0.094031 , 0.068 , 0.075557 , 0.06455 , 0.085293 , 0.073004 , 0.069359 , 0.078209 , 0.088312 , 0.081571 , 0.075373 
 531 , 0.096375 , 0.088815 , 0.080987 , 0.085342 , 0.094123 , 0.102327 , 0.119848 , 0.101409 , 0.082202 , 0.101481 , 0.077281 , 0.086718 , 0.07827 , 0.073939 , 0.095464 , 0.069238 , 0.076822 , 0.065741 , 0.086682 , 0.074344 , 0.070722 , 0.079825 , 0.090006 , 0.083477 , 0.076745 
 532 , 0.097896 , 0.090335 , 0.082384 , 0.0866 , 0.095482 , 0.103602 , 0.121324 , 0.102653 , 0.083501 , 0.102947 , 0.078739 , 0.087927 , 0.07973 , 0.075201 , 0.096894 , 0.070481 , 0.078084 , 0.066938 , 0.088059 , 0.075688 , 0.072079 , 0.081441 , 0.091699 , 0.085381 , 0.078108 
 533 , 0.099418 , 0.091857 , 0.083781 , 0.087861 , 0.096845 , 0.104872 , 0.122803 , 0.103897 , 0.084798 , 0.104418 , 0.080204 , 0.089139 , 0.08119 , 0.076463 , 0.098322 , 0.071723 , 0.079344 , 0.068127 , 0.089441 , 0.077032 , 0.073436 , 0.083055 , 0.093388 , 0.087286 , 0.079471 
 534 , 0.100717 , 0.093121 , 0.084994 , 0.088969 , 0.098016 , 0.105911 , 0.124037 , 0.104991 , 0.085939 , 0.10571 , 0.081445 , 0.09017 , 0.082421 , 0.077556 , 0.09954 , 0.072764 , 0.080464 , 0.069173 , 0.090603 , 0.078153 , 0.074635 , 0.084469 , 0.094803 , 0.088902 , 0.080604 
 535 , 0.101915 , 0.094282 , 0.086128 , 0.090021 , 0.099107 , 0.106844 , 0.125168 , 0.106022 , 0.087023 , 0.106929 , 0.082597 , 0.091131 , 0.083547 , 0.078582 , 0.10067 , 0.073726 , 0.081518 , 0.070146 , 0.09167 , 0.07917 , 0.075768 , 0.085797 , 0.096097 , 0.090401 , 0.081641 
 536 , 0.103113 , 0.095438 , 0.087264 , 0.091067 , 0.100197 , 0.107773 , 0.126304 , 0.107058 , 0.088102 , 0.108149 , 0.083744 , 0.092085 , 0.084675 , 0.079602 , 0.101794 , 0.074682 , 0.082579 , 0.071119 , 0.092732 , 0.080187 , 0.076902 , 0.087128 , 0.097392 , 0.091894 , 0.082678 
 537 , 0.104261 , 0.096538 , 0.088338 , 0.092045 , 0.101224 , 0.108686 , 0.12741 , 0.108023 , 0.08915 , 0.109287 , 0.084837 , 0.092999 , 0.085754 , 0.080554 , 0.102854 , 0.075589 , 0.083585 , 0.07205 , 0.093749 , 0.081155 , 0.077932 , 0.088363 , 0.098596 , 0.093272 , 0.083653 
 538 , 0.105306 , 0.097506 , 0.089289 , 0.092869 , 0.102131 , 0.109533 , 0.128425 , 0.108829 , 0.09013 , 0.110273 , 0.08581 , 0.093821 , 0.086725 , 0.081359 , 0.103781 , 0.076398 , 0.08449 , 0.072893 , 0.094661 , 0.082019 , 0.078769 , 0.089408 , 0.09961 , 0.094406 , 0.08449 
 539 , 0.106355 , 0.098478 , 0.090238 , 0.093689 , 0.103036 , 0.110388 , 0.129449 , 0.109638 , 0.091101 , 0.111257 , 0.086781 , 0.094646 , 0.087694 , 0.082161 , 0.104699 , 0.077197 , 0.085387 , 0.07374 , 0.095577 , 0.082886 , 0.079598 , 0.090457 , 0.100622 , 0.09554 , 0.085331 
 540 , 0.107398 , 0.099443 , 0.091192 , 0.094514 , 0.103945 , 0.11124 , 0.130466 , 0.110449 , 0.092078 , 0.112239 , 0.087752 , 0.095468 , 0.088662 , 0.082961 , 0.105621 , 0.078001 , 0.086289 , 0.074585 , 0.096485 , 0.083752 , 0.080431 , 0.0915 , 0.10164 , 0.096674 , 0.086176 
 541 , 0.108377 , 0.100315 , 0.092064 , 0.0953 , 0.104857 , 0.112049 , 0.131428 , 0.11121 , 0.092909 , 0.113235 , 0.088607 , 0.096272 , 0.089515 , 0.083731 , 0.106491 , 0.078722 , 0.087024 , 0.075353 , 0.097312 , 0.084557 , 0.081182 , 0.09243 , 0.102548 , 0.097748 , 0.086834 
 542 , 0.10935 , 0.101186 , 0.092939 , 0.096096 , 0.105775 , 0.112868 , 0.132398 , 0.111974 , 0.093744 , 0.114225 , 0.089459 , 0.097078 , 0.090372 , 0.084502 , 0.107353 , 0.079444 , 0.087754 , 0.076116 , 0.09813 , 0.085364 , 0.081935 , 0.093351 , 0.103455 , 0.098828 , 0.0875 
 543 , 0.110327 , 0.102054 , 0.093818 , 0.096888 , 0.106691 , 0.113684 , 0.133365 , 0.112741 , 0.094576 , 0.115225 , 0.090315 , 0.097888 , 0.091226 , 0.085277 , 0.108219 , 0.080169 , 0.088481 , 0.076883 , 0.098958 , 0.086175 , 0.082679 , 0.094277 , 0.10436 , 0.099907 , 0.088163 
 544 , 0.11135 , 0.102972 , 0.094749 , 0.097757 , 0.107651 , 0.11455 , 0.134447 , 0.113603 , 0.095491 , 0.116252 , 0.091235 , 0.098723 , 0.092138 , 0.086083 , 0.109174 , 0.080925 , 0.089296 , 0.077681 , 0.099849 , 0.087011 , 0.083453 , 0.095216 , 0.10527 , 0.10095 , 0.088906 
 545 , 0.112396 , 0.103918 , 0.095711 , 0.098651 , 0.108652 , 0.115431 , 0.135589 , 0.114524 , 0.096445 , 0.11729 , 0.092193 , 0.099577 , 0.093087 , 0.086906 , 0.110177 , 0.081697 , 0.090148 , 0.0785 , 0.10078 , 0.087858 , 0.084231 , 0.096168 , 0.106182 , 0.10197 , 0.089678 
 546 , 0.113439 , 0.104868 , 0.096672 , 0.099549 , 0.109645 , 0.116316 , 0.136728 , 0.115443 , 0.097403 , 0.118326 , 0.093143 , 0.100428 , 0.094041 , 0.087733 , 0.111177 , 0.082465 , 0.090997 , 0.079317 , 0.101708 , 0.088702 , 0.085005 , 0.097118 , 0.107092 , 0.102987 , 0.090454 
 547 , 0.114422 , 0.105744 , 0.097546 , 0.100378 , 0.110564 , 0.117138 , 0.137782 , 0.116293 , 0.098267 , 0.119282 , 0.094012 , 0.101209 , 0.094908 , 0.08849 , 0.112103 , 0.08317 , 0.091777 , 0.080065 , 0.102548 , 0.08949 , 0.085703 , 0.097968 , 0.107933 , 0.103912 , 0.091153 
 548 , 0.115254 , 0.106433 , 0.098212 , 0.101031 , 0.111294 , 0.117831 , 0.138631 , 0.11697 , 0.098917 , 0.120049 , 0.094656 , 0.101814 , 0.095563 , 0.089078 , 0.112833 , 0.083734 , 0.092405 , 0.080629 , 0.10319 , 0.090154 , 0.08622 , 0.098591 , 0.108573 , 0.104632 , 0.091662 
 549 , 0.116086 , 0.107129 , 0.098872 , 0.101683 , 0.112017 , 0.118517 , 0.139479 , 0.117652 , 0.099573 , 0.12081 , 0.095308 , 0.102417 , 0.096225 , 0.089666 , 0.113563 , 0.084293 , 0.093034 , 0.0812 , 0.103826 , 0.090813 , 0.086737 , 0.09922 , 0.109212 , 0.105359 , 0.092176 
 550 , 0.116921 , 0.107827 , 0.099541 , 0.102338 , 0.112742 , 0.119211 , 0.140323 , 0.11833 , 0.100219 , 0.12158 , 0.095955 , 0.103023 , 0.096883 , 0.090256 , 0.114295 , 0.084853 , 0.093665 , 0.081773 , 0.10447 , 0.091473 , 0.087248 , 0.099844 , 0.109853 , 0.106083 , 0.092684 
 551 , 0.117439 , 0.108233 , 0.099951 , 0.102716 , 0.113216 , 0.11963 , 0.140873 , 0.118752 , 0.100657 , 0.122078 , 0.096348 , 0.103416 , 0.097331 , 0.090627 , 0.114727 , 0.085189 , 0.094045 , 0.082147 , 0.104907 , 0.091874 , 0.087578 , 0.100162 , 0.110147 , 0.106438 , 0.092936 
 552 , 0.117933 , 0.108611 , 0.100353 , 0.10307 , 0.113662 , 0.120022 , 0.141392 , 0.119156 , 0.10108 , 0.122548 , 0.096716 , 0.103784 , 0.097767 , 0.090971 , 0.115136 , 0.085503 , 0.094402 , 0.082501 , 0.105325 , 0.092253 , 0.08789 , 0.100458 , 0.110416 , 0.106753 , 0.093159 
 553 , 0.118429 , 0.108989 , 0.100755 , 0.103425 , 0.11411 , 0.120416 , 0.141912 , 0.119562 , 0.101497 , 0.123013 , 0.097086 , 0.10416 , 0.098198 , 0.091322 , 0.115541 , 0.085818 , 0.094754 , 0.082857 , 0.105743 , 0.092634 , 0.088202 , 0.100749 , 0.110685 , 0.107062 , 0.093383 
 554 , 0.118739 , 0.109174 , 0.100969 , 0.103649 , 0.114375 , 0.12065 , 0.142247 , 0.119781 , 0.101712 , 0.123257 , 0.097248 , 0.104412 , 0.098402 , 0.091504 , 0.115748 , 0.085992 , 0.09492 , 0.083093 , 0.105971 , 0.092857 , 0.088307 , 0.100843 , 0.11072 , 0.107138 , 0.093414 
 555 , 0.118914 , 0.10922 , 0.101051 , 0.103783 , 0.114511 , 0.12077 , 0.142466 , 0.119868 , 0.10178 , 0.12333 , 0.097258 , 0.104578 , 0.098445 , 0.091576 , 0.115804 , 0.086072 , 0.094957 , 0.083254 , 0.106077 , 0.092961 , 0.088274 , 0.100792 , 0.110586 , 0.107038 , 0.093319 
 556 , 0.119094 , 0.109265 , 0.101132 , 0.103916 , 0.114647 , 0.120897 , 0.142677 , 0.119949 , 0.101841 , 0.123409 , 0.097268 , 0.104751 , 0.098494 , 0.091647 , 0.115866 , 0.086153 , 0.094988 , 0.083408 , 0.106183 , 0.093066 , 0.08824 , 0.100741 , 0.110451 , 0.106945 , 0.093225 
 557 , 0.119213 , 0.109255 , 0.101159 , 0.103988 , 0.114741 , 0.120963 , 0.142827 , 0.119989 , 0.101868 , 0.123427 , 0.09723 , 0.104869 , 0.098502 , 0.091651 , 0.115874 , 0.086165 , 0.094984 , 0.083515 , 0.106214 , 0.093129 , 0.088133 , 0.100596 , 0.110242 , 0.106757 , 0.093069 
 558 , 0.119115 , 0.109097 , 0.100995 , 0.103859 , 0.114671 , 0.120855 , 0.142784 , 0.119929 , 0.101743 , 0.123255 , 0.097034 , 0.104805 , 0.09837 , 0.09144 , 0.115723 , 0.085944 , 0.094845 , 0.083451 , 0.105988 , 0.09302 , 0.087776 , 0.100149 , 0.109811 , 0.106286 , 0.092729 
