JUL26MNAT00005.spu,JUL26MNAT00004.spu,JUL26MNAT00003.spu,
Wavelength,JUL26MNAT00006.spu,JUL26MNAT00007.spu,JUL26MNAT00008.spu,JUL26MNAT00009.spu,JUL26MNAT00010.spu,JUL26MNAT00011.spu,JUL26MNAT00012.spu,JUL26MNAT00013.spu,JUL26MNAT00014.spu,JUL26MNAT00015.spu,JUL26MNAT00016.spu,JUL26MNAT00017.spu,JUL26MNAT00018.spu,JUL26MNAT00019.spu,JUL26MNAT00020.spu,JUL26MNAT00021.spu,JUL26MNAT00022.spu,JUL26MNAT00023.spu,JUL26MNAT00024.spu,JUL26MNAT00025.spu,JUL26MNAT00026.spu,JUL26MNAT00027.spu,JUL26MNAT00028.spu,JUL26MNAT00029.spu,JUL26MNAT00030.spu
  (nm),7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 
  time  ,28:42 PM,29:27 PM,29:38 PM,29:45 PM,29:51 PM,30:54 PM,31:00 PM,31:08 PM,31:14 PM,31:20 PM,32:09 PM,32:14 PM,32:22 PM,32:30 PM,32:38 PM,32:55 PM,33:02 PM,33:07 PM,33:14 PM,33:20 PM,34:06 PM,34:16 PM,34:25 PM,34:39 PM,34:48 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 338 , 0.006744 , 0.002379 , 0.003824 , 0.007849 , 0.008806 , 0.025071 , 0.030015 , 0.077248 , 0.011692 , 0.021464 , 0.007015 , 0.031859 , 0.0066 , 0.009049 , 0.07354 , 2.093154 , 2.093154 , 2.093154 , 0.015364 , 2.093154 , 0 , 2.093154 , 2.093154 , 2.093154 , 0 
 339 , 0.010152 , 0.003275 , 0.004911 , 0.010913 , 0.011137 , 0.024368 , 0.036456 , 0.050015 , 0.012927 , 0.032757 , 0.008051 , 0.028109 , 0.01012 , 0.011057 , 0.136316 , 0.008446 , 0.019653 , 0.007645 , 0.023892 , 0.112536 , 0 , 2.647712 , 0.05547 , 2.647712 , 0.001294 
 340 , 0.013764 , 0.003906 , 0.005535 , 0.013426 , 0.012464 , 0.022613 , 0.040174 , 0.038909 , 0.013384 , 0.047199 , 0.008431 , 0.02554 , 0.013666 , 0.01198 , 0.281864 , 0.007808 , 0.013426 , 0.00876 , 0.032865 , 0.064185 , 0 , 2.975913 , 0.034449 , 2.975913 , 0.005301 
 341 , 0.017364 , 0.004279 , 0.005854 , 0.015333 , 0.013112 , 0.020836 , 0.041733 , 0.032911 , 0.013448 , 0.065115 , 0.008493 , 0.023771 , 0.016843 , 0.012282 , 0.945687 , 0.007707 , 0.011421 , 0.009299 , 0.041032 , 0.047973 , 0 , 3.140994 , 0.027505 , 3.140994 , 0.024977 
 342 , 0.017747 , 0.005109 , 0.006681 , 0.016036 , 0.013063 , 0.022102 , 0.039187 , 0.032559 , 0.013826 , 0.064435 , 0.008422 , 0.02111 , 0.018106 , 0.01292 , 0.212192 , 0.009424 , 0.012513 , 0.008706 , 0.039392 , 0.025371 , 0.000273 , 0.002625 , 0.018694 , 0.004593 , 0.0265 
 343 , 0.016027 , 0.006657 , 0.008137 , 0.015936 , 0.012994 , 0.02642 , 0.035937 , 0.036087 , 0.014665 , 0.052709 , 0.008506 , 0.018908 , 0.017988 , 0.01417 , 0.083879 , 0.012805 , 0.016072 , 0.008198 , 0.033355 , 0.017675 , 0.000317 , 0.003047 , 0.015593 , 0.005332 , 0.014799 
 344 , 0.015233 , 0.008285 , 0.009442 , 0.015967 , 0.013142 , 0.030476 , 0.034389 , 0.039051 , 0.015416 , 0.047761 , 0.008675 , 0.017808 , 0.018155 , 0.015262 , 0.05957 , 0.015685 , 0.019385 , 0.008156 , 0.030507 , 0.015684 , 0.00035 , 0.003358 , 0.015049 , 0.005876 , 0.01308 
 345 , 0.015026 , 0.009884 , 0.010589 , 0.016145 , 0.013406 , 0.033763 , 0.033835 , 0.040893 , 0.016034 , 0.045667 , 0.009003 , 0.0175 , 0.018138 , 0.016295 , 0.04961 , 0.017797 , 0.022143 , 0.00848 , 0.028976 , 0.015177 , 0.000506 , 0.003825 , 0.015297 , 0.006321 , 0.012863 
 346 , 0.016939 , 0.01061 , 0.011514 , 0.017324 , 0.014089 , 0.032274 , 0.035958 , 0.036695 , 0.016313 , 0.048758 , 0.010775 , 0.020774 , 0.016641 , 0.018069 , 0.046588 , 0.016467 , 0.021906 , 0.011338 , 0.028779 , 0.017213 , 0.001967 , 0.006273 , 0.017611 , 0.006947 , 0.015089 
 347 , 0.018809 , 0.011193 , 0.012214 , 0.018298 , 0.014632 , 0.031211 , 0.037791 , 0.033892 , 0.016517 , 0.051412 , 0.012448 , 0.023966 , 0.01585 , 0.019475 , 0.04454 , 0.015673 , 0.02174 , 0.013891 , 0.02863 , 0.018972 , 0.00294 , 0.007858 , 0.019748 , 0.007229 , 0.016801 
