JUL26LOF00140.spu,JUL26LOF00139.spu,JUL26LOF00138.spu,JUL26LOF00137.spu,JUL26LOF00136.spu,
Wavelength,JUL26LOF00141.spu,JUL26LOF00142.spu,JUL26LOF00143.spu,JUL26LOF00144.spu,JUL26LOF00145.spu,JUL26LOF00146.spu,JUL26LOF00147.spu,JUL26LOF00148.spu,JUL26LOF00149.spu,JUL26LOF00150.spu,JUL26LOF00151.spu,JUL26LOF00152.spu,JUL26LOF00153.spu,JUL26LOF00154.spu,JUL26LOF00155.spu,JUL26LOF00156.spu,JUL26LOF00157.spu,JUL26LOF00158.spu,JUL26LOF00159.spu,JUL26LOF00160.spu,JUL26LOF00161.spu,JUL26LOF00162.spu,JUL26LOF00163.spu,JUL26LOF00164.spu,JUL26LOF00165.spu
  (nm),7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 ,7/26/2016 
  time  ,:46:48 A,:47:00 A,:47:08 A,:47:20 A,:47:27 A,:48:09 A,:48:17 A,:48:25 A,:48:32 A,:48:38 A,:49:24 A,:49:31 A,:49:40 A,:49:50 A,:49:57 A,:50:35 A,:50:44 A,:50:52 A,:51:00 A,:51:07 A,:02:15 P,:02:30 P,:02:40 P,:02:49 P,:03:06 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 318 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 319 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 320 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 321 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 322 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 323 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 324 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 325 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 , 0.608872 
 326 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 0 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 , 1.075272 
 327 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 0 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 , 1.228877 
 328 , 0.012337 , 0.012337 , 0.012337 , 0.012337 , 0 , 0 , 0.012337 , 0.012337 , 0.012337 , 0.012337 , 0 , 0.012337 , 0.012337 , 0 , 0.012337 , 0 , 0.012337 , 0.012337 , 0 , 0.012337 , 0.012337 , 0.012337 , 0.012337 , 0.012337 , 0.012337 
 329 , 0.970811 , 0.970811 , 0.970811 , 0.970811 , 0 , 0 , 0.970811 , 0.970811 , 0.970811 , 0.970811 , 0 , 0.970811 , 0.970811 , 0 , 0.970811 , 0 , 0.970811 , 0.970811 , 0 , 0.970811 , 0.970811 , 0.970811 , 0.970811 , 0.970811 , 0.970811 
 330 , 1.605375 , 1.605375 , 1.605375 , 1.605375 , 0 , 0 , 1.605375 , 1.605375 , 1.605375 , 1.605375 , 0 , 1.605375 , 1.605375 , 0 , 1.605375 , 0 , 1.605375 , 1.605375 , 0 , 1.605375 , 1.605375 , 1.605375 , 1.605375 , 1.605375 , 1.605375 
 331 , 2.063135 , 2.063135 , 2.063135 , 2.063135 , 0 , 0 , 2.063135 , 2.063135 , 2.063135 , 2.063135 , 0 , 2.063135 , 2.063135 , 0 , 2.063135 , 0 , 2.063135 , 2.063135 , 0 , 2.063135 , 2.063135 , 2.063135 , 2.063135 , 2.063135 , 2.063135 
 332 , 0 , 0 , 1.883146 , 1.883146 , 0 , 0 , 1.883146 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.883146 , 0 , 0 , 0 , 1.883146 , 1.883146 , 1.883146 , 1.883146 , 1.883146 
 333 , 0 , 0 , 1.31692 , 1.31692 , 0 , 0 , 1.31692 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.31692 , 0 , 0 , 0 , 1.31692 , 1.31692 , 1.31692 , 1.31692 , 1.31692 
 334 , 0 , 0 , 0.646113 , 0.646113 , 0 , 0 , 0.646113 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.646113 , 0 , 0 , 0 , 0.646113 , 0.646113 , 0.646113 , 0.646113 , 0.646113 
 335 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000149 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000139 , 0 , 0 , 0 , 0 , 1.248068 , 1.248068 , 1.248068 , 1.248068 , 1.248068 
 336 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001484 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001487 , 0 , 0 , 0 , 0 , 3.137586 , 3.137586 , 3.137586 , 3.137586 , 3.137586 
 337 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002568 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002671 , 0 , 0 , 0 , 0 , 3.973836 , 3.973836 , 3.973836 , 3.973836 , 3.973836 
 338 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003352 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003565 , 0 , 0 , 0 , 0 , 4.473098 , 4.473098 , 4.473098 , 4.473098 , 4.473098 
 339 , 0.000275 , 0 , 0.001494 , 0.00265 , 0.001808 , 0.000065 , 0.000419 , 0.000815 , 0.002781 , 0.000142 , 0 , 0.000791 , 0 , 0 , 0.000512 , 0.004885 , 0.001939 , 0.001294 , 0.001019 , 0.001188 , 4.702349 , 0.016312 , 0.024148 , 4.702349 , 0.480958 
 340 , 0.000533 , 0 , 0.002584 , 0.00601 , 0.002909 , 0.000132 , 0.000814 , 0.001636 , 0.002333 , 0.000246 , 0 , 0.001321 , 0 , 0 , 0.000954 , 0.006185 , 0.003889 , 0.00263 , 0.001945 , 0.002383 , 4.83784 , 0.017108 , 0.025327 , 4.83784 , 0.304514 
 341 , 0.000734 , 0 , 0.003288 , 0.009466 , 0.003551 , 0.000189 , 0.00112 , 0.002309 , 0.002052 , 0.000314 , 0 , 0.001647 , 0 , 0 , 0.001275 , 0.007352 , 0.005489 , 0.003752 , 0.002643 , 0.003364 , 4.927312 , 0.017524 , 0.025943 , 4.927312 , 0.251863 
 342 , 0.001538 , 0.000979 , 0.004068 , 0.011097 , 0.003737 , 0.001095 , 0.001836 , 0.003147 , 0.002757 , 0.000788 , 0.000982 , 0.001686 , 0.000732 , 0.000626 , 0.001657 , 0.008923 , 0.006082 , 0.004914 , 0.003571 , 0.004129 , 0.115003 , 0.019003 , 0.025995 , 0.198649 , 0.231977 
 343 , 0.003318 , 0.003193 , 0.005021 , 0.010712 , 0.003474 , 0.002848 , 0.003331 , 0.004189 , 0.004577 , 0.001726 , 0.002648 , 0.001504 , 0.002134 , 0.001819 , 0.002114 , 0.011021 , 0.005937 , 0.006123 , 0.004928 , 0.004669 , 0.046071 , 0.021237 , 0.026046 , 0.106024 , 0.224899 
 344 , 0.00537 , 0.005385 , 0.005826 , 0.01043 , 0.003137 , 0.004339 , 0.005192 , 0.005092 , 0.00637 , 0.002577 , 0.00384 , 0.001353 , 0.003273 , 0.002783 , 0.002481 , 0.013023 , 0.005866 , 0.007121 , 0.00628 , 0.00507 , 0.032918 , 0.022858 , 0.026171 , 0.089215 , 0.21971 
 345 , 0.007526 , 0.007505 , 0.006585 , 0.010333 , 0.003034 , 0.005565 , 0.007467 , 0.005969 , 0.008072 , 0.003372 , 0.00475 , 0.001381 , 0.004196 , 0.003634 , 0.002924 , 0.014884 , 0.006028 , 0.007987 , 0.007686 , 0.005509 , 0.027736 , 0.023635 , 0.02573 , 0.078089 , 0.18981 
 346 , 0.007877 , 0.009529 , 0.008179 , 0.011732 , 0.006222 , 0.00617 , 0.00955 , 0.007988 , 0.009373 , 0.004494 , 0.005641 , 0.00351 , 0.004843 , 0.00519 , 0.005172 , 0.01634 , 0.008738 , 0.009188 , 0.010036 , 0.007523 , 0.029127 , 0.021958 , 0.022928 , 0.054767 , 0.092572 
 347 , 0.00815 , 0.011097 , 0.009673 , 0.012844 , 0.008636 , 0.006662 , 0.011299 , 0.010381 , 0.010428 , 0.005645 , 0.006472 , 0.005721 , 0.005396 , 0.006599 , 0.007308 , 0.017536 , 0.011712 , 0.010222 , 0.012228 , 0.009409 , 0.030193 , 0.02123 , 0.021759 , 0.047003 , 0.068752 
 348 , 0.008366 , 0.012346 , 0.011065 , 0.013745 , 0.01053 , 0.007067 , 0.012781 , 0.013246 , 0.011296 , 0.006816 , 0.007246 , 0.007976 , 0.005871 , 0.00787 , 0.009315 , 0.01853 , 0.014952 , 0.011118 , 0.014257 , 0.011161 , 0.031033 , 0.020858 , 0.02116 , 0.043215 , 0.058026 
 349 , 0.009113 , 0.012595 , 0.01275 , 0.014344 , 0.010737 , 0.00782 , 0.011872 , 0.013399 , 0.01154 , 0.007573 , 0.007955 , 0.008573 , 0.005946 , 0.008421 , 0.009571 , 0.017972 , 0.015267 , 0.011816 , 0.013913 , 0.011395 , 0.027507 , 0.021304 , 0.023228 , 0.033546 , 0.054749 
 350 , 0.009936 , 0.012471 , 0.014517 , 0.014767 , 0.010382 , 0.008626 , 0.01041 , 0.012522 , 0.011525 , 0.008049 , 0.008501 , 0.008459 , 0.005866 , 0.008645 , 0.009182 , 0.016984 , 0.014465 , 0.012367 , 0.012893 , 0.011067 , 0.023932 , 0.021903 , 0.026415 , 0.027007 , 0.053187 
 351 , 0.010601 , 0.012335 , 0.016208 , 0.015098 , 0.010064 , 0.009314 , 0.009269 , 0.011823 , 0.011475 , 0.008422 , 0.008905 , 0.008335 , 0.005779 , 0.008812 , 0.008841 , 0.016147 , 0.013798 , 0.01282 , 0.012082 , 0.010767 , 0.021465 , 0.022386 , 0.029762 , 0.023271 , 0.05175 
 352 , 0.011265 , 0.012583 , 0.016636 , 0.015365 , 0.010092 , 0.009953 , 0.009011 , 0.011723 , 0.011733 , 0.008968 , 0.009175 , 0.00843 , 0.005997 , 0.009076 , 0.008876 , 0.015958 , 0.013522 , 0.013489 , 0.011909 , 0.01095 , 0.020656 , 0.022898 , 0.030022 , 0.021866 , 0.049444 
