  time  ,:06:06 P,:06:19 P,:06:21 P,:06:22 P,:06:34 P,:07:33 P,:07:42 P,:07:50 P,:07:58 P,:08:11 P,:08:52 P,:09:17 P,:09:26 P,:09:32 P,:09:42 P,:10:27 P,:10:37 P,:10:45 P,:10:53 P,:11:00 P,:11:37 P,:11:44 P,:11:54 P,:12:05 P,:12:20 P,:13:08 P,:13:17 P,:13:25 P,:13:39 P,:13:49 P,:14:35 P,:14:43 P,:14:52 P,:15:05 P,:15:12 P,:15:50 P,:15:57 P,:16:05 P,:16:13 P,:16:20 P,:17:24 P,:17:37 P,:17:44 P,:17:52 P,:18:01 P,:18:58 P,:19:28 P,:19:35 P,:19:46 P,:19:52 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 434 , 0.996051 , 0.991542 , 1.008063 , 1.003542 , 1.000802 , 0.036445 , 0.032967 , 0.026928 , 0.033458 , 0.03021 , 0.035396 , 0.049619 , 0.042849 , 0.034861 , 0.026988 , 0.036761 , 0.033322 , 0.031296 , 0.03532 , 0.027693 , 0.037264 , 0.029543 , 0.058159 , 0.03865 , 0.044766 , 0.049112 , 0.044793 , 0.033043 , 0.030837 , 0.038552 , 0.044902 , 0.031351 , 0.046518 , 0.04624 , 0.033786 , 0.022981 , 0.038214 , 0.043706 , 0.031236 , 0.034861 , 0.037417 , 0.033453 , 0.036969 , 0.031935 , 0.033813 , 0.036527 , 0.032284 , 0.040763 , 0.054763 , 0.056755 
 435 , 0.996183 , 0.991556 , 1.008053 , 1.003557 , 1.000651 , 0.0367 , 0.033273 , 0.027264 , 0.033766 , 0.030504 , 0.035729 , 0.050126 , 0.043098 , 0.035219 , 0.027303 , 0.03705 , 0.03347 , 0.031584 , 0.035663 , 0.027955 , 0.037505 , 0.029797 , 0.058651 , 0.038947 , 0.045093 , 0.049534 , 0.045258 , 0.033333 , 0.03119 , 0.03892 , 0.045334 , 0.031606 , 0.04693 , 0.046694 , 0.034041 , 0.02318 , 0.038575 , 0.044062 , 0.031535 , 0.035175 , 0.037829 , 0.033898 , 0.037352 , 0.032319 , 0.034139 , 0.036985 , 0.032648 , 0.041173 , 0.055258 , 0.05727 
 436 , 0.996315 , 0.99158 , 1.008037 , 1.003572 , 1.000494 , 0.036955 , 0.033569 , 0.027584 , 0.034065 , 0.030794 , 0.036047 , 0.050616 , 0.043348 , 0.035579 , 0.027601 , 0.037341 , 0.033635 , 0.031868 , 0.035986 , 0.028212 , 0.037754 , 0.030046 , 0.059133 , 0.039246 , 0.045412 , 0.049955 , 0.04571 , 0.033624 , 0.031538 , 0.039279 , 0.045759 , 0.031857 , 0.047334 , 0.047141 , 0.034302 , 0.023389 , 0.038927 , 0.044416 , 0.031829 , 0.035491 , 0.038227 , 0.034329 , 0.037732 , 0.032694 , 0.034467 , 0.037429 , 0.033008 , 0.041569 , 0.055741 , 0.057779 
 437 , 0.996532 , 0.991744 , 1.008003 , 1.003552 , 1.000169 , 0.037317 , 0.033929 , 0.027851 , 0.034416 , 0.031172 , 0.036343 , 0.051084 , 0.043794 , 0.036033 , 0.027851 , 0.037715 , 0.034023 , 0.032174 , 0.036276 , 0.028471 , 0.038125 , 0.030403 , 0.059737 , 0.039686 , 0.045831 , 0.05047 , 0.046202 , 0.03399 , 0.031936 , 0.039681 , 0.046207 , 0.032191 , 0.047791 , 0.04768 , 0.034665 , 0.023715 , 0.039337 , 0.044912 , 0.032185 , 0.035878 , 0.038651 , 0.034781 , 0.038175 , 0.033121 , 0.034864 , 0.03797 , 0.033409 , 0.042044 , 0.056321 , 0.058475 
 438 , 0.996747 , 0.991906 , 1.00797 , 1.003524 , 0.999852 , 0.037675 , 0.034276 , 0.02811 , 0.03476 , 0.031538 , 0.036629 , 0.051547 , 0.044224 , 0.036473 , 0.028094 , 0.038076 , 0.034398 , 0.032467 , 0.036557 , 0.028723 , 0.038493 , 0.030753 , 0.060327 , 0.040112 , 0.046239 , 0.050974 , 0.046684 , 0.034348 , 0.032323 , 0.040079 , 0.046639 , 0.032512 , 0.048242 , 0.048203 , 0.035016 , 0.024037 , 0.039734 , 0.045387 , 0.032528 , 0.036262 , 0.039061 , 0.035222 , 0.038605 , 0.033536 , 0.035255 , 0.038493 , 0.033797 , 0.0425 , 0.056889 , 0.059153 
 439 , 0.996958 , 0.992065 , 1.007935 , 1.003501 , 0.999541 , 0.03802 , 0.034614 , 0.028362 , 0.035089 , 0.031896 , 0.036912 , 0.051999 , 0.044646 , 0.036901 , 0.028329 , 0.038428 , 0.034765 , 0.032752 , 0.036834 , 0.028966 , 0.038847 , 0.031091 , 0.060902 , 0.040525 , 0.046637 , 0.051463 , 0.047151 , 0.034698 , 0.032702 , 0.040463 , 0.047056 , 0.03283 , 0.048678 , 0.048711 , 0.035363 , 0.024347 , 0.040117 , 0.045859 , 0.032869 , 0.036633 , 0.039457 , 0.035649 , 0.039021 , 0.033937 , 0.035632 , 0.039004 , 0.034172 , 0.042946 , 0.05744 , 0.059817 
 440 , 0.997131 , 0.992241 , 1.00778 , 1.003481 , 0.999367 , 0.038327 , 0.034854 , 0.028638 , 0.035449 , 0.032179 , 0.037253 , 0.052517 , 0.04502 , 0.037192 , 0.028548 , 0.038737 , 0.035022 , 0.03301 , 0.037102 , 0.029206 , 0.039153 , 0.031369 , 0.061407 , 0.040867 , 0.046959 , 0.051893 , 0.047605 , 0.034983 , 0.033061 , 0.040799 , 0.047459 , 0.03314 , 0.049077 , 0.049179 , 0.035674 , 0.024615 , 0.040434 , 0.046251 , 0.033151 , 0.036967 , 0.039816 , 0.036045 , 0.039344 , 0.034252 , 0.035972 , 0.039434 , 0.034517 , 0.043368 , 0.057945 , 0.060379 
 441 , 0.99729 , 0.992431 , 1.007549 , 1.003481 , 0.999248 , 0.038622 , 0.03505 , 0.028921 , 0.035812 , 0.032426 , 0.037618 , 0.053057 , 0.045377 , 0.03742 , 0.028758 , 0.039023 , 0.035236 , 0.03325 , 0.037364 , 0.029441 , 0.03944 , 0.031619 , 0.061878 , 0.041173 , 0.047256 , 0.05229 , 0.048052 , 0.035242 , 0.033413 , 0.041111 , 0.047849 , 0.033442 , 0.049457 , 0.049626 , 0.03597 , 0.024864 , 0.040727 , 0.046607 , 0.033419 , 0.03729 , 0.040151 , 0.036421 , 0.039632 , 0.034525 , 0.036291 , 0.03983 , 0.034841 , 0.043769 , 0.058424 , 0.060896 
 442 , 0.997448 , 0.99262 , 1.007324 , 1.003477 , 0.999131 , 0.038916 , 0.035244 , 0.029204 , 0.036173 , 0.032672 , 0.037975 , 0.053591 , 0.045732 , 0.037647 , 0.028966 , 0.039307 , 0.035448 , 0.033488 , 0.037624 , 0.029674 , 0.03972 , 0.031861 , 0.06234 , 0.041477 , 0.047546 , 0.052685 , 0.048486 , 0.035493 , 0.033754 , 0.041415 , 0.048231 , 0.033737 , 0.049823 , 0.050067 , 0.036264 , 0.025107 , 0.041007 , 0.046962 , 0.03368 , 0.037607 , 0.04048 , 0.036797 , 0.039907 , 0.034791 , 0.03661 , 0.040219 , 0.035159 , 0.044168 , 0.058895 , 0.0614 
 443 , 0.997602 , 0.992778 , 1.007155 , 1.00348 , 0.998985 , 0.03919 , 0.035475 , 0.029472 , 0.036505 , 0.032955 , 0.038297 , 0.054103 , 0.046086 , 0.037944 , 0.029211 , 0.039606 , 0.035697 , 0.03374 , 0.037905 , 0.029911 , 0.04001 , 0.03213 , 0.062837 , 0.041791 , 0.047861 , 0.053096 , 0.048931 , 0.035765 , 0.034104 , 0.041745 , 0.048641 , 0.034024 , 0.050223 , 0.050524 , 0.036562 , 0.025347 , 0.041324 , 0.04731 , 0.033962 , 0.03791 , 0.040835 , 0.037165 , 0.040232 , 0.035082 , 0.03692 , 0.04063 , 0.035503 , 0.044573 , 0.059377 , 0.061938 
 444 , 0.997753 , 0.992837 , 1.00711 , 1.003491 , 0.998809 , 0.03944 , 0.03578 , 0.029734 , 0.036802 , 0.033308 , 0.038572 , 0.054593 , 0.046451 , 0.038384 , 0.029529 , 0.039931 , 0.036015 , 0.034028 , 0.038235 , 0.030174 , 0.040314 , 0.032446 , 0.063385 , 0.042135 , 0.048238 , 0.053559 , 0.049386 , 0.036072 , 0.034467 , 0.042118 , 0.049112 , 0.03429 , 0.05067 , 0.051013 , 0.036882 , 0.025589 , 0.041701 , 0.047667 , 0.03429 , 0.038207 , 0.041227 , 0.037539 , 0.040633 , 0.035415 , 0.037231 , 0.041096 , 0.035889 , 0.044995 , 0.059902 , 0.062546 
 445 , 0.997902 , 0.992889 , 1.007068 , 1.003499 , 0.998641 , 0.039689 , 0.03608 , 0.029996 , 0.037088 , 0.033662 , 0.038841 , 0.055076 , 0.04681 , 0.038812 , 0.029841 , 0.040256 , 0.036332 , 0.034315 , 0.03856 , 0.030431 , 0.040623 , 0.032751 , 0.063933 , 0.042479 , 0.048608 , 0.054016 , 0.04984 , 0.036378 , 0.034825 , 0.042484 , 0.049571 , 0.034556 , 0.051112 , 0.051496 , 0.037197 , 0.025831 , 0.042078 , 0.048013 , 0.034613 , 0.038503 , 0.041619 , 0.037907 , 0.041029 , 0.035747 , 0.03754 , 0.041556 , 0.036269 , 0.045412 , 0.060421 , 0.063142 
 446 , 0.99805 , 0.992946 , 1.007023 , 1.003511 , 0.99847 , 0.039936 , 0.036373 , 0.030251 , 0.037373 , 0.03401 , 0.039109 , 0.055553 , 0.047161 , 0.039235 , 0.030148 , 0.040574 , 0.036643 , 0.034596 , 0.038884 , 0.030688 , 0.040919 , 0.033056 , 0.064474 , 0.042816 , 0.048972 , 0.054473 , 0.050282 , 0.036671 , 0.035183 , 0.042845 , 0.050024 , 0.034815 , 0.051547 , 0.051967 , 0.037511 , 0.026067 , 0.042442 , 0.048357 , 0.034936 , 0.038787 , 0.042006 , 0.038269 , 0.041425 , 0.036074 , 0.037844 , 0.042011 , 0.036648 , 0.045822 , 0.060928 , 0.063727 
 447 , 0.998185 , 0.993047 , 1.006936 , 1.003462 , 0.99837 , 0.04022 , 0.036573 , 0.030415 , 0.037627 , 0.034223 , 0.039304 , 0.055848 , 0.047466 , 0.039528 , 0.03034 , 0.040755 , 0.036902 , 0.034805 , 0.039079 , 0.030882 , 0.04117 , 0.033267 , 0.064874 , 0.0431 , 0.049252 , 0.054771 , 0.050681 , 0.036913 , 0.035467 , 0.043129 , 0.050295 , 0.03507 , 0.051861 , 0.052328 , 0.037743 , 0.026268 , 0.042725 , 0.048716 , 0.035185 , 0.03905 , 0.042299 , 0.038578 , 0.041729 , 0.036349 , 0.038134 , 0.042386 , 0.036919 , 0.046136 , 0.061326 , 0.064189 
 448 , 0.998314 , 0.993169 , 1.00684 , 1.003414 , 0.998263 , 0.040495 , 0.036774 , 0.030573 , 0.03787 , 0.034438 , 0.039497 , 0.056139 , 0.047763 , 0.039808 , 0.030533 , 0.040928 , 0.037161 , 0.035009 , 0.039266 , 0.031075 , 0.041424 , 0.03348 , 0.065271 , 0.043379 , 0.049528 , 0.055066 , 0.051074 , 0.037149 , 0.035753 , 0.043408 , 0.050567 , 0.035326 , 0.052165 , 0.052684 , 0.037974 , 0.026472 , 0.043004 , 0.049078 , 0.035424 , 0.039307 , 0.042595 , 0.038885 , 0.042035 , 0.036624 , 0.03843 , 0.042756 , 0.037184 , 0.046448 , 0.061717 , 0.064642 
 449 , 0.998445 , 0.993281 , 1.006752 , 1.003367 , 0.998156 , 0.040776 , 0.036969 , 0.030731 , 0.038119 , 0.034647 , 0.03969 , 0.056425 , 0.04806 , 0.040089 , 0.030719 , 0.041105 , 0.037414 , 0.035213 , 0.039453 , 0.031262 , 0.041671 , 0.033683 , 0.065667 , 0.043659 , 0.049805 , 0.055362 , 0.051463 , 0.03738 , 0.036034 , 0.043687 , 0.050833 , 0.035577 , 0.052468 , 0.05304 , 0.038206 , 0.02667 , 0.043283 , 0.049435 , 0.035664 , 0.039563 , 0.042884 , 0.039193 , 0.042336 , 0.036894 , 0.038714 , 0.043127 , 0.037449 , 0.046755 , 0.062109 , 0.065089 
 450 , 0.998446 , 0.993251 , 1.006748 , 1.00334 , 0.998215 , 0.040982 , 0.03717 , 0.03091 , 0.038327 , 0.034844 , 0.039895 , 0.056747 , 0.048283 , 0.040346 , 0.03091 , 0.041295 , 0.037575 , 0.035394 , 0.039629 , 0.031402 , 0.041879 , 0.033878 , 0.066032 , 0.043875 , 0.050036 , 0.055642 , 0.051783 , 0.037575 , 0.036279 , 0.043898 , 0.051095 , 0.03577 , 0.052744 , 0.053357 , 0.038414 , 0.026838 , 0.043545 , 0.049689 , 0.035863 , 0.039785 , 0.043146 , 0.039438 , 0.042596 , 0.037129 , 0.038987 , 0.043447 , 0.037673 , 0.04704 , 0.062428 , 0.065454 
 451 , 0.998343 , 0.993117 , 1.006792 , 1.003337 , 0.998412 , 0.041151 , 0.037367 , 0.031105 , 0.038524 , 0.035034 , 0.040115 , 0.057089 , 0.048466 , 0.040596 , 0.031111 , 0.041493 , 0.037673 , 0.035561 , 0.039797 , 0.031516 , 0.042066 , 0.034068 , 0.066388 , 0.044056 , 0.050243 , 0.055925 , 0.05206 , 0.037754 , 0.036504 , 0.04408 , 0.051354 , 0.035931 , 0.053003 , 0.053657 , 0.038611 , 0.026979 , 0.043802 , 0.04989 , 0.036036 , 0.039977 , 0.043385 , 0.039652 , 0.042841 , 0.037349 , 0.039253 , 0.043744 , 0.03787 , 0.047314 , 0.062702 , 0.065769 
 452 , 0.99824 , 0.992984 , 1.006837 , 1.003334 , 0.998605 , 0.041315 , 0.037569 , 0.031294 , 0.038721 , 0.035231 , 0.040336 , 0.057436 , 0.048649 , 0.04084 , 0.031306 , 0.041691 , 0.037772 , 0.035723 , 0.03996 , 0.03163 , 0.042252 , 0.034264 , 0.066739 , 0.044238 , 0.050449 , 0.056203 , 0.052336 , 0.037934 , 0.036736 , 0.044255 , 0.051613 , 0.036093 , 0.053268 , 0.053963 , 0.038808 , 0.027126 , 0.044053 , 0.050085 , 0.036215 , 0.040174 , 0.043624 , 0.039867 , 0.04308 , 0.037569 , 0.03952 , 0.044041 , 0.038067 , 0.047584 , 0.062982 , 0.066085 
 453 , 0.998126 , 0.992861 , 1.006877 , 1.003356 , 0.99878 , 0.041459 , 0.037752 , 0.031445 , 0.038888 , 0.035389 , 0.040515 , 0.057729 , 0.048815 , 0.04106 , 0.031485 , 0.041859 , 0.03788 , 0.035876 , 0.040104 , 0.031734 , 0.042415 , 0.034422 , 0.06706 , 0.044402 , 0.05064 , 0.056443 , 0.052586 , 0.038094 , 0.036936 , 0.044425 , 0.051839 , 0.036246 , 0.053501 , 0.054231 , 0.03898 , 0.027251 , 0.044274 , 0.050275 , 0.036368 , 0.040347 , 0.04384 , 0.040063 , 0.043295 , 0.037764 , 0.039733 , 0.04432 , 0.03825 , 0.047825 , 0.06322 , 0.066371 
 454 , 0.997951 , 0.992819 , 1.006999 , 1.003447 , 0.998784 , 0.041527 , 0.037893 , 0.031478 , 0.038969 , 0.035469 , 0.040589 , 0.057887 , 0.048937 , 0.04122 , 0.031611 , 0.041943 , 0.038003 , 0.03599 , 0.040202 , 0.031813 , 0.042522 , 0.034503 , 0.067294 , 0.044529 , 0.050783 , 0.056562 , 0.052756 , 0.038212 , 0.037066 , 0.044558 , 0.051969 , 0.036383 , 0.053658 , 0.054393 , 0.039085 , 0.027324 , 0.044408 , 0.05043 , 0.036464 , 0.040462 , 0.043968 , 0.040208 , 0.043418 , 0.037882 , 0.039814 , 0.044558 , 0.038403 , 0.047977 , 0.063366 , 0.066571 
 455 , 0.997778 , 0.992773 , 1.007121 , 1.003539 , 0.998789 , 0.041593 , 0.038034 , 0.03151 , 0.039045 , 0.035549 , 0.040657 , 0.058045 , 0.049059 , 0.041374 , 0.031741 , 0.042027 , 0.038132 , 0.036104 , 0.040299 , 0.031891 , 0.042628 , 0.034578 , 0.067521 , 0.044662 , 0.050931 , 0.056681 , 0.052925 , 0.038329 , 0.037202 , 0.044691 , 0.052099 , 0.03652 , 0.053809 , 0.054554 , 0.039189 , 0.027401 , 0.04454 , 0.050585 , 0.03656 , 0.040576 , 0.044095 , 0.040351 , 0.043541 , 0.037999 , 0.039894 , 0.0448 , 0.038554 , 0.048135 , 0.063511 , 0.066776 
 456 , 0.997599 , 0.992734 , 1.007243 , 1.00363 , 0.998794 , 0.041659 , 0.038179 , 0.031536 , 0.039126 , 0.035628 , 0.04073 , 0.058207 , 0.049186 , 0.041532 , 0.031871 , 0.042115 , 0.03826 , 0.036223 , 0.040401 , 0.031969 , 0.042733 , 0.034658 , 0.067759 , 0.044788 , 0.051079 , 0.056798 , 0.053099 , 0.038445 , 0.037337 , 0.044828 , 0.052233 , 0.036655 , 0.053965 , 0.054721 , 0.039293 , 0.027479 , 0.044678 , 0.050744 , 0.036655 , 0.040696 , 0.044228 , 0.040499 , 0.043662 , 0.038121 , 0.039974 , 0.045042 , 0.03871 , 0.048285 , 0.063655 , 0.066985 
 457 , 0.997586 , 0.992735 , 1.007177 , 1.003561 , 0.998941 , 0.041782 , 0.03824 , 0.031688 , 0.039278 , 0.035766 , 0.040899 , 0.058485 , 0.049349 , 0.041655 , 0.031965 , 0.042278 , 0.03839 , 0.036343 , 0.04053 , 0.032121 , 0.042866 , 0.034785 , 0.068042 , 0.044942 , 0.051229 , 0.056997 , 0.053311 , 0.038586 , 0.03749 , 0.044942 , 0.052354 , 0.036821 , 0.054165 , 0.054909 , 0.03944 , 0.027587 , 0.044908 , 0.050918 , 0.036793 , 0.040841 , 0.044418 , 0.04068 , 0.043835 , 0.038281 , 0.040155 , 0.045248 , 0.038863 , 0.048478 , 0.063838 , 0.067183 
 458 , 0.997616 , 0.992757 , 1.007058 , 1.003449 , 0.99912 , 0.041918 , 0.038298 , 0.031848 , 0.039439 , 0.035911 , 0.041076 , 0.058784 , 0.049527 , 0.041774 , 0.032061 , 0.04246 , 0.038517 , 0.036471 , 0.040661 , 0.032286 , 0.043007 , 0.034926 , 0.068335 , 0.0451 , 0.051388 , 0.05721 , 0.053533 , 0.03873 , 0.037646 , 0.045059 , 0.052478 , 0.036989 , 0.054374 , 0.055106 , 0.039595 , 0.027703 , 0.045152 , 0.051094 , 0.036937 , 0.04099 , 0.04461 , 0.040869 , 0.044022 , 0.038448 , 0.040344 , 0.045451 , 0.039018 , 0.048673 , 0.064029 , 0.067384 
 459 , 0.997653 , 0.992774 , 1.006934 , 1.003333 , 0.999306 , 0.042054 , 0.038355 , 0.032013 , 0.039599 , 0.036057 , 0.041259 , 0.059088 , 0.049698 , 0.041898 , 0.032157 , 0.042635 , 0.038643 , 0.036598 , 0.040792 , 0.03245 , 0.043148 , 0.035066 , 0.068634 , 0.045256 , 0.051547 , 0.057423 , 0.053759 , 0.038879 , 0.037808 , 0.045176 , 0.052601 , 0.037163 , 0.054583 , 0.055303 , 0.039755 , 0.027819 , 0.045395 , 0.051276 , 0.037076 , 0.041143 , 0.044813 , 0.041057 , 0.044202 , 0.038614 , 0.040538 , 0.04566 , 0.039179 , 0.048874 , 0.064221 , 0.067591 
 460 , 0.997617 , 0.992716 , 1.006872 , 1.003307 , 0.999489 , 0.042118 , 0.038403 , 0.032103 , 0.039716 , 0.036186 , 0.041369 , 0.059304 , 0.04983 , 0.041997 , 0.032224 , 0.042757 , 0.038743 , 0.036664 , 0.040863 , 0.032546 , 0.043241 , 0.035155 , 0.06887 , 0.045366 , 0.051679 , 0.05757 , 0.053919 , 0.038968 , 0.037891 , 0.045263 , 0.052704 , 0.037257 , 0.054725 , 0.055422 , 0.039866 , 0.027869 , 0.045528 , 0.051396 , 0.037148 , 0.041231 , 0.04494 , 0.041174 , 0.04433 , 0.038732 , 0.040667 , 0.045839 , 0.03929 , 0.049001 , 0.064355 , 0.067753 
 461 , 0.997478 , 0.992573 , 1.006892 , 1.003397 , 0.99966 , 0.042115 , 0.038448 , 0.032126 , 0.039795 , 0.036289 , 0.041418 , 0.059456 , 0.049922 , 0.042086 , 0.032258 , 0.042835 , 0.038816 , 0.036692 , 0.040871 , 0.032575 , 0.043307 , 0.035195 , 0.069059 , 0.04542 , 0.051787 , 0.057666 , 0.05401 , 0.039 , 0.037912 , 0.045316 , 0.052789 , 0.037273 , 0.05481 , 0.055472 , 0.039939 , 0.02786 , 0.045552 , 0.051476 , 0.037158 , 0.041263 , 0.045017 , 0.041223 , 0.044412 , 0.038799 , 0.040745 , 0.045995 , 0.039357 , 0.049058 , 0.064419 , 0.067879 
 462 , 0.997339 , 0.992424 , 1.00691 , 1.003491 , 0.999837 , 0.042112 , 0.038497 , 0.032149 , 0.039867 , 0.036397 , 0.041473 , 0.059614 , 0.050014 , 0.042169 , 0.032299 , 0.042912 , 0.038889 , 0.036713 , 0.040886 , 0.032598 , 0.043366 , 0.03524 , 0.069248 , 0.045479 , 0.051896 , 0.057766 , 0.054106 , 0.039033 , 0.037933 , 0.045369 , 0.05288 , 0.037294 , 0.0549 , 0.055527 , 0.040011 , 0.02785 , 0.045576 , 0.051556 , 0.037162 , 0.041294 , 0.045087 , 0.041271 , 0.044494 , 0.038871 , 0.040822 , 0.046152 , 0.039424 , 0.049116 , 0.064488 , 0.068005 
 463 , 0.997215 , 0.992289 , 1.006911 , 1.003579 , 1.000006 , 0.042123 , 0.03855 , 0.032168 , 0.039936 , 0.036501 , 0.041519 , 0.059761 , 0.050122 , 0.042267 , 0.03234 , 0.042975 , 0.038975 , 0.036748 , 0.040909 , 0.032628 , 0.043429 , 0.035287 , 0.069434 , 0.045553 , 0.052009 , 0.057868 , 0.054208 , 0.039073 , 0.037963 , 0.045426 , 0.052965 , 0.03733 , 0.05499 , 0.055595 , 0.040086 , 0.027846 , 0.045616 , 0.051653 , 0.03718 , 0.041335 , 0.045167 , 0.041329 , 0.044592 , 0.038952 , 0.04092 , 0.046301 , 0.039499 , 0.049196 , 0.064566 , 0.068128 
 464 , 0.997131 , 0.992232 , 1.006969 , 1.003578 , 1.00009 , 0.042207 , 0.038626 , 0.032196 , 0.039968 , 0.036548 , 0.041551 , 0.05988 , 0.050278 , 0.042431 , 0.032415 , 0.042967 , 0.039121 , 0.036859 , 0.041004 , 0.032674 , 0.043519 , 0.035357 , 0.069637 , 0.045672 , 0.052154 , 0.058014 , 0.054342 , 0.039162 , 0.03808 , 0.045523 , 0.053035 , 0.037435 , 0.055119 , 0.055729 , 0.040175 , 0.027879 , 0.045747 , 0.051838 , 0.037251 , 0.041418 , 0.045281 , 0.041413 , 0.044728 , 0.039058 , 0.04109 , 0.046432 , 0.039605 , 0.049351 , 0.064675 , 0.068232 
 465 , 0.997049 , 0.992172 , 1.007029 , 1.003574 , 1.000176 , 0.042291 , 0.038709 , 0.032219 , 0.039993 , 0.036601 , 0.041588 , 0.060004 , 0.050434 , 0.042596 , 0.03249 , 0.042953 , 0.039268 , 0.03697 , 0.041099 , 0.03272 , 0.043604 , 0.035427 , 0.06984 , 0.045798 , 0.052305 , 0.058156 , 0.054482 , 0.03925 , 0.038191 , 0.045614 , 0.053111 , 0.03754 , 0.055242 , 0.05587 , 0.04027 , 0.027918 , 0.045878 , 0.052017 , 0.037315 , 0.041508 , 0.045389 , 0.041502 , 0.044865 , 0.03917 , 0.041266 , 0.046564 , 0.039711 , 0.049518 , 0.064784 , 0.068331 
 466 , 0.996961 , 0.99211 , 1.007088 , 1.003574 , 1.000267 , 0.042381 , 0.038798 , 0.032242 , 0.040019 , 0.036655 , 0.04162 , 0.060124 , 0.050595 , 0.042767 , 0.032565 , 0.04294 , 0.039414 , 0.037081 , 0.041194 , 0.032766 , 0.043694 , 0.035503 , 0.070043 , 0.045929 , 0.052456 , 0.058303 , 0.054616 , 0.039345 , 0.038308 , 0.04571 , 0.053182 , 0.037646 , 0.055371 , 0.05601 , 0.040365 , 0.027951 , 0.04601 , 0.052203 , 0.037386 , 0.041597 , 0.045503 , 0.041586 , 0.045008 , 0.039282 , 0.041442 , 0.046696 , 0.039817 , 0.04968 , 0.064893 , 0.068436 
 467 , 0.996747 , 0.991987 , 1.007179 , 1.00364 , 1.000447 , 0.042416 , 0.038849 , 0.032302 , 0.040094 , 0.036728 , 0.041725 , 0.060311 , 0.05064 , 0.042883 , 0.03266 , 0.043062 , 0.039454 , 0.037149 , 0.041241 , 0.032809 , 0.043771 , 0.035541 , 0.070206 , 0.045995 , 0.052571 , 0.058398 , 0.054744 , 0.039408 , 0.038388 , 0.045776 , 0.053257 , 0.03772 , 0.055505 , 0.05611 , 0.040451 , 0.02798 , 0.046151 , 0.052312 , 0.037454 , 0.041656 , 0.045586 , 0.041685 , 0.045085 , 0.039368 , 0.041552 , 0.046837 , 0.039915 , 0.049764 , 0.064996 , 0.068541 
 468 , 0.996489 , 0.991857 , 1.007265 , 1.003729 , 1.00066 , 0.042439 , 0.038897 , 0.032367 , 0.040189 , 0.036809 , 0.041845 , 0.060506 , 0.050659 , 0.042981 , 0.032765 , 0.043223 , 0.039468 , 0.037201 , 0.041274 , 0.032857 , 0.043846 , 0.03558 , 0.070358 , 0.046056 , 0.052689 , 0.058481 , 0.054876 , 0.039468 , 0.038453 , 0.045842 , 0.053335 , 0.037784 , 0.055637 , 0.056202 , 0.040541 , 0.028 , 0.046292 , 0.052401 , 0.037518 , 0.041718 , 0.045663 , 0.041775 , 0.04515 , 0.039451 , 0.041643 , 0.046984 , 0.04001 , 0.04984 , 0.065097 , 0.068645 
 469 , 0.996224 , 0.991726 , 1.007356 , 1.003817 , 1.000878 , 0.042462 , 0.038945 , 0.032432 , 0.040279 , 0.036884 , 0.041965 , 0.060707 , 0.050678 , 0.043079 , 0.032871 , 0.043391 , 0.039476 , 0.037253 , 0.041307 , 0.0329 , 0.043917 , 0.035619 , 0.070511 , 0.046111 , 0.052803 , 0.058565 , 0.055003 , 0.039528 , 0.038524 , 0.045909 , 0.053415 , 0.037854 , 0.055776 , 0.056302 , 0.040637 , 0.028021 , 0.046434 , 0.052485 , 0.037583 , 0.041774 , 0.045741 , 0.041873 , 0.04521 , 0.039534 , 0.04174 , 0.047133 , 0.040106 , 0.04991 , 0.065199 , 0.068756 
 470 , 0.996046 , 0.991603 , 1.007428 , 1.003898 , 1.001026 , 0.042534 , 0.03905 , 0.032481 , 0.040368 , 0.036988 , 0.042043 , 0.060901 , 0.050761 , 0.043222 , 0.03299 , 0.043516 , 0.039559 , 0.037334 , 0.041384 , 0.032967 , 0.044007 , 0.035694 , 0.070734 , 0.046197 , 0.052934 , 0.0587 , 0.05517 , 0.039617 , 0.038617 , 0.046001 , 0.053511 , 0.037947 , 0.055926 , 0.056429 , 0.040743 , 0.028067 , 0.046567 , 0.052616 , 0.037658 , 0.041852 , 0.045856 , 0.041991 , 0.045307 , 0.039651 , 0.04187 , 0.047318 , 0.040212 , 0.050016 , 0.065327 , 0.068897 
