  time  ,:06:06 P,:06:19 P,:06:21 P,:06:22 P,:06:34 P,:07:33 P,:07:42 P,:07:50 P,:07:58 P,:08:11 P,:08:52 P,:09:17 P,:09:26 P,:09:32 P,:09:42 P,:10:27 P,:10:37 P,:10:45 P,:10:53 P,:11:00 P,:11:37 P,:11:44 P,:11:54 P,:12:05 P,:12:20 P,:13:08 P,:13:17 P,:13:25 P,:13:39 P,:13:49 P,:14:35 P,:14:43 P,:14:52 P,:15:05 P,:15:12 P,:15:50 P,:15:57 P,:16:05 P,:16:13 P,:16:20 P,:17:24 P,:17:37 P,:17:44 P,:17:52 P,:18:01 P,:18:58 P,:19:28 P,:19:35 P,:19:46 P,:19:52 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 327 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 0 , 0 , 0 , 0 
 328 , 0.792451 , 2.400055 , 1.202326 , 0.003799 , 0.601369 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0.741345 , 2.243566 , 1.126757 , 0.325566 , 0.562766 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000028 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000121 , 0 , 0 , 0.000087 , 0 , 0 , 0 , 0.000031 , 0.00006 , 0 , 0.000026 , 0.000031 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000129 , 0.000153 
 330 , 0.703713 , 2.128153 , 1.071261 , 0.562527 , 0.534347 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000085 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000327 , 0 , 0 , 0.000319 , 0 , 0 , 0 , 0.000109 , 0.0002 , 0 , 0.000085 , 0.000109 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000439 , 0.000506 
 331 , 0.674844 , 2.039616 , 1.028688 , 0.744306 , 0.512546 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000147 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000529 , 0 , 0 , 0.000669 , 0 , 0 , 0 , 0.000216 , 0.000381 , 0 , 0.000158 , 0.000216 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000844 , 0.00095 
 332 , 0.778528 , 1.20817 , 0.961637 , 1.380593 , 0.671073 , 0 , 0 , 0 , 0 , 0 , 0.000042 , 0.000333 , 0.00031 , 0 , 0 , 0.000139 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001316 , 0.000111 , 0.000175 , 0.001389 , 0.000136 , 0.000015 , 0 , 0.00065 , 0.001442 , 0 , 0.000504 , 0.000751 , 0 , 0 , 0 , 0.00007 , 0.000034 , 0.000058 , 0 , 0 , 0 , 0 , 0 , 0.000019 , 0 , 0.000013 , 0.001878 , 0.002201 
 333 , 0.736172 , 0.863986 , 0.809055 , 1.893813 , 0.696973 , 0 , 0 , 0 , 0 , 0 , 0.00014 , 0.001062 , 0.000453 , 0 , 0 , 0.000421 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002525 , 0.000403 , 0.000599 , 0.001841 , 0.000469 , 0.00005 , 0 , 0.001272 , 0.004847 , 0 , 0.001106 , 0.00158 , 0 , 0 , 0 , 0.000237 , 0.000112 , 0.000196 , 0 , 0 , 0 , 0 , 0 , 0.000068 , 0 , 0.000046 , 0.002815 , 0.003534 
 334 , 0.680338 , 0.716822 , 0.711916 , 2.215681 , 0.675243 , 0 , 0 , 0 , 0 , 0 , 0.000241 , 0.001771 , 0.00055 , 0 , 0 , 0.000676 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003965 , 0.000752 , 0.001054 , 0.002101 , 0.000831 , 0.000089 , 0 , 0.001838 , 0.017864 , 0 , 0.001773 , 0.002334 , 0 , 0 , 0 , 0.000414 , 0.00019 , 0.000338 , 0 , 0 , 0 , 0 , 0 , 0.000124 , 0 , 0.000081 , 0.003507 , 0.004675 
 335 , 0.279155 , 0.292216 , 0.290674 , 3.862313 , 0.275642 , 0.000086 , 0.000054 , 0.000017 , 0.000051 , 0.000019 , 0.000177 , 0.001048 , 0.000362 , 0.000014 , 0.000017 , 0.000453 , 0.00011 , 0.000031 , 0.000067 , 0.000007 , 0.000083 , 0.000036 , 0.002357 , 0.000533 , 0.000701 , 0.001087 , 0.000554 , 0.000085 , 0.000014 , 0.00103 , 0.016056 , 0.000053 , 0.001074 , 0.00132 , 0.000048 , 0 , 0.000043 , 0.000302 , 0.000181 , 0.000272 , 0.000031 , 0.000014 , 0.000061 , 0 , 0 , 0.000105 , 0.000043 , 0.000118 , 0.001814 , 0.002471 
 336 , 0.671057 , 0.810025 , 0.738351 , 2.172903 , 0.607664 , 0.001254 , 0.000724 , 0.000225 , 0.000775 , 0.000265 , 0.0009 , 0.003181 , 0.002082 , 0.000181 , 0.000224 , 0.002117 , 0.001486 , 0.000445 , 0.001092 , 0.000085 , 0.001277 , 0.000493 , 0.006395 , 0.002183 , 0.002786 , 0.003995 , 0.002166 , 0.000626 , 0.000206 , 0.003125 , 0.01016 , 0.000772 , 0.003344 , 0.004038 , 0.000689 , 0 , 0.000648 , 0.001471 , 0.0013 , 0.001619 , 0.00045 , 0.000201 , 0.000892 , 0 , 0 , 0.000651 , 0.000617 , 0.001144 , 0.005497 , 0.006978 
