JUL12SHB200005.spu,JUL12SHB200004.spu,JUL12SHB200003.spu,
Wavelength,JUL12SHB200007.spu,JUL12SHB200008.spu,JUL12SHB200009.spu,JUL12SHB200010.spu,JUL12SHB200011.spu,JUL12SHB200012.spu,JUL12SHB200013.spu,JUL12SHB200014.spu,JUL12SHB200015.spu,JUL12SHB200016.spu,JUL12SHB200017.spu,JUL12SHB200018.spu,JUL12SHB200019.spu,JUL12SHB200020.spu,JUL12SHB200021.spu,JUL12SHB200022.spu,JUL12SHB200023.spu,JUL12SHB200024.spu,JUL12SHB200025.spu
  (nm),7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 ,7/12/2016 
  time  ,:44:37 A,:44:49 A,:45:04 A,:45:16 A,:45:46 A,:45:53 A,:46:01 A,:46:22 A,:46:32 A,:46:54 A,:47:06 A,:47:12 A,:47:20 A,:47:29 A,:48:20 A,:48:28 A,:48:34 A,:48:42 A,:48:48 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,
 339 , 0 , 0 , 0 , 0.001193 , 0 , 0 , 0.007712 , 0.0087 , 0.001357 , 0.000455 , 0.000279 , 0 , 0 , 0 , 0.001114 , 0.01025 , 0.001781 , 0.002201 , 0.003901 
 340 , 0 , 0 , 0 , 0.001947 , 0 , 0 , 0.009009 , 0.009197 , 0.002459 , 0.000964 , 0.000518 , 0 , 0 , 0 , 0.002278 , 0.011378 , 0.002797 , 0.002941 , 0.004647 
 341 , 0 , 0 , 0 , 0.002659 , 0 , 0 , 0.01011 , 0.00959 , 0.003237 , 0.001427 , 0.000694 , 0 , 0 , 0 , 0.003275 , 0.012325 , 0.003692 , 0.003646 , 0.005261 
 342 , 0.000209 , 0 , 0 , 0.003418 , 0 , 0 , 0.011047 , 0.010336 , 0.004088 , 0.001902 , 0.001243 , 0.000349 , 0.000077 , 0 , 0.00394 , 0.0133 , 0.004679 , 0.004485 , 0.006037 
 343 , 0.000674 , 0 , 0 , 0.00416 , 0 , 0 , 0.011855 , 0.011466 , 0.005089 , 0.002397 , 0.00222 , 0.001008 , 0.000199 , 0 , 0.004286 , 0.014359 , 0.005753 , 0.005493 , 0.007028 
 344 , 0.001134 , 0 , 0 , 0.004762 , 0 , 0 , 0.012584 , 0.012477 , 0.005939 , 0.002847 , 0.003113 , 0.00154 , 0.00028 , 0 , 0.00458 , 0.015345 , 0.006675 , 0.006457 , 0.007927 
 345 , 0.001625 , 0.000011 , 0.00001 , 0.005286 , 0.000063 , 0 , 0.013231 , 0.013382 , 0.00666 , 0.003291 , 0.003943 , 0.002038 , 0.000396 , 0.000071 , 0.004878 , 0.016171 , 0.007491 , 0.007291 , 0.008709 
 346 , 0.002538 , 0.000155 , 0.000142 , 0.006036 , 0.000907 , 0 , 0.013758 , 0.014182 , 0.007131 , 0.00411 , 0.004845 , 0.003302 , 0.001271 , 0.000998 , 0.005667 , 0.016079 , 0.00836 , 0.007249 , 0.009098 
 347 , 0.00334 , 0.000277 , 0.000256 , 0.006705 , 0.001647 , 0 , 0.014198 , 0.014878 , 0.007553 , 0.004821 , 0.005616 , 0.00471 , 0.002161 , 0.00179 , 0.006417 , 0.016003 , 0.009173 , 0.007224 , 0.00941 
 348 , 0.004049 , 0.000381 , 0.000355 , 0.007303 , 0.0023 , 0 , 0.014571 , 0.015489 , 0.007933 , 0.005442 , 0.00628 , 0.006281 , 0.003062 , 0.002471 , 0.00713 , 0.015938 , 0.009935 , 0.007209 , 0.009665 
 349 , 0.004663 , 0.000673 , 0.000657 , 0.007915 , 0.00275 , 0.00012 , 0.015195 , 0.01552 , 0.008101 , 0.005919 , 0.007184 , 0.006603 , 0.003586 , 0.00284 , 0.007931 , 0.016305 , 0.00967 , 0.007922 , 0.009852 
 350 , 0.005197 , 0.001009 , 0.001022 , 0.008476 , 0.003105 , 0.00025 , 0.015884 , 0.015355 , 0.008179 , 0.006329 , 0.008184 , 0.006401 , 0.003891 , 0.003071 , 0.008724 , 0.016796 , 0.009152 , 0.008951 , 0.01 
 351 , 0.005669 , 0.001305 , 0.001356 , 0.008965 , 0.003429 , 0.000347 , 0.016517 , 0.015212 , 0.008241 , 0.006715 , 0.009156 , 0.006235 , 0.004139 , 0.003272 , 0.009457 , 0.017235 , 0.008755 , 0.010003 , 0.01013 
 352 , 0.00602 , 0.0016 , 0.001733 , 0.009306 , 0.00381 , 0.000521 , 0.017004 , 0.015346 , 0.008461 , 0.007082 , 0.009623 , 0.006344 , 0.004355 , 0.003535 , 0.009613 , 0.017594 , 0.008816 , 0.010688 , 0.010386 
 353 , 0.006196 , 0.001936 , 0.002223 , 0.00942 , 0.004337 , 0.000889 , 0.017237 , 0.01598 , 0.008998 , 0.007425 , 0.009183 , 0.006942 , 0.004558 , 0.003947 , 0.008809 , 0.01784 , 0.009675 , 0.010592 , 0.010902 
 354 , 0.006351 , 0.002245 , 0.002682 , 0.009513 , 0.004829 , 0.001246 , 0.017433 , 0.01657 , 0.009496 , 0.007728 , 0.008835 , 0.007486 , 0.004743 , 0.004325 , 0.008165 , 0.018048 , 0.010548 , 0.010506 , 0.011371 
 355 , 0.006489 , 0.00253 , 0.00311 , 0.009589 , 0.005288 , 0.00159 , 0.017596 , 0.017121 , 0.009955 , 0.007997 , 0.008553 , 0.007983 , 0.004912 , 0.004674 , 0.007636 , 0.018226 , 0.011436 , 0.010429 , 0.011798 
 356 , 0.006712 , 0.002884 , 0.003269 , 0.009893 , 0.005379 , 0.001685 , 0.017989 , 0.017326 , 0.01012 , 0.008302 , 0.009137 , 0.008236 , 0.005143 , 0.00478 , 0.008429 , 0.018869 , 0.011861 , 0.011018 , 0.012136 
 357 , 0.006928 , 0.003247 , 0.003405 , 0.010189 , 0.005441 , 0.001762 , 0.018366 , 0.017502 , 0.010254 , 0.008595 , 0.009761 , 0.008463 , 0.005365 , 0.004866 , 0.009328 , 0.0195 , 0.012242 , 0.011629 , 0.012448 
 358 , 0.007132 , 0.003615 , 0.003532 , 0.010466 , 0.005494 , 0.001835 , 0.018717 , 0.017666 , 0.010374 , 0.008874 , 0.01038 , 0.008676 , 0.005578 , 0.004946 , 0.010268 , 0.020097 , 0.012603 , 0.012226 , 0.012741 
 359 , 0.007419 , 0.003713 , 0.003662 , 0.010761 , 0.00566 , 0.001994 , 0.019064 , 0.018015 , 0.010633 , 0.009237 , 0.01073 , 0.00882 , 0.005625 , 0.005152 , 0.010676 , 0.020651 , 0.012696 , 0.012587 , 0.013247 
 360 , 0.007743 , 0.003619 , 0.00379 , 0.011052 , 0.005901 , 0.002205 , 0.019381 , 0.018467 , 0.010972 , 0.009645 , 0.010862 , 0.008904 , 0.00556 , 0.005436 , 0.010655 , 0.021143 , 0.012597 , 0.012753 , 0.013891 
 361 , 0.008033 , 0.003539 , 0.003906 , 0.01131 , 0.006122 , 0.002399 , 0.019653 , 0.01887 , 0.011276 , 0.010023 , 0.010972 , 0.008974 , 0.0055 , 0.005696 , 0.010629 , 0.02158 , 0.012502 , 0.012892 , 0.014497 
 362 , 0.008281 , 0.003542 , 0.004034 , 0.011549 , 0.006333 , 0.002566 , 0.019785 , 0.019198 , 0.011518 , 0.010294 , 0.011018 , 0.009075 , 0.00552 , 0.005912 , 0.010592 , 0.021863 , 0.012517 , 0.013056 , 0.014977 
 363 , 0.008464 , 0.003852 , 0.004234 , 0.011792 , 0.006552 , 0.00267 , 0.019494 , 0.019365 , 0.011623 , 0.010223 , 0.010871 , 0.00935 , 0.005842 , 0.006031 , 0.010525 , 0.021677 , 0.012975 , 0.013414 , 0.015068 
 364 , 0.008629 , 0.00416 , 0.004419 , 0.012018 , 0.006753 , 0.002764 , 0.019224 , 0.019522 , 0.011723 , 0.010155 , 0.010735 , 0.009611 , 0.006146 , 0.006143 , 0.01046 , 0.0215 , 0.013424 , 0.013765 , 0.01515 
 365 , 0.008781 , 0.004467 , 0.00459 , 0.012226 , 0.006938 , 0.00285 , 0.018971 , 0.019669 , 0.011818 , 0.01009 , 0.010608 , 0.009859 , 0.006434 , 0.006249 , 0.010397 , 0.021333 , 0.013865 , 0.01411 , 0.015224 
 366 , 0.008728 , 0.00445 , 0.004649 , 0.012255 , 0.006821 , 0.00297 , 0.01899 , 0.019389 , 0.011987 , 0.010125 , 0.010866 , 0.009797 , 0.006441 , 0.006275 , 0.010494 , 0.021554 , 0.013793 , 0.014269 , 0.015065 
 367 , 0.008638 , 0.004365 , 0.004683 , 0.012243 , 0.006657 , 0.003092 , 0.019063 , 0.019046 , 0.012162 , 0.010176 , 0.011203 , 0.009679 , 0.006392 , 0.006284 , 0.010621 , 0.021846 , 0.013615 , 0.014379 , 0.014871 
 368 , 0.008556 , 0.004282 , 0.004717 , 0.012227 , 0.006509 , 0.003209 , 0.019129 , 0.018736 , 0.012328 , 0.010218 , 0.011529 , 0.009574 , 0.006347 , 0.006294 , 0.010738 , 0.022121 , 0.013448 , 0.014485 , 0.014697 
 369 , 0.008509 , 0.004247 , 0.004706 , 0.012181 , 0.006382 , 0.003171 , 0.019331 , 0.018729 , 0.012334 , 0.010131 , 0.011647 , 0.009606 , 0.006409 , 0.006287 , 0.010784 , 0.022318 , 0.01345 , 0.014448 , 0.014652 
 370 , 0.008502 , 0.00427 , 0.004641 , 0.012101 , 0.006275 , 0.00295 , 0.019705 , 0.019076 , 0.012152 , 0.00989 , 0.011513 , 0.009799 , 0.006605 , 0.006259 , 0.010747 , 0.022425 , 0.013655 , 0.014248 , 0.014757 
 371 , 0.008492 , 0.004294 , 0.004567 , 0.012017 , 0.006175 , 0.002726 , 0.020058 , 0.019398 , 0.011973 , 0.009655 , 0.011379 , 0.009981 , 0.006791 , 0.006221 , 0.010712 , 0.022523 , 0.013849 , 0.014064 , 0.014855 
 372 , 0.008481 , 0.004308 , 0.004505 , 0.011941 , 0.006081 , 0.002522 , 0.020351 , 0.019661 , 0.011802 , 0.009439 , 0.011252 , 0.010145 , 0.006942 , 0.00617 , 0.010681 , 0.022604 , 0.013996 , 0.013891 , 0.014955 
 373 , 0.008454 , 0.004192 , 0.004637 , 0.011928 , 0.006042 , 0.002588 , 0.019915 , 0.019286 , 0.011694 , 0.00941 , 0.011217 , 0.010122 , 0.006679 , 0.006012 , 0.010679 , 0.022512 , 0.013628 , 0.013684 , 0.015114 
 374 , 0.008443 , 0.004069 , 0.004773 , 0.011933 , 0.005997 , 0.002649 , 0.019569 , 0.018976 , 0.011597 , 0.009388 , 0.011192 , 0.01011 , 0.00646 , 0.005866 , 0.010681 , 0.022435 , 0.013293 , 0.013512 , 0.015266 
 375 , 0.008443 , 0.003943 , 0.004913 , 0.011954 , 0.005947 , 0.002707 , 0.019289 , 0.018716 , 0.011509 , 0.009371 , 0.011177 , 0.010108 , 0.006274 , 0.00573 , 0.010688 , 0.022371 , 0.012983 , 0.013367 , 0.015415 
 376 , 0.008482 , 0.004003 , 0.00488 , 0.012064 , 0.00609 , 0.002785 , 0.019397 , 0.018888 , 0.011612 , 0.009417 , 0.011349 , 0.010188 , 0.006386 , 0.005716 , 0.010888 , 0.02265 , 0.01326 , 0.013546 , 0.015743 
 377 , 0.008517 , 0.004142 , 0.004771 , 0.01216 , 0.006301 , 0.002867 , 0.019619 , 0.019189 , 0.011755 , 0.009464 , 0.011578 , 0.01026 , 0.006595 , 0.005741 , 0.011114 , 0.023005 , 0.013711 , 0.013798 , 0.016081 
 378 , 0.008535 , 0.004283 , 0.004657 , 0.012213 , 0.006505 , 0.002945 , 0.019806 , 0.01945 , 0.011865 , 0.009491 , 0.01179 , 0.010294 , 0.006785 , 0.005755 , 0.011294 , 0.023302 , 0.014104 , 0.013997 , 0.016361 
 379 , 0.008566 , 0.004305 , 0.004541 , 0.012177 , 0.006598 , 0.002972 , 0.019897 , 0.019629 , 0.01189 , 0.0095 , 0.011928 , 0.010274 , 0.006874 , 0.005792 , 0.011414 , 0.023557 , 0.01428 , 0.014119 , 0.016529 
 380 , 0.008629 , 0.004086 , 0.004422 , 0.012028 , 0.006468 , 0.002899 , 0.019826 , 0.01966 , 0.011782 , 0.009501 , 0.011905 , 0.010188 , 0.006792 , 0.00588 , 0.011443 , 0.023775 , 0.014107 , 0.014125 , 0.016534 
 381 , 0.008673 , 0.003871 , 0.004296 , 0.011916 , 0.006331 , 0.002827 , 0.019758 , 0.019668 , 0.011687 , 0.009515 , 0.011851 , 0.010113 , 0.006732 , 0.005966 , 0.011453 , 0.023993 , 0.013983 , 0.014119 , 0.016556 
 382 , 0.008708 , 0.003656 , 0.004165 , 0.011822 , 0.006189 , 0.002755 , 0.019691 , 0.019663 , 0.011598 , 0.009536 , 0.01178 , 0.010044 , 0.006683 , 0.006051 , 0.011454 , 0.024212 , 0.013884 , 0.014107 , 0.016587 
