  time  ,11:50 PM,11:58 PM,12:05 PM,12:16 PM,12:22 PM,13:26 PM,13:32 PM,13:38 PM,13:44 PM,13:49 PM,14:39 PM,14:47 PM,14:54 PM,14:59 PM,15:05 PM,16:50 PM,16:55 PM,17:00 PM,17:07 PM,17:12 PM,18:37 PM,18:44 PM,18:52 PM,18:58 PM,19:05 PM,20:03 PM,20:10 PM,20:16 PM,20:22 PM,20:28 PM,21:18 PM,21:26 PM,21:34 PM,21:42 PM,21:49 PM,22:50 PM,22:57 PM,23:03 PM,23:10 PM,23:24 PM,24:36 PM,24:42 PM,24:49 PM,24:56 PM,25:02 PM,26:16 PM,26:22 PM,26:29 PM,26:35 PM,26:42 PM,27:19 PM,27:25 PM,27:32 PM,27:39 PM,27:47 PM,28:27 PM,28:33 PM,28:39 PM,28:44 PM,28:50 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 511 , 0.042669 , 0.046685 , 0.047989 , 0.063043 , 0.066919 , 0.056488 , 0.058066 , 0.06197 , 0.058763 , 0.061554 , 0.095556 , 0.083181 , 0.095764 , 0.060594 , 0.082563 , 0.087214 , 0.099145 , 0.058403 , 0.082451 , 0.106611 , 0.107504 , 0.117424 , 0.087147 , 0.081333 , 0.09259 , 0.037226 , 0.045214 , 0.046461 , 0.042826 , 0.050415 , 0.047331 , 0.043433 , 0.048904 , 0.090264 , 0.114166 , 0.067565 , 0.089411 , 0.044427 , 0.11261 , 0.077328 , 0.061167 , 0.045725 , 0.042748 , 0.054707 , 0.05178 , 0.105841 , 0.055488 , 0.089068 , 0.050707 , 0.12776 , 0.037574 , 0.064273 , 0.104403 , 0.08053 , 0.060549 , 0.113565 , 0.109375 , 0.119873 , 0.089568 , 0.102269 
 512 , 0.043446 , 0.047842 , 0.049034 , 0.063899 , 0.06762 , 0.057417 , 0.058755 , 0.062628 , 0.059688 , 0.062364 , 0.095898 , 0.083525 , 0.09605 , 0.06102 , 0.082816 , 0.087544 , 0.099637 , 0.058946 , 0.082822 , 0.107041 , 0.108064 , 0.118431 , 0.087668 , 0.08222 , 0.093515 , 0.038015 , 0.046038 , 0.04732 , 0.043733 , 0.051261 , 0.048157 , 0.044098 , 0.049765 , 0.090608 , 0.114462 , 0.068284 , 0.089979 , 0.045166 , 0.113006 , 0.077976 , 0.06206 , 0.046392 , 0.043463 , 0.055443 , 0.052475 , 0.106372 , 0.056157 , 0.090029 , 0.051356 , 0.128399 , 0.03824 , 0.064798 , 0.104736 , 0.08077 , 0.061526 , 0.114012 , 0.109846 , 0.120477 , 0.090327 , 0.102752 
 513 , 0.044224 , 0.048996 , 0.050082 , 0.06475 , 0.068317 , 0.058347 , 0.059444 , 0.063287 , 0.060614 , 0.06318 , 0.096236 , 0.083869 , 0.096337 , 0.061442 , 0.083064 , 0.08788 , 0.100135 , 0.059489 , 0.083188 , 0.107478 , 0.108631 , 0.11944 , 0.088196 , 0.083104 , 0.094441 , 0.038806 , 0.046863 , 0.04818 , 0.044641 , 0.052107 , 0.048979 , 0.044765 , 0.050627 , 0.090953 , 0.114753 , 0.069004 , 0.090547 , 0.045912 , 0.113408 , 0.078625 , 0.062949 , 0.04706 , 0.044179 , 0.056181 , 0.053171 , 0.106898 , 0.056822 , 0.090986 , 0.052011 , 0.129044 , 0.038902 , 0.065324 , 0.105069 , 0.081005 , 0.062505 , 0.114466 , 0.110319 , 0.121083 , 0.091088 , 0.103235 
 514 , 0.045122 , 0.050399 , 0.051243 , 0.065744 , 0.06919 , 0.059431 , 0.060248 , 0.064122 , 0.061706 , 0.064127 , 0.096523 , 0.084152 , 0.096574 , 0.061875 , 0.083324 , 0.088234 , 0.100527 , 0.060129 , 0.083555 , 0.107926 , 0.109137 , 0.120489 , 0.088741 , 0.084067 , 0.095408 , 0.039812 , 0.047853 , 0.049216 , 0.045747 , 0.05318 , 0.049886 , 0.045578 , 0.05166 , 0.091213 , 0.115027 , 0.06982 , 0.091101 , 0.046812 , 0.113738 , 0.079365 , 0.06402 , 0.047831 , 0.045094 , 0.057055 , 0.053974 , 0.107448 , 0.057629 , 0.092002 , 0.052792 , 0.129623 , 0.039722 , 0.065811 , 0.105364 , 0.081224 , 0.063609 , 0.114898 , 0.110742 , 0.121649 , 0.091844 , 0.103709 
 515 , 0.046042 , 0.051858 , 0.052422 , 0.06677 , 0.070095 , 0.060554 , 0.061072 , 0.064995 , 0.062825 , 0.065102 , 0.096801 , 0.08442 , 0.09679 , 0.062306 , 0.083592 , 0.08859 , 0.100898 , 0.060796 , 0.083913 , 0.108382 , 0.109622 , 0.121553 , 0.089295 , 0.085046 , 0.096379 , 0.040863 , 0.048883 , 0.050286 , 0.046899 , 0.054304 , 0.050816 , 0.04642 , 0.052726 , 0.091453 , 0.115292 , 0.070658 , 0.091656 , 0.04775 , 0.114046 , 0.080126 , 0.06513 , 0.048618 , 0.046059 , 0.057967 , 0.054794 , 0.107988 , 0.058463 , 0.093026 , 0.053605 , 0.130186 , 0.04057 , 0.066291 , 0.105649 , 0.081439 , 0.064741 , 0.115325 , 0.111155 , 0.122206 , 0.092603 , 0.10419 
 516 , 0.046958 , 0.05332 , 0.053602 , 0.067797 , 0.071001 , 0.061672 , 0.061898 , 0.065868 , 0.063951 , 0.066077 , 0.097074 , 0.084689 , 0.097006 , 0.062738 , 0.083854 , 0.088947 , 0.101264 , 0.061464 , 0.084271 , 0.108833 , 0.110108 , 0.122617 , 0.089849 , 0.08602 , 0.09735 , 0.041916 , 0.049913 , 0.051363 , 0.048046 , 0.055429 , 0.05174 , 0.047262 , 0.053793 , 0.091699 , 0.115556 , 0.071497 , 0.092212 , 0.048689 , 0.114349 , 0.080887 , 0.066246 , 0.049406 , 0.047026 , 0.058875 , 0.055615 , 0.108534 , 0.059298 , 0.094051 , 0.054419 , 0.130744 , 0.041419 , 0.066765 , 0.105934 , 0.081655 , 0.065874 , 0.115753 , 0.111569 , 0.122758 , 0.093363 , 0.104671 
 517 , 0.048113 , 0.054995 , 0.055006 , 0.06904 , 0.072102 , 0.063079 , 0.062949 , 0.066978 , 0.065345 , 0.067294 , 0.097599 , 0.085175 , 0.09743 , 0.063345 , 0.084311 , 0.089537 , 0.101904 , 0.062294 , 0.084853 , 0.109515 , 0.11087 , 0.124017 , 0.090605 , 0.08726 , 0.098611 , 0.043147 , 0.051164 , 0.05265 , 0.049424 , 0.056814 , 0.052904 , 0.048294 , 0.055028 , 0.092159 , 0.116051 , 0.072537 , 0.09304 , 0.049797 , 0.114933 , 0.081887 , 0.067627 , 0.050418 , 0.048215 , 0.059983 , 0.056605 , 0.109351 , 0.0603 , 0.095373 , 0.055447 , 0.13165 , 0.042418 , 0.067475 , 0.106447 , 0.082023 , 0.067317 , 0.116458 , 0.112232 , 0.123616 , 0.094385 , 0.105396 
 518 , 0.049546 , 0.056935 , 0.05669 , 0.070542 , 0.073441 , 0.064835 , 0.064295 , 0.068365 , 0.067075 , 0.068808 , 0.098438 , 0.085922 , 0.098108 , 0.06417 , 0.084996 , 0.090412 , 0.10286 , 0.063323 , 0.085706 , 0.110471 , 0.111982 , 0.125834 , 0.091617 , 0.088815 , 0.100217 , 0.044589 , 0.052683 , 0.054206 , 0.05108 , 0.058515 , 0.054371 , 0.049551 , 0.056463 , 0.092891 , 0.116825 , 0.073827 , 0.094181 , 0.051109 , 0.115853 , 0.083166 , 0.069342 , 0.051706 , 0.049682 , 0.061345 , 0.057804 , 0.110505 , 0.061505 , 0.097062 , 0.056741 , 0.132967 , 0.043618 , 0.068479 , 0.107231 , 0.082574 , 0.069144 , 0.117507 , 0.11321 , 0.124845 , 0.095721 , 0.106412 
 519 , 0.05098 , 0.058883 , 0.058368 , 0.072045 , 0.074784 , 0.066596 , 0.065641 , 0.069752 , 0.068803 , 0.070318 , 0.099273 , 0.086671 , 0.098787 , 0.064995 , 0.085682 , 0.09128 , 0.103819 , 0.06436 , 0.086557 , 0.11143 , 0.113088 , 0.127645 , 0.092629 , 0.090376 , 0.101824 , 0.046034 , 0.054205 , 0.055761 , 0.052742 , 0.06022 , 0.055841 , 0.050815 , 0.057899 , 0.093618 , 0.117599 , 0.075116 , 0.095317 , 0.052421 , 0.116776 , 0.084436 , 0.07105 , 0.052999 , 0.051146 , 0.062702 , 0.059003 , 0.111658 , 0.062713 , 0.098753 , 0.058031 , 0.13429 , 0.044817 , 0.069478 , 0.108016 , 0.083126 , 0.070964 , 0.118554 , 0.11418 , 0.126073 , 0.097055 , 0.107433 
 520 , 0.052447 , 0.060862 , 0.060091 , 0.073602 , 0.076174 , 0.068397 , 0.067022 , 0.071187 , 0.070583 , 0.071871 , 0.100154 , 0.087453 , 0.099509 , 0.065854 , 0.086406 , 0.092187 , 0.104818 , 0.065429 , 0.087442 , 0.112434 , 0.11424 , 0.129517 , 0.093683 , 0.091986 , 0.103478 , 0.047517 , 0.055754 , 0.057359 , 0.054437 , 0.061966 , 0.057336 , 0.052107 , 0.059366 , 0.094384 , 0.118422 , 0.076444 , 0.096495 , 0.053764 , 0.117743 , 0.085756 , 0.072809 , 0.054322 , 0.052642 , 0.064106 , 0.060241 , 0.11286 , 0.063951 , 0.100493 , 0.059355 , 0.135666 , 0.046033 , 0.070514 , 0.108845 , 0.08372 , 0.072826 , 0.119653 , 0.115207 , 0.127355 , 0.098439 , 0.108494 
 521 , 0.054156 , 0.06318 , 0.062222 , 0.07566 , 0.077994 , 0.070584 , 0.068761 , 0.073006 , 0.072826 , 0.073801 , 0.101385 , 0.088569 , 0.100595 , 0.066967 , 0.087477 , 0.093418 , 0.106205 , 0.066816 , 0.088615 , 0.113905 , 0.115792 , 0.131965 , 0.095096 , 0.094033 , 0.105601 , 0.049325 , 0.057623 , 0.059284 , 0.05652 , 0.064139 , 0.059086 , 0.053663 , 0.061154 , 0.095456 , 0.119718 , 0.078139 , 0.098017 , 0.055387 , 0.119154 , 0.087494 , 0.074974 , 0.055933 , 0.054447 , 0.065857 , 0.061845 , 0.114503 , 0.065555 , 0.102691 , 0.060991 , 0.137545 , 0.047472 , 0.071844 , 0.110066 , 0.084661 , 0.074998 , 0.121175 , 0.11668 , 0.129171 , 0.100252 , 0.110026 
 522 , 0.05587 , 0.065503 , 0.064353 , 0.077722 , 0.07981 , 0.072783 , 0.070495 , 0.074824 , 0.07507 , 0.075733 , 0.102612 , 0.089689 , 0.10168 , 0.068078 , 0.088545 , 0.094646 , 0.107593 , 0.068207 , 0.089789 , 0.115377 , 0.117343 , 0.134413 , 0.096506 , 0.096089 , 0.10774 , 0.05113 , 0.059484 , 0.061214 , 0.058604 , 0.066312 , 0.060839 , 0.055219 , 0.062945 , 0.096529 , 0.121021 , 0.07984 , 0.099539 , 0.057008 , 0.120569 , 0.089237 , 0.077141 , 0.057548 , 0.056251 , 0.067614 , 0.063449 , 0.116152 , 0.067169 , 0.104894 , 0.062634 , 0.139423 , 0.048913 , 0.073176 , 0.111289 , 0.085606 , 0.077171 , 0.122704 , 0.118152 , 0.130987 , 0.102067 , 0.111558 
 523 , 0.05759 , 0.067817 , 0.066484 , 0.079781 , 0.081629 , 0.074975 , 0.072231 , 0.076646 , 0.077316 , 0.077665 , 0.103844 , 0.090802 , 0.102765 , 0.069186 , 0.089611 , 0.095874 , 0.108981 , 0.069595 , 0.090962 , 0.116844 , 0.118895 , 0.136861 , 0.097912 , 0.098138 , 0.10987 , 0.052938 , 0.061352 , 0.063148 , 0.060689 , 0.068487 , 0.062597 , 0.056772 , 0.064736 , 0.097604 , 0.122325 , 0.08154 , 0.101065 , 0.058633 , 0.121982 , 0.090986 , 0.079306 , 0.05916 , 0.058064 , 0.069369 , 0.065056 , 0.117798 , 0.068777 , 0.107097 , 0.064279 , 0.141305 , 0.050355 , 0.074507 , 0.112513 , 0.086553 , 0.079348 , 0.124233 , 0.119623 , 0.132808 , 0.103873 , 0.113094 
 524 , 0.059426 , 0.070129 , 0.068614 , 0.081849 , 0.083423 , 0.077234 , 0.073966 , 0.078479 , 0.079616 , 0.079634 , 0.105074 , 0.091905 , 0.103864 , 0.07032 , 0.090696 , 0.097154 , 0.110395 , 0.071009 , 0.092168 , 0.11832 , 0.120451 , 0.139348 , 0.099357 , 0.100243 , 0.112029 , 0.054769 , 0.063323 , 0.065143 , 0.06285 , 0.070721 , 0.064371 , 0.058403 , 0.066555 , 0.098657 , 0.123581 , 0.08325 , 0.102571 , 0.0603 , 0.123408 , 0.092713 , 0.08152 , 0.060791 , 0.059929 , 0.071164 , 0.066681 , 0.119439 , 0.070446 , 0.109365 , 0.065933 , 0.143197 , 0.05186 , 0.075785 , 0.113735 , 0.087517 , 0.081633 , 0.125754 , 0.121079 , 0.134631 , 0.105696 , 0.114579 
 525 , 0.061303 , 0.072431 , 0.070731 , 0.083921 , 0.085203 , 0.079512 , 0.075696 , 0.080316 , 0.081925 , 0.081623 , 0.106302 , 0.092998 , 0.104972 , 0.071463 , 0.091789 , 0.098447 , 0.111818 , 0.072418 , 0.093391 , 0.1198 , 0.12202 , 0.141837 , 0.100823 , 0.102353 , 0.114188 , 0.056616 , 0.065319 , 0.067157 , 0.065035 , 0.072975 , 0.066153 , 0.060057 , 0.068379 , 0.099699 , 0.124808 , 0.084955 , 0.104065 , 0.061987 , 0.124832 , 0.094437 , 0.083751 , 0.062428 , 0.061811 , 0.072969 , 0.068312 , 0.12107 , 0.072122 , 0.111642 , 0.067599 , 0.145091 , 0.053393 , 0.077039 , 0.114944 , 0.088493 , 0.083957 , 0.127263 , 0.122528 , 0.136449 , 0.107524 , 0.116045 
 526 , 0.063182 , 0.07474 , 0.072852 , 0.085993 , 0.086977 , 0.081796 , 0.077428 , 0.082157 , 0.084234 , 0.083611 , 0.107535 , 0.094088 , 0.106074 , 0.072602 , 0.092872 , 0.099739 , 0.113234 , 0.073836 , 0.094614 , 0.12128 , 0.123583 , 0.14433 , 0.102281 , 0.104468 , 0.116344 , 0.058459 , 0.067318 , 0.069175 , 0.067214 , 0.075235 , 0.067935 , 0.061715 , 0.070201 , 0.100741 , 0.126033 , 0.086659 , 0.105561 , 0.06367 , 0.126259 , 0.096159 , 0.085987 , 0.064067 , 0.063695 , 0.074771 , 0.069944 , 0.122704 , 0.073799 , 0.113919 , 0.06926 , 0.146982 , 0.054928 , 0.078296 , 0.116161 , 0.08947 , 0.086281 , 0.128776 , 0.123974 , 0.138276 , 0.109355 , 0.117511 
 527 , 0.065036 , 0.077063 , 0.07499 , 0.088041 , 0.088757 , 0.084104 , 0.07918 , 0.084012 , 0.086567 , 0.085598 , 0.108764 , 0.095194 , 0.10719 , 0.073762 , 0.093947 , 0.101013 , 0.114645 , 0.075243 , 0.095835 , 0.122722 , 0.125141 , 0.146832 , 0.10371 , 0.106554 , 0.118495 , 0.060291 , 0.069294 , 0.071164 , 0.069374 , 0.077489 , 0.069714 , 0.063339 , 0.072028 , 0.101821 , 0.12727 , 0.088369 , 0.107048 , 0.065338 , 0.127653 , 0.097897 , 0.08822 , 0.065709 , 0.065573 , 0.07657 , 0.071559 , 0.124345 , 0.075446 , 0.116156 , 0.070917 , 0.148863 , 0.056427 , 0.079569 , 0.117354 , 0.090405 , 0.088572 , 0.1303 , 0.125413 , 0.140075 , 0.111176 , 0.118977 
 528 , 0.066849 , 0.079417 , 0.077143 , 0.09006 , 0.090527 , 0.086471 , 0.080962 , 0.085891 , 0.088945 , 0.08758 , 0.109994 , 0.096297 , 0.108317 , 0.074949 , 0.094989 , 0.102254 , 0.116032 , 0.076638 , 0.097058 , 0.124114 , 0.126681 , 0.149344 , 0.105083 , 0.108604 , 0.120599 , 0.062094 , 0.071254 , 0.073111 , 0.071491 , 0.079741 , 0.071491 , 0.064898 , 0.073853 , 0.102952 , 0.128519 , 0.090079 , 0.108529 , 0.066973 , 0.128999 , 0.09965 , 0.090446 , 0.067347 , 0.067441 , 0.078358 , 0.073142 , 0.125995 , 0.077055 , 0.118325 , 0.072563 , 0.150708 , 0.057882 , 0.080863 , 0.11853 , 0.091275 , 0.090795 , 0.131853 , 0.126855 , 0.141841 , 0.112991 , 0.120437 
 529 , 0.068659 , 0.081777 , 0.079291 , 0.092082 , 0.092296 , 0.088836 , 0.082745 , 0.087772 , 0.091321 , 0.089565 , 0.111227 , 0.097405 , 0.10944 , 0.076139 , 0.096039 , 0.103495 , 0.117424 , 0.078033 , 0.098273 , 0.125502 , 0.128226 , 0.151851 , 0.106452 , 0.110648 , 0.122709 , 0.063902 , 0.073208 , 0.075057 , 0.073604 , 0.081997 , 0.07327 , 0.066463 , 0.07568 , 0.10408 , 0.129768 , 0.091793 , 0.110013 , 0.068615 , 0.13034 , 0.1014 , 0.092667 , 0.068992 , 0.069307 , 0.080147 , 0.074718 , 0.127648 , 0.078656 , 0.120494 , 0.074214 , 0.152556 , 0.059335 , 0.082154 , 0.119714 , 0.092151 , 0.093019 , 0.133404 , 0.128296 , 0.143609 , 0.114807 , 0.121897 
 530 , 0.070466 , 0.084122 , 0.081435 , 0.094087 , 0.094062 , 0.091191 , 0.084528 , 0.089648 , 0.093687 , 0.091547 , 0.112456 , 0.098508 , 0.110564 , 0.077319 , 0.097085 , 0.104726 , 0.118802 , 0.079428 , 0.09948 , 0.126894 , 0.129765 , 0.154359 , 0.107813 , 0.112685 , 0.124811 , 0.065708 , 0.075159 , 0.076995 , 0.075712 , 0.084242 , 0.075045 , 0.06802 , 0.07749 , 0.105203 , 0.131016 , 0.09349 , 0.111491 , 0.070243 , 0.131677 , 0.103145 , 0.094875 , 0.070624 , 0.071171 , 0.081924 , 0.076296 , 0.129288 , 0.08026 , 0.122664 , 0.075852 , 0.15439 , 0.060786 , 0.083442 , 0.120892 , 0.09302 , 0.095231 , 0.134948 , 0.129727 , 0.145371 , 0.11661 , 0.12335 
 531 , 0.072078 , 0.086247 , 0.083352 , 0.095914 , 0.095734 , 0.093274 , 0.086138 , 0.091327 , 0.09576 , 0.093351 , 0.113549 , 0.099507 , 0.111505 , 0.078362 , 0.098059 , 0.105842 , 0.120063 , 0.080732 , 0.100519 , 0.12825 , 0.131171 , 0.156749 , 0.109065 , 0.114644 , 0.126757 , 0.067395 , 0.076869 , 0.078791 , 0.077683 , 0.086356 , 0.076594 , 0.069451 , 0.079079 , 0.106118 , 0.132093 , 0.095036 , 0.112876 , 0.071796 , 0.132932 , 0.104715 , 0.096881 , 0.072065 , 0.072853 , 0.083512 , 0.077766 , 0.130767 , 0.081757 , 0.124669 , 0.077362 , 0.156083 , 0.062117 , 0.084556 , 0.121991 , 0.09387 , 0.09724 , 0.136263 , 0.131049 , 0.147 , 0.11825 , 0.124707 
 532 , 0.073686 , 0.088365 , 0.085258 , 0.097729 , 0.097412 , 0.095359 , 0.087751 , 0.092995 , 0.097826 , 0.095158 , 0.114642 , 0.100512 , 0.112453 , 0.079401 , 0.099033 , 0.106957 , 0.12132 , 0.082036 , 0.101552 , 0.129599 , 0.13257 , 0.159138 , 0.110322 , 0.116599 , 0.128708 , 0.069088 , 0.078581 , 0.080583 , 0.079653 , 0.088468 , 0.078142 , 0.070896 , 0.08066 , 0.107035 , 0.133177 , 0.096579 , 0.114261 , 0.073343 , 0.134184 , 0.106292 , 0.098878 , 0.073511 , 0.074538 , 0.085097 , 0.07924 , 0.132234 , 0.083256 , 0.12668 , 0.078878 , 0.157769 , 0.06345 , 0.085678 , 0.123089 , 0.094719 , 0.099253 , 0.137581 , 0.132363 , 0.148631 , 0.119893 , 0.12606 
 533 , 0.075297 , 0.090486 , 0.087172 , 0.099548 , 0.099086 , 0.097445 , 0.089359 , 0.094672 , 0.099893 , 0.096963 , 0.115732 , 0.101514 , 0.113395 , 0.080447 , 0.100004 , 0.108063 , 0.122581 , 0.083337 , 0.102588 , 0.130953 , 0.133974 , 0.161525 , 0.111579 , 0.118558 , 0.13066 , 0.070779 , 0.080291 , 0.08238 , 0.081625 , 0.090577 , 0.079692 , 0.072335 , 0.082244 , 0.107946 , 0.134261 , 0.098122 , 0.115641 , 0.074894 , 0.135439 , 0.107862 , 0.100876 , 0.074952 , 0.076228 , 0.086684 , 0.080707 , 0.133707 , 0.08475 , 0.128688 , 0.080382 , 0.159462 , 0.064783 , 0.086794 , 0.124183 , 0.095564 , 0.10126 , 0.138889 , 0.133681 , 0.150263 , 0.12154 , 0.127412 
 534 , 0.076699 , 0.092238 , 0.08877 , 0.10107 , 0.100486 , 0.099273 , 0.090704 , 0.09608 , 0.101699 , 0.098506 , 0.116589 , 0.102302 , 0.114144 , 0.081308 , 0.100775 , 0.108944 , 0.123618 , 0.08441 , 0.103456 , 0.131984 , 0.135099 , 0.163567 , 0.112603 , 0.120136 , 0.132299 , 0.072214 , 0.081754 , 0.083872 , 0.083295 , 0.092336 , 0.08102 , 0.073532 , 0.083603 , 0.108682 , 0.135092 , 0.099398 , 0.116727 , 0.076214 , 0.136416 , 0.109187 , 0.102538 , 0.076168 , 0.077663 , 0.088055 , 0.081951 , 0.134889 , 0.086016 , 0.130417 , 0.08161 , 0.160787 , 0.065907 , 0.087714 , 0.124995 , 0.096198 , 0.102984 , 0.139957 , 0.134705 , 0.151582 , 0.12289 , 0.128476 
 535 , 0.077997 , 0.093827 , 0.090221 , 0.102471 , 0.101765 , 0.101001 , 0.091942 , 0.097381 , 0.103387 , 0.099926 , 0.117338 , 0.102992 , 0.114807 , 0.082085 , 0.101449 , 0.10973 , 0.124551 , 0.085368 , 0.104258 , 0.132879 , 0.136096 , 0.165449 , 0.113508 , 0.121538 , 0.133802 , 0.073527 , 0.083113 , 0.08523 , 0.084828 , 0.093933 , 0.082263 , 0.074615 , 0.084854 , 0.109328 , 0.135813 , 0.100559 , 0.117675 , 0.07743 , 0.13727 , 0.110389 , 0.104066 , 0.077285 , 0.078986 , 0.089331 , 0.083094 , 0.135944 , 0.087175 , 0.132015 , 0.082711 , 0.161948 , 0.066947 , 0.088553 , 0.125679 , 0.096741 , 0.104574 , 0.140902 , 0.135595 , 0.152764 , 0.124116 , 0.129404 
 536 , 0.079298 , 0.095415 , 0.091676 , 0.103868 , 0.103046 , 0.102728 , 0.093181 , 0.098684 , 0.105075 , 0.101349 , 0.118096 , 0.103683 , 0.11547 , 0.082865 , 0.102125 , 0.110518 , 0.125488 , 0.086333 , 0.105048 , 0.133775 , 0.137097 , 0.167335 , 0.114416 , 0.122935 , 0.1353 , 0.074843 , 0.08447 , 0.086591 , 0.086359 , 0.095528 , 0.083502 , 0.075692 , 0.086107 , 0.109974 , 0.136533 , 0.101714 , 0.118626 , 0.078649 , 0.138124 , 0.111592 , 0.105599 , 0.078403 , 0.080313 , 0.090602 , 0.084238 , 0.136997 , 0.088335 , 0.133616 , 0.083813 , 0.163112 , 0.067981 , 0.089395 , 0.126363 , 0.097285 , 0.106169 , 0.141857 , 0.13648 , 0.153949 , 0.125335 , 0.130334 
 537 , 0.080509 , 0.096961 , 0.093094 , 0.10524 , 0.104273 , 0.10436 , 0.094381 , 0.09994 , 0.106693 , 0.1027 , 0.118818 , 0.104353 , 0.116091 , 0.083616 , 0.10278 , 0.111272 , 0.12637 , 0.087275 , 0.105813 , 0.134649 , 0.138062 , 0.169184 , 0.115305 , 0.12431 , 0.136742 , 0.07611 , 0.085782 , 0.087902 , 0.087828 , 0.097067 , 0.084682 , 0.07671 , 0.087295 , 0.110605 , 0.137242 , 0.102833 , 0.119551 , 0.079836 , 0.138948 , 0.112765 , 0.107039 , 0.079483 , 0.081569 , 0.091801 , 0.085329 , 0.138015 , 0.089462 , 0.135162 , 0.084889 , 0.164238 , 0.068978 , 0.090222 , 0.127023 , 0.097794 , 0.107666 , 0.142768 , 0.137355 , 0.1551 , 0.12653 , 0.131229 
 538 , 0.081533 , 0.098433 , 0.094456 , 0.106555 , 0.105417 , 0.105812 , 0.095514 , 0.101091 , 0.108175 , 0.10391 , 0.119477 , 0.104995 , 0.116612 , 0.084298 , 0.103381 , 0.111972 , 0.127131 , 0.088182 , 0.106508 , 0.13548 , 0.138962 , 0.17094 , 0.116156 , 0.125631 , 0.138091 , 0.077281 , 0.087003 , 0.089126 , 0.089173 , 0.098493 , 0.085738 , 0.077596 , 0.088349 , 0.111195 , 0.137917 , 0.10387 , 0.120435 , 0.080937 , 0.139712 , 0.113867 , 0.108296 , 0.080482 , 0.082678 , 0.092842 , 0.086307 , 0.138955 , 0.090505 , 0.136598 , 0.085905 , 0.165316 , 0.069889 , 0.091014 , 0.127686 , 0.098239 , 0.108965 , 0.143602 , 0.138192 , 0.156163 , 0.127646 , 0.132065 
 539 , 0.082556 , 0.099907 , 0.095818 , 0.107877 , 0.106566 , 0.107258 , 0.096646 , 0.102248 , 0.109659 , 0.10512 , 0.120144 , 0.105638 , 0.117138 , 0.084984 , 0.103983 , 0.112672 , 0.127892 , 0.089079 , 0.107205 , 0.136313 , 0.139864 , 0.172698 , 0.11701 , 0.126951 , 0.13944 , 0.078446 , 0.088225 , 0.09035 , 0.090512 , 0.099921 , 0.086793 , 0.078487 , 0.089402 , 0.111785 , 0.138593 , 0.104911 , 0.121321 , 0.082044 , 0.140482 , 0.114966 , 0.109545 , 0.08148 , 0.083793 , 0.093888 , 0.087284 , 0.139897 , 0.091548 , 0.138034 , 0.086927 , 0.166389 , 0.070793 , 0.09181 , 0.12835 , 0.098683 , 0.110258 , 0.144437 , 0.139023 , 0.157229 , 0.12876 , 0.132903 
 540 , 0.083584 , 0.101384 , 0.097183 , 0.109194 , 0.107714 , 0.1087 , 0.097777 , 0.103404 , 0.111139 , 0.106329 , 0.120813 , 0.106282 , 0.117658 , 0.085671 , 0.104586 , 0.113368 , 0.128649 , 0.089981 , 0.107897 , 0.137141 , 0.140768 , 0.174457 , 0.117867 , 0.128271 , 0.140788 , 0.079612 , 0.089448 , 0.091576 , 0.091859 , 0.101351 , 0.087853 , 0.079369 , 0.090454 , 0.112375 , 0.139268 , 0.105951 , 0.122211 , 0.083152 , 0.141248 , 0.116071 , 0.110795 , 0.082476 , 0.084901 , 0.094926 , 0.088259 , 0.140842 , 0.092589 , 0.139471 , 0.087941 , 0.167465 , 0.071708 , 0.092609 , 0.129007 , 0.099121 , 0.111558 , 0.145274 , 0.139856 , 0.158292 , 0.129878 , 0.133743 
 541 , 0.084622 , 0.102664 , 0.098387 , 0.110415 , 0.108786 , 0.110008 , 0.098856 , 0.10449 , 0.112506 , 0.107517 , 0.1215 , 0.106933 , 0.118235 , 0.086366 , 0.105196 , 0.11404 , 0.129461 , 0.090833 , 0.108671 , 0.137987 , 0.14172 , 0.176222 , 0.118757 , 0.129529 , 0.142087 , 0.080678 , 0.090561 , 0.092754 , 0.093107 , 0.102677 , 0.088803 , 0.080278 , 0.09145 , 0.113008 , 0.139948 , 0.106994 , 0.123088 , 0.084201 , 0.142046 , 0.117169 , 0.111997 , 0.083366 , 0.085952 , 0.095964 , 0.089197 , 0.141801 , 0.093589 , 0.140872 , 0.088885 , 0.168579 , 0.072574 , 0.093358 , 0.129672 , 0.099643 , 0.112832 , 0.146152 , 0.140675 , 0.159388 , 0.130907 , 0.134607 
