  time  ,11:50 PM,11:58 PM,12:05 PM,12:16 PM,12:22 PM,13:26 PM,13:32 PM,13:38 PM,13:44 PM,13:49 PM,14:39 PM,14:47 PM,14:54 PM,14:59 PM,15:05 PM,16:50 PM,16:55 PM,17:00 PM,17:07 PM,17:12 PM,18:37 PM,18:44 PM,18:52 PM,18:58 PM,19:05 PM,20:03 PM,20:10 PM,20:16 PM,20:22 PM,20:28 PM,21:18 PM,21:26 PM,21:34 PM,21:42 PM,21:49 PM,22:50 PM,22:57 PM,23:03 PM,23:10 PM,23:24 PM,24:36 PM,24:42 PM,24:49 PM,24:56 PM,25:02 PM,26:16 PM,26:22 PM,26:29 PM,26:35 PM,26:42 PM,27:19 PM,27:25 PM,27:32 PM,27:39 PM,27:47 PM,28:27 PM,28:33 PM,28:39 PM,28:44 PM,28:50 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 317 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 318 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 
 319 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 
 320 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 
 321 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 1 , 1 , 1 , 1 
 322 , 0 , 0 , 1.101943 , 1.101943 , 1.101943 , 1.101943 , 1.101943 , 0 , 1.101943 , 0 , 0 , 0 , 0.006085 , 1.101943 , 1.101943 , 0 , 1.101943 , 1.101943 , 1.101943 , 0 , 1.101943 , 1.101943 , 1.101943 , 1.101943 , 0 , 1.101943 , 1.101943 , 0 , 0 , 1.101943 , 1.101943 , 1.101943 , 1.101943 , 1.101943 , 1.101943 , 1.101943 , 1.101943 , 1.101943 , 0 , 1.101943 , 0 , 1.101943 , 1.101943 , 1.101943 , 1.101943 , 0 , 0 , 1.101943 , 0 , 1.101943 , 0 , 0 , 1.101943 , 0 , 1.101943 , 0 , 1.101943 , 1.101943 , 1.101943 , 0 
 323 , 0 , 0 , 1.27253 , 1.27253 , 1.27253 , 1.27253 , 1.27253 , 0 , 1.27253 , 0 , 0 , 0 , 0.007303 , 1.27253 , 1.27253 , 0 , 1.27253 , 1.27253 , 1.27253 , 0 , 1.27253 , 1.27253 , 1.27253 , 1.27253 , 0 , 1.27253 , 1.27253 , 0 , 0 , 1.27253 , 1.27253 , 1.27253 , 1.27253 , 1.27253 , 1.27253 , 1.27253 , 1.27253 , 1.27253 , 0 , 1.27253 , 0 , 1.27253 , 1.27253 , 1.27253 , 1.27253 , 0 , 0 , 1.27253 , 0 , 1.27253 , 0 , 0 , 1.27253 , 0 , 1.27253 , 0 , 1.27253 , 1.27253 , 1.27253 , 0 
 324 , 0 , 0 , 1.329753 , 1.329753 , 1.329753 , 1.329753 , 1.329753 , 0 , 1.329753 , 0 , 0 , 0 , 0.007712 , 1.329753 , 1.329753 , 0 , 1.329753 , 1.329753 , 1.329753 , 0 , 1.329753 , 1.329753 , 1.329753 , 1.329753 , 0 , 1.329753 , 1.329753 , 0 , 0 , 1.329753 , 1.329753 , 1.329753 , 1.329753 , 1.329753 , 1.329753 , 1.329753 , 1.329753 , 1.329753 , 0 , 1.329753 , 0 , 1.329753 , 1.329753 , 1.329753 , 1.329753 , 0 , 0 , 1.329753 , 0 , 1.329753 , 0 , 0 , 1.329753 , 0 , 1.329753 , 0 , 1.329753 , 1.329753 , 1.329753 , 0 
 325 , 0 , 0 , 0.803186 , 0.803186 , 0.803186 , 0 , 0 , 0 , 0 , 0 , 0.001558 , 0.000587 , 0.005271 , 0.803186 , 0.007955 , 0.000128 , 0.00035 , 0.803186 , 0 , 0.803186 , 0.803186 , 0.803186 , 0.803186 , 0.803186 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.803186 , 0.003277 , 0.019031 , 0.803186 , 0 , 0 , 0.803186 , 0.803186 , 0 , 0 , 0.803186 , 0 , 0 , 0.000716 , 0 , 0.803186 , 0 , 0.803186 , 0 , 0 , 0.803186 , 0.015911 , 0.803186 , 0.00006 , 0.004836 , 0.803186 , 0.803186 , 0 
 326 , 0 , 0 , 1.518056 , 1.518056 , 1.518056 , 0 , 0 , 0 , 0 , 0 , 0.005664 , 0.006574 , 0.011726 , 1.518056 , 0.016627 , 0.000645 , 0.000732 , 1.518056 , 0 , 1.518056 , 1.518056 , 1.518056 , 1.518056 , 1.518056 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.518056 , 0.006848 , 0.0184 , 1.518056 , 0 , 0 , 1.518056 , 1.518056 , 0 , 0 , 1.518056 , 0 , 0 , 0.003603 , 0 , 1.518056 , 0 , 1.518056 , 0 , 0 , 1.518056 , 0.033254 , 1.518056 , 0.000406 , 0.010108 , 1.518056 , 1.518056 , 0 
 327 , 0 , 0 , 1.789486 , 1.789486 , 1.789486 , 0 , 0 , 0 , 0 , 0 , 0.007711 , 0.027203 , 0.014616 , 1.789486 , 0.019906 , 0.001002 , 0.000877 , 1.789486 , 0 , 1.789486 , 1.789486 , 1.789486 , 1.789486 , 1.789486 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.789486 , 0.008199 , 0.018311 , 1.789486 , 0 , 0 , 1.789486 , 1.789486 , 0 , 0 , 1.789486 , 0 , 0 , 0.005599 , 0 , 1.789486 , 0 , 1.789486 , 0 , 0 , 1.789486 , 0.039811 , 1.789486 , 0.000769 , 0.012101 , 1.789486 , 1.789486 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000229 , 0.028602 , 0.000419 , 0.049785 , 0.000554 , 0.000032 , 0.000025 , 0 , 0 , 0.070115 , 0.019198 , 0.016485 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000229 , 0.000472 , 0 , 0 , 0 , 0.02361 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000178 , 0 , 0 , 0 , 0 , 0 , 0 , 0.048465 , 0.001095 , 0 , 0.000028 , 0.000339 , 0.004174 , 0 , 0 
