  time  ,54:24 PM,54:30 PM,54:38 PM,54:44 PM,54:51 PM,55:58 PM,56:05 PM,56:11 PM,56:19 PM,56:27 PM,57:18 PM,57:24 PM,57:30 PM,57:39 PM,57:46 PM,58:37 PM,58:46 PM,58:53 PM,59:01 PM,59:09 PM,00:17 PM,00:25 PM,00:31 PM,00:40 PM,00:47 PM,01:49 PM,01:55 PM,02:01 PM,02:10 PM,02:17 PM,03:02 PM,03:08 PM,03:20 PM,03:34 PM,03:40 PM,04:32 PM,04:39 PM,04:48 PM,04:54 PM,05:01 PM,06:15 PM,06:22 PM,06:29 PM,06:36 PM,06:45 PM,07:59 PM,08:04 PM,08:11 PM,08:22 PM,08:32 PM,09:09 PM,09:15 PM,09:22 PM,09:29 PM,09:36 PM,10:14 PM,10:22 PM,10:28 PM,10:35 PM,10:41 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.426186 , 1.426186 , 1.426186 , 1.426186 , 1.426186 , 1.426186 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.426186 , 0 , 1.426186 , 0 
 317 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.449288 , 1.449288 , 1.449288 , 1.449288 , 1.449288 , 1.449288 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.449288 , 0 , 1.449288 , 0 
 318 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.474385 , 0.474385 , 0.474385 , 0.474385 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.474385 , 0 , 0 
 319 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.578056 , 1.578056 , 1.578056 , 1.578056 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.578056 , 0 , 0 
 320 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.900861 , 1.900861 , 1.900861 , 1.900861 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.900861 , 0 , 0 
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.051182 , 2.051182 , 2.051182 , 2.051182 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.051182 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000137 , 0 , 0 , 0 , 0 , 0 , 1.421777 , 1.421777 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000272 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00054 , 0 , 0 , 0 , 0 , 0 , 2.420346 , 2.420346 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000993 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001107 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000987 , 0 , 0 , 0 , 0 , 0 , 2.890983 , 2.890983 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001699 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001842 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0.000369 , 0.000054 , 0 , 0 , 0.000242 , 0 , 0 , 0 , 0 , 0 , 0.000673 , 0.000212 , 0.00234 , 0 , 0.000297 , 0 , 0.001876 , 0.001069 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000364 , 0.00052 , 0.003436 , 0 , 0 , 0 , 0.000321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000246 , 0 , 0 , 0.004103 , 0.000656 , 0 , 0.000251 , 0.000341 , 0 , 0 , 0 
