 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000137 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000016 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0.001704 , 0.001571 , 0.009135 , 0 , 0.004245 , 0.004565 , 0.002578 , 0.004756 , 0.006012 , 0.003057 , 0.006393 , 0.002191 , 0.007392 , 0 , 0.007323 , 0.003271 , 0.006317 , 0.013096 , 0.007333 , 0.02001 , 0.002487 , 0.013715 , 0.004399 , 0.003053 , 0.006668 , 0.026052 , 0.004127 , 0.0105 , 0.002448 , 0.027237 , 0.022054 , 0.006711 , 0.006964 , 0.005 , 0.002602 
 323 , 0.003771 , 0.003192 , 0.014192 , 0 , 0.009844 , 0.009479 , 0.00562 , 0.009404 , 0.012837 , 0.002712 , 0.014207 , 0.001317 , 0.010449 , 0 , 0.015272 , 0.007071 , 0.009236 , 0.015681 , 0.0119 , 0.023216 , 0.005263 , 0.014481 , 0.006227 , 0.006853 , 0.010756 , 0.026883 , 0.008532 , 0.010461 , 0.005181 , 0.030159 , 0.021263 , 0.009181 , 0.009981 , 0.010734 , 0.004099 
 324 , 0.005607 , 0.004346 , 0.018314 , 0 , 0.01546 , 0.013182 , 0.008213 , 0.012489 , 0.018357 , 0.002434 , 0.021217 , 0.000515 , 0.012829 , 0 , 0.02133 , 0.010246 , 0.011748 , 0.017671 , 0.015126 , 0.025764 , 0.007458 , 0.015135 , 0.007852 , 0.010351 , 0.014083 , 0.027541 , 0.011816 , 0.010526 , 0.007341 , 0.032442 , 0.020497 , 0.011017 , 0.012295 , 0.015441 , 0.005291 
 325 , 0.009667 , 0.005505 , 0.023439 , 0.002907 , 0.020774 , 0.015625 , 0.011328 , 0.01472 , 0.021477 , 0.005508 , 0.026037 , 0.001006 , 0.015385 , 0.002508 , 0.023578 , 0.013072 , 0.015467 , 0.020218 , 0.018498 , 0.028789 , 0.011073 , 0.016833 , 0.011105 , 0.013466 , 0.016279 , 0.028597 , 0.014897 , 0.012996 , 0.010693 , 0.033898 , 0.021141 , 0.014267 , 0.015071 , 0.019022 , 0.007696 
 326 , 0.01647 , 0.007033 , 0.030557 , 0.010082 , 0.024073 , 0.016848 , 0.015083 , 0.01655 , 0.021576 , 0.012957 , 0.027289 , 0.00359 , 0.018373 , 0.008691 , 0.02126 , 0.015451 , 0.021033 , 0.023967 , 0.022991 , 0.032863 , 0.017075 , 0.020082 , 0.016438 , 0.015583 , 0.017064 , 0.030285 , 0.018427 , 0.018509 , 0.015913 , 0.034435 , 0.02388 , 0.020046 , 0.018905 , 0.021206 , 0.012103 
 327 , 0.021222 , 0.008411 , 0.036389 , 0.015686 , 0.025901 , 0.017871 , 0.017744 , 0.017892 , 0.021483 , 0.018197 , 0.027869 , 0.005731 , 0.020459 , 0.013508 , 0.019422 , 0.017139 , 0.025392 , 0.027052 , 0.026784 , 0.036128 , 0.021826 , 0.02255 , 0.020233 , 0.016918 , 0.017565 , 0.031359 , 0.021465 , 0.022264 , 0.019809 , 0.034795 , 0.026004 , 0.024734 , 0.021951 , 0.022728 , 0.015664 
 328 , 0.024633 , 0.009675 , 0.041262 , 0.020155 , 0.026924 , 0.018743 , 0.019681 , 0.018894 , 0.021296 , 0.021995 , 0.028084 , 0.007536 , 0.021953 , 0.017339 , 0.017938 , 0.018363 , 0.028889 , 0.029635 , 0.030041 , 0.038793 , 0.025658 , 0.024468 , 0.023007 , 0.017776 , 0.017884 , 0.032048 , 0.024136 , 0.024901 , 0.022791 , 0.035034 , 0.027694 , 0.028612 , 0.024413 , 0.023823 , 0.018601 
 329 , 0.024295 , 0.015236 , 0.042432 , 0.023579 , 0.028968 , 0.019925 , 0.023328 , 0.020208 , 0.023256 , 0.023937 , 0.028915 , 0.011499 , 0.027593 , 0.016481 , 0.019596 , 0.019353 , 0.030526 , 0.030874 , 0.029372 , 0.035642 , 0.025009 , 0.026537 , 0.025038 , 0.018484 , 0.019859 , 0.033385 , 0.02736 , 0.025618 , 0.022979 , 0.036932 , 0.030554 , 0.028634 , 0.024523 , 0.025125 , 0.019262 
 330 , 0.02386 , 0.020106 , 0.043373 , 0.026483 , 0.030701 , 0.021018 , 0.026669 , 0.021234 , 0.024952 , 0.025759 , 0.029599 , 0.014351 , 0.032797 , 0.015595 , 0.021124 , 0.020148 , 0.032176 , 0.031797 , 0.028664 , 0.032779 , 0.024288 , 0.02834 , 0.026873 , 0.01906 , 0.021545 , 0.03455 , 0.030451 , 0.02627 , 0.023132 , 0.038482 , 0.033418 , 0.02854 , 0.02448 , 0.026476 , 0.019774 
 331 , 0.023496 , 0.024263 , 0.044252 , 0.029003 , 0.032214 , 0.022039 , 0.029754 , 0.022022 , 0.026398 , 0.027627 , 0.030202 , 0.016326 , 0.037572 , 0.014835 , 0.022472 , 0.020808 , 0.034001 , 0.032487 , 0.028021 , 0.030329 , 0.023642 , 0.029939 , 0.028624 , 0.019564 , 0.022959 , 0.035596 , 0.033458 , 0.027005 , 0.023395 , 0.039697 , 0.036352 , 0.028472 , 0.024376 , 0.027961 , 0.020236 
 332 , 0.023896 , 0.025859 , 0.045562 , 0.028472 , 0.032386 , 0.023392 , 0.03073 , 0.02119 , 0.027358 , 0.027746 , 0.031692 , 0.016733 , 0.039368 , 0.016452 , 0.022947 , 0.021097 , 0.033768 , 0.032792 , 0.028059 , 0.030461 , 0.023282 , 0.030537 , 0.028813 , 0.019605 , 0.023553 , 0.035969 , 0.033981 , 0.027566 , 0.023556 , 0.039978 , 0.036492 , 0.028556 , 0.023981 , 0.028217 , 0.020447 
 333 , 0.024783 , 0.025878 , 0.047072 , 0.026212 , 0.03172 , 0.024872 , 0.030347 , 0.019397 , 0.02799 , 0.026735 , 0.033728 , 0.01631 , 0.039227 , 0.019439 , 0.022867 , 0.021146 , 0.032267 , 0.032852 , 0.028494 , 0.032061 , 0.023082 , 0.030495 , 0.028015 , 0.019354 , 0.023636 , 0.035903 , 0.032947 , 0.027957 , 0.02362 , 0.039692 , 0.034924 , 0.028705 , 0.023399 , 0.027683 , 0.020486 
 334 , 0.02574 , 0.025845 , 0.048479 , 0.024255 , 0.031157 , 0.026195 , 0.030022 , 0.017797 , 0.028575 , 0.025846 , 0.035715 , 0.015932 , 0.039203 , 0.022133 , 0.022847 , 0.021179 , 0.030949 , 0.032944 , 0.028968 , 0.033448 , 0.022904 , 0.03048 , 0.027315 , 0.019144 , 0.023706 , 0.035852 , 0.03202 , 0.028283 , 0.023628 , 0.039423 , 0.033545 , 0.028832 , 0.022901 , 0.027173 , 0.020526 
 335 , 0.027054 , 0.026229 , 0.048741 , 0.023511 , 0.030865 , 0.027785 , 0.030165 , 0.017443 , 0.029098 , 0.025602 , 0.037154 , 0.016592 , 0.039231 , 0.024379 , 0.023572 , 0.021552 , 0.030315 , 0.033671 , 0.029782 , 0.034768 , 0.023074 , 0.03075 , 0.026975 , 0.019483 , 0.023907 , 0.036217 , 0.031746 , 0.029029 , 0.024295 , 0.039587 , 0.033065 , 0.029165 , 0.023111 , 0.027131 , 0.021009 
 336 , 0.02958 , 0.028153 , 0.045787 , 0.02637 , 0.031548 , 0.030681 , 0.031928 , 0.021166 , 0.02959 , 0.027447 , 0.036927 , 0.020831 , 0.039524 , 0.025696 , 0.026841 , 0.023172 , 0.031747 , 0.036681 , 0.031845 , 0.036362 , 0.024471 , 0.032128 , 0.027847 , 0.021732 , 0.024662 , 0.038098 , 0.033535 , 0.031408 , 0.027354 , 0.041287 , 0.035249 , 0.030364 , 0.025734 , 0.028608 , 0.023091 
 337 , 0.031639 , 0.029692 , 0.043219 , 0.028823 , 0.031903 , 0.03309 , 0.033309 , 0.024319 , 0.029956 , 0.028813 , 0.03665 , 0.024465 , 0.039604 , 0.026719 , 0.029307 , 0.024465 , 0.032667 , 0.039308 , 0.033456 , 0.037569 , 0.025544 , 0.033005 , 0.028354 , 0.023691 , 0.025207 , 0.039633 , 0.034821 , 0.033455 , 0.029896 , 0.042662 , 0.037222 , 0.031193 , 0.027911 , 0.029857 , 0.024839 
 338 , 0.03333 , 0.030929 , 0.040966 , 0.03095 , 0.032029 , 0.035114 , 0.034395 , 0.027016 , 0.030224 , 0.02982 , 0.03634 , 0.027616 , 0.039532 , 0.027515 , 0.031171 , 0.025502 , 0.033225 , 0.04163 , 0.034718 , 0.038478 , 0.026369 , 0.033526 , 0.028604 , 0.025418 , 0.025593 , 0.040896 , 0.035733 , 0.035237 , 0.032029 , 0.043782 , 0.039028 , 0.03175 , 0.029736 , 0.030924 , 0.026321 
 339 , 0.031796 , 0.030715 , 0.038992 , 0.028957 , 0.031589 , 0.033509 , 0.034085 , 0.027686 , 0.029112 , 0.028927 , 0.036574 , 0.025807 , 0.038809 , 0.025548 , 0.030859 , 0.024729 , 0.031771 , 0.038437 , 0.033145 , 0.036579 , 0.025866 , 0.032635 , 0.028056 , 0.024735 , 0.025637 , 0.038757 , 0.035057 , 0.033812 , 0.031382 , 0.04246 , 0.036835 , 0.030296 , 0.029057 , 0.029561 , 0.025553 
 340 , 0.029942 , 0.030272 , 0.037281 , 0.026628 , 0.031074 , 0.03157 , 0.033563 , 0.027897 , 0.027913 , 0.027814 , 0.036825 , 0.023459 , 0.038035 , 0.023355 , 0.030212 , 0.023755 , 0.030167 , 0.034982 , 0.031309 , 0.034476 , 0.025191 , 0.031591 , 0.027413 , 0.02376 , 0.025593 , 0.036392 , 0.03418 , 0.032072 , 0.030337 , 0.040888 , 0.034418 , 0.028695 , 0.028045 , 0.028016 , 0.024511 
 341 , 0.028345 , 0.029866 , 0.035795 , 0.024668 , 0.030598 , 0.029914 , 0.033074 , 0.028013 , 0.026869 , 0.026841 , 0.036994 , 0.021461 , 0.037366 , 0.021453 , 0.02961 , 0.022904 , 0.028781 , 0.032137 , 0.029724 , 0.032667 , 0.024604 , 0.030676 , 0.026855 , 0.022908 , 0.025526 , 0.034376 , 0.033406 , 0.030572 , 0.029429 , 0.039514 , 0.032396 , 0.027313 , 0.027159 , 0.026689 , 0.023602 
 342 , 0.028587 , 0.02956 , 0.035698 , 0.02415 , 0.030285 , 0.029495 , 0.033129 , 0.027828 , 0.027416 , 0.027072 , 0.03646 , 0.020604 , 0.036966 , 0.021154 , 0.029082 , 0.022245 , 0.028419 , 0.031194 , 0.029168 , 0.032356 , 0.02486 , 0.030693 , 0.026897 , 0.022924 , 0.025573 , 0.034299 , 0.03281 , 0.030153 , 0.029123 , 0.038877 , 0.031618 , 0.02696 , 0.02645 , 0.026045 , 0.023318 
 343 , 0.030568 , 0.029332 , 0.036879 , 0.024939 , 0.030112 , 0.030241 , 0.033645 , 0.027336 , 0.029502 , 0.028384 , 0.035222 , 0.020803 , 0.036793 , 0.022305 , 0.028612 , 0.021739 , 0.029018 , 0.031945 , 0.029543 , 0.033472 , 0.025991 , 0.031619 , 0.027498 , 0.02378 , 0.025709 , 0.036105 , 0.032331 , 0.030734 , 0.029353 , 0.03888 , 0.031922 , 0.027597 , 0.025884 , 0.025994 , 0.023601 
 344 , 0.032194 , 0.0291 , 0.037801 , 0.025541 , 0.029926 , 0.030883 , 0.033953 , 0.02685 , 0.03127 , 0.029347 , 0.034042 , 0.020932 , 0.03656 , 0.023111 , 0.028219 , 0.021237 , 0.029496 , 0.032551 , 0.029759 , 0.034409 , 0.027036 , 0.032404 , 0.027949 , 0.024521 , 0.025766 , 0.037719 , 0.031781 , 0.031177 , 0.029421 , 0.038723 , 0.032111 , 0.028146 , 0.025333 , 0.025882 , 0.023767 
 345 , 0.033294 , 0.02896 , 0.038575 , 0.026104 , 0.029795 , 0.031391 , 0.034208 , 0.026486 , 0.032584 , 0.03009 , 0.033097 , 0.021052 , 0.036346 , 0.023568 , 0.027912 , 0.020872 , 0.029895 , 0.033035 , 0.029919 , 0.035112 , 0.027936 , 0.03298 , 0.028255 , 0.025102 , 0.025822 , 0.039065 , 0.031288 , 0.031484 , 0.029364 , 0.038597 , 0.032293 , 0.028611 , 0.02493 , 0.02579 , 0.023876 
