  time  ,48:23 PM,48:34 PM,48:42 PM,48:47 PM,48:56 PM,49:39 PM,49:50 PM,49:56 PM,50:06 PM,50:14 PM,50:47 PM,50:54 PM,51:04 PM,51:11 PM,51:20 PM,52:05 PM,52:13 PM,52:22 PM,52:33 PM,52:44 PM,53:21 PM,53:29 PM,53:36 PM,53:44 PM,53:52 PM,54:33 PM,54:40 PM,54:48 PM,55:01 PM,55:10 PM,55:50 PM,56:00 PM,56:07 PM,56:14 PM,56:21 PM,57:02 PM,57:09 PM,57:17 PM,57:27 PM,57:36 PM,58:17 PM,58:24 PM,58:31 PM,58:40 PM,58:52 PM,59:30 PM,59:39 PM,59:48 PM,59:55 PM,00:04 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0 , 0 , 0.000332 , 0 , 0 , 0.00025 , 0 , 0 , 0 , 0 , 0 , 0.004694 , 0.000148 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000335 , 0.000156 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000392 , 0 , 0.009055 , 0.016976 , 0.004563 , 0.025047 , 0.006498 , 0.001343 , 0.008647 , 0.004663 , 0.006535 , 0 , 0.000119 , 0 , 0.000334 
 317 , 0 , 0 , 0.000156 , 0 , 0 , 0.000113 , 0 , 0 , 0 , 0 , 0 , 0.002289 , 0.00007 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000148 , 0.00007 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000179 , 0 , 0.007378 , 0.019626 , 0.002064 , 0.019814 , 0.003078 , 0.000609 , 0.006859 , 0.002052 , 0.005577 , 0 , 0.000052 , 0 , 0.000145 
 318 , 0.000789 , 0 , 0.000331 , 0 , 0 , 0.000577 , 0.004975 , 0 , 0.000588 , 0.000243 , 0.001089 , 0.00164 , 0.000814 , 0.001207 , 0 , 0.00104 , 0.000438 , 0.000153 , 0 , 0.000436 , 0.001133 , 0.000757 , 0.000132 , 0.001377 , 0.00077 , 0.001309 , 0.000836 , 0.000702 , 0.001208 , 0.000498 , 0.001369 , 0.000818 , 0.000532 , 0.001052 , 0.001425 , 0.001479 , 0.000795 , 0.007055 , 0.022497 , 0.001062 , 0.016019 , 0.001637 , 0.001303 , 0.006603 , 0.001279 , 0.00597 , 0.000913 , 0.001136 , 0.000961 , 0.001102 
 319 , 0.007344 , 0 , 0.002981 , 0 , 0 , 0.005308 , 0.03718 , 0 , 0.004788 , 0.002207 , 0.008652 , 0.014525 , 0.007432 , 0.010215 , 0 , 0.008562 , 0.003686 , 0.001375 , 0 , 0.00359 , 0.010184 , 0.007171 , 0.001181 , 0.012512 , 0.006938 , 0.012086 , 0.008007 , 0.006594 , 0.010185 , 0.004298 , 0.012762 , 0.007983 , 0.004602 , 0.009312 , 0.012368 , 0.012824 , 0.007072 , 0.015619 , 0.027593 , 0.00964 , 0.020387 , 0.014007 , 0.011547 , 0.016874 , 0.011698 , 0.015646 , 0.008517 , 0.010399 , 0.009009 , 0.010131 
 320 , 0.012084 , 0 , 0.004766 , 0 , 0 , 0.008651 , 0.051752 , 0 , 0.007071 , 0.003565 , 0.012536 , 0.022872 , 0.012019 , 0.01551 , 0 , 0.01273 , 0.005577 , 0.002193 , 0 , 0.005341 , 0.016254 , 0.012015 , 0.001869 , 0.02015 , 0.011079 , 0.019746 , 0.013538 , 0.01094 , 0.015414 , 0.00663 , 0.021043 , 0.013751 , 0.007107 , 0.014659 , 0.019158 , 0.019845 , 0.011176 , 0.021355 , 0.030997 , 0.015508 , 0.023057 , 0.02331 , 0.018194 , 0.023981 , 0.018954 , 0.022721 , 0.01403 , 0.016859 , 0.014913 , 0.016484 
 321 , 0.015604 , 0 , 0.005996 , 0 , 0 , 0.011073 , 0.058468 , 0 , 0.008338 , 0.004527 , 0.014572 , 0.028401 , 0.015276 , 0.018689 , 0 , 0.015088 , 0.006702 , 0.002751 , 0 , 0.006333 , 0.020419 , 0.015777 , 0.00233 , 0.025515 , 0.013924 , 0.025328 , 0.017938 , 0.014235 , 0.018525 , 0.008093 , 0.027226 , 0.018566 , 0.008683 , 0.018196 , 0.02346 , 0.024282 , 0.013921 , 0.025277 , 0.033302 , 0.019617 , 0.024686 , 0.030512 , 0.022603 , 0.029014 , 0.024131 , 0.028036 , 0.018135 , 0.021476 , 0.019366 , 0.021066 
 322 , 0.019631 , 0.002598 , 0.006345 , 0.003955 , 0.007026 , 0.014309 , 0.048243 , 0 , 0.008043 , 0.010673 , 0.01612 , 0.028971 , 0.017752 , 0.015857 , 0.00453 , 0.017644 , 0.00643 , 0.00588 , 0.000562 , 0.005507 , 0.021103 , 0.019075 , 0.006935 , 0.025291 , 0.01524 , 0.027482 , 0.022316 , 0.015642 , 0.017395 , 0.009231 , 0.029643 , 0.01795 , 0.009718 , 0.020373 , 0.02081 , 0.025557 , 0.015007 , 0.025394 , 0.03266 , 0.020281 , 0.025052 , 0.029944 , 0.022124 , 0.03198 , 0.024367 , 0.028253 , 0.016695 , 0.023908 , 0.019643 , 0.023126 
 323 , 0.022719 , 0.0055 , 0.006407 , 0.00906 , 0.01424 , 0.017696 , 0.034464 , 0 , 0.007401 , 0.017304 , 0.017501 , 0.028196 , 0.019524 , 0.011991 , 0.009531 , 0.020744 , 0.005842 , 0.010315 , 0.001312 , 0.004279 , 0.020873 , 0.021657 , 0.012065 , 0.023569 , 0.015993 , 0.02838 , 0.02575 , 0.016187 , 0.015336 , 0.010273 , 0.030679 , 0.015935 , 0.010519 , 0.021627 , 0.016683 , 0.025931 , 0.015612 , 0.024455 , 0.031242 , 0.019843 , 0.025091 , 0.027313 , 0.020427 , 0.034067 , 0.023217 , 0.027031 , 0.01402 , 0.025453 , 0.018663 , 0.024323 
 324 , 0.024653 , 0.007804 , 0.006444 , 0.014078 , 0.019325 , 0.020959 , 0.022818 , 0 , 0.006912 , 0.022585 , 0.01882 , 0.027609 , 0.02076 , 0.008995 , 0.01343 , 0.02463 , 0.005384 , 0.01573 , 0.002092 , 0.003252 , 0.020836 , 0.023603 , 0.016259 , 0.022085 , 0.016624 , 0.029053 , 0.028174 , 0.01644 , 0.013681 , 0.011303 , 0.031479 , 0.01424 , 0.011215 , 0.022304 , 0.01335 , 0.026349 , 0.016245 , 0.023648 , 0.029997 , 0.019353 , 0.02523 , 0.025107 , 0.019041 , 0.035863 , 0.022228 , 0.026 , 0.011899 , 0.026736 , 0.017734 , 0.025422 
 325 , 0.026248 , 0.010059 , 0.009282 , 0.017366 , 0.021284 , 0.025468 , 0.017946 , 0.004641 , 0.009355 , 0.026418 , 0.021337 , 0.026992 , 0.021244 , 0.009209 , 0.016649 , 0.028807 , 0.00742 , 0.022784 , 0.006858 , 0.004567 , 0.021875 , 0.025079 , 0.019057 , 0.023348 , 0.017651 , 0.029959 , 0.030753 , 0.01723 , 0.014448 , 0.014491 , 0.032502 , 0.014339 , 0.013061 , 0.023018 , 0.015409 , 0.027142 , 0.017229 , 0.023527 , 0.029554 , 0.019861 , 0.026679 , 0.024468 , 0.018868 , 0.0372 , 0.022356 , 0.025431 , 0.011861 , 0.027219 , 0.017982 , 0.026064 
 326 , 0.028067 , 0.012587 , 0.016417 , 0.017245 , 0.019932 , 0.031301 , 0.022671 , 0.015924 , 0.015796 , 0.028605 , 0.025803 , 0.026414 , 0.02096 , 0.013882 , 0.019192 , 0.031498 , 0.013809 , 0.028134 , 0.01648 , 0.008714 , 0.024238 , 0.026182 , 0.020062 , 0.028829 , 0.019256 , 0.031331 , 0.034171 , 0.018996 , 0.018505 , 0.020534 , 0.033971 , 0.016768 , 0.016236 , 0.024151 , 0.025277 , 0.028435 , 0.018641 , 0.024393 , 0.030258 , 0.021932 , 0.030035 , 0.025977 , 0.020386 , 0.037903 , 0.024127 , 0.025482 , 0.01467 , 0.026675 , 0.020009 , 0.026012 
 327 , 0.029675 , 0.014731 , 0.022205 , 0.01706 , 0.018845 , 0.03563 , 0.025849 , 0.024559 , 0.020522 , 0.03009 , 0.029849 , 0.02583 , 0.020671 , 0.017775 , 0.020864 , 0.033222 , 0.019924 , 0.030987 , 0.023187 , 0.011359 , 0.025747 , 0.027056 , 0.02054 , 0.033559 , 0.020343 , 0.032305 , 0.036944 , 0.020346 , 0.021494 , 0.024994 , 0.035011 , 0.018493 , 0.018207 , 0.025183 , 0.03315 , 0.029446 , 0.019704 , 0.025081 , 0.030812 , 0.023603 , 0.032734 , 0.027225 , 0.021587 , 0.038547 , 0.02562 , 0.025521 , 0.016923 , 0.026168 , 0.021708 , 0.025941 
 328 , 0.031115 , 0.016584 , 0.026999 , 0.016858 , 0.017971 , 0.038925 , 0.028076 , 0.031349 , 0.024106 , 0.03114 , 0.033565 , 0.025294 , 0.020403 , 0.021089 , 0.022016 , 0.034366 , 0.025893 , 0.032597 , 0.028022 , 0.013138 , 0.02675 , 0.027769 , 0.020754 , 0.037716 , 0.021105 , 0.033029 , 0.03925 , 0.021412 , 0.023764 , 0.028388 , 0.035785 , 0.019777 , 0.019493 , 0.02613 , 0.039568 , 0.030267 , 0.020522 , 0.025638 , 0.031263 , 0.024986 , 0.034959 , 0.028281 , 0.022568 , 0.039129 , 0.026903 , 0.025557 , 0.018773 , 0.025716 , 0.023158 , 0.025867 
 329 , 0.02941 , 0.019061 , 0.024884 , 0.0209 , 0.018682 , 0.03292 , 0.030575 , 0.033119 , 0.027323 , 0.030873 , 0.033501 , 0.028305 , 0.023717 , 0.022594 , 0.023366 , 0.033612 , 0.027275 , 0.033314 , 0.027881 , 0.016097 , 0.024831 , 0.03007 , 0.023313 , 0.034967 , 0.023186 , 0.034454 , 0.039169 , 0.022631 , 0.024461 , 0.030949 , 0.039531 , 0.023842 , 0.022548 , 0.029563 , 0.040705 , 0.031742 , 0.021724 , 0.025676 , 0.031493 , 0.025396 , 0.0347 , 0.028422 , 0.02314 , 0.038857 , 0.027608 , 0.026881 , 0.018907 , 0.026655 , 0.02348 , 0.026682 
 330 , 0.027879 , 0.021326 , 0.022862 , 0.024561 , 0.019625 , 0.027603 , 0.032981 , 0.034773 , 0.030545 , 0.030671 , 0.033346 , 0.031339 , 0.027009 , 0.024056 , 0.024809 , 0.032888 , 0.028288 , 0.033911 , 0.027498 , 0.019184 , 0.023031 , 0.032206 , 0.025757 , 0.032406 , 0.025062 , 0.035881 , 0.039145 , 0.023836 , 0.025048 , 0.033279 , 0.043317 , 0.028638 , 0.025515 , 0.032687 , 0.041455 , 0.033203 , 0.022697 , 0.025674 , 0.031723 , 0.025781 , 0.034473 , 0.028556 , 0.023728 , 0.038547 , 0.028258 , 0.028156 , 0.019015 , 0.027605 , 0.023734 , 0.027459 
