  time  ,48:23 PM,48:34 PM,48:42 PM,48:47 PM,48:56 PM,49:39 PM,49:50 PM,49:56 PM,50:06 PM,50:14 PM,50:47 PM,50:54 PM,51:04 PM,51:11 PM,51:20 PM,52:05 PM,52:13 PM,52:22 PM,52:33 PM,52:44 PM,53:21 PM,53:29 PM,53:36 PM,53:44 PM,53:52 PM,54:33 PM,54:40 PM,54:48 PM,55:01 PM,55:10 PM,55:50 PM,56:00 PM,56:07 PM,56:14 PM,56:21 PM,57:02 PM,57:09 PM,57:17 PM,57:27 PM,57:36 PM,58:17 PM,58:24 PM,58:31 PM,58:40 PM,58:52 PM,59:30 PM,59:39 PM,59:48 PM,59:55 PM,00:04 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 534 , 0.090519 , 0.073039 , 0.085766 , 0.099239 , 0.093168 , 0.101215 , 0.096782 , 0.088602 , 0.10889 , 0.089121 , 0.116758 , 0.117337 , 0.116478 , 0.096696 , 0.083237 , 0.086206 , 0.115427 , 0.078857 , 0.075742 , 0.072334 , 0.072613 , 0.08319 , 0.076301 , 0.124832 , 0.087064 , 0.121817 , 0.120832 , 0.091391 , 0.093241 , 0.094912 , 0.113337 , 0.093601 , 0.079915 , 0.105895 , 0.109409 , 0.125085 , 0.097188 , 0.119347 , 0.12414 , 0.11313 , 0.167026 , 0.116778 , 0.132773 , 0.143057 , 0.13248 , 0.098713 , 0.091983 , 0.101355 , 0.090166 , 0.109522 
 535 , 0.091366 , 0.073658 , 0.086332 , 0.099969 , 0.093977 , 0.10181 , 0.097526 , 0.089217 , 0.109563 , 0.089666 , 0.117543 , 0.118213 , 0.117443 , 0.097432 , 0.083834 , 0.086787 , 0.116419 , 0.079369 , 0.07639 , 0.072835 , 0.073163 , 0.083761 , 0.076851 , 0.125765 , 0.087671 , 0.122692 , 0.121768 , 0.092069 , 0.093883 , 0.095591 , 0.114169 , 0.094252 , 0.08044 , 0.106557 , 0.110092 , 0.125959 , 0.097934 , 0.120248 , 0.125102 , 0.114109 , 0.168352 , 0.11761 , 0.133759 , 0.144122 , 0.133504 , 0.099454 , 0.092792 , 0.102172 , 0.090871 , 0.110407 
 536 , 0.092217 , 0.074279 , 0.086904 , 0.100695 , 0.09479 , 0.102399 , 0.098271 , 0.089834 , 0.110243 , 0.090217 , 0.11833 , 0.119098 , 0.118411 , 0.098163 , 0.084426 , 0.087362 , 0.117408 , 0.079874 , 0.077033 , 0.073336 , 0.073706 , 0.084325 , 0.077403 , 0.126694 , 0.088278 , 0.123562 , 0.122694 , 0.092742 , 0.094534 , 0.096271 , 0.115004 , 0.094911 , 0.080965 , 0.107213 , 0.110775 , 0.126835 , 0.098682 , 0.121152 , 0.126061 , 0.115085 , 0.169674 , 0.118445 , 0.134747 , 0.145184 , 0.134525 , 0.100197 , 0.093604 , 0.102984 , 0.091571 , 0.111287 
 537 , 0.093044 , 0.074896 , 0.087525 , 0.101495 , 0.09555 , 0.103012 , 0.099003 , 0.090437 , 0.110922 , 0.090789 , 0.119129 , 0.119989 , 0.119352 , 0.098881 , 0.08504 , 0.087945 , 0.118411 , 0.080408 , 0.077611 , 0.073846 , 0.074246 , 0.084931 , 0.077997 , 0.127634 , 0.088913 , 0.124438 , 0.123612 , 0.09343 , 0.095191 , 0.096911 , 0.115845 , 0.095577 , 0.081505 , 0.107901 , 0.111497 , 0.127722 , 0.099396 , 0.122041 , 0.126984 , 0.116054 , 0.17096 , 0.119258 , 0.135726 , 0.146223 , 0.13553 , 0.100933 , 0.094405 , 0.103791 , 0.092265 , 0.112174 
 538 , 0.093816 , 0.07552 , 0.088251 , 0.102451 , 0.096211 , 0.103648 , 0.099709 , 0.090999 , 0.111603 , 0.091421 , 0.119931 , 0.120877 , 0.120257 , 0.099532 , 0.085685 , 0.088516 , 0.119427 , 0.080977 , 0.078051 , 0.074363 , 0.074751 , 0.085576 , 0.078663 , 0.128593 , 0.089591 , 0.125333 , 0.124503 , 0.094163 , 0.095871 , 0.097477 , 0.116658 , 0.096259 , 0.082086 , 0.108643 , 0.11229 , 0.128633 , 0.100063 , 0.122898 , 0.127851 , 0.116978 , 0.172187 , 0.120019 , 0.136683 , 0.147229 , 0.136526 , 0.101655 , 0.095198 , 0.104574 , 0.092932 , 0.113086 
 539 , 0.094585 , 0.07614 , 0.088979 , 0.103405 , 0.096862 , 0.104293 , 0.100417 , 0.091564 , 0.112285 , 0.092056 , 0.120736 , 0.121768 , 0.121159 , 0.100191 , 0.086327 , 0.089089 , 0.120448 , 0.081548 , 0.078485 , 0.074882 , 0.075258 , 0.086224 , 0.079326 , 0.129555 , 0.090265 , 0.126219 , 0.125391 , 0.094893 , 0.096554 , 0.098045 , 0.117481 , 0.096951 , 0.082669 , 0.109373 , 0.113079 , 0.129548 , 0.100725 , 0.123764 , 0.128714 , 0.117898 , 0.173419 , 0.120783 , 0.137636 , 0.148226 , 0.137513 , 0.102379 , 0.095994 , 0.10536 , 0.093594 , 0.114002 
 540 , 0.095357 , 0.076762 , 0.089711 , 0.104363 , 0.097521 , 0.104933 , 0.10112 , 0.092122 , 0.11297 , 0.092685 , 0.121535 , 0.122662 , 0.122064 , 0.100846 , 0.08697 , 0.089663 , 0.121467 , 0.08212 , 0.078912 , 0.075402 , 0.07576 , 0.086874 , 0.079991 , 0.13052 , 0.09094 , 0.127113 , 0.126282 , 0.095618 , 0.097239 , 0.098613 , 0.118293 , 0.097638 , 0.083254 , 0.110112 , 0.113869 , 0.130458 , 0.101388 , 0.124626 , 0.129572 , 0.118822 , 0.174647 , 0.121549 , 0.138591 , 0.149232 , 0.138502 , 0.103099 , 0.096786 , 0.106149 , 0.094258 , 0.114914 
 541 , 0.096241 , 0.07752 , 0.090491 , 0.10518 , 0.098394 , 0.105808 , 0.101984 , 0.092844 , 0.11385 , 0.093459 , 0.122417 , 0.123597 , 0.122996 , 0.101604 , 0.087716 , 0.090477 , 0.122513 , 0.082821 , 0.079584 , 0.076091 , 0.076409 , 0.087619 , 0.080702 , 0.131542 , 0.091726 , 0.128015 , 0.127345 , 0.096351 , 0.098056 , 0.09934 , 0.119124 , 0.098387 , 0.083933 , 0.110909 , 0.114741 , 0.13148 , 0.102143 , 0.125551 , 0.130534 , 0.119821 , 0.175976 , 0.122396 , 0.13966 , 0.150311 , 0.139577 , 0.103882 , 0.097628 , 0.106995 , 0.094943 , 0.115817 
 542 , 0.097119 , 0.078285 , 0.091271 , 0.105992 , 0.09929 , 0.106685 , 0.102835 , 0.093588 , 0.114746 , 0.09424 , 0.1233 , 0.124541 , 0.123931 , 0.102384 , 0.088475 , 0.091306 , 0.123556 , 0.083543 , 0.080262 , 0.076786 , 0.077071 , 0.088371 , 0.081427 , 0.132561 , 0.092506 , 0.128919 , 0.128412 , 0.097077 , 0.098888 , 0.100081 , 0.119963 , 0.099152 , 0.084611 , 0.111715 , 0.11562 , 0.132505 , 0.102891 , 0.126484 , 0.131485 , 0.120823 , 0.177298 , 0.123251 , 0.140739 , 0.151395 , 0.140635 , 0.104667 , 0.098472 , 0.107844 , 0.095621 , 0.116716 
 543 , 0.098001 , 0.079047 , 0.092055 , 0.106806 , 0.100176 , 0.107573 , 0.103697 , 0.094328 , 0.115639 , 0.095025 , 0.124185 , 0.125482 , 0.124861 , 0.10316 , 0.089232 , 0.092139 , 0.124597 , 0.084261 , 0.080943 , 0.077492 , 0.077729 , 0.089127 , 0.082149 , 0.133582 , 0.093289 , 0.129825 , 0.129476 , 0.097806 , 0.099716 , 0.100811 , 0.120804 , 0.099918 , 0.085293 , 0.112522 , 0.11651 , 0.133534 , 0.103648 , 0.127413 , 0.132446 , 0.121822 , 0.17863 , 0.124109 , 0.141815 , 0.152481 , 0.141704 , 0.105447 , 0.099319 , 0.108695 , 0.0963 , 0.117611 
 544 , 0.098885 , 0.079739 , 0.092804 , 0.107692 , 0.101008 , 0.108399 , 0.104392 , 0.094941 , 0.116484 , 0.095719 , 0.125122 , 0.126509 , 0.125836 , 0.103922 , 0.089918 , 0.092938 , 0.125619 , 0.084937 , 0.081518 , 0.078142 , 0.078345 , 0.089799 , 0.082856 , 0.134628 , 0.093995 , 0.130782 , 0.130502 , 0.098584 , 0.100462 , 0.10147 , 0.121647 , 0.100707 , 0.085918 , 0.113338 , 0.117415 , 0.134516 , 0.104434 , 0.128365 , 0.133395 , 0.122838 , 0.17999 , 0.124947 , 0.142909 , 0.153579 , 0.14279 , 0.106262 , 0.100167 , 0.109548 , 0.097036 , 0.118515 
 545 , 0.099768 , 0.080384 , 0.093509 , 0.108612 , 0.101796 , 0.109204 , 0.104993 , 0.095452 , 0.11728 , 0.096346 , 0.126082 , 0.127582 , 0.126821 , 0.104662 , 0.090544 , 0.093727 , 0.126617 , 0.085566 , 0.082017 , 0.07875 , 0.078919 , 0.090403 , 0.083552 , 0.135672 , 0.094656 , 0.13175 , 0.131489 , 0.099374 , 0.101134 , 0.102085 , 0.122484 , 0.101493 , 0.086495 , 0.11414 , 0.118315 , 0.135468 , 0.105218 , 0.129321 , 0.134334 , 0.123857 , 0.181377 , 0.125772 , 0.143995 , 0.154684 , 0.143896 , 0.107077 , 0.101008 , 0.110394 , 0.09779 , 0.119421 
 546 , 0.10064 , 0.08103 , 0.094222 , 0.109543 , 0.10258 , 0.110003 , 0.105594 , 0.09597 , 0.118085 , 0.096968 , 0.127051 , 0.128651 , 0.127809 , 0.105403 , 0.091172 , 0.094505 , 0.127618 , 0.086197 , 0.082509 , 0.07936 , 0.079495 , 0.091009 , 0.084243 , 0.136711 , 0.095319 , 0.132713 , 0.132472 , 0.100173 , 0.101815 , 0.102693 , 0.123322 , 0.102282 , 0.087067 , 0.114929 , 0.119224 , 0.136414 , 0.106012 , 0.130278 , 0.135275 , 0.124872 , 0.182761 , 0.126591 , 0.145083 , 0.155784 , 0.144998 , 0.107901 , 0.101851 , 0.111242 , 0.098546 , 0.120321 
 547 , 0.101454 , 0.081638 , 0.094924 , 0.110409 , 0.103339 , 0.110828 , 0.106226 , 0.09656 , 0.118887 , 0.097592 , 0.127962 , 0.129669 , 0.128745 , 0.106134 , 0.091802 , 0.09528 , 0.128624 , 0.086809 , 0.083039 , 0.079974 , 0.080081 , 0.091617 , 0.08491 , 0.137707 , 0.095998 , 0.13366 , 0.133418 , 0.10092 , 0.102485 , 0.103324 , 0.124143 , 0.10304 , 0.087648 , 0.115707 , 0.120089 , 0.137344 , 0.106753 , 0.131184 , 0.13617 , 0.12585 , 0.184066 , 0.127379 , 0.146114 , 0.156847 , 0.146057 , 0.108673 , 0.102656 , 0.112066 , 0.099256 , 0.121205 
 548 , 0.102103 , 0.082144 , 0.095645 , 0.111133 , 0.104046 , 0.111711 , 0.106968 , 0.09741 , 0.119719 , 0.09826 , 0.128756 , 0.130577 , 0.129613 , 0.106846 , 0.092452 , 0.095995 , 0.129692 , 0.087387 , 0.083694 , 0.080594 , 0.080687 , 0.092245 , 0.085501 , 0.138614 , 0.09671 , 0.134585 , 0.134299 , 0.101589 , 0.103153 , 0.104018 , 0.124955 , 0.103768 , 0.088259 , 0.116433 , 0.120855 , 0.138242 , 0.107404 , 0.132013 , 0.137007 , 0.126763 , 0.185169 , 0.128099 , 0.147015 , 0.157844 , 0.147015 , 0.109354 , 0.103382 , 0.112868 , 0.09986 , 0.122048 
 549 , 0.102759 , 0.082649 , 0.096373 , 0.111848 , 0.104746 , 0.112602 , 0.107716 , 0.098253 , 0.120551 , 0.098927 , 0.129548 , 0.131485 , 0.13048 , 0.107558 , 0.093102 , 0.096711 , 0.13076 , 0.087965 , 0.084342 , 0.081221 , 0.081293 , 0.092865 , 0.086085 , 0.13952 , 0.097428 , 0.135517 , 0.13518 , 0.102249 , 0.103828 , 0.104703 , 0.125767 , 0.104495 , 0.088862 , 0.117158 , 0.121613 , 0.139147 , 0.10806 , 0.132834 , 0.137841 , 0.127675 , 0.186275 , 0.128816 , 0.147921 , 0.158841 , 0.147971 , 0.110033 , 0.104115 , 0.113671 , 0.100463 , 0.122897 
 550 , 0.103415 , 0.083154 , 0.097096 , 0.112573 , 0.105447 , 0.113488 , 0.108459 , 0.099107 , 0.121378 , 0.099597 , 0.130334 , 0.132394 , 0.131342 , 0.108271 , 0.093753 , 0.097428 , 0.131832 , 0.088537 , 0.084999 , 0.081843 , 0.081901 , 0.093494 , 0.086678 , 0.140428 , 0.098141 , 0.136444 , 0.136054 , 0.102911 , 0.104496 , 0.105389 , 0.12658 , 0.105224 , 0.089473 , 0.11789 , 0.122379 , 0.140046 , 0.108711 , 0.133655 , 0.13867 , 0.128583 , 0.187384 , 0.129534 , 0.148822 , 0.159831 , 0.14893 , 0.110714 , 0.104849 , 0.114475 , 0.101059 , 0.123741 
 551 , 0.104015 , 0.083667 , 0.097475 , 0.113018 , 0.10606 , 0.113871 , 0.108993 , 0.099636 , 0.12192 , 0.10004 , 0.130808 , 0.133091 , 0.131935 , 0.108747 , 0.094217 , 0.097923 , 0.132679 , 0.088934 , 0.085401 , 0.082207 , 0.082287 , 0.093949 , 0.08707 , 0.141169 , 0.098552 , 0.136971 , 0.136668 , 0.103415 , 0.105019 , 0.105836 , 0.127101 , 0.105727 , 0.08991 , 0.118401 , 0.122982 , 0.140656 , 0.109195 , 0.134312 , 0.139247 , 0.129247 , 0.188274 , 0.130035 , 0.149479 , 0.160534 , 0.149602 , 0.11119 , 0.105373 , 0.115034 , 0.101529 , 0.124362 
 552 , 0.104605 , 0.08418 , 0.097821 , 0.11343 , 0.106654 , 0.114198 , 0.109506 , 0.10013 , 0.122423 , 0.100456 , 0.131263 , 0.133753 , 0.132486 , 0.109209 , 0.094657 , 0.098407 , 0.1335 , 0.089321 , 0.085773 , 0.082544 , 0.082646 , 0.094389 , 0.087446 , 0.141898 , 0.098936 , 0.137453 , 0.137257 , 0.10391 , 0.105524 , 0.106255 , 0.127585 , 0.106205 , 0.090334 , 0.118904 , 0.123574 , 0.141254 , 0.109666 , 0.134955 , 0.139799 , 0.129894 , 0.189147 , 0.130524 , 0.150101 , 0.1612 , 0.150232 , 0.111642 , 0.105872 , 0.115566 , 0.101977 , 0.124957 
 553 , 0.105196 , 0.084688 , 0.098167 , 0.113851 , 0.107242 , 0.114533 , 0.110013 , 0.100626 , 0.122933 , 0.10088 , 0.131711 , 0.134417 , 0.133039 , 0.109672 , 0.095098 , 0.098885 , 0.134323 , 0.089701 , 0.086153 , 0.082889 , 0.083005 , 0.094823 , 0.087822 , 0.142622 , 0.09932 , 0.137936 , 0.137848 , 0.104398 , 0.106031 , 0.106683 , 0.128077 , 0.106683 , 0.09076 , 0.1194 , 0.124174 , 0.141846 , 0.110144 , 0.135592 , 0.140344 , 0.130536 , 0.190022 , 0.131015 , 0.150718 , 0.161861 , 0.15087 , 0.112095 , 0.106372 , 0.116092 , 0.102418 , 0.125559 
 554 , 0.10558 , 0.084983 , 0.098438 , 0.114167 , 0.107585 , 0.114712 , 0.110244 , 0.100836 , 0.123242 , 0.101177 , 0.131989 , 0.13483 , 0.133428 , 0.109946 , 0.09535 , 0.099237 , 0.134663 , 0.089938 , 0.086356 , 0.083057 , 0.083224 , 0.095081 , 0.088078 , 0.143083 , 0.099542 , 0.138223 , 0.138245 , 0.104708 , 0.106335 , 0.106866 , 0.128371 , 0.10696 , 0.091013 , 0.119682 , 0.124484 , 0.142262 , 0.110455 , 0.135985 , 0.140722 , 0.130979 , 0.190606 , 0.131306 , 0.151162 , 0.1623 , 0.151351 , 0.112395 , 0.106706 , 0.116449 , 0.102703 , 0.125937 
 555 , 0.105805 , 0.085137 , 0.098671 , 0.114451 , 0.10776 , 0.114807 , 0.110295 , 0.100843 , 0.123437 , 0.10141 , 0.132155 , 0.135083 , 0.133702 , 0.110084 , 0.095489 , 0.099514 , 0.134683 , 0.09007 , 0.086466 , 0.083132 , 0.083342 , 0.095228 , 0.088261 , 0.143379 , 0.099667 , 0.138388 , 0.138519 , 0.104883 , 0.106532 , 0.106888 , 0.128523 , 0.107098 , 0.091159 , 0.119827 , 0.124607 , 0.142566 , 0.110658 , 0.136209 , 0.140982 , 0.131269 , 0.190979 , 0.131465 , 0.151479 , 0.162573 , 0.151741 , 0.112576 , 0.106924 , 0.116674 , 0.102863 , 0.126161 
 556 , 0.106031 , 0.085298 , 0.098905 , 0.114726 , 0.107941 , 0.114893 , 0.110346 , 0.100859 , 0.12364 , 0.101636 , 0.132321 , 0.135328 , 0.133977 , 0.110215 , 0.095621 , 0.099791 , 0.134703 , 0.090209 , 0.086584 , 0.083199 , 0.083468 , 0.095374 , 0.088444 , 0.143668 , 0.099791 , 0.138561 , 0.138793 , 0.105065 , 0.106721 , 0.10691 , 0.128681 , 0.107237 , 0.091306 , 0.119964 , 0.124729 , 0.142861 , 0.110862 , 0.13644 , 0.141234 , 0.131565 , 0.191358 , 0.131616 , 0.151796 , 0.162853 , 0.152131 , 0.112758 , 0.107142 , 0.116898 , 0.103023 , 0.126386 
 557 , 0.106267 , 0.085471 , 0.099127 , 0.114954 , 0.108141 , 0.115027 , 0.110473 , 0.100907 , 0.123831 , 0.101851 , 0.132503 , 0.135612 , 0.134254 , 0.110356 , 0.095771 , 0.100057 , 0.134799 , 0.090367 , 0.086721 , 0.083307 , 0.083583 , 0.095524 , 0.088624 , 0.143958 , 0.099919 , 0.138743 , 0.139062 , 0.105243 , 0.106906 , 0.106972 , 0.128842 , 0.107393 , 0.091464 , 0.120133 , 0.124891 , 0.143137 , 0.111068 , 0.136658 , 0.141474 , 0.131842 , 0.191738 , 0.131777 , 0.152101 , 0.163127 , 0.152493 , 0.112935 , 0.107349 , 0.117112 , 0.103187 , 0.12662 
 558 , 0.106545 , 0.085709 , 0.099336 , 0.114973 , 0.108402 , 0.115321 , 0.110831 , 0.101055 , 0.123958 , 0.101991 , 0.132734 , 0.13599 , 0.134489 , 0.110512 , 0.095935 , 0.100279 , 0.135105 , 0.090568 , 0.086913 , 0.083548 , 0.083686 , 0.095645 , 0.08877 , 0.144214 , 0.100047 , 0.138942 , 0.139283 , 0.105414 , 0.107031 , 0.10714 , 0.129057 , 0.107568 , 0.091591 , 0.120332 , 0.125112 , 0.143286 , 0.111267 , 0.136853 , 0.141647 , 0.132074 , 0.192088 , 0.131958 , 0.15233 , 0.163383 , 0.152758 , 0.11308 , 0.10751 , 0.117286 , 0.103354 , 0.126859 
 559 , 0.106822 , 0.085942 , 0.099539 , 0.114982 , 0.108654 , 0.115619 , 0.111188 , 0.101197 , 0.12409 , 0.102124 , 0.13296 , 0.136363 , 0.134734 , 0.110674 , 0.096092 , 0.100502 , 0.135421 , 0.090764 , 0.087107 , 0.083784 , 0.083777 , 0.095767 , 0.088925 , 0.144472 , 0.100176 , 0.139143 , 0.139498 , 0.105577 , 0.107156 , 0.107308 , 0.129267 , 0.107742 , 0.091727 , 0.120535 , 0.125336 , 0.143429 , 0.111463 , 0.137043 , 0.141829 , 0.132301 , 0.192438 , 0.132142 , 0.152552 , 0.163637 , 0.153022 , 0.113223 , 0.10767 , 0.117458 , 0.103528 , 0.12711 
 560 , 0.107104 , 0.086179 , 0.099746 , 0.114997 , 0.108904 , 0.115915 , 0.111542 , 0.101336 , 0.124213 , 0.102262 , 0.13319 , 0.136739 , 0.134968 , 0.110827 , 0.096248 , 0.100722 , 0.135734 , 0.090964 , 0.0873 , 0.084018 , 0.083874 , 0.095887 , 0.089078 , 0.144726 , 0.100303 , 0.139348 , 0.139717 , 0.105746 , 0.107285 , 0.10748 , 0.129475 , 0.107914 , 0.091861 , 0.120736 , 0.125565 , 0.143577 , 0.111665 , 0.137231 , 0.142001 , 0.132525 , 0.192785 , 0.132323 , 0.152778 , 0.163888 , 0.153284 , 0.113371 , 0.107827 , 0.117628 , 0.1037 , 0.12735 
 561 , 0.107382 , 0.086339 , 0.099908 , 0.115238 , 0.10915 , 0.115967 , 0.111653 , 0.101431 , 0.12435 , 0.102484 , 0.133447 , 0.137047 , 0.135193 , 0.111004 , 0.096345 , 0.100926 , 0.136029 , 0.091035 , 0.087442 , 0.084146 , 0.083987 , 0.096027 , 0.089145 , 0.145011 , 0.100442 , 0.139593 , 0.139918 , 0.105939 , 0.10744 , 0.107606 , 0.129652 , 0.108104 , 0.092002 , 0.120923 , 0.125749 , 0.143842 , 0.111848 , 0.13753 , 0.142255 , 0.132819 , 0.193187 , 0.132487 , 0.153062 , 0.164244 , 0.153618 , 0.113536 , 0.108031 , 0.117828 , 0.103869 , 0.127589 
 562 , 0.107657 , 0.086494 , 0.10007 , 0.115524 , 0.109413 , 0.116 , 0.111745 , 0.101538 , 0.124508 , 0.102726 , 0.133714 , 0.137371 , 0.135413 , 0.111191 , 0.096449 , 0.101142 , 0.136335 , 0.091115 , 0.087595 , 0.08427 , 0.084111 , 0.09619 , 0.089208 , 0.145311 , 0.100588 , 0.139862 , 0.140135 , 0.106145 , 0.107614 , 0.107736 , 0.12982 , 0.108297 , 0.092152 , 0.121125 , 0.125955 , 0.144152 , 0.112019 , 0.137853 , 0.142518 , 0.133131 , 0.193618 , 0.132649 , 0.153373 , 0.16466 , 0.15397 , 0.113718 , 0.108247 , 0.118037 , 0.104036 , 0.127833 
 563 , 0.107937 , 0.086655 , 0.100237 , 0.115823 , 0.109682 , 0.116024 , 0.111844 , 0.101645 , 0.124664 , 0.102966 , 0.13398 , 0.1377 , 0.135639 , 0.111384 , 0.09656 , 0.101357 , 0.136644 , 0.091194 , 0.087747 , 0.084393 , 0.084235 , 0.096351 , 0.089262 , 0.145622 , 0.100733 , 0.140128 , 0.140343 , 0.106356 , 0.107786 , 0.107865 , 0.129994 , 0.108497 , 0.092308 , 0.121324 , 0.126165 , 0.144459 , 0.112203 , 0.138181 , 0.142785 , 0.133448 , 0.194046 , 0.132816 , 0.153688 , 0.165072 , 0.15432 , 0.113898 , 0.108461 , 0.11825 , 0.104216 , 0.128083 
 564 , 0.108107 , 0.086753 , 0.100413 , 0.116051 , 0.109897 , 0.116251 , 0.111953 , 0.101796 , 0.124911 , 0.103178 , 0.134209 , 0.138049 , 0.135857 , 0.111566 , 0.096724 , 0.101559 , 0.136924 , 0.091309 , 0.087928 , 0.084511 , 0.084325 , 0.096481 , 0.089353 , 0.145921 , 0.100865 , 0.140341 , 0.140534 , 0.106552 , 0.107942 , 0.107992 , 0.130169 , 0.108665 , 0.092484 , 0.121502 , 0.126351 , 0.144739 , 0.11239 , 0.138464 , 0.14302 , 0.133729 , 0.194401 , 0.132956 , 0.154015 , 0.165412 , 0.154631 , 0.114073 , 0.108615 , 0.118422 , 0.104382 , 0.128278 
 565 , 0.108204 , 0.086795 , 0.100588 , 0.116206 , 0.110066 , 0.116627 , 0.112049 , 0.101971 , 0.125235 , 0.103369 , 0.134393 , 0.138394 , 0.13604 , 0.111742 , 0.09695 , 0.101764 , 0.137167 , 0.091459 , 0.088128 , 0.084627 , 0.084398 , 0.09658 , 0.089469 , 0.146203 , 0.100987 , 0.14049 , 0.140676 , 0.106728 , 0.108069 , 0.10809 , 0.130356 , 0.108804 , 0.092678 , 0.121655 , 0.126505 , 0.144976 , 0.112605 , 0.1387 , 0.143222 , 0.133972 , 0.19465 , 0.133073 , 0.154333 , 0.16558 , 0.154925 , 0.114231 , 0.108725 , 0.11856 , 0.104532 , 0.128416 
 566 , 0.108304 , 0.086832 , 0.100763 , 0.11637 , 0.110242 , 0.117002 , 0.112153 , 0.102141 , 0.125558 , 0.103561 , 0.134576 , 0.138737 , 0.136216 , 0.111911 , 0.09717 , 0.10197 , 0.137416 , 0.091611 , 0.08833 , 0.084745 , 0.084468 , 0.096681 , 0.089594 , 0.146491 , 0.101104 , 0.140647 , 0.140824 , 0.106905 , 0.108198 , 0.10819 , 0.130543 , 0.108936 , 0.092875 , 0.121816 , 0.126659 , 0.14522 , 0.11282 , 0.138936 , 0.14343 , 0.134214 , 0.194895 , 0.133184 , 0.154649 , 0.165754 , 0.15521 , 0.114389 , 0.108837 , 0.118692 , 0.104683 , 0.128555 
 567 , 0.108422 , 0.086896 , 0.100907 , 0.116502 , 0.110458 , 0.117322 , 0.112274 , 0.102342 , 0.125854 , 0.10377 , 0.134776 , 0.139074 , 0.136402 , 0.112091 , 0.097394 , 0.102187 , 0.137674 , 0.091766 , 0.088522 , 0.084867 , 0.084542 , 0.0968 , 0.089709 , 0.146787 , 0.101218 , 0.140813 , 0.140976 , 0.107078 , 0.108337 , 0.108309 , 0.130739 , 0.109072 , 0.093067 , 0.121995 , 0.126809 , 0.145472 , 0.113045 , 0.13918 , 0.143627 , 0.134451 , 0.195148 , 0.133291 , 0.154945 , 0.16593 , 0.155503 , 0.114537 , 0.108945 , 0.118835 , 0.104823 , 0.128696 
 568 , 0.108603 , 0.087054 , 0.100886 , 0.116496 , 0.110859 , 0.117402 , 0.112525 , 0.102692 , 0.126061 , 0.104041 , 0.135022 , 0.139394 , 0.136632 , 0.112314 , 0.097596 , 0.102404 , 0.138038 , 0.091896 , 0.088698 , 0.085015 , 0.084657 , 0.096978 , 0.089816 , 0.147146 , 0.1013 , 0.141074 , 0.141144 , 0.107253 , 0.108554 , 0.108511 , 0.13096 , 0.109228 , 0.093246 , 0.122245 , 0.126919 , 0.145776 , 0.113284 , 0.13945 , 0.143836 , 0.134664 , 0.195453 , 0.133385 , 0.155145 , 0.166144 , 0.155798 , 0.114661 , 0.109031 , 0.119012 , 0.104899 , 0.128887 
 569 , 0.108787 , 0.087216 , 0.100873 , 0.116492 , 0.11126 , 0.117491 , 0.112769 , 0.103052 , 0.126272 , 0.104316 , 0.13527 , 0.139727 , 0.136862 , 0.112539 , 0.097799 , 0.102612 , 0.138413 , 0.092036 , 0.088878 , 0.085176 , 0.084771 , 0.097156 , 0.089919 , 0.147516 , 0.101389 , 0.141333 , 0.141319 , 0.107425 , 0.10878 , 0.108717 , 0.13119 , 0.109381 , 0.093426 , 0.1225 , 0.127027 , 0.146084 , 0.11353 , 0.13972 , 0.144044 , 0.134872 , 0.195758 , 0.133481 , 0.155346 , 0.166363 , 0.156101 , 0.114781 , 0.109116 , 0.119189 , 0.10498 , 0.129073 
 570 , 0.108967 , 0.087375 , 0.100858 , 0.116493 , 0.111661 , 0.117583 , 0.113022 , 0.103406 , 0.126477 , 0.104593 , 0.135524 , 0.140064 , 0.137093 , 0.112772 , 0.098005 , 0.10283 , 0.138787 , 0.092173 , 0.089055 , 0.085327 , 0.084883 , 0.097331 , 0.090027 , 0.147875 , 0.101476 , 0.141599 , 0.141487 , 0.1076 , 0.109009 , 0.108926 , 0.131413 , 0.109537 , 0.09361 , 0.122756 , 0.127137 , 0.146389 , 0.113772 , 0.139995 , 0.144244 , 0.135086 , 0.196065 , 0.133573 , 0.155554 , 0.166586 , 0.156394 , 0.114903 , 0.109203 , 0.119368 , 0.105059 , 0.129268 
