MAY26LOF00011.spu,MAY26LOF00010.spu,MAY26LOF00009.spu,
Wavelength,MAY26LOF00012.spu,MAY26LOF00013.spu,MAY26LOF00014.spu,MAY26LOF00015.spu,MAY26LOF00016.spu,MAY26LOF00017.spu,MAY26LOF00018.spu,MAY26LOF00019.spu,MAY26LOF00020.spu,MAY26LOF00021.spu,MAY26LOF00022.spu,MAY26LOF00023.spu,MAY26LOF00024.spu,MAY26LOF00025.spu,MAY26LOF00026.spu,MAY26LOF00027.spu
  (nm),5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 ,5/26/2016 
  time  ,52:33 PM,52:47 PM,52:55 PM,53:05 PM,53:12 PM,54:49 PM,54:59 PM,55:10 PM,55:16 PM,55:21 PM,55:53 PM,56:13 PM,56:19 PM,56:26 PM,56:32 PM,58:05 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,
 332 , 0.027238 , 0.028532 , 0.026786 , 0.037948 , 0.025686 , 0.028147 , 0.030936 , 0.026066 , 0.026768 , 0.023433 , 0.026592 , 0.024518 , 0.024239 , 0.025223 , 0.030843 , 0.031394 
 333 , 0.026138 , 0.029205 , 0.027101 , 0.036612 , 0.026239 , 0.025931 , 0.031678 , 0.024518 , 0.02665 , 0.023474 , 0.025203 , 0.024191 , 0.022383 , 0.026366 , 0.029487 , 0.031304 
 334 , 0.025182 , 0.029923 , 0.027383 , 0.035459 , 0.026748 , 0.02405 , 0.03248 , 0.023149 , 0.026626 , 0.023508 , 0.023991 , 0.023938 , 0.020742 , 0.02738 , 0.028307 , 0.031258 
 335 , 0.024715 , 0.030588 , 0.027588 , 0.034546 , 0.026801 , 0.023268 , 0.03334 , 0.022316 , 0.026715 , 0.023545 , 0.023169 , 0.02372 , 0.019833 , 0.027842 , 0.02752 , 0.031332 
 336 , 0.025719 , 0.031068 , 0.027656 , 0.034313 , 0.025496 , 0.025582 , 0.034435 , 0.023181 , 0.027155 , 0.023552 , 0.023447 , 0.023625 , 0.021138 , 0.026658 , 0.027875 , 0.031833 
 337 , 0.026484 , 0.031467 , 0.027636 , 0.033987 , 0.024342 , 0.027691 , 0.035244 , 0.02385 , 0.027482 , 0.023616 , 0.02361 , 0.023459 , 0.022284 , 0.025628 , 0.028076 , 0.032178 
 338 , 0.02706 , 0.031799 , 0.027547 , 0.033597 , 0.023312 , 0.029636 , 0.035831 , 0.024365 , 0.027718 , 0.023726 , 0.023684 , 0.023243 , 0.023302 , 0.024721 , 0.02816 , 0.032402 
 339 , 0.026017 , 0.030376 , 0.025412 , 0.032787 , 0.023418 , 0.027694 , 0.033965 , 0.023758 , 0.027121 , 0.02357 , 0.022973 , 0.023281 , 0.022225 , 0.024087 , 0.027554 , 0.031618 
 340 , 0.024807 , 0.028831 , 0.023199 , 0.031972 , 0.023682 , 0.025382 , 0.031901 , 0.023031 , 0.026444 , 0.023383 , 0.022203 , 0.023357 , 0.020936 , 0.023564 , 0.026886 , 0.030741 
 341 , 0.023749 , 0.027484 , 0.021289 , 0.031266 , 0.023909 , 0.023396 , 0.030104 , 0.022385 , 0.025843 , 0.023193 , 0.021527 , 0.023444 , 0.019817 , 0.023122 , 0.026319 , 0.029975 
 342 , 0.02391 , 0.02634 , 0.020651 , 0.030567 , 0.024074 , 0.022784 , 0.029596 , 0.021669 , 0.025073 , 0.02315 , 0.021324 , 0.022677 , 0.019502 , 0.02309 , 0.02592 , 0.029824 
 343 , 0.025357 , 0.025381 , 0.021246 , 0.029868 , 0.024182 , 0.023498 , 0.030372 , 0.020869 , 0.024126 , 0.023245 , 0.021619 , 0.021071 , 0.019991 , 0.023462 , 0.02567 , 0.030273 
 344 , 0.026729 , 0.024525 , 0.021749 , 0.029225 , 0.02428 , 0.024117 , 0.031077 , 0.020157 , 0.023286 , 0.023294 , 0.021941 , 0.019673 , 0.020447 , 0.023765 , 0.025385 , 0.030639 
 345 , 0.027853 , 0.023802 , 0.022139 , 0.028719 , 0.024339 , 0.02462 , 0.031606 , 0.019606 , 0.022676 , 0.02325 , 0.02218 , 0.018597 , 0.020865 , 0.023963 , 0.025126 , 0.030928 
 346 , 0.026793 , 0.023721 , 0.021863 , 0.029241 , 0.024004 , 0.024507 , 0.030779 , 0.020089 , 0.023772 , 0.022407 , 0.021432 , 0.019363 , 0.021223 , 0.023526 , 0.02517 , 0.030977 
 347 , 0.025854 , 0.023622 , 0.021632 , 0.029683 , 0.023703 , 0.024412 , 0.030034 , 0.020529 , 0.024772 , 0.021658 , 0.020764 , 0.020047 , 0.021499 , 0.023127 , 0.025221 , 0.031011 
 348 , 0.025016 , 0.02351 , 0.021438 , 0.030057 , 0.023429 , 0.024332 , 0.029358 , 0.02093 , 0.025688 , 0.020989 , 0.020164 , 0.020659 , 0.021711 , 0.022759 , 0.025275 , 0.03103 
 349 , 0.024438 , 0.023914 , 0.021355 , 0.030533 , 0.023339 , 0.02402 , 0.028956 , 0.021082 , 0.025363 , 0.020635 , 0.020284 , 0.020748 , 0.021498 , 0.022829 , 0.025541 , 0.030823 
 350 , 0.023989 , 0.024561 , 0.021295 , 0.031093 , 0.02332 , 0.023647 , 0.028658 , 0.021168 , 0.024602 , 0.020409 , 0.020687 , 0.020646 , 0.021157 , 0.023054 , 0.0259 , 0.030547 
 351 , 0.023586 , 0.02525 , 0.02121 , 0.031693 , 0.023301 , 0.023313 , 0.028364 , 0.021292 , 0.023908 , 0.020196 , 0.021093 , 0.020559 , 0.020865 , 0.023258 , 0.026267 , 0.030297 
 352 , 0.023335 , 0.02545 , 0.021172 , 0.032191 , 0.023211 , 0.02321 , 0.028385 , 0.021379 , 0.023572 , 0.02006 , 0.021231 , 0.020351 , 0.020638 , 0.023202 , 0.026392 , 0.030079 
 353 , 0.023337 , 0.024629 , 0.021259 , 0.032419 , 0.022989 , 0.023523 , 0.029028 , 0.021347 , 0.023873 , 0.020067 , 0.020834 , 0.019906 , 0.020492 , 0.022669 , 0.026035 , 0.029912 
 354 , 0.023332 , 0.02388 , 0.02133 , 0.032635 , 0.022779 , 0.0238 , 0.029629 , 0.021307 , 0.024144 , 0.020069 , 0.020464 , 0.019494 , 0.020354 , 0.022176 , 0.0257 , 0.029747 
 355 , 0.02332 , 0.023194 , 0.021387 , 0.032841 , 0.022582 , 0.024046 , 0.030191 , 0.02126 , 0.024388 , 0.020067 , 0.02012 , 0.019113 , 0.020225 , 0.02172 , 0.025384 , 0.029585 
 356 , 0.023288 , 0.023211 , 0.021131 , 0.032435 , 0.02261 , 0.02357 , 0.029948 , 0.020647 , 0.024317 , 0.020195 , 0.020305 , 0.019143 , 0.020008 , 0.021942 , 0.024943 , 0.029441 
 357 , 0.023258 , 0.023262 , 0.020872 , 0.032022 , 0.022649 , 0.023087 , 0.029677 , 0.020035 , 0.024235 , 0.020322 , 0.020505 , 0.019191 , 0.019799 , 0.022193 , 0.02452 , 0.029305 
 358 , 0.02323 , 0.023309 , 0.020625 , 0.031631 , 0.022686 , 0.022632 , 0.029418 , 0.019454 , 0.024156 , 0.020442 , 0.020692 , 0.019236 , 0.019603 , 0.022439 , 0.02412 , 0.029176 
 359 , 0.023198 , 0.023292 , 0.020591 , 0.03102 , 0.022962 , 0.022757 , 0.029494 , 0.019345 , 0.023836 , 0.020753 , 0.020753 , 0.019127 , 0.019492 , 0.022734 , 0.024155 , 0.029173 
 360 , 0.023154 , 0.023234 , 0.020704 , 0.030275 , 0.023392 , 0.023288 , 0.029805 , 0.01955 , 0.023357 , 0.02119 , 0.020734 , 0.018917 , 0.019437 , 0.023048 , 0.024487 , 0.029253 
 361 , 0.023102 , 0.023181 , 0.020811 , 0.02958 , 0.023791 , 0.023797 , 0.030104 , 0.019724 , 0.022909 , 0.021601 , 0.020723 , 0.018724 , 0.019378 , 0.02334 , 0.024798 , 0.029324 
 362 , 0.023113 , 0.023096 , 0.020906 , 0.029166 , 0.024098 , 0.024167 , 0.030357 , 0.019902 , 0.02266 , 0.021916 , 0.0208 , 0.018653 , 0.019412 , 0.023563 , 0.025077 , 0.029455 
 363 , 0.023428 , 0.022841 , 0.02097 , 0.029711 , 0.024133 , 0.024031 , 0.030456 , 0.020191 , 0.023097 , 0.021923 , 0.021193 , 0.018989 , 0.01982 , 0.023581 , 0.025267 , 0.029824 
 364 , 0.023737 , 0.022595 , 0.021028 , 0.030215 , 0.024167 , 0.023898 , 0.030541 , 0.020459 , 0.023499 , 0.02193 , 0.021574 , 0.019295 , 0.020197 , 0.023594 , 0.025432 , 0.030159 
 365 , 0.02404 , 0.022358 , 0.021081 , 0.030683 , 0.0242 , 0.023766 , 0.030614 , 0.020707 , 0.023868 , 0.021936 , 0.021943 , 0.019575 , 0.020546 , 0.023604 , 0.025576 , 0.030463 
 366 , 0.024114 , 0.022584 , 0.021269 , 0.031089 , 0.024096 , 0.023772 , 0.030769 , 0.020919 , 0.02413 , 0.021802 , 0.02187 , 0.019899 , 0.020386 , 0.023732 , 0.02551 , 0.030772 
 367 , 0.024136 , 0.022904 , 0.021476 , 0.031468 , 0.023972 , 0.023804 , 0.03093 , 0.021114 , 0.024359 , 0.02165 , 0.021713 , 0.020228 , 0.020119 , 0.023886 , 0.0254 , 0.031075 
 368 , 0.024162 , 0.023207 , 0.021665 , 0.031825 , 0.023862 , 0.023826 , 0.031074 , 0.021293 , 0.024566 , 0.021511 , 0.021573 , 0.020543 , 0.019851 , 0.02404 , 0.025287 , 0.031361 
 369 , 0.024192 , 0.023424 , 0.021961 , 0.032227 , 0.023826 , 0.023976 , 0.031308 , 0.021516 , 0.024939 , 0.021585 , 0.021517 , 0.020801 , 0.019919 , 0.02411 , 0.025379 , 0.031493 
 370 , 0.024227 , 0.023539 , 0.022386 , 0.032689 , 0.023874 , 0.024281 , 0.031651 , 0.021792 , 0.025522 , 0.021919 , 0.021557 , 0.020997 , 0.020405 , 0.024079 , 0.025721 , 0.031439 
 371 , 0.024269 , 0.023655 , 0.022818 , 0.03316 , 0.023925 , 0.024594 , 0.032005 , 0.022076 , 0.026111 , 0.022254 , 0.021599 , 0.021191 , 0.020895 , 0.02406 , 0.026071 , 0.031403 
 372 , 0.024297 , 0.023778 , 0.023184 , 0.03358 , 0.023974 , 0.024878 , 0.032323 , 0.022308 , 0.026637 , 0.022558 , 0.021635 , 0.021361 , 0.021335 , 0.024037 , 0.026374 , 0.031395 
 373 , 0.024145 , 0.024054 , 0.022777 , 0.03331 , 0.023999 , 0.024788 , 0.032246 , 0.021902 , 0.026257 , 0.022438 , 0.021537 , 0.021157 , 0.020949 , 0.023961 , 0.026067 , 0.0318 
 374 , 0.023983 , 0.024303 , 0.022362 , 0.033062 , 0.024025 , 0.024699 , 0.032147 , 0.021499 , 0.02592 , 0.022326 , 0.021457 , 0.020982 , 0.020614 , 0.023874 , 0.025776 , 0.032154 
 375 , 0.023813 , 0.024532 , 0.021941 , 0.03283 , 0.024052 , 0.024612 , 0.03203 , 0.021099 , 0.025617 , 0.022219 , 0.021391 , 0.02083 , 0.020318 , 0.023778 , 0.025497 , 0.032464 
 376 , 0.02415 , 0.024647 , 0.022052 , 0.032862 , 0.024375 , 0.024998 , 0.032211 , 0.021348 , 0.02559 , 0.022703 , 0.021699 , 0.020856 , 0.020478 , 0.024165 , 0.025669 , 0.03284 
 377 , 0.024675 , 0.024702 , 0.022383 , 0.032975 , 0.024811 , 0.025549 , 0.032492 , 0.02184 , 0.025655 , 0.0234 , 0.022112 , 0.020931 , 0.020798 , 0.024716 , 0.025999 , 0.033226 
 378 , 0.025179 , 0.024744 , 0.022718 , 0.03306 , 0.025239 , 0.026068 , 0.032749 , 0.022305 , 0.025699 , 0.024062 , 0.022467 , 0.020978 , 0.021091 , 0.025228 , 0.026299 , 0.033601 
 379 , 0.025605 , 0.024738 , 0.022964 , 0.033197 , 0.025616 , 0.026519 , 0.032961 , 0.022718 , 0.025837 , 0.024449 , 0.022634 , 0.021014 , 0.02137 , 0.025611 , 0.02657 , 0.033937 
 380 , 0.025881 , 0.024663 , 0.023036 , 0.033498 , 0.025881 , 0.026877 , 0.033139 , 0.02308 , 0.026185 , 0.02435 , 0.022497 , 0.021057 , 0.021674 , 0.025788 , 0.026857 , 0.034226 
 381 , 0.026143 , 0.024613 , 0.023126 , 0.033852 , 0.026119 , 0.027259 , 0.033369 , 0.023494 , 0.02653 , 0.024319 , 0.022396 , 0.021113 , 0.02202 , 0.025994 , 0.027215 , 0.034547 
 382 , 0.0264 , 0.024578 , 0.023227 , 0.03424 , 0.026344 , 0.027657 , 0.03363 , 0.023943 , 0.026878 , 0.024328 , 0.022315 , 0.021177 , 0.022394 , 0.026219 , 0.027617 , 0.03489 
 383 , 0.026612 , 0.024635 , 0.022978 , 0.034373 , 0.026451 , 0.027481 , 0.033417 , 0.023759 , 0.026759 , 0.024054 , 0.022388 , 0.021376 , 0.022109 , 0.026446 , 0.027521 , 0.034781 
 384 , 0.026801 , 0.024704 , 0.022715 , 0.03444 , 0.026539 , 0.027269 , 0.033192 , 0.023505 , 0.026651 , 0.023796 , 0.022466 , 0.021592 , 0.021771 , 0.026657 , 0.027375 , 0.034715 
 385 , 0.026974 , 0.024779 , 0.022452 , 0.034472 , 0.026621 , 0.027051 , 0.032972 , 0.023223 , 0.02656 , 0.023553 , 0.022541 , 0.021813 , 0.021418 , 0.026855 , 0.027208 , 0.034689 
 386 , 0.027312 , 0.024826 , 0.02269 , 0.03471 , 0.026678 , 0.027308 , 0.033264 , 0.02344 , 0.026798 , 0.023717 , 0.022595 , 0.021952 , 0.021474 , 0.027005 , 0.027323 , 0.035027 
 387 , 0.027756 , 0.024857 , 0.023253 , 0.035082 , 0.026724 , 0.027869 , 0.033886 , 0.02399 , 0.027236 , 0.024139 , 0.022634 , 0.022023 , 0.021799 , 0.027122 , 0.027634 , 0.035583 
 388 , 0.028187 , 0.024892 , 0.023786 , 0.035441 , 0.026779 , 0.028397 , 0.034479 , 0.024518 , 0.027643 , 0.024537 , 0.022673 , 0.022085 , 0.022107 , 0.027238 , 0.027946 , 0.036108 
 389 , 0.028478 , 0.024943 , 0.02413 , 0.035737 , 0.026867 , 0.028791 , 0.034908 , 0.024902 , 0.027987 , 0.02486 , 0.022749 , 0.022155 , 0.02231 , 0.027326 , 0.028193 , 0.036483 
 390 , 0.028337 , 0.025046 , 0.02388 , 0.035858 , 0.027059 , 0.02879 , 0.034858 , 0.024853 , 0.028181 , 0.024974 , 0.022953 , 0.022263 , 0.022183 , 0.027317 , 0.028245 , 0.036421 
 391 , 0.028204 , 0.025146 , 0.023644 , 0.035975 , 0.027247 , 0.028799 , 0.034808 , 0.024808 , 0.028371 , 0.025087 , 0.023149 , 0.022374 , 0.02207 , 0.027315 , 0.028298 , 0.036369 
 392 , 0.028076 , 0.025244 , 0.023421 , 0.036093 , 0.027429 , 0.028816 , 0.034764 , 0.024768 , 0.028559 , 0.025198 , 0.023342 , 0.022486 , 0.021969 , 0.02732 , 0.02835 , 0.03632 
 393 , 0.028308 , 0.025156 , 0.023463 , 0.036086 , 0.027664 , 0.02912 , 0.034736 , 0.024808 , 0.028468 , 0.025402 , 0.023378 , 0.022313 , 0.021937 , 0.027614 , 0.028363 , 0.036432 
 394 , 0.028587 , 0.025044 , 0.023544 , 0.036061 , 0.027894 , 0.029451 , 0.034716 , 0.024862 , 0.028345 , 0.025608 , 0.023388 , 0.022114 , 0.021923 , 0.027937 , 0.028369 , 0.03656 
 395 , 0.028844 , 0.024942 , 0.023624 , 0.036039 , 0.028107 , 0.029759 , 0.034703 , 0.024911 , 0.028238 , 0.0258 , 0.023401 , 0.021932 , 0.021912 , 0.028238 , 0.02838 , 0.03668 
 396 , 0.029159 , 0.0249 , 0.023738 , 0.036185 , 0.028351 , 0.030126 , 0.034841 , 0.025148 , 0.028285 , 0.025917 , 0.023385 , 0.021891 , 0.022068 , 0.028468 , 0.028579 , 0.036951 
 397 , 0.029515 , 0.024911 , 0.023882 , 0.036478 , 0.028611 , 0.030529 , 0.035105 , 0.025543 , 0.028477 , 0.025962 , 0.023341 , 0.02198 , 0.022368 , 0.028624 , 0.02894 , 0.037347 
 398 , 0.029819 , 0.02492 , 0.024005 , 0.03673 , 0.028833 , 0.03088 , 0.035331 , 0.025884 , 0.028641 , 0.026 , 0.023301 , 0.022058 , 0.022626 , 0.028758 , 0.029255 , 0.03769 
 399 , 0.030096 , 0.024945 , 0.024105 , 0.036964 , 0.029059 , 0.03116 , 0.035525 , 0.026169 , 0.028792 , 0.026059 , 0.023296 , 0.022155 , 0.022841 , 0.028915 , 0.029518 , 0.038004 
 400 , 0.030399 , 0.025073 , 0.024124 , 0.037267 , 0.02948 , 0.031204 , 0.035622 , 0.026307 , 0.028977 , 0.026293 , 0.023479 , 0.022438 , 0.022924 , 0.029354 , 0.029672 , 0.038364 
 401 , 0.030667 , 0.025187 , 0.02414 , 0.037534 , 0.029855 , 0.031245 , 0.035707 , 0.026429 , 0.029138 , 0.026499 , 0.02364 , 0.022688 , 0.023 , 0.02974 , 0.029813 , 0.038685 
 402 , 0.030905 , 0.025288 , 0.024158 , 0.037773 , 0.030188 , 0.031282 , 0.035784 , 0.026539 , 0.029279 , 0.026681 , 0.023783 , 0.02291 , 0.023067 , 0.030085 , 0.029935 , 0.038967 
