MAY31WSG100004.spu,MAY31WSG100003.spu,
Wavelength,MAY31WSG100005.spu,MAY31WSG100006.spu,MAY31WSG100007.spu,MAY31WSG100008.spu,MAY31WSG100009.spu,MAY31WSG100010.spu,MAY31WSG100011.spu,MAY31WSG100012.spu,MAY31WSG100013.spu,MAY31WSG100014.spu,MAY31WSG100015.spu,MAY31WSG100016.spu,MAY31WSG100017.spu,MAY31WSG100018.spu,MAY31WSG100019.spu,MAY31WSG100020.spu,MAY31WSG100021.spu,MAY31WSG100022.spu,MAY31WSG100023.spu,MAY31WSG100024.spu,MAY31WSG100025.spu,MAY31WSG100026.spu,MAY31WSG100027.spu,MAY31WSG100028.spu,MAY31WSG100029.spu
  (nm),5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 ,5/31/2016 
  time  ,:24:01 A,:24:17 A,:24:22 A,:24:29 A,:24:38 A,:25:10 A,:25:20 A,:25:26 A,:25:31 A,:25:39 A,:26:32 A,:26:38 A,:26:44 A,:27:00 A,:27:08 A,:28:01 A,:28:07 A,:28:17 A,:28:23 A,:28:33 A,:29:23 A,:29:30 A,:29:36 A,:29:41 A,:29:50 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 518 , 0.130447 , 0.128143 , 0.103908 , 0.131622 , 0.09092 , 0.099937 , 0.098826 , 0.086144 , 0.091186 , 0.08185 , 0.105674 , 0.121417 , 0.134354 , 0.102565 , 0.08894 , 0.044586 , 0.067449 , 0.039411 , 0.059073 , 0.054206 , 0.107937 , 0.090636 , 0.125996 , 0.076849 , 0.111815 
 519 , 0.131651 , 0.129257 , 0.104911 , 0.132932 , 0.091873 , 0.100788 , 0.099612 , 0.08694 , 0.09189 , 0.082532 , 0.106832 , 0.122549 , 0.135739 , 0.103641 , 0.089963 , 0.045042 , 0.068067 , 0.039807 , 0.05963 , 0.054662 , 0.108882 , 0.091523 , 0.127109 , 0.077548 , 0.112766 
 520 , 0.132902 , 0.130436 , 0.10596 , 0.134285 , 0.092849 , 0.101689 , 0.100441 , 0.08777 , 0.092644 , 0.083241 , 0.108028 , 0.123722 , 0.137179 , 0.104759 , 0.091021 , 0.045513 , 0.068712 , 0.040206 , 0.060212 , 0.055156 , 0.109867 , 0.092439 , 0.128274 , 0.078273 , 0.113763 
 521 , 0.134585 , 0.132137 , 0.107374 , 0.136117 , 0.094096 , 0.10305 , 0.101678 , 0.088874 , 0.093854 , 0.08419 , 0.109503 , 0.125276 , 0.13921 , 0.106226 , 0.092334 , 0.046054 , 0.069623 , 0.040714 , 0.061077 , 0.055925 , 0.111253 , 0.093641 , 0.129883 , 0.079192 , 0.115186 
 522 , 0.136276 , 0.133838 , 0.108794 , 0.137949 , 0.095345 , 0.10442 , 0.102921 , 0.089974 , 0.095071 , 0.085135 , 0.11098 , 0.12683 , 0.141241 , 0.1077 , 0.093637 , 0.0466 , 0.070534 , 0.041217 , 0.061943 , 0.056703 , 0.112635 , 0.094849 , 0.131496 , 0.080117 , 0.116602 
 523 , 0.137961 , 0.135541 , 0.110208 , 0.139777 , 0.096588 , 0.105785 , 0.104161 , 0.091079 , 0.09628 , 0.086082 , 0.112465 , 0.128384 , 0.143271 , 0.10917 , 0.094947 , 0.047147 , 0.071448 , 0.041716 , 0.062807 , 0.057473 , 0.114016 , 0.096051 , 0.133115 , 0.081037 , 0.118023 
 524 , 0.139725 , 0.137238 , 0.111705 , 0.141719 , 0.097899 , 0.107072 , 0.105402 , 0.092157 , 0.097411 , 0.087134 , 0.113978 , 0.130034 , 0.145236 , 0.110656 , 0.096283 , 0.047758 , 0.072328 , 0.042284 , 0.063642 , 0.058193 , 0.115399 , 0.097265 , 0.134752 , 0.082038 , 0.119403 
 525 , 0.141511 , 0.138925 , 0.113228 , 0.143691 , 0.09922 , 0.108333 , 0.106633 , 0.093228 , 0.098499 , 0.088203 , 0.115494 , 0.131714 , 0.14717 , 0.112132 , 0.097637 , 0.048387 , 0.073191 , 0.04287 , 0.064471 , 0.058893 , 0.116788 , 0.098474 , 0.1364 , 0.083068 , 0.120765 
 526 , 0.143291 , 0.140616 , 0.114753 , 0.145661 , 0.100547 , 0.109591 , 0.107868 , 0.094296 , 0.099595 , 0.089282 , 0.117017 , 0.133388 , 0.149106 , 0.113615 , 0.098986 , 0.049014 , 0.074056 , 0.043459 , 0.065304 , 0.059588 , 0.118174 , 0.099688 , 0.138041 , 0.084095 , 0.12213 
 527 , 0.145011 , 0.142322 , 0.116231 , 0.147593 , 0.101825 , 0.110866 , 0.109119 , 0.095373 , 0.100751 , 0.090329 , 0.118524 , 0.135034 , 0.151029 , 0.115062 , 0.100318 , 0.049606 , 0.074937 , 0.044015 , 0.066135 , 0.060292 , 0.119548 , 0.100908 , 0.139658 , 0.085089 , 0.123525 
 528 , 0.146652 , 0.14407 , 0.117637 , 0.149468 , 0.103035 , 0.11215 , 0.1104 , 0.096451 , 0.102001 , 0.091351 , 0.120029 , 0.136617 , 0.152938 , 0.116464 , 0.10162 , 0.050138 , 0.07586 , 0.044518 , 0.066967 , 0.061017 , 0.120911 , 0.102141 , 0.141222 , 0.086054 , 0.12497 
 529 , 0.148285 , 0.145813 , 0.119043 , 0.151346 , 0.104243 , 0.113433 , 0.111678 , 0.097531 , 0.103256 , 0.092369 , 0.121528 , 0.138204 , 0.154843 , 0.117871 , 0.102917 , 0.050664 , 0.076781 , 0.045029 , 0.067802 , 0.061744 , 0.122271 , 0.103378 , 0.142783 , 0.087015 , 0.126414 
 530 , 0.149928 , 0.147555 , 0.12044 , 0.153219 , 0.105454 , 0.114718 , 0.112953 , 0.098607 , 0.104503 , 0.093383 , 0.123033 , 0.13979 , 0.156749 , 0.11927 , 0.104212 , 0.051198 , 0.077699 , 0.045534 , 0.068634 , 0.062467 , 0.123627 , 0.104607 , 0.144348 , 0.087972 , 0.127856 
 531 , 0.151623 , 0.149197 , 0.121803 , 0.154923 , 0.106655 , 0.115934 , 0.11418 , 0.09958 , 0.105501 , 0.094266 , 0.124509 , 0.141398 , 0.158626 , 0.120603 , 0.105397 , 0.051756 , 0.078576 , 0.046037 , 0.069447 , 0.063148 , 0.124894 , 0.105703 , 0.145885 , 0.088801 , 0.129107 
 532 , 0.153337 , 0.150839 , 0.123171 , 0.156618 , 0.107851 , 0.117148 , 0.115406 , 0.100553 , 0.10651 , 0.095154 , 0.125992 , 0.143014 , 0.160504 , 0.121935 , 0.106582 , 0.052318 , 0.079453 , 0.046545 , 0.070261 , 0.063831 , 0.126163 , 0.106806 , 0.14742 , 0.089631 , 0.130364 
 533 , 0.155046 , 0.152487 , 0.124538 , 0.15832 , 0.109052 , 0.118366 , 0.116629 , 0.101527 , 0.107514 , 0.096038 , 0.127481 , 0.144631 , 0.162384 , 0.123265 , 0.107766 , 0.052875 , 0.080334 , 0.047055 , 0.071072 , 0.064509 , 0.127435 , 0.107905 , 0.14896 , 0.090463 , 0.131624 
 534 , 0.156381 , 0.15373 , 0.125639 , 0.159766 , 0.110074 , 0.119336 , 0.117553 , 0.102395 , 0.108352 , 0.0968 , 0.128657 , 0.145898 , 0.163906 , 0.124404 , 0.108792 , 0.053358 , 0.081042 , 0.047468 , 0.07172 , 0.065103 , 0.12847 , 0.108819 , 0.150164 , 0.091198 , 0.13265 
 535 , 0.15755 , 0.15479 , 0.126615 , 0.161102 , 0.11103 , 0.120196 , 0.118349 , 0.103207 , 0.109116 , 0.097513 , 0.129704 , 0.147001 , 0.165266 , 0.12546 , 0.109747 , 0.053806 , 0.081673 , 0.047843 , 0.072285 , 0.065658 , 0.129402 , 0.109647 , 0.151225 , 0.091886 , 0.133585 
 536 , 0.158724 , 0.155854 , 0.127588 , 0.162444 , 0.111983 , 0.121058 , 0.119147 , 0.104029 , 0.109883 , 0.098215 , 0.130748 , 0.148102 , 0.166624 , 0.126514 , 0.110707 , 0.054256 , 0.082299 , 0.048213 , 0.072859 , 0.066208 , 0.130329 , 0.11047 , 0.152282 , 0.092576 , 0.134516 
 537 , 0.159821 , 0.156908 , 0.128534 , 0.163711 , 0.112878 , 0.121915 , 0.119925 , 0.104778 , 0.11063 , 0.098877 , 0.131746 , 0.149168 , 0.167982 , 0.127509 , 0.111635 , 0.054663 , 0.082915 , 0.048573 , 0.073416 , 0.066728 , 0.131223 , 0.111268 , 0.153317 , 0.093222 , 0.135406 
 538 , 0.160743 , 0.157953 , 0.12945 , 0.164801 , 0.113639 , 0.122759 , 0.120651 , 0.105407 , 0.111341 , 0.099418 , 0.132614 , 0.150157 , 0.16933 , 0.128372 , 0.112507 , 0.055002 , 0.083499 , 0.048932 , 0.073929 , 0.06717 , 0.132041 , 0.112002 , 0.15427 , 0.093771 , 0.136209 
 539 , 0.16166 , 0.158994 , 0.130368 , 0.165887 , 0.114397 , 0.123605 , 0.121372 , 0.106037 , 0.112053 , 0.09996 , 0.133492 , 0.151149 , 0.170683 , 0.129231 , 0.113382 , 0.055341 , 0.084078 , 0.049291 , 0.074451 , 0.067613 , 0.132862 , 0.112745 , 0.155226 , 0.094321 , 0.137007 
 540 , 0.162578 , 0.160039 , 0.131289 , 0.166976 , 0.115163 , 0.124448 , 0.122094 , 0.106669 , 0.112768 , 0.100496 , 0.134366 , 0.152144 , 0.172035 , 0.130092 , 0.114247 , 0.055682 , 0.084658 , 0.049652 , 0.074974 , 0.068057 , 0.133677 , 0.113483 , 0.156177 , 0.094872 , 0.137807 
 541 , 0.163717 , 0.16113 , 0.132268 , 0.168206 , 0.116022 , 0.125255 , 0.12289 , 0.107314 , 0.113518 , 0.101214 , 0.135387 , 0.153252 , 0.173365 , 0.131106 , 0.115123 , 0.056112 , 0.085216 , 0.050012 , 0.075513 , 0.068562 , 0.13453 , 0.114223 , 0.157215 , 0.095515 , 0.138735 
 542 , 0.164866 , 0.162225 , 0.133247 , 0.169433 , 0.116892 , 0.126074 , 0.123704 , 0.107967 , 0.114271 , 0.101934 , 0.136424 , 0.154371 , 0.174702 , 0.132128 , 0.116002 , 0.056552 , 0.085766 , 0.05038 , 0.076056 , 0.06907 , 0.135381 , 0.114973 , 0.158263 , 0.096165 , 0.139663 
 543 , 0.166019 , 0.163322 , 0.134222 , 0.170657 , 0.117765 , 0.126887 , 0.124512 , 0.108614 , 0.115019 , 0.102662 , 0.137463 , 0.155492 , 0.176036 , 0.133153 , 0.116877 , 0.056986 , 0.086324 , 0.050741 , 0.0766 , 0.069573 , 0.136241 , 0.115718 , 0.159313 , 0.096816 , 0.140592 
 544 , 0.167178 , 0.164461 , 0.135211 , 0.17193 , 0.11861 , 0.127756 , 0.125334 , 0.109337 , 0.11583 , 0.103356 , 0.138503 , 0.156578 , 0.177398 , 0.134116 , 0.117774 , 0.057392 , 0.086944 , 0.051123 , 0.07718 , 0.070097 , 0.137127 , 0.116511 , 0.16039 , 0.097446 , 0.141493 
 545 , 0.16833 , 0.165635 , 0.136204 , 0.17324 , 0.119443 , 0.128649 , 0.126145 , 0.110089 , 0.116657 , 0.104044 , 0.139534 , 0.15765 , 0.178756 , 0.135055 , 0.118689 , 0.057775 , 0.087586 , 0.051511 , 0.077774 , 0.070628 , 0.138017 , 0.11732 , 0.16148 , 0.098069 , 0.142384 
 546 , 0.169485 , 0.166798 , 0.137208 , 0.174553 , 0.120273 , 0.129545 , 0.126957 , 0.110851 , 0.117494 , 0.104733 , 0.140561 , 0.158709 , 0.180118 , 0.135989 , 0.119599 , 0.058166 , 0.08823 , 0.051892 , 0.078369 , 0.071153 , 0.13891 , 0.118132 , 0.162573 , 0.098693 , 0.143276 
 547 , 0.170584 , 0.167905 , 0.138155 , 0.175777 , 0.121065 , 0.130397 , 0.127733 , 0.11154 , 0.118251 , 0.105349 , 0.141546 , 0.159762 , 0.181419 , 0.136866 , 0.120445 , 0.058545 , 0.088843 , 0.052247 , 0.078919 , 0.07166 , 0.139744 , 0.118878 , 0.163602 , 0.099287 , 0.144118 
 548 , 0.171548 , 0.168836 , 0.13895 , 0.176791 , 0.121754 , 0.131146 , 0.128442 , 0.112069 , 0.118814 , 0.105796 , 0.14242 , 0.160768 , 0.182592 , 0.137591 , 0.121118 , 0.058899 , 0.0894 , 0.052533 , 0.079357 , 0.072118 , 0.140417 , 0.119444 , 0.164494 , 0.099801 , 0.14483 
 549 , 0.172501 , 0.169765 , 0.139736 , 0.177801 , 0.122441 , 0.1319 , 0.129157 , 0.112595 , 0.119375 , 0.106238 , 0.143291 , 0.161771 , 0.18377 , 0.138321 , 0.121788 , 0.059253 , 0.089956 , 0.052818 , 0.079794 , 0.072576 , 0.141093 , 0.120014 , 0.165376 , 0.100313 , 0.145539 
 550 , 0.173464 , 0.170695 , 0.140531 , 0.178814 , 0.123137 , 0.132649 , 0.129865 , 0.113121 , 0.119943 , 0.106681 , 0.144158 , 0.162777 , 0.184951 , 0.139045 , 0.122452 , 0.059607 , 0.090507 , 0.053103 , 0.080231 , 0.073027 , 0.141771 , 0.120577 , 0.166267 , 0.100826 , 0.146249 
 551 , 0.174122 , 0.171316 , 0.141057 , 0.179523 , 0.123675 , 0.133126 , 0.130277 , 0.113604 , 0.120321 , 0.107089 , 0.14481 , 0.163414 , 0.185755 , 0.139655 , 0.123039 , 0.059933 , 0.0909 , 0.05336 , 0.080568 , 0.073338 , 0.142265 , 0.121029 , 0.166848 , 0.10116 , 0.146762 
 552 , 0.17478 , 0.171918 , 0.141588 , 0.180213 , 0.124196 , 0.133591 , 0.130665 , 0.114076 , 0.12069 , 0.107492 , 0.145449 , 0.164037 , 0.186529 , 0.140263 , 0.123616 , 0.060247 , 0.091273 , 0.053619 , 0.080907 , 0.073641 , 0.142755 , 0.121472 , 0.167427 , 0.101479 , 0.147268 
 553 , 0.175439 , 0.172522 , 0.142113 , 0.180896 , 0.124725 , 0.13405 , 0.131053 , 0.11455 , 0.12106 , 0.107895 , 0.14609 , 0.164662 , 0.187305 , 0.140865 , 0.124195 , 0.060563 , 0.091646 , 0.053871 , 0.081246 , 0.073938 , 0.143238 , 0.121916 , 0.168 , 0.101799 , 0.147774 
 554 , 0.175824 , 0.17291 , 0.14249 , 0.181317 , 0.125071 , 0.134402 , 0.131299 , 0.114803 , 0.121322 , 0.108118 , 0.14648 , 0.165032 , 0.18793 , 0.141248 , 0.124577 , 0.060737 , 0.09189 , 0.054037 , 0.081448 , 0.074166 , 0.143537 , 0.122194 , 0.168368 , 0.102013 , 0.148064 
 555 , 0.176004 , 0.17312 , 0.142754 , 0.181539 , 0.125291 , 0.134662 , 0.131436 , 0.114895 , 0.121513 , 0.108197 , 0.146684 , 0.165209 , 0.188441 , 0.141469 , 0.124818 , 0.060811 , 0.092034 , 0.054128 , 0.081537 , 0.07433 , 0.143684 , 0.122334 , 0.168572 , 0.102153 , 0.148188 
 556 , 0.176183 , 0.173336 , 0.143017 , 0.18176 , 0.125502 , 0.134913 , 0.131565 , 0.114986 , 0.121704 , 0.108283 , 0.146888 , 0.165392 , 0.188957 , 0.141688 , 0.125059 , 0.060884 , 0.092176 , 0.054218 , 0.081625 , 0.074501 , 0.143838 , 0.122466 , 0.168776 , 0.102285 , 0.148311 
 557 , 0.176357 , 0.173555 , 0.143277 , 0.181983 , 0.125702 , 0.135139 , 0.131698 , 0.115082 , 0.121862 , 0.108374 , 0.147095 , 0.165599 , 0.189409 , 0.141912 , 0.125281 , 0.060956 , 0.092309 , 0.054299 , 0.081718 , 0.074655 , 0.143981 , 0.12258 , 0.16896 , 0.102414 , 0.148431 
 558 , 0.176536 , 0.17379 , 0.143518 , 0.182182 , 0.125856 , 0.135249 , 0.131806 , 0.115159 , 0.121943 , 0.108492 , 0.147322 , 0.165933 , 0.189712 , 0.142133 , 0.12545 , 0.061008 , 0.092439 , 0.054362 , 0.081822 , 0.074763 , 0.14409 , 0.122595 , 0.169093 , 0.10252 , 0.148511 
 559 , 0.176711 , 0.17402 , 0.143752 , 0.182376 , 0.126014 , 0.135368 , 0.131924 , 0.115242 , 0.122028 , 0.108608 , 0.147557 , 0.166258 , 0.190008 , 0.142356 , 0.125623 , 0.061064 , 0.09257 , 0.054423 , 0.081928 , 0.074867 , 0.144193 , 0.122606 , 0.169231 , 0.102633 , 0.148599 
 560 , 0.176886 , 0.174257 , 0.143993 , 0.182576 , 0.126171 , 0.135479 , 0.132042 , 0.115317 , 0.122112 , 0.108724 , 0.147784 , 0.166596 , 0.19031 , 0.142578 , 0.125795 , 0.061121 , 0.0927 , 0.054485 , 0.082034 , 0.074979 , 0.144303 , 0.122625 , 0.169369 , 0.102738 , 0.148687 
 561 , 0.177116 , 0.1745 , 0.144242 , 0.182917 , 0.126393 , 0.135718 , 0.132208 , 0.115548 , 0.122329 , 0.10881 , 0.14809 , 0.166934 , 0.190778 , 0.142815 , 0.126054 , 0.06128 , 0.092856 , 0.0546 , 0.082155 , 0.07513 , 0.144458 , 0.122725 , 0.169658 , 0.102873 , 0.148912 
 562 , 0.177357 , 0.17474 , 0.144499 , 0.183287 , 0.126629 , 0.135959 , 0.13238 , 0.115796 , 0.122582 , 0.108896 , 0.148402 , 0.167272 , 0.191252 , 0.143047 , 0.12632 , 0.061453 , 0.093017 , 0.054717 , 0.082284 , 0.07529 , 0.144621 , 0.122826 , 0.169967 , 0.103008 , 0.14915 
 563 , 0.177601 , 0.174977 , 0.14476 , 0.18366 , 0.126862 , 0.136198 , 0.132556 , 0.116042 , 0.122832 , 0.108979 , 0.148711 , 0.167605 , 0.191727 , 0.143276 , 0.12659 , 0.061624 , 0.093175 , 0.054841 , 0.082404 , 0.075449 , 0.144781 , 0.122925 , 0.170273 , 0.103149 , 0.149392 
 564 , 0.177802 , 0.175207 , 0.144977 , 0.183894 , 0.127031 , 0.136426 , 0.132722 , 0.116192 , 0.122991 , 0.109028 , 0.148974 , 0.167914 , 0.192137 , 0.143468 , 0.126781 , 0.061732 , 0.093355 , 0.054954 , 0.082502 , 0.075602 , 0.144898 , 0.122984 , 0.170502 , 0.103251 , 0.14956 
 565 , 0.177964 , 0.175423 , 0.145167 , 0.183999 , 0.12716 , 0.136654 , 0.132896 , 0.116256 , 0.123039 , 0.109053 , 0.149188 , 0.168199 , 0.192498 , 0.143622 , 0.126889 , 0.061786 , 0.093573 , 0.05506 , 0.082583 , 0.075765 , 0.144989 , 0.123003 , 0.170647 , 0.103323 , 0.149686 
 566 , 0.178131 , 0.175652 , 0.145356 , 0.184104 , 0.127282 , 0.136875 , 0.133064 , 0.116315 , 0.123081 , 0.109088 , 0.149402 , 0.168489 , 0.192854 , 0.143776 , 0.127006 , 0.061845 , 0.093791 , 0.055171 , 0.082661 , 0.07593 , 0.145073 , 0.123024 , 0.170798 , 0.103399 , 0.149806 
 567 , 0.178294 , 0.175853 , 0.145527 , 0.184225 , 0.127422 , 0.137092 , 0.133212 , 0.116399 , 0.12312 , 0.109141 , 0.149617 , 0.168765 , 0.193203 , 0.143926 , 0.127126 , 0.061909 , 0.093985 , 0.055265 , 0.082743 , 0.076078 , 0.145153 , 0.123042 , 0.170952 , 0.103478 , 0.149913 
 568 , 0.178465 , 0.175949 , 0.1456 , 0.184396 , 0.12759 , 0.137237 , 0.133248 , 0.116591 , 0.123139 , 0.109272 , 0.149828 , 0.168994 , 0.193496 , 0.144044 , 0.127289 , 0.062029 , 0.094066 , 0.055313 , 0.082815 , 0.07619 , 0.145208 , 0.123034 , 0.171104 , 0.103559 , 0.14994 
 569 , 0.178639 , 0.176048 , 0.145675 , 0.18456 , 0.127759 , 0.137386 , 0.13329 , 0.116787 , 0.123161 , 0.10941 , 0.150036 , 0.169214 , 0.193783 , 0.144171 , 0.127459 , 0.062145 , 0.094147 , 0.05536 , 0.082883 , 0.076293 , 0.145257 , 0.123029 , 0.171255 , 0.103635 , 0.149967 
 570 , 0.178817 , 0.176145 , 0.145745 , 0.184728 , 0.127928 , 0.137528 , 0.133327 , 0.116985 , 0.12318 , 0.109544 , 0.150244 , 0.169431 , 0.194079 , 0.144291 , 0.127623 , 0.062261 , 0.094226 , 0.055409 , 0.08295 , 0.076402 , 0.145308 , 0.12302 , 0.171403 , 0.103716 , 0.149994 
 571 , 0.178738 , 0.176174 , 0.145767 , 0.184656 , 0.127958 , 0.137608 , 0.133416 , 0.117044 , 0.123223 , 0.109483 , 0.15029 , 0.169452 , 0.194306 , 0.144296 , 0.127677 , 0.062306 , 0.094273 , 0.055439 , 0.082953 , 0.076554 , 0.145293 , 0.122948 , 0.171466 , 0.103717 , 0.150015 
 572 , 0.178608 , 0.176194 , 0.1458 , 0.184528 , 0.127971 , 0.137677 , 0.133523 , 0.117078 , 0.123278 , 0.109391 , 0.150302 , 0.169448 , 0.194514 , 0.144293 , 0.127712 , 0.062328 , 0.094317 , 0.055459 , 0.082947 , 0.07672 , 0.145261 , 0.122862 , 0.171515 , 0.103703 , 0.15005 
 573 , 0.178473 , 0.176219 , 0.145829 , 0.184409 , 0.127981 , 0.137748 , 0.133626 , 0.117112 , 0.123332 , 0.109301 , 0.15031 , 0.169444 , 0.194723 , 0.144286 , 0.127745 , 0.062356 , 0.094363 , 0.055486 , 0.082939 , 0.076888 , 0.145227 , 0.122783 , 0.171562 , 0.10369 , 0.150087 
 574 , 0.178385 , 0.176189 , 0.145853 , 0.184295 , 0.127988 , 0.137753 , 0.133576 , 0.117074 , 0.123313 , 0.10927 , 0.150319 , 0.169453 , 0.194839 , 0.144268 , 0.127739 , 0.062345 , 0.094401 , 0.055508 , 0.082937 , 0.076932 , 0.145141 , 0.122662 , 0.171535 , 0.103629 , 0.15003 
 575 , 0.178356 , 0.176124 , 0.145841 , 0.184193 , 0.12797 , 0.137692 , 0.133374 , 0.116943 , 0.123213 , 0.109301 , 0.150312 , 0.169495 , 0.194881 , 0.144222 , 0.127697 , 0.062286 , 0.094415 , 0.05553 , 0.082935 , 0.076852 , 0.145001 , 0.122513 , 0.171447 , 0.10353 , 0.149872 
 576 , 0.178326 , 0.176052 , 0.145825 , 0.18409 , 0.127951 , 0.137635 , 0.133173 , 0.116813 , 0.123119 , 0.10933 , 0.1503 , 0.169528 , 0.194931 , 0.144172 , 0.127654 , 0.062234 , 0.094438 , 0.055551 , 0.082936 , 0.076763 , 0.144866 , 0.122365 , 0.171353 , 0.103434 , 0.149711 
 577 , 0.178245 , 0.175943 , 0.145761 , 0.183962 , 0.127894 , 0.137559 , 0.132969 , 0.116675 , 0.123015 , 0.109318 , 0.150259 , 0.16953 , 0.194939 , 0.144083 , 0.127585 , 0.062167 , 0.094427 , 0.055557 , 0.082919 , 0.07669 , 0.144699 , 0.122196 , 0.171235 , 0.103331 , 0.149532 
 578 , 0.177878 , 0.175594 , 0.145449 , 0.183688 , 0.127614 , 0.137354 , 0.132709 , 0.11652 , 0.122851 , 0.109064 , 0.150023 , 0.169295 , 0.194717 , 0.143731 , 0.127373 , 0.062066 , 0.094216 , 0.055443 , 0.082803 , 0.076628 , 0.144369 , 0.121921 , 0.170968 , 0.10313 , 0.149196 
 579 , 0.177509 , 0.175243 , 0.145139 , 0.183411 , 0.127337 , 0.137152 , 0.132451 , 0.116366 , 0.122688 , 0.108811 , 0.149789 , 0.169057 , 0.194486 , 0.14337 , 0.127162 , 0.061964 , 0.094011 , 0.055332 , 0.082678 , 0.076563 , 0.144035 , 0.121641 , 0.170697 , 0.102928 , 0.148859 
 580 , 0.177139 , 0.174896 , 0.144824 , 0.18313 , 0.127055 , 0.136949 , 0.132188 , 0.116213 , 0.122525 , 0.108562 , 0.149553 , 0.168815 , 0.19426 , 0.143017 , 0.126946 , 0.061861 , 0.093805 , 0.055216 , 0.082559 , 0.076497 , 0.143703 , 0.121365 , 0.170436 , 0.102724 , 0.148521 
 581 , 0.176341 , 0.17411 , 0.144145 , 0.182243 , 0.126405 , 0.136362 , 0.131596 , 0.115661 , 0.121945 , 0.107934 , 0.14893 , 0.168099 , 0.193477 , 0.142315 , 0.126322 , 0.061576 , 0.093454 , 0.054981 , 0.082188 , 0.07619 , 0.142963 , 0.120756 , 0.169637 , 0.10219 , 0.147767 
 582 , 0.175444 , 0.17321 , 0.143379 , 0.181196 , 0.125664 , 0.135683 , 0.130925 , 0.115009 , 0.121265 , 0.107218 , 0.148213 , 0.167269 , 0.192568 , 0.141536 , 0.125595 , 0.061246 , 0.093065 , 0.05472 , 0.081756 , 0.075821 , 0.142127 , 0.120069 , 0.168704 , 0.101586 , 0.146897 
 583 , 0.174545 , 0.172313 , 0.142609 , 0.180154 , 0.124927 , 0.135011 , 0.130262 , 0.114356 , 0.120583 , 0.106503 , 0.147495 , 0.166442 , 0.191653 , 0.140751 , 0.124864 , 0.060918 , 0.092679 , 0.054454 , 0.081323 , 0.075452 , 0.141287 , 0.119386 , 0.16777 , 0.100981 , 0.14603 
 584 , 0.173297 , 0.171057 , 0.141581 , 0.178777 , 0.124002 , 0.134059 , 0.12929 , 0.113536 , 0.119651 , 0.105663 , 0.146499 , 0.165319 , 0.190383 , 0.139761 , 0.123983 , 0.060526 , 0.092076 , 0.054084 , 0.080747 , 0.074959 , 0.140242 , 0.118491 , 0.166535 , 0.100208 , 0.144907 
 585 , 0.171639 , 0.169384 , 0.140223 , 0.177014 , 0.122854 , 0.132769 , 0.127949 , 0.112494 , 0.11843 , 0.104693 , 0.145171 , 0.16385 , 0.188678 , 0.138516 , 0.122927 , 0.060053 , 0.091225 , 0.053568 , 0.079981 , 0.074326 , 0.138931 , 0.117327 , 0.164923 , 0.099214 , 0.143489 
 586 , 0.16998 , 0.167705 , 0.138866 , 0.175251 , 0.121709 , 0.131476 , 0.126608 , 0.111454 , 0.117213 , 0.103715 , 0.143843 , 0.162385 , 0.186969 , 0.137266 , 0.121877 , 0.059585 , 0.090373 , 0.053055 , 0.079222 , 0.073697 , 0.137621 , 0.116166 , 0.163312 , 0.09822 , 0.142068 
 587 , 0.168316 , 0.166034 , 0.137507 , 0.173491 , 0.120561 , 0.130193 , 0.125285 , 0.110418 , 0.116015 , 0.102735 , 0.142499 , 0.160912 , 0.185262 , 0.136016 , 0.120817 , 0.05911 , 0.089521 , 0.052544 , 0.078463 , 0.073062 , 0.136307 , 0.115005 , 0.161709 , 0.097239 , 0.140662 
 588 , 0.166604 , 0.164418 , 0.13617 , 0.171785 , 0.119443 , 0.12902 , 0.124085 , 0.109408 , 0.114996 , 0.101694 , 0.141035 , 0.159412 , 0.183559 , 0.134701 , 0.119737 , 0.058599 , 0.088634 , 0.05206 , 0.077729 , 0.072412 , 0.135012 , 0.113856 , 0.160111 , 0.096301 , 0.139313 
 589 , 0.164887 , 0.1628 , 0.134839 , 0.170071 , 0.118333 , 0.127841 , 0.122889 , 0.1084 , 0.113979 , 0.100652 , 0.139575 , 0.157912 , 0.181846 , 0.133391 , 0.118652 , 0.058091 , 0.08775 , 0.051576 , 0.076992 , 0.071761 , 0.133711 , 0.112707 , 0.158517 , 0.095363 , 0.137954 
 590 , 0.163162 , 0.161179 , 0.133504 , 0.168353 , 0.117218 , 0.126663 , 0.12169 , 0.107393 , 0.112964 , 0.099609 , 0.138115 , 0.156413 , 0.180138 , 0.132079 , 0.117569 , 0.05758 , 0.086864 , 0.05109 , 0.076258 , 0.071107 , 0.132406 , 0.111555 , 0.156925 , 0.09443 , 0.136597 
