Year,Site,Treatment,Block,Plot,Species,Relative Cover
2013,MAT,NP,1,2,litter,0
2013,MAT,NP,1,2,frost boil,0
2013,MAT,NP,1,2,bare,0
2013,MAT,NP,1,2,And pol,0
2013,MAT,NP,1,2,Arc alp,0
2013,MAT,NP,1,2,Bet nan,44.4
2013,MAT,NP,1,2,Cal lap,0
2013,MAT,NP,1,2,Car big,0
2013,MAT,NP,1,2,Cas tet,0
2013,MAT,NP,1,2,Emp nig,0
2013,MAT,NP,1,2,Eri vag,0
2013,MAT,NP,1,2,Led pal,1.9
2013,MAT,NP,1,2,Ped lap,0
2013,MAT,NP,1,2,Pol bis,0
2013,MAT,NP,1,2,Rub cha,29.6
2013,MAT,NP,1,2,Sal pul,0
2013,MAT,NP,1,2,Vac uli,0
2013,MAT,NP,1,2,Vac vit,0
2013,MAT,NP,1,2,Tofieldia,0
2013,MAT,NP,1,2,Car mic,0
2013,MAT,NP,1,2,St. D. Bet.,24.1
2013,MAT,NP,1,2,St. D. Sal pul,0
2013,MAT,NP,1,2,vole litter,0
2013,MAT,NP,1,3,moss,1.5
2013,MAT,NP,1,3,lichen,0
2013,MAT,NP,1,3,litter,3
2013,MAT,NP,1,3,frost boil,0
2013,MAT,NP,1,3,bare,0
2013,MAT,NP,1,3,And pol,0
2013,MAT,NP,1,3,Arc alp,0
2013,MAT,NP,1,3,Bet nan,28.8
2013,MAT,NP,1,3,Cal lap,0
2013,MAT,NP,1,3,Car big,0
2013,MAT,NP,1,3,Cas tet,0
2013,MAT,NP,1,3,Emp nig,0
2013,MAT,NP,1,3,Eri vag,0
2013,MAT,NP,1,3,Led pal,0
2013,MAT,NP,1,3,Ped lap,0
2013,MAT,NP,1,3,Pol bis,0
2013,MAT,NP,1,3,Rub cha,34.8
2013,MAT,NP,1,3,Sal pul,0
2013,MAT,NP,1,3,Vac uli,0
2013,MAT,NP,1,3,Vac vit,0
2013,MAT,NP,1,3,Tofieldia,0
2013,MAT,NP,1,3,Car mic,0
2013,MAT,NP,1,3,St. D. Bet.,31.8
2013,MAT,NP,1,3,St. D. Sal pul,0
2013,MAT,NP,1,3,vole litter,0
2013,MAT,NP,1,4,moss,0
2013,MAT,NP,1,4,lichen,0
2013,MAT,NP,1,4,litter,2.1
2013,MAT,NP,1,4,frost boil,0
2013,MAT,NP,1,4,bare,0
2013,MAT,NP,1,4,And pol,0
2013,MAT,NP,1,4,Arc alp,0
2013,MAT,NP,1,4,Bet nan,38.3
2013,MAT,NP,1,4,Cal lap,0
2013,MAT,NP,1,4,Car big,0
2013,MAT,NP,1,4,Cas tet,0
2013,MAT,NP,1,4,Emp nig,0
2013,MAT,NP,1,4,Eri vag,0
2013,MAT,NP,1,4,Led pal,1.1
2013,MAT,NP,1,4,Ped lap,0
2013,MAT,NP,1,4,Pol bis,0
2013,MAT,NP,1,4,Rub cha,45.7
2013,MAT,NP,1,4,Sal pul,0
2013,MAT,NP,1,4,Vac uli,0
2013,MAT,NP,1,4,Vac vit,0
2013,MAT,NP,1,4,Tofieldia,0
2013,MAT,NP,1,4,Car mic,0
2013,MAT,NP,1,4,St. D. Bet.,12.8
2013,MAT,NP,1,4,St. D. Sal pul,0
2013,MAT,NP,1,4,vole litter,0
2013,MAT,NP,1,5,moss,0
2013,MAT,NP,1,5,lichen,0
2013,MAT,NP,1,5,litter,9.1
2013,MAT,NP,1,5,frost boil,0
2013,MAT,NP,1,5,bare,0
2013,MAT,NP,1,5,And pol,0
2013,MAT,NP,1,5,Arc alp,0
2013,MAT,NP,1,5,Bet nan,20.1
2013,MAT,NP,1,5,Cal lap,0
2013,MAT,NP,1,5,Car big,0
2013,MAT,NP,1,5,Cas tet,0
2013,MAT,NP,1,5,Emp nig,0
2013,MAT,NP,1,5,Eri vag,0.5
2013,MAT,NP,1,5,Led pal,0.9
2013,MAT,NP,1,5,Ped lap,0
2013,MAT,NP,1,5,Pol bis,0
2013,MAT,NP,1,5,Rub cha,62.1
2013,MAT,NP,1,5,Sal pul,0
2013,MAT,NP,1,5,Vac uli,0
2013,MAT,NP,1,5,Vac vit,0
2013,MAT,NP,1,5,Tofieldia,0
2013,MAT,NP,1,5,Car mic,0
2013,MAT,NP,1,5,St. D. Bet.,7.3
2013,MAT,NP,1,5,St. D. Sal pul,0
2013,MAT,NP,1,5,vole litter,0
2013,MAT,NP,1,6,moss,0
2013,MAT,NP,1,6,lichen,0
2013,MAT,NP,1,6,litter,11.7
2013,MAT,NP,1,6,frost boil,0
