AUG1LOF00135.spu,AUG1LOF00134.spu,AUG1LOF00133.spu,AUG1LOF00132.spu,AUG1LOF00131.spu,
Wavelength,AUG1LOF00136.spu,AUG1LOF00137.spu,AUG1LOF00138.spu,AUG1LOF00139.spu,AUG1LOF00140.spu,AUG1LOF00141.spu,AUG1LOF00142.spu,AUG1LOF00143.spu,AUG1LOF00144.spu,AUG1LOF00145.spu,AUG1LOF00146.spu,AUG1LOF00147.spu,AUG1LOF00148.spu,AUG1LOF00149.spu,AUG1LOF00150.spu,AUG1LOF00151.spu,AUG1LOF00152.spu,AUG1LOF00153.spu,AUG1LOF00154.spu,AUG1LOF00155.spu,AUG1LOF00156.spu,AUG1LOF00157.spu,AUG1LOF00158.spu,AUG1LOF00159.spu,AUG1LOF00160.spu,AUG1LOF00161.spu,AUG1LOF00162.spu,AUG1LOF00163.spu,AUG1LOF00164.spu,AUG1LOF00165.spu,AUG1LOF00166.spu,AUG1LOF00167.spu,AUG1LOF00168.spu,AUG1LOF00169.spu,AUG1LOF00170.spu,AUG1LOF00171.spu,AUG1LOF00172.spu,AUG1LOF00173.spu,AUG1LOF00174.spu,AUG1LOF00175.spu,AUG1LOF00176.spu,AUG1LOF00177.spu,AUG1LOF00178.spu,AUG1LOF00179.spu,AUG1LOF00180.spu,AUG1LOF00181.spu,AUG1LOF00182.spu,AUG1LOF00183.spu,AUG1LOF00184.spu,AUG1LOF00185.spu,AUG1LOF00186.spu,AUG1LOF00187.spu,AUG1LOF00188.spu,AUG1LOF00189.spu,AUG1LOF00190.spu,AUG1LOF00191.spu,AUG1LOF00192.spu,AUG1LOF00193.spu,AUG1LOF00194.spu,AUG1LOF00195.spu,AUG1LOF00196.spu,AUG1LOF00197.spu,AUG1LOF00198.spu,AUG1LOF00199.spu,AUG1LOF00200.spu,AUG1LOF00201.spu,AUG1LOF00202.spu,AUG1LOF00203.spu,AUG1LOF00204.spu,AUG1LOF00205.spu,AUG1LOF00206.spu,AUG1LOF00207.spu,AUG1LOF00208.spu,AUG1LOF00209.spu,AUG1LOF00210.spu
 316 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 317 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 318 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 319 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 320 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 321 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 322 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 323 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 324 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 325 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 326 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 327 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 328 , 0 , 0.021252 , 0 , 0.021252 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 , 0.021252 
 329 , 0 , 0.766432 , 0 , 0.766432 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 , 0.766432 
 330 , 0 , 0.92832 , 0 , 0.92832 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 , 0.92832 
 331 , 0 , 0.999134 , 0 , 0.999134 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 , 0.999134 
 332 , 0 , 0 , 0 , 0.50122 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0 , 0 , 0.50122 , 0.50122 , 0 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 , 0.50122 
 333 , 0 , 0 , 0 , 0.951802 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0 , 0 , 0.951802 , 0.951802 , 0 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 , 0.951802 
 334 , 0 , 0 , 0 , 1.210065 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 0 , 0 , 1.210065 , 1.210065 , 0 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 , 1.210065 
 335 , 0.000029 , 0.000012 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000012 , 0.000003 , 0 , 0.000018 , 0 , 0 , 0 , 0 , 0 , 0.000009 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.65236 , 0 , 0.65236 , 0.65236 , 0 , 0 , 0 , 0.65236 , 0.65236 , 0 , 0 , 0 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0 , 0.65236 , 0.003766 , 0.65236 , 0 , 0.65236 , 0.65236 , 0.65236 , 0.65236 , 0.005949 , 0.65236 , 0.65236 , 0.65236 , 0.087308 
 336 , 0.000421 , 0.000141 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000159 , 0.00004 , 0 , 0.000226 , 0 , 0 , 0 , 0 , 0 , 0.000118 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.62334 , 0 , 1.62334 , 1.62334 , 0 , 0 , 0 , 1.62334 , 1.62334 , 0 , 0 , 0 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 0 , 1.62334 , 0.010883 , 1.62334 , 0 , 1.62334 , 1.62334 , 1.62334 , 1.62334 , 0.017192 , 1.62334 , 1.62334 , 1.62334 , 0.099487 
 337 , 0.000961 , 0.00027 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000324 , 0.000077 , 0 , 0.00045 , 0 , 0 , 0 , 0 , 0 , 0.000246 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.059368 , 0 , 2.059368 , 2.059368 , 0 , 0 , 0 , 2.059368 , 2.059368 , 0 , 0 , 0 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 0 , 2.059368 , 0.014011 , 2.059368 , 0 , 2.059368 , 2.059368 , 2.059368 , 2.059368 , 0.022134 , 2.059368 , 2.059368 , 2.059368 , 0.110201 
 338 , 0.001563 , 0.000379 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000476 , 0.000108 , 0 , 0.000652 , 0 , 0 , 0 , 0 , 0 , 0.00037 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.343474 , 0 , 2.343474 , 2.343474 , 0 , 0 , 0 , 2.343474 , 2.343474 , 0 , 0 , 0 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 0 , 2.343474 , 0.016034 , 2.343474 , 0 , 2.343474 , 2.343474 , 2.343474 , 2.343474 , 0.025329 , 2.343474 , 2.343474 , 2.343474 , 0.118433 
