  time  ,1:37 PM",1:43 PM",1:50 PM",1:57 PM",2:02 PM",2:34 PM",2:40 PM",2:46 PM",2:52 PM",2:57 PM",3:02 PM",3:34 PM",3:39 PM",3:46 PM",3:53 PM",3:59 PM",4:33 PM",4:39 PM",4:44 PM",4:50 PM",4:56 PM",5:31 PM",5:37 PM",5:42 PM",5:48 PM",5:54 PM",6:27 PM",6:33 PM",6:38 PM",6:45 PM",6:50 PM",7:24 PM",7:30 PM",7:36 PM",7:42 PM",8:42 PM",8:47 PM",8:54 PM",8:59 PM",9:06 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 450 , 0.038907 , 0.053535 , 0.053201 , 0.051694 , 0.034914 , 0.036606 , 0.039273 , 0.028942 , 0.030554 , 0.040419 , 0.034643 , 0.034463 , 0.028348 , 0.041013 , 0.04611 , 0.041405 , 0.047839 , 0.048136 , 0.039995 , 0.044238 , 0.0441 , 0.050809 , 0.034044 , 0.03599 , 0.045988 , 0.046104 , 0.02909 , 0.045685 , 0.054017 , 0.038552 , 0.034596 , 0.0572 , 0.053105 , 0.051026 , 0.044858 , 0.04279 , 0.040923 , 0.040557 , 0.045399 , 0.052416 
 451 , 0.039136 , 0.053836 , 0.053581 , 0.051957 , 0.035172 , 0.036722 , 0.039513 , 0.029059 , 0.030731 , 0.040707 , 0.034806 , 0.034679 , 0.028497 , 0.041243 , 0.04629 , 0.041562 , 0.048158 , 0.048455 , 0.040203 , 0.044459 , 0.0443 , 0.051082 , 0.034244 , 0.036218 , 0.046285 , 0.046385 , 0.029309 , 0.04595 , 0.054351 , 0.038829 , 0.034812 , 0.057482 , 0.053395 , 0.05131 , 0.045117 , 0.043063 , 0.041195 , 0.040877 , 0.045547 , 0.052706 
 452 , 0.039366 , 0.054143 , 0.053962 , 0.052221 , 0.035431 , 0.036844 , 0.039748 , 0.029177 , 0.030908 , 0.040991 , 0.034964 , 0.0349 , 0.028651 , 0.041474 , 0.046465 , 0.041718 , 0.048477 , 0.048775 , 0.040412 , 0.044681 , 0.0445 , 0.05135 , 0.034444 , 0.036446 , 0.046582 , 0.046667 , 0.029527 , 0.046221 , 0.054679 , 0.0391 , 0.035023 , 0.057764 , 0.053686 , 0.051599 , 0.045376 , 0.043337 , 0.041468 , 0.041198 , 0.045695 , 0.052996 
 453 , 0.039567 , 0.054413 , 0.054297 , 0.052485 , 0.03564 , 0.036952 , 0.03996 , 0.0293 , 0.031054 , 0.041235 , 0.035124 , 0.035082 , 0.02879 , 0.041682 , 0.046639 , 0.041868 , 0.048765 , 0.049057 , 0.040608 , 0.044881 , 0.044684 , 0.051587 , 0.03463 , 0.036649 , 0.046836 , 0.046916 , 0.02971 , 0.046453 , 0.054971 , 0.039322 , 0.035204 , 0.058027 , 0.053946 , 0.051852 , 0.045619 , 0.043595 , 0.041708 , 0.04148 , 0.045858 , 0.05326 
 454 , 0.039652 , 0.054568 , 0.054499 , 0.052726 , 0.035708 , 0.037035 , 0.040082 , 0.029434 , 0.031106 , 0.041335 , 0.035262 , 0.035182 , 0.028898 , 0.041802 , 0.046802 , 0.041998 , 0.048957 , 0.049244 , 0.040767 , 0.045003 , 0.044811 , 0.051739 , 0.034784 , 0.036791 , 0.046961 , 0.047062 , 0.029773 , 0.046584 , 0.055152 , 0.039365 , 0.035278 , 0.05822 , 0.054106 , 0.052015 , 0.045793 , 0.043808 , 0.041876 , 0.041642 , 0.046064 , 0.053469 
 455 , 0.039742 , 0.054726 , 0.0547 , 0.052971 , 0.035776 , 0.037122 , 0.040203 , 0.029572 , 0.031157 , 0.041439 , 0.03541 , 0.035282 , 0.02901 , 0.041926 , 0.046969 , 0.042128 , 0.049154 , 0.049435 , 0.040924 , 0.045129 , 0.044938 , 0.051884 , 0.034943 , 0.036926 , 0.04708 , 0.047208 , 0.029837 , 0.04672 , 0.055331 , 0.039413 , 0.035357 , 0.058417 , 0.054265 , 0.052176 , 0.045977 , 0.044026 , 0.042038 , 0.041804 , 0.046274 , 0.053677 
 456 , 0.039831 , 0.054879 , 0.054905 , 0.053216 , 0.035843 , 0.037209 , 0.040329 , 0.029709 , 0.031213 , 0.041537 , 0.035551 , 0.035387 , 0.029121 , 0.04205 , 0.047135 , 0.042257 , 0.049349 , 0.049619 , 0.041086 , 0.045255 , 0.04507 , 0.052035 , 0.035101 , 0.037066 , 0.047209 , 0.047358 , 0.029905 , 0.046849 , 0.055509 , 0.03946 , 0.035435 , 0.058618 , 0.054423 , 0.052342 , 0.046155 , 0.044243 , 0.042209 , 0.041971 , 0.046484 , 0.053883 
 457 , 0.039893 , 0.055171 , 0.055144 , 0.053434 , 0.036013 , 0.037326 , 0.04047 , 0.029766 , 0.031286 , 0.04173 , 0.035679 , 0.035515 , 0.029232 , 0.042185 , 0.047309 , 0.042402 , 0.049533 , 0.049813 , 0.041243 , 0.045457 , 0.045213 , 0.052201 , 0.035203 , 0.037193 , 0.047368 , 0.047537 , 0.03001 , 0.047055 , 0.055748 , 0.039591 , 0.035579 , 0.058818 , 0.054583 , 0.052487 , 0.046341 , 0.044387 , 0.04237 , 0.04219 , 0.046669 , 0.054064 
 458 , 0.039952 , 0.055481 , 0.055386 , 0.053651 , 0.036196 , 0.037444 , 0.040608 , 0.029815 , 0.031365 , 0.041931 , 0.035804 , 0.035645 , 0.029349 , 0.042317 , 0.047492 , 0.042545 , 0.049719 , 0.050016 , 0.041397 , 0.045661 , 0.045365 , 0.05237 , 0.035301 , 0.037323 , 0.047529 , 0.047719 , 0.030122 , 0.047264 , 0.056 , 0.03973 , 0.03573 , 0.059021 , 0.054746 , 0.052624 , 0.046529 , 0.044529 , 0.042529 , 0.042418 , 0.046852 , 0.054233 
 459 , 0.040017 , 0.055786 , 0.055633 , 0.053867 , 0.036378 , 0.037568 , 0.040752 , 0.029863 , 0.031444 , 0.042132 , 0.035934 , 0.035781 , 0.029466 , 0.042454 , 0.047674 , 0.042692 , 0.049906 , 0.050212 , 0.041555 , 0.045876 , 0.045516 , 0.052539 , 0.0354 , 0.037452 , 0.047695 , 0.047907 , 0.030233 , 0.047478 , 0.056252 , 0.039874 , 0.035881 , 0.059224 , 0.054908 , 0.052761 , 0.046717 , 0.044665 , 0.042692 , 0.042645 , 0.047034 , 0.054406 
 460 , 0.040105 , 0.056021 , 0.055894 , 0.05408 , 0.036489 , 0.037657 , 0.040893 , 0.029927 , 0.031519 , 0.042289 , 0.036055 , 0.035854 , 0.029541 , 0.042548 , 0.04783 , 0.042828 , 0.050072 , 0.050337 , 0.041655 , 0.046011 , 0.045604 , 0.052674 , 0.035484 , 0.037567 , 0.047825 , 0.048074 , 0.030329 , 0.047619 , 0.056444 , 0.039984 , 0.035981 , 0.059394 , 0.055053 , 0.052896 , 0.046879 , 0.044801 , 0.042871 , 0.042791 , 0.047175 , 0.054545 
 461 , 0.040232 , 0.056185 , 0.056169 , 0.054288 , 0.036527 , 0.037716 , 0.041041 , 0.030009 , 0.031584 , 0.04241 , 0.036167 , 0.035876 , 0.029575 , 0.042611 , 0.047955 , 0.042954 , 0.050223 , 0.050387 , 0.041707 , 0.046084 , 0.045634 , 0.052781 , 0.035554 , 0.037674 , 0.047934 , 0.04823 , 0.030411 , 0.047701 , 0.056582 , 0.040068 , 0.036035 , 0.059531 , 0.055192 , 0.053019 , 0.047019 , 0.044937 , 0.04306 , 0.042864 , 0.047273 , 0.054647 
 462 , 0.040358 , 0.05635 , 0.056445 , 0.054495 , 0.036569 , 0.037774 , 0.041193 , 0.03009 , 0.031655 , 0.04253 , 0.036284 , 0.035898 , 0.029615 , 0.042673 , 0.048079 , 0.04308 , 0.050373 , 0.050441 , 0.041759 , 0.046161 , 0.045664 , 0.052883 , 0.035629 , 0.03778 , 0.048037 , 0.048391 , 0.030492 , 0.047783 , 0.056725 , 0.040152 , 0.036089 , 0.059674 , 0.05533 , 0.053147 , 0.047165 , 0.045067 , 0.043254 , 0.042937 , 0.047371 , 0.054754 
 463 , 0.040478 , 0.056521 , 0.0567 , 0.054692 , 0.036615 , 0.037846 , 0.041323 , 0.030163 , 0.031722 , 0.042644 , 0.036388 , 0.035933 , 0.029645 , 0.04275 , 0.048198 , 0.04321 , 0.050507 , 0.050512 , 0.04182 , 0.046248 , 0.045704 , 0.052991 , 0.035701 , 0.037872 , 0.048145 , 0.048541 , 0.030564 , 0.047881 , 0.056869 , 0.040229 , 0.036145 , 0.059802 , 0.055469 , 0.053276 , 0.047294 , 0.045186 , 0.043432 , 0.043014 , 0.047474 , 0.054861 
 464 , 0.040533 , 0.056757 , 0.056837 , 0.054854 , 0.036695 , 0.037963 , 0.041363 , 0.030192 , 0.031815 , 0.042684 , 0.036441 , 0.036007 , 0.029616 , 0.042885 , 0.048278 , 0.043361 , 0.050561 , 0.050646 , 0.041928 , 0.04639 , 0.045809 , 0.053104 , 0.035769 , 0.037895 , 0.048246 , 0.048664 , 0.030578 , 0.048024 , 0.057027 , 0.040279 , 0.036208 , 0.059898 , 0.05561 , 0.053379 , 0.047363 , 0.045217 , 0.043498 , 0.043144 , 0.047585 , 0.054981 
 465 , 0.040588 , 0.057 , 0.056968 , 0.055017 , 0.03678 , 0.038081 , 0.041403 , 0.030222 , 0.031903 , 0.04273 , 0.036489 , 0.036082 , 0.029592 , 0.043021 , 0.048363 , 0.043513 , 0.050616 , 0.05078 , 0.042043 , 0.046533 , 0.045909 , 0.053218 , 0.035844 , 0.037917 , 0.048347 , 0.048786 , 0.030587 , 0.048167 , 0.057185 , 0.040324 , 0.036272 , 0.059999 , 0.055757 , 0.053493 , 0.047437 , 0.045248 , 0.043571 , 0.043275 , 0.047697 , 0.055107 
 466 , 0.040644 , 0.057243 , 0.057106 , 0.055185 , 0.03686 , 0.038199 , 0.041443 , 0.030251 , 0.031998 , 0.042776 , 0.036538 , 0.036157 , 0.029563 , 0.043163 , 0.048443 , 0.043671 , 0.050671 , 0.05092 , 0.042157 , 0.046681 , 0.046015 , 0.053338 , 0.035913 , 0.03794 , 0.048449 , 0.048914 , 0.030601 , 0.048311 , 0.057344 , 0.040369 , 0.036337 , 0.060095 , 0.055899 , 0.053603 , 0.047512 , 0.045279 , 0.043639 , 0.043411 , 0.047808 , 0.055227 
 467 , 0.04078 , 0.057404 , 0.057314 , 0.055307 , 0.037006 , 0.038202 , 0.041574 , 0.030303 , 0.032056 , 0.04293 , 0.036624 , 0.036286 , 0.029636 , 0.043348 , 0.048541 , 0.043761 , 0.050844 , 0.051019 , 0.042294 , 0.046778 , 0.046111 , 0.053444 , 0.036042 , 0.038033 , 0.048557 , 0.049034 , 0.030669 , 0.048441 , 0.05752 , 0.040452 , 0.036386 , 0.060236 , 0.056006 , 0.053719 , 0.047615 , 0.045354 , 0.043766 , 0.043576 , 0.047906 , 0.055381 
 468 , 0.040943 , 0.057551 , 0.05754 , 0.055415 , 0.037164 , 0.038171 , 0.041732 , 0.030355 , 0.032109 , 0.04311 , 0.036724 , 0.036433 , 0.029729 , 0.043545 , 0.048637 , 0.043842 , 0.051043 , 0.051107 , 0.042442 , 0.046862 , 0.046205 , 0.05355 , 0.036189 , 0.038134 , 0.048675 , 0.049151 , 0.030747 , 0.048563 , 0.057699 , 0.040535 , 0.036438 , 0.060386 , 0.056099 , 0.053841 , 0.047731 , 0.045442 , 0.043905 , 0.043746 , 0.047996 , 0.055537 
 469 , 0.041111 , 0.057694 , 0.057773 , 0.055524 , 0.037324 , 0.038135 , 0.041891 , 0.030412 , 0.032157 , 0.043292 , 0.03682 , 0.036581 , 0.029828 , 0.043748 , 0.048734 , 0.043923 , 0.051249 , 0.051201 , 0.042591 , 0.046952 , 0.046299 , 0.053657 , 0.036337 , 0.038236 , 0.048792 , 0.04927 , 0.030831 , 0.048686 , 0.057885 , 0.040623 , 0.036491 , 0.060542 , 0.056187 , 0.05397 , 0.047848 , 0.045535 , 0.044045 , 0.043923 , 0.048092 , 0.055694 
 470 , 0.041261 , 0.057887 , 0.058036 , 0.055695 , 0.037477 , 0.038177 , 0.042058 , 0.030512 , 0.032211 , 0.043448 , 0.036956 , 0.036707 , 0.029933 , 0.043878 , 0.048879 , 0.044043 , 0.051437 , 0.051379 , 0.042753 , 0.047079 , 0.04641 , 0.053789 , 0.036473 , 0.038358 , 0.048937 , 0.049425 , 0.030937 , 0.048842 , 0.058089 , 0.040731 , 0.036563 , 0.060727 , 0.056316 , 0.054123 , 0.047976 , 0.045667 , 0.044213 , 0.044069 , 0.048215 , 0.055843 
 471 , 0.041386 , 0.058135 , 0.058332 , 0.055939 , 0.03762 , 0.038296 , 0.042237 , 0.030658 , 0.032264 , 0.043572 , 0.037136 , 0.036801 , 0.030057 , 0.043934 , 0.049072 , 0.044216 , 0.051614 , 0.051657 , 0.042929 , 0.047258 , 0.046535 , 0.053949 , 0.036594 , 0.038487 , 0.049114 , 0.049641 , 0.031068 , 0.049029 , 0.058316 , 0.04086 , 0.036658 , 0.060949 , 0.056492 , 0.054311 , 0.04813 , 0.045849 , 0.044402 , 0.044184 , 0.048375 , 0.055976 
 472 , 0.041512 , 0.058379 , 0.05863 , 0.056184 , 0.03776 , 0.03842 , 0.042418 , 0.030805 , 0.032323 , 0.043697 , 0.037317 , 0.036896 , 0.030181 , 0.043984 , 0.049261 , 0.044389 , 0.051787 , 0.051931 , 0.04311 , 0.047433 , 0.04666 , 0.05411 , 0.036715 , 0.038623 , 0.049293 , 0.049852 , 0.031204 , 0.049213 , 0.058545 , 0.040995 , 0.036758 , 0.061177 , 0.056663 , 0.054505 , 0.04828 , 0.046031 , 0.044597 , 0.044294 , 0.048536 , 0.056109 
 473 , 0.041632 , 0.058636 , 0.058925 , 0.056431 , 0.0379 , 0.038546 , 0.042588 , 0.030944 , 0.032385 , 0.043832 , 0.037489 , 0.036993 , 0.030303 , 0.044051 , 0.049454 , 0.044563 , 0.051958 , 0.052198 , 0.043287 , 0.047612 , 0.046784 , 0.05428 , 0.036833 , 0.038755 , 0.04947 , 0.050062 , 0.031334 , 0.0494 , 0.05877 , 0.041125 , 0.036859 , 0.061397 , 0.056837 , 0.054696 , 0.048434 , 0.046208 , 0.044782 , 0.044414 , 0.048701 , 0.05625 
 474 , 0.04167 , 0.058959 , 0.059168 , 0.05667 , 0.038012 , 0.038654 , 0.042718 , 0.030947 , 0.032536 , 0.044023 , 0.037584 , 0.037108 , 0.030381 , 0.044231 , 0.049643 , 0.044729 , 0.052114 , 0.052349 , 0.043472 , 0.04775 , 0.046911 , 0.054472 , 0.036942 , 0.038841 , 0.049617 , 0.050237 , 0.031418 , 0.049568 , 0.058975 , 0.041237 , 0.036969 , 0.06159 , 0.056991 , 0.054916 , 0.048611 , 0.046296 , 0.0449 , 0.044627 , 0.048921 , 0.05644 
 475 , 0.041703 , 0.059277 , 0.059411 , 0.056909 , 0.038118 , 0.038766 , 0.042849 , 0.030954 , 0.032679 , 0.04421 , 0.037684 , 0.037218 , 0.030456 , 0.044414 , 0.049826 , 0.044896 , 0.052269 , 0.052499 , 0.043653 , 0.047891 , 0.047034 , 0.054664 , 0.037057 , 0.038922 , 0.049767 , 0.050404 , 0.031506 , 0.04974 , 0.059181 , 0.041344 , 0.037079 , 0.06178 , 0.05714 , 0.055141 , 0.048792 , 0.046386 , 0.045014 , 0.044837 , 0.04914 , 0.056636 
 476 , 0.041735 , 0.059596 , 0.059656 , 0.057148 , 0.038224 , 0.038874 , 0.042981 , 0.030961 , 0.032829 , 0.044398 , 0.037779 , 0.037333 , 0.030531 , 0.044597 , 0.050008 , 0.045058 , 0.052419 , 0.052644 , 0.043834 , 0.048033 , 0.047158 , 0.054861 , 0.037167 , 0.039008 , 0.049917 , 0.050577 , 0.031589 , 0.049912 , 0.059387 , 0.041456 , 0.037183 , 0.061969 , 0.057283 , 0.055361 , 0.048972 , 0.04647 , 0.045128 , 0.045048 , 0.049353 , 0.056826 
 477 , 0.041904 , 0.059863 , 0.059933 , 0.057366 , 0.038373 , 0.038987 , 0.043179 , 0.031081 , 0.032959 , 0.044579 , 0.0379 , 0.037469 , 0.030645 , 0.044772 , 0.050149 , 0.04523 , 0.052652 , 0.052835 , 0.043971 , 0.048201 , 0.047329 , 0.055057 , 0.03727 , 0.039127 , 0.050117 , 0.050773 , 0.0317 , 0.050111 , 0.059594 , 0.041608 , 0.037297 , 0.062194 , 0.057452 , 0.055558 , 0.04918 , 0.046618 , 0.045343 , 0.045198 , 0.04953 , 0.056984 
 478 , 0.042128 , 0.060106 , 0.060235 , 0.057581 , 0.038535 , 0.039101 , 0.043401 , 0.031234 , 0.033085 , 0.044755 , 0.038027 , 0.037617 , 0.03077 , 0.044939 , 0.05027 , 0.045403 , 0.052913 , 0.053043 , 0.044081 , 0.048387 , 0.047523 , 0.05526 , 0.037369 , 0.039257 , 0.050334 , 0.050976 , 0.031828 , 0.050318 , 0.059803 , 0.041783 , 0.037407 , 0.062431 , 0.057634 , 0.055746 , 0.049401 , 0.04679 , 0.045592 , 0.045322 , 0.049692 , 0.057133 
 479 , 0.042347 , 0.060348 , 0.060532 , 0.057795 , 0.038696 , 0.039221 , 0.043618 , 0.031394 , 0.033211 , 0.044933 , 0.03815 , 0.03776 , 0.030891 , 0.045106 , 0.05039 , 0.045576 , 0.053176 , 0.053246 , 0.044197 , 0.048573 , 0.047718 , 0.055464 , 0.037474 , 0.039388 , 0.050553 , 0.05118 , 0.031951 , 0.050526 , 0.060018 , 0.041952 , 0.037517 , 0.062663 , 0.057812 , 0.055935 , 0.049622 , 0.046967 , 0.045847 , 0.045447 , 0.049855 , 0.057282 
 480 , 0.042517 , 0.060592 , 0.06076 , 0.057994 , 0.038829 , 0.039312 , 0.043808 , 0.031544 , 0.033323 , 0.045083 , 0.038286 , 0.037879 , 0.030969 , 0.045279 , 0.050535 , 0.045734 , 0.053388 , 0.053437 , 0.044335 , 0.048729 , 0.047877 , 0.055629 , 0.037581 , 0.039507 , 0.050741 , 0.051365 , 0.032059 , 0.050698 , 0.060223 , 0.042089 , 0.037619 , 0.062865 , 0.057977 , 0.0561 , 0.049797 , 0.047085 , 0.046027 , 0.045561 , 0.050014 , 0.05744 
 481 , 0.042594 , 0.060826 , 0.060886 , 0.058149 , 0.038907 , 0.039374 , 0.04394 , 0.031692 , 0.033396 , 0.045195 , 0.038446 , 0.037963 , 0.030964 , 0.04545 , 0.050716 , 0.045857 , 0.053507 , 0.053605 , 0.044521 , 0.048832 , 0.047964 , 0.055728 , 0.037713 , 0.039597 , 0.050874 , 0.051514 , 0.032142 , 0.050792 , 0.060419 , 0.042176 , 0.037707 , 0.063009 , 0.058111 , 0.056227 , 0.049886 , 0.047111 , 0.046096 , 0.045662 , 0.050173 , 0.057617 
 482 , 0.042676 , 0.061061 , 0.061006 , 0.058305 , 0.038992 , 0.039432 , 0.044073 , 0.03184 , 0.033476 , 0.045306 , 0.038606 , 0.038041 , 0.030954 , 0.045627 , 0.050904 , 0.045986 , 0.053626 , 0.053773 , 0.044709 , 0.048937 , 0.048045 , 0.055827 , 0.03784 , 0.039687 , 0.051007 , 0.051665 , 0.03222 , 0.050888 , 0.060615 , 0.042263 , 0.037796 , 0.063153 , 0.058251 , 0.056355 , 0.04998 , 0.047138 , 0.04616 , 0.045757 , 0.050339 , 0.0578 
 483 , 0.042759 , 0.061296 , 0.061133 , 0.058468 , 0.039071 , 0.03949 , 0.044211 , 0.031989 , 0.033556 , 0.045424 , 0.038766 , 0.038125 , 0.03095 , 0.0458 , 0.051087 , 0.046115 , 0.053746 , 0.053942 , 0.044897 , 0.049047 , 0.048133 , 0.055928 , 0.037972 , 0.039778 , 0.051141 , 0.051821 , 0.032304 , 0.050989 , 0.060812 , 0.042346 , 0.037885 , 0.063298 , 0.058392 , 0.056482 , 0.050075 , 0.047165 , 0.046229 , 0.045859 , 0.050499 , 0.057978 
 484 , 0.042893 , 0.061539 , 0.061381 , 0.058616 , 0.039279 , 0.039562 , 0.04433 , 0.031991 , 0.03364 , 0.045641 , 0.03886 , 0.038261 , 0.031153 , 0.045908 , 0.051155 , 0.046175 , 0.053925 , 0.054072 , 0.045054 , 0.049174 , 0.048237 , 0.056064 , 0.038044 , 0.039883 , 0.051302 , 0.051987 , 0.032416 , 0.051215 , 0.060989 , 0.042441 , 0.037973 , 0.063482 , 0.058589 , 0.056673 , 0.050235 , 0.047312 , 0.046349 , 0.046055 , 0.050599 , 0.058165 
 485 , 0.043034 , 0.061782 , 0.061624 , 0.058765 , 0.039483 , 0.039636 , 0.044449 , 0.031991 , 0.033728 , 0.04586 , 0.038961 , 0.038405 , 0.031359 , 0.046023 , 0.051223 , 0.046235 , 0.054104 , 0.054202 , 0.045217 , 0.049296 , 0.048343 , 0.056206 , 0.038117 , 0.03999 , 0.051463 , 0.052154 , 0.032524 , 0.051436 , 0.061172 , 0.042544 , 0.038062 , 0.063666 , 0.058787 , 0.056864 , 0.050401 , 0.047466 , 0.04647 , 0.046246 , 0.0507 , 0.058351 
 486 , 0.043175 , 0.06203 , 0.061872 , 0.058919 , 0.039694 , 0.03971 , 0.044569 , 0.03199 , 0.033815 , 0.046084 , 0.039056 , 0.03855 , 0.031571 , 0.046133 , 0.051292 , 0.046296 , 0.054283 , 0.054338 , 0.045381 , 0.049424 , 0.048454 , 0.056348 , 0.038184 , 0.040097 , 0.051619 , 0.052322 , 0.032633 , 0.051663 , 0.061355 , 0.042641 , 0.038152 , 0.063855 , 0.058985 , 0.057056 , 0.050562 , 0.04762 , 0.046585 , 0.046444 , 0.050802 , 0.058543 
 487 , 0.043362 , 0.062279 , 0.062181 , 0.059167 , 0.039875 , 0.039869 , 0.044766 , 0.0321 , 0.033928 , 0.046267 , 0.039238 , 0.03865 , 0.03173 , 0.046257 , 0.051507 , 0.046496 , 0.054434 , 0.054521 , 0.045511 , 0.049635 , 0.048591 , 0.056545 , 0.03834 , 0.040228 , 0.051817 , 0.052513 , 0.03278 , 0.051888 , 0.061583 , 0.042785 , 0.038281 , 0.064091 , 0.059227 , 0.057258 , 0.050745 , 0.047791 , 0.046806 , 0.046632 , 0.051001 , 0.058678 
 488 , 0.043567 , 0.062531 , 0.06252 , 0.059469 , 0.040049 , 0.040076 , 0.045008 , 0.032261 , 0.034055 , 0.046428 , 0.039461 , 0.038732 , 0.031864 , 0.046384 , 0.051785 , 0.046765 , 0.054569 , 0.054738 , 0.045623 , 0.049887 , 0.048739 , 0.056772 , 0.038531 , 0.040375 , 0.052035 , 0.052704 , 0.032951 , 0.052116 , 0.06184 , 0.042958 , 0.038428 , 0.064353 , 0.059485 , 0.057457 , 0.050931 , 0.047972 , 0.04708 , 0.046825 , 0.051246 , 0.058784 
 489 , 0.043778 , 0.062777 , 0.062859 , 0.059771 , 0.040217 , 0.040282 , 0.045245 , 0.032421 , 0.034177 , 0.046594 , 0.03969 , 0.038814 , 0.031992 , 0.046512 , 0.052062 , 0.047034 , 0.054704 , 0.054949 , 0.045735 , 0.050143 , 0.048893 , 0.056998 , 0.038722 , 0.040521 , 0.052247 , 0.0529 , 0.033117 , 0.05234 , 0.062092 , 0.043131 , 0.038581 , 0.06462 , 0.059738 , 0.057662 , 0.051116 , 0.048154 , 0.047355 , 0.047007 , 0.051497 , 0.05889 
 490 , 0.043963 , 0.063094 , 0.063213 , 0.060081 , 0.040401 , 0.040494 , 0.045488 , 0.032589 , 0.034321 , 0.04678 , 0.039897 , 0.038941 , 0.032117 , 0.046688 , 0.052334 , 0.047312 , 0.054896 , 0.05519 , 0.045901 , 0.05039 , 0.04906 , 0.057247 , 0.038908 , 0.040695 , 0.052491 , 0.053132 , 0.033301 , 0.052595 , 0.062383 , 0.043338 , 0.038751 , 0.064929 , 0.060021 , 0.057915 , 0.051373 , 0.048344 , 0.047622 , 0.047225 , 0.051764 , 0.059071 
 491 , 0.044109 , 0.06357 , 0.063608 , 0.060394 , 0.040625 , 0.040711 , 0.045727 , 0.03277 , 0.034523 , 0.04703 , 0.040076 , 0.03917 , 0.032222 , 0.046981 , 0.052605 , 0.047611 , 0.055232 , 0.055498 , 0.046205 , 0.050629 , 0.049261 , 0.057539 , 0.039088 , 0.040929 , 0.052816 , 0.053462 , 0.033514 , 0.05293 , 0.062761 , 0.043632 , 0.038985 , 0.065345 , 0.060378 , 0.058288 , 0.05179 , 0.048566 , 0.047866 , 0.047491 , 0.0521 , 0.059428 
 492 , 0.044256 , 0.06404 , 0.064002 , 0.060702 , 0.040848 , 0.040924 , 0.045961 , 0.032951 , 0.034726 , 0.047274 , 0.040251 , 0.039399 , 0.032321 , 0.047269 , 0.052864 , 0.047904 , 0.055562 , 0.055801 , 0.046503 , 0.050862 , 0.049456 , 0.057831 , 0.039263 , 0.041163 , 0.053136 , 0.053787 , 0.033732 , 0.053261 , 0.063128 , 0.043925 , 0.03922 , 0.065755 , 0.060729 , 0.058661 , 0.052202 , 0.048788 , 0.048104 , 0.047757 , 0.05243 , 0.059785 
 493 , 0.044398 , 0.064505 , 0.064391 , 0.06101 , 0.04106 , 0.041136 , 0.046194 , 0.033131 , 0.034922 , 0.047513 , 0.040425 , 0.039617 , 0.03242 , 0.047551 , 0.053124 , 0.048191 , 0.055892 , 0.056104 , 0.046796 , 0.051089 , 0.049651 , 0.058117 , 0.039438 , 0.041391 , 0.05345 , 0.054112 , 0.033945 , 0.053586 , 0.06349 , 0.044213 , 0.039448 , 0.06616 , 0.061075 , 0.059029 , 0.052609 , 0.049005 , 0.048343 , 0.048017 , 0.052755 , 0.06013 
 494 , 0.044678 , 0.064833 , 0.064806 , 0.061306 , 0.041379 , 0.041341 , 0.046518 , 0.033369 , 0.035116 , 0.047842 , 0.040706 , 0.039881 , 0.032658 , 0.04782 , 0.053383 , 0.048428 , 0.056243 , 0.056389 , 0.047088 , 0.051342 , 0.049861 , 0.058381 , 0.039734 , 0.041607 , 0.053725 , 0.054397 , 0.034183 , 0.053931 , 0.063835 , 0.044488 , 0.039669 , 0.066618 , 0.061441 , 0.059412 , 0.052943 , 0.049226 , 0.048651 , 0.048244 , 0.052959 , 0.060356 
 495 , 0.044956 , 0.065156 , 0.065222 , 0.061598 , 0.041696 , 0.04155 , 0.046839 , 0.033614 , 0.035307 , 0.048168 , 0.040986 , 0.040145 , 0.032898 , 0.048086 , 0.053635 , 0.048661 , 0.056586 , 0.056667 , 0.047376 , 0.05159 , 0.050072 , 0.058636 , 0.040042 , 0.041827 , 0.053993 , 0.054682 , 0.034417 , 0.054281 , 0.064169 , 0.044767 , 0.039896 , 0.067077 , 0.061799 , 0.059792 , 0.053272 , 0.049442 , 0.048965 , 0.048466 , 0.053153 , 0.060568 
 496 , 0.045235 , 0.065469 , 0.065632 , 0.061885 , 0.042014 , 0.041754 , 0.047159 , 0.033854 , 0.035492 , 0.048493 , 0.041266 , 0.040409 , 0.033138 , 0.048347 , 0.053888 , 0.048884 , 0.056924 , 0.056946 , 0.047658 , 0.051833 , 0.050277 , 0.058892 , 0.040344 , 0.042041 , 0.054262 , 0.054956 , 0.034651 , 0.054625 , 0.064504 , 0.045039 , 0.040111 , 0.067524 , 0.062156 , 0.060161 , 0.053601 , 0.049659 , 0.049268 , 0.048683 , 0.053346 , 0.060779 
