  time  ,1:37 PM",1:43 PM",1:50 PM",1:57 PM",2:02 PM",2:34 PM",2:40 PM",2:46 PM",2:52 PM",2:57 PM",3:02 PM",3:34 PM",3:39 PM",3:46 PM",3:53 PM",3:59 PM",4:33 PM",4:39 PM",4:44 PM",4:50 PM",4:56 PM",5:31 PM",5:37 PM",5:42 PM",5:48 PM",5:54 PM",6:27 PM",6:33 PM",6:38 PM",6:45 PM",6:50 PM",7:24 PM",7:30 PM",7:36 PM",7:42 PM",8:42 PM",8:47 PM",8:54 PM",8:59 PM",9:06 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 330 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 
 331 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 0 , 0 , 1 
 332 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 0.004588 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0.000535 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0.001147 
 333 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 0.004784 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0.000558 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0.001196 
 334 , 0 , 0 , 1 , 0 , 0 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 0 , 1 , 1 , 1 , 1 , 0.00483 , 0 , 0 , 1 , 0 , 0 , 1 , 0 , 0 , 1 , 0.000563 , 0 , 0 , 1 , 0 , 1 , 0 , 0 , 0.001208 
 335 , 0 , 0.000065 , 0.000167 , 0 , 0 , 0.000754 , 0 , 0 , 0.373231 , 0 , 0.373231 , 0.373231 , 0 , 0.373231 , 0.000868 , 0.002014 , 0.000018 , 0.00712 , 0.373231 , 0.000156 , 0.004184 , 0.002054 , 0 , 0 , 0.003934 , 0.000255 , 0 , 0.000709 , 0.000149 , 0.00016 , 0.373231 , 0.000275 , 0.000142 , 0.00011 , 0.000208 , 0.000024 , 0 , 0 , 0.000059 , 0.000603 
 336 , 0 , 0.001151 , 0.000436 , 0 , 0 , 0.001964 , 0 , 0 , 0.837299 , 0 , 0.837299 , 0.837299 , 0 , 0.837299 , 0.002262 , 0.005247 , 0.000142 , 0.018548 , 0.837299 , 0.000407 , 0.010901 , 0.006189 , 0 , 0 , 0.003723 , 0.003001 , 0 , 0.001848 , 0.00104 , 0.00254 , 0.837299 , 0.001063 , 0.00088 , 0.001477 , 0.000542 , 0.000282 , 0 , 0 , 0.000745 , 0.002349 
 337 , 0 , 0.00359 , 0.000511 , 0 , 0 , 0.0023 , 0 , 0 , 0.965987 , 0 , 0.965987 , 0.965987 , 0 , 0.965987 , 0.002648 , 0.006144 , 0.000211 , 0.021717 , 0.965987 , 0.000476 , 0.012764 , 0.007881 , 0 , 0 , 0.003664 , 0.005642 , 0 , 0.002164 , 0.001487 , 0.006561 , 0.965987 , 0.001489 , 0.001209 , 0.003125 , 0.000635 , 0.000536 , 0 , 0 , 0.001476 , 0.003244 
 338 , 0 , 0.010565 , 0.000546 , 0 , 0 , 0.002457 , 0 , 0 , 1.026358 , 0 , 1.026358 , 1.026358 , 0 , 1.026358 , 0.002829 , 0.006564 , 0.000252 , 0.023204 , 1.026358 , 0.000509 , 0.013637 , 0.0088 , 0 , 0 , 0.003637 , 0.007848 , 0 , 0.002312 , 0.001735 , 0.013021 , 1.026358 , 0.00175 , 0.001384 , 0.004829 , 0.000678 , 0.000753 , 0 , 0 , 0.002144 , 0.003775 
 339 , 0.000123 , 0.001449 , 0.000399 , 0.000209 , 0.000071 , 0.000542 , 0.000239 , 0.000028 , 0.000355 , 0.000356 , 0.000043 , 0.000461 , 0 , 0.002064 , 0.000924 , 0.00243 , 0.000511 , 0.004673 , 0.000286 , 0.000325 , 0.001756 , 0.001864 , 0.000578 , 0.000118 , 0.001156 , 0.001443 , 0 , 0.000649 , 0.000592 , 0.001166 , 0.000881 , 0.000531 , 0.000555 , 0.001486 , 0.000312 , 0.000328 , 0.000168 , 0.000236 , 0.000628 , 0.000978 
 340 , 0.000505 , 0.002041 , 0.001328 , 0.000664 , 0.000287 , 0.000947 , 0.000672 , 0.000098 , 0.000717 , 0.001097 , 0.000088 , 0.00093 , 0 , 0.003549 , 0.002206 , 0.005949 , 0.002226 , 0.007733 , 0.000577 , 0.00097 , 0.002575 , 0.003163 , 0.001167 , 0.000416 , 0.002557 , 0.002289 , 0 , 0.0013 , 0.001378 , 0.00167 , 0.001778 , 0.001126 , 0.001429 , 0.003072 , 0.000719 , 0.000836 , 0.000535 , 0.000751 , 0.001265 , 0.001832 
