AUG6NANT00050.spu,AUG6NANT00049.spu,AUG6NANT00048.spu,AUG6NANT00047.spu,AUG6NANT00046.spu,
Wavelength,AUG6NANT00051.spu,AUG6NANT00052.spu,AUG6NANT00053.spu,AUG6NANT00054.spu,AUG6NANT00055.spu,AUG6NANT00056.spu,AUG6NANT00057.spu,AUG6NANT00058.spu,AUG6NANT00059.spu,AUG6NANT00060.spu,AUG6NANT00061.spu,AUG6NANT00062.spu,AUG6NANT00063.spu,AUG6NANT00064.spu,AUG6NANT00065.spu,AUG6NANT00066.spu,AUG6NANT00067.spu,AUG6NANT00068.spu,AUG6NANT00069.spu,AUG6NANT00070.spu
  (nm),8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1,8/6/2016 1
  time  ,28:08 AM,28:15 AM,28:20 AM,28:27 AM,28:35 AM,29:10 AM,29:17 AM,29:24 AM,29:31 AM,29:40 AM,30:09 AM,30:17 AM,31:03 AM,31:09 AM,31:16 AM,31:45 AM,31:50 AM,31:57 AM,32:04 AM,32:13 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 334 , 0.006049 , 0.003924 , 0.005513 , 0.003669 , 0.003513 , 0 , 0 , 0.000159 , 0.0038 , 0.002672 , 0.002406 , 0.001945 , 0 , 0.003985 , 0 , 0.005238 , 0.016288 , 0 , 0.004298 , 0 
 335 , 0.007884 , 0.005012 , 0.006612 , 0.004593 , 0.00496 , 0.000113 , 0.000147 , 0.000248 , 0.004404 , 0.003536 , 0.003152 , 0.002782 , 0.000028 , 0.005173 , 0.000042 , 0.006256 , 0.022194 , 0 , 0.007184 , 0.001115 
 336 , 0.009059 , 0.006273 , 0.008629 , 0.005123 , 0.006539 , 0.000652 , 0.000789 , 0.000489 , 0.004032 , 0.005037 , 0.004245 , 0.003791 , 0.000159 , 0.006355 , 0.000244 , 0.009171 , 0.018131 , 0 , 0.009154 , 0.002757 
 337 , 0.009891 , 0.007353 , 0.01046 , 0.005573 , 0.007986 , 0.001136 , 0.001294 , 0.000723 , 0.003633 , 0.006266 , 0.005387 , 0.004638 , 0.000272 , 0.007466 , 0.000428 , 0.011686 , 0.015828 , 0 , 0.010122 , 0.003208 
 338 , 0.010467 , 0.008258 , 0.012088 , 0.005955 , 0.009287 , 0.00156 , 0.00169 , 0.000942 , 0.003238 , 0.007254 , 0.006569 , 0.005336 , 0.000366 , 0.008496 , 0.00059 , 0.013809 , 0.014284 , 0 , 0.010647 , 0.00341 
 339 , 0.011919 , 0.0101 , 0.01251 , 0.007622 , 0.010885 , 0.001765 , 0.002363 , 0.002064 , 0.004743 , 0.007453 , 0.00726 , 0.005593 , 0.001091 , 0.010105 , 0.001792 , 0.015721 , 0.01394 , 0.001791 , 0.012798 , 0.00587 
 340 , 0.013393 , 0.011998 , 0.012663 , 0.009452 , 0.012409 , 0.001909 , 0.003083 , 0.003296 , 0.006294 , 0.007477 , 0.00773 , 0.005742 , 0.001771 , 0.011554 , 0.003232 , 0.017626 , 0.013757 , 0.003091 , 0.015355 , 0.008768 
 341 , 0.014718 , 0.01375 , 0.012757 , 0.011172 , 0.013779 , 0.002032 , 0.00379 , 0.004451 , 0.007547 , 0.007454 , 0.008074 , 0.005861 , 0.002304 , 0.01273 , 0.004705 , 0.019575 , 0.013541 , 0.003897 , 0.018083 , 0.011668 
 342 , 0.015757 , 0.014711 , 0.014002 , 0.012317 , 0.014278 , 0.002857 , 0.004754 , 0.00519 , 0.008347 , 0.008129 , 0.008698 , 0.006599 , 0.003248 , 0.013183 , 0.005952 , 0.021419 , 0.014356 , 0.004605 , 0.019886 , 0.013461 
 343 , 0.016466 , 0.014808 , 0.01659 , 0.012795 , 0.013903 , 0.00456 , 0.005925 , 0.005454 , 0.008747 , 0.009477 , 0.009628 , 0.008029 , 0.004696 , 0.012971 , 0.006764 , 0.022923 , 0.016278 , 0.005307 , 0.020402 , 0.013869 
 344 , 0.017062 , 0.01486 , 0.019099 , 0.013173 , 0.013569 , 0.006259 , 0.006943 , 0.00566 , 0.009082 , 0.010607 , 0.010425 , 0.009357 , 0.006015 , 0.012769 , 0.007415 , 0.024159 , 0.018112 , 0.005845 , 0.020792 , 0.014182 
 345 , 0.017544 , 0.014942 , 0.021221 , 0.013523 , 0.01327 , 0.007826 , 0.007861 , 0.005852 , 0.009456 , 0.011565 , 0.011129 , 0.010504 , 0.00711 , 0.012623 , 0.00794 , 0.025043 , 0.019839 , 0.006354 , 0.02103 , 0.014451 
 346 , 0.017815 , 0.015702 , 0.020267 , 0.014265 , 0.013147 , 0.00799 , 0.009021 , 0.006353 , 0.010851 , 0.012214 , 0.01183 , 0.010561 , 0.006761 , 0.012965 , 0.008252 , 0.024373 , 0.021295 , 0.007746 , 0.020529 , 0.015084 
 347 , 0.018038 , 0.016355 , 0.01953 , 0.014933 , 0.013043 , 0.008131 , 0.01004 , 0.006759 , 0.012189 , 0.012852 , 0.012501 , 0.010611 , 0.00645 , 0.013257 , 0.008526 , 0.023834 , 0.02262 , 0.009027 , 0.02012 , 0.01556 
 348 , 0.018222 , 0.016924 , 0.018944 , 0.015539 , 0.012955 , 0.008253 , 0.010943 , 0.007095 , 0.013474 , 0.01348 , 0.013145 , 0.010657 , 0.006169 , 0.01351 , 0.008771 , 0.023392 , 0.023831 , 0.01021 , 0.01978 , 0.015928 
 349 , 0.01914 , 0.017752 , 0.019278 , 0.01614 , 0.014276 , 0.008127 , 0.010983 , 0.007462 , 0.014186 , 0.013696 , 0.013533 , 0.010849 , 0.006404 , 0.014341 , 0.009152 , 0.022871 , 0.023944 , 0.011156 , 0.020607 , 0.01632 
 350 , 0.020333 , 0.018623 , 0.0199 , 0.016687 , 0.016367 , 0.007927 , 0.010715 , 0.007801 , 0.014614 , 0.013729 , 0.013789 , 0.01107 , 0.006805 , 0.015347 , 0.009556 , 0.022346 , 0.023642 , 0.012035 , 0.021792 , 0.016698 
 351 , 0.021491 , 0.019406 , 0.020461 , 0.017162 , 0.018742 , 0.007749 , 0.010473 , 0.008086 , 0.014982 , 0.013742 , 0.014009 , 0.011256 , 0.007156 , 0.016273 , 0.009916 , 0.021873 , 0.023354 , 0.012937 , 0.022862 , 0.017044 
 352 , 0.022289 , 0.020024 , 0.021014 , 0.017654 , 0.020245 , 0.007772 , 0.010479 , 0.008431 , 0.01521 , 0.013914 , 0.0143 , 0.01147 , 0.007533 , 0.016861 , 0.010104 , 0.021598 , 0.023488 , 0.013666 , 0.023222 , 0.017289 
