  time  ,10:54 AM,10:59 AM,11:04 AM,11:12 AM,11:21 AM,11:57 AM,12:06 AM,12:13 AM,12:23 AM,12:30 AM,13:14 AM,13:20 AM,13:28 AM,13:38 AM,13:45 AM,14:29 AM,14:37 AM,14:45 AM,14:52 AM,14:57 AM,17:00 AM,17:09 AM,17:16 AM,17:23 AM,17:29 AM,18:08 AM,18:14 AM,18:21 AM,18:26 AM,18:34 AM,19:34 AM,19:41 AM,19:47 AM,19:52 AM,19:58 AM,20:37 AM,20:44 AM,20:50 AM,20:57 AM,21:04 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 320 , 1.815563 , 0 , 1.815563 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 321 , 2.000597 , 0 , 2.000597 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000025 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000082 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000138 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000302 , 0.000065 , 0.000175 , 0.00018 , 0 , 0.000056 , 0 , 0.000207 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0001 , 0 , 0.000656 , 0.000204 , 0 , 0 , 0 , 0 , 0 , 0.000626 , 0.000034 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001179 , 0.000283 , 0.00074 , 0.000666 , 0 , 0.000231 , 0 , 0.000978 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000351 , 0 , 0.003027 , 0.000763 , 0 , 0 , 0 , 0 , 0 , 0.00184 , 0.000141 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001961 , 0.000516 , 0.001319 , 0.001059 , 0 , 0.000401 , 0 , 0.001959 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000539 , 0 , 0.005894 , 0.001226 , 0 , 0 , 0 , 0 , 0 , 0.00282 , 0.000243 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002619 , 0.000748 , 0.001873 , 0.001367 , 0 , 0.000555 , 0 , 0.003137 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000677 , 0 , 0.009143 , 0.001595 , 0 , 0 , 0 , 0 , 0 , 0.003583 , 0.000335 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.004038 , 0.00226 , 0.003091 , 0.002992 , 0.001292 , 0.001757 , 0.001248 , 0.004292 , 0.001053 , 0.000141 , 0 , 0 , 0 , 0 , 0 , 0.00097 , 0.002084 , 0.00296 , 0.011927 , 0.003867 , 0 , 0 , 0 , 0 , 0.000062 , 0.004847 , 0.001107 , 0.000096 , 0.001369 , 0.000803 
