  time  ,05:20 PM,05:33 PM,05:41 PM,05:47 PM,05:56 PM,07:11 PM,07:19 PM,07:27 PM,07:37 PM,07:45 PM,08:36 PM,08:46 PM,08:54 PM,09:55 PM,10:18 PM,10:58 PM,11:06 PM,11:15 PM,11:23 PM,11:33 PM,12:41 PM,12:53 PM,13:00 PM,13:09 PM,13:17 PM,14:46 PM,14:55 PM,15:03 PM,15:08 PM,15:16 PM,15:49 PM,15:54 PM,16:01 PM,16:08 PM,16:17 PM,17:08 PM,17:15 PM,17:22 PM,17:30 PM,17:40 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 317 , 0 , 0 , 0.574534 , 0.574534 , 0 , 0 , 0 , 0.574534 , 0.574534 , 0 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0 , 0.574534 , 0 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 , 0.574534 
 318 , 0 , 0.170142 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.170142 , 0.170142 , 0.170142 , 0.170142 , 0 , 0.170142 , 0 , 0 , 0.170142 , 0.170142 , 0.170142 , 0.170142 , 0.170142 , 0 , 0.170142 , 0.170142 , 0.170142 , 0.170142 , 0 , 0.170142 , 0.170142 , 0.170142 , 0 , 0 , 0.170142 , 0.170142 , 0.170142 , 0.170142 
 319 , 0 , 0.823955 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.823955 , 0.823955 , 0.823955 , 0.823955 , 0 , 0.823955 , 0 , 0 , 0.823955 , 0.823955 , 0.823955 , 0.823955 , 0.823955 , 0 , 0.823955 , 0.823955 , 0.823955 , 0.823955 , 0 , 0.823955 , 0.823955 , 0.823955 , 0 , 0 , 0.823955 , 0.823955 , 0.823955 , 0.823955 
 320 , 0 , 1.151818 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.151818 , 1.151818 , 1.151818 , 1.151818 , 0 , 1.151818 , 0 , 0 , 1.151818 , 1.151818 , 1.151818 , 1.151818 , 1.151818 , 0 , 1.151818 , 1.151818 , 1.151818 , 1.151818 , 0 , 1.151818 , 1.151818 , 1.151818 , 0 , 0 , 1.151818 , 1.151818 , 1.151818 , 1.151818 
 321 , 0 , 1.348843 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.348843 , 1.348843 , 1.348843 , 1.348843 , 0 , 1.348843 , 0 , 0 , 1.348843 , 1.348843 , 1.348843 , 1.348843 , 1.348843 , 0 , 1.348843 , 1.348843 , 1.348843 , 1.348843 , 0 , 1.348843 , 1.348843 , 1.348843 , 0 , 0 , 1.348843 , 1.348843 , 1.348843 , 1.348843 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.815738 , 1.815738 , 1.815738 , 1.815738 , 0.000115 , 0 , 0 , 0 , 1.815738 , 1.815738 , 1.815738 , 0 , 1.815738 , 0 , 0 , 1.815738 , 1.815738 , 1.815738 , 0 , 0 , 1.815738 , 1.815738 , 0 , 0 , 0 , 0 , 0 , 1.815738 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.650209 , 2.650209 , 2.650209 , 2.650209 , 0.000263 , 0 , 0 , 0 , 2.650209 , 2.650209 , 2.650209 , 0 , 2.650209 , 0 , 0 , 2.650209 , 2.650209 , 2.650209 , 0 , 0 , 2.650209 , 2.650209 , 0 , 0 , 0 , 0 , 0 , 2.650209 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.129009 , 3.129009 , 3.129009 , 3.129009 , 0.000364 , 0 , 0 , 0 , 3.129009 , 3.129009 , 3.129009 , 0 , 3.129009 , 0 , 0 , 3.129009 , 3.129009 , 3.129009 , 0 , 0 , 3.129009 , 3.129009 , 0 , 0 , 0 , 0 , 0 , 3.129009 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000142 , 0 , 0 , 0 , 0 , 0 , 3.463433 , 3.463433 , 3.463433 , 0 , 0.001466 , 0 , 0 , 0 , 0 , 3.463433 , 3.463433 , 0 , 3.463433 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000399 , 0 , 0 , 0 , 0 , 0 , 3.668766 , 3.668766 , 3.668766 , 0 , 0.004051 , 0 , 0 , 0 , 0 , 3.668766 , 3.668766 , 0 , 3.668766 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000543 , 0 , 0 , 0 , 0 , 0 , 3.782238 , 3.782238 , 3.782238 , 0 , 0.006004 , 0 , 0 , 0 , 0 , 3.782238 , 3.782238 , 0 , 3.782238 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000633 , 0 , 0 , 0 , 0 , 0 , 3.84821 , 3.84821 , 3.84821 , 0 , 0.007501 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0.002569 , 0 , 0.002554 , 0.000487 , 0 , 0 , 0 , 0 , 4.464195 , 4.464195 , 4.464195 , 0 , 0.011126 , 0 , 0 , 0.001027 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 330 , 0 , 0 , 0 , 0 , 0.005346 , 0 , 0.004218 , 0.000957 , 0 , 0 , 0 , 0 , 4.957239 , 4.957239 , 4.957239 , 0 , 0.014693 , 0 , 0 , 0.001897 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 331 , 0 , 0 , 0 , 0 , 0.008072 , 0 , 0.005613 , 0.00138 , 0 , 0 , 0 , 0 , 5.363526 , 5.363526 , 5.363526 , 0 , 0.018086 , 0 , 0 , 0.002615 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 332 , 0.000934 , 0.000523 , 0 , 0.000279 , 0.009461 , 0.00098 , 0.00747 , 0.003213 , 0.000155 , 0.000443 , 0 , 0.000157 , 5.31585 , 5.31585 , 5.31585 , 0 , 0.019183 , 0.000343 , 0.000812 , 0.003718 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000044 , 0 , 0 , 0.000119 , 0 , 0 , 0 , 0 , 0 , 0.000749 , 0 , 0.00023 , 0.000713 , 0.00013 
 333 , 0.002212 , 0.00137 , 0 , 0.000696 , 0.009789 , 0.002115 , 0.009463 , 0.005326 , 0.000349 , 0.001037 , 0 , 0.000393 , 5.049188 , 5.049188 , 5.049188 , 0 , 0.018879 , 0.000906 , 0.001805 , 0.005087 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000105 , 0 , 0 , 0.000246 , 0 , 0 , 0 , 0 , 0 , 0.001802 , 0 , 0.000529 , 0.001382 , 0.000298 
 334 , 0.003176 , 0.00216 , 0 , 0.001044 , 0.009891 , 0.002828 , 0.011131 , 0.006774 , 0.000481 , 0.001475 , 0 , 0.000595 , 4.818336 , 4.818336 , 4.818336 , 0 , 0.018489 , 0.001439 , 0.002464 , 0.006397 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000154 , 0 , 0 , 0.000319 , 0 , 0 , 0 , 0 , 0 , 0.002624 , 0 , 0.000742 , 0.001722 , 0.000417 
 335 , 0.003887 , 0.002941 , 0.000134 , 0.001619 , 0.010292 , 0.003323 , 0.013007 , 0.007922 , 0.000967 , 0.002068 , 0.000147 , 0.001017 , 4.799232 , 4.799232 , 4.799232 , 0.000264 , 0.018993 , 0.002253 , 0.003152 , 0.007842 , 0 , 0 , 0 , 0 , 0 , 0.000043 , 0.000448 , 0.000011 , 0.000063 , 0.000543 , 0.000094 , 0 , 0.000044 , 0.000035 , 0.000144 , 0.003475 , 0.000373 , 0.001207 , 0.00222 , 0.000942 
 336 , 0.004274 , 0.00378 , 0.000832 , 0.003107 , 0.011834 , 0.003708 , 0.01624 , 0.009084 , 0.003065 , 0.003633 , 0.00093 , 0.002452 , 5.300682 , 5.300682 , 5.300682 , 0.001638 , 0.02227 , 0.004226 , 0.004615 , 0.009813 , 0 , 0 , 0 , 0 , 0 , 0.000265 , 0.001854 , 0.000072 , 0.00038 , 0.001404 , 0.000545 , 0 , 0.00023 , 0.000178 , 0.000853 , 0.004872 , 0.002244 , 0.002706 , 0.00384 , 0.003181 
 337 , 0.004605 , 0.004531 , 0.001547 , 0.004343 , 0.013206 , 0.004042 , 0.019309 , 0.010132 , 0.005208 , 0.005185 , 0.001761 , 0.00392 , 5.73051 , 5.73051 , 5.73051 , 0.00305 , 0.025261 , 0.006119 , 0.006083 , 0.011669 , 0 , 0 , 0 , 0 , 0 , 0.000489 , 0.003376 , 0.000139 , 0.000691 , 0.002174 , 0.000956 , 0 , 0.000375 , 0.000285 , 0.001525 , 0.006001 , 0.004073 , 0.00397 , 0.005433 , 0.005349 
 338 , 0.004891 , 0.005201 , 0.002258 , 0.005393 , 0.014429 , 0.004334 , 0.022194 , 0.011079 , 0.00733 , 0.006689 , 0.002612 , 0.005378 , 6.10305 , 6.10305 , 6.10305 , 0.004453 , 0.027986 , 0.007903 , 0.007524 , 0.013401 , 0 , 0 , 0 , 0 , 0 , 0.000709 , 0.004964 , 0.000208 , 0.000988 , 0.00286 , 0.001328 , 0 , 0.000494 , 0.000371 , 0.002153 , 0.006942 , 0.005821 , 0.005054 , 0.006965 , 0.007402 
