JUL14NANT00005.spu,JUL14NANT00004.spu,JUL14NANT00003.spu,
Wavelength,JUL14NANT00071.spu,JUL14NANT00072.spu,JUL14NANT00073.spu,JUL14NANT00074.spu,JUL14NANT00075.spu,JUL14NANT00076.spu,JUL14NANT00077.spu,JUL14NANT00078.spu,JUL14NANT00079.spu,JUL14NANT00080.spu,JUL14NANT00081.spu,JUL14NANT00082.spu,JUL14NANT00083.spu,JUL14NANT00084.spu,JUL14NANT00085.spu,JUL14NANT00086.spu,JUL14NANT00087.spu,JUL14NANT00088.spu,JUL14NANT00089.spu,JUL14NANT00090.spu,JUL14NANT00091.spu,JUL14NANT00092.spu,JUL14NANT00093.spu,JUL14NANT00094.spu,JUL14NANT00095.spu
  (nm),7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 
  time  ,:41:47 A,:41:52 A,:41:59 A,:42:05 A,:42:12 A,:42:49 A,:42:55 A,:43:02 A,:43:10 A,:43:18 A,:43:53 A,:44:01 A,:44:06 A,:44:14 A,:44:21 A,:44:58 A,:45:04 A,:45:11 A,:45:17 A,:45:26 A,:45:59 A,:46:05 A,:46:11 A,:46:17 A,:46:24 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.017306 , 0 , 0.29831 , 0.010182 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.029524 , 0 , 0.963513 , 0.014167 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.041546 , 0 , 36.221496 , 0.016542 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.007652 , 0 , 0 , 0 , 0 , 0.013623 , 0 , 0 , 0.033876 , 0 , 0.062816 , 0 , 0.440886 , 0.034812 , 0.000515 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.012181 , 0 , 0 , 0 , 0 , 0.022535 , 0 , 0 , 0.058147 , 0 , 0.073929 , 0 , 0.258288 , 0.046332 , 0.000949 
 331 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.014853 , 0 , 0 , 0 , 0 , 0.028267 , 0 , 0 , 0.075087 , 0 , 0.079509 , 0 , 0.194591 , 0.053446 , 0.001302 
 332 , 0 , 0 , 0.004495 , 0 , 0 , 0 , 0 , 0.000293 , 0 , 0.000813 , 0.020658 , 0 , 0 , 0 , 0 , 0.036225 , 0.003699 , 0.000405 , 0.074666 , 0 , 0.085018 , 0.008627 , 0.162106 , 0.062438 , 0.007193 
 333 , 0 , 0 , 0.009927 , 0 , 0 , 0 , 0 , 0.000671 , 0 , 0.002094 , 0.028727 , 0 , 0 , 0 , 0 , 0.043748 , 0.008744 , 0.00093 , 0.067784 , 0 , 0.089973 , 0.020713 , 0.140903 , 0.072918 , 0.015383 
 334 , 0 , 0 , 0.013444 , 0 , 0 , 0 , 0 , 0.000935 , 0 , 0.00325 , 0.036414 , 0 , 0 , 0 , 0 , 0.048527 , 0.01252 , 0.001298 , 0.062447 , 0 , 0.093258 , 0.030067 , 0.125428 , 0.082479 , 0.021838 
 335 , 0.000806 , 0 , 0.01709 , 0 , 0 , 0.001154 , 0.001283 , 0.002604 , 0.001347 , 0.006022 , 0.042904 , 0.001265 , 0.00183 , 0.001327 , 0.002118 , 0.051702 , 0.016829 , 0.004631 , 0.060377 , 0.002027 , 0.094215 , 0.03733 , 0.116333 , 0.090091 , 0.027789 
