JUL14NANT00005.spu,JUL14NANT00004.spu,JUL14NANT00003.spu,
Wavelength,JUL14NANT00006.spu,JUL14NANT00007.spu,JUL14NANT00008.spu,JUL14NANT00009.spu,JUL14NANT00010.spu,JUL14NANT00011.spu,JUL14NANT00012.spu,JUL14NANT00013.spu,JUL14NANT00014.spu,JUL14NANT00015.spu,JUL14NANT00016.spu,JUL14NANT00017.spu,JUL14NANT00018.spu,JUL14NANT00019.spu,JUL14NANT00020.spu,JUL14NANT00021.spu,JUL14NANT00022.spu,JUL14NANT00023.spu,JUL14NANT00024.spu,JUL14NANT00025.spu,JUL14NANT00026.spu,JUL14NANT00027.spu,JUL14NANT00028.spu,JUL14NANT00029.spu,JUL14NANT00030.spu
  (nm),7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 
  time  ,:26:23 A,:26:40 A,:26:46 A,:26:52 A,:26:58 A,:27:26 A,:27:32 A,:27:37 A,:27:42 A,:27:49 A,:28:19 A,:28:24 A,:28:31 A,:28:38 A,:28:45 A,:29:22 A,:29:28 A,:29:37 A,:29:43 A,:29:51 A,:30:38 A,:30:45 A,:30:51 A,:30:57 A,:31:04 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 327 , 0.023548 , 0 , 0 , 0 , 0 , 0 , 0 , 0.013596 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.0196 , 0 , 0 
 328 , 0.023112 , 0 , 0 , 0 , 0 , 0 , 0 , 0.016404 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.020574 , 0 , 0 
 329 , 0.022152 , 0 , 0 , 0 , 0 , 0 , 0 , 0.025491 , 0 , 0.004834 , 0 , 0 , 0 , 0 , 0 , 0.001262 , 0.003783 , 0.011696 , 0 , 0.000642 , 0 , 0.002389 , 0.038275 , 0.016978 , 0 
 330 , 0.021323 , 0 , 0 , 0 , 0 , 0 , 0 , 0.03128 , 0 , 0.009796 , 0 , 0 , 0 , 0 , 0 , 0.001991 , 0.007011 , 0.018058 , 0 , 0.001023 , 0 , 0.00437 , 0.047031 , 0.028601 , 0 
 331 , 0.020616 , 0 , 0 , 0 , 0 , 0 , 0 , 0.03487 , 0 , 0.014824 , 0 , 0 , 0 , 0 , 0 , 0.002412 , 0.009678 , 0.021558 , 0 , 0.001249 , 0 , 0.005962 , 0.051288 , 0.036385 , 0 
 332 , 0.020463 , 0 , 0.002046 , 0.000805 , 0.008961 , 0.00109 , 0.004937 , 0.040437 , 0.006961 , 0.026763 , 0 , 0 , 0 , 0 , 0 , 0.010294 , 0.012932 , 0.022957 , 0.006413 , 0.007543 , 0.003787 , 0.010418 , 0.047371 , 0.048582 , 0.006151 
 333 , 0.020638 , 0 , 0.00501 , 0.00177 , 0.022334 , 0.002703 , 0.011521 , 0.045346 , 0.018612 , 0.040409 , 0 , 0 , 0 , 0 , 0 , 0.022213 , 0.016232 , 0.023365 , 0.015435 , 0.018104 , 0.009009 , 0.016239 , 0.041346 , 0.061616 , 0.014579 
 334 , 0.020797 , 0 , 0.007408 , 0.002388 , 0.033568 , 0.004044 , 0.016315 , 0.047887 , 0.030089 , 0.050786 , 0 , 0 , 0 , 0 , 0 , 0.032639 , 0.018903 , 0.023599 , 0.022456 , 0.02873 , 0.012972 , 0.021171 , 0.036953 , 0.071157 , 0.020924 
 335 , 0.020788 , 0.000436 , 0.010782 , 0.004308 , 0.040494 , 0.005477 , 0.019747 , 0.050131 , 0.03965 , 0.05607 , 0.000182 , 0 , 0.003023 , 0 , 0 , 0.04111 , 0.022252 , 0.025959 , 0.026974 , 0.038831 , 0.018056 , 0.026631 , 0.036725 , 0.074161 , 0.027193 
 336 , 0.020271 , 0.002315 , 0.018758 , 0.010967 , 0.038745 , 0.00773 , 0.021815 , 0.054769 , 0.041796 , 0.051932 , 0.000958 , 0 , 0.014174 , 0 , 0 , 0.045598 , 0.028209 , 0.036651 , 0.027255 , 0.045065 , 0.027987 , 0.034633 , 0.048365 , 0.064123 , 0.037369 
 337 , 0.019808 , 0.003791 , 0.0255 , 0.015993 , 0.036991 , 0.009496 , 0.022574 , 0.057864 , 0.04273 , 0.048535 , 0.001557 , 0 , 0.021009 , 0 , 0 , 0.048387 , 0.031364 , 0.047138 , 0.027061 , 0.048909 , 0.034104 , 0.039354 , 0.06121 , 0.056671 , 0.045928 
 338 , 0.019389 , 0.004965 , 0.031264 , 0.019838 , 0.035349 , 0.010896 , 0.022717 , 0.059902 , 0.04297 , 0.045682 , 0.002026 , 0 , 0.025346 , 0 , 0 , 0.050077 , 0.033018 , 0.057629 , 0.026632 , 0.051252 , 0.037947 , 0.042155 , 0.075854 , 0.050924 , 0.053209 
 339 , 0.019584 , 0.01096 , 0.033477 , 0.020354 , 0.035725 , 0.012935 , 0.023952 , 0.061583 , 0.04271 , 0.045125 , 0.006815 , 0.000848 , 0.024669 , 0.002651 , 0.001217 , 0.048931 , 0.036083 , 0.054923 , 0.029518 , 0.050818 , 0.042391 , 0.041775 , 0.076915 , 0.053361 , 0.050937 
 340 , 0.019862 , 0.015724 , 0.034469 , 0.020218 , 0.036094 , 0.014527 , 0.025054 , 0.062794 , 0.042192 , 0.044692 , 0.010364 , 0.001666 , 0.023442 , 0.004888 , 0.002449 , 0.047418 , 0.038667 , 0.051065 , 0.032404 , 0.049846 , 0.046275 , 0.040852 , 0.075383 , 0.05652 , 0.047757 
 341 , 0.020122 , 0.018931 , 0.034961 , 0.020011 , 0.036235 , 0.015642 , 0.025891 , 0.063639 , 0.041531 , 0.04407 , 0.012581 , 0.002316 , 0.022394 , 0.006447 , 0.003478 , 0.046041 , 0.0406 , 0.047984 , 0.034757 , 0.048803 , 0.049497 , 0.039942 , 0.073818 , 0.059111 , 0.045125 
 342 , 0.020101 , 0.020347 , 0.033921 , 0.020442 , 0.037697 , 0.016877 , 0.028021 , 0.062875 , 0.040043 , 0.04448 , 0.014204 , 0.002622 , 0.0219 , 0.008036 , 0.005443 , 0.045407 , 0.042116 , 0.046261 , 0.035825 , 0.047102 , 0.050851 , 0.040404 , 0.071536 , 0.060467 , 0.045439 
 343 , 0.019791 , 0.020447 , 0.031683 , 0.021522 , 0.040602 , 0.018209 , 0.031691 , 0.060667 , 0.037869 , 0.045831 , 0.015739 , 0.002621 , 0.021834 , 0.009949 , 0.008025 , 0.045439 , 0.043445 , 0.045509 , 0.035676 , 0.044774 , 0.050436 , 0.042124 , 0.068604 , 0.060597 , 0.048482 
 344 , 0.019515 , 0.02046 , 0.029792 , 0.022462 , 0.043226 , 0.019141 , 0.035166 , 0.05861 , 0.035976 , 0.046812 , 0.017194 , 0.002598 , 0.021707 , 0.011716 , 0.009896 , 0.045384 , 0.044708 , 0.044708 , 0.035434 , 0.042728 , 0.050045 , 0.043459 , 0.065964 , 0.060489 , 0.051158 
 345 , 0.019293 , 0.020561 , 0.028521 , 0.02331 , 0.045261 , 0.019873 , 0.038187 , 0.05673 , 0.03469 , 0.047663 , 0.018563 , 0.002745 , 0.021727 , 0.013376 , 0.011193 , 0.045556 , 0.045649 , 0.044222 , 0.035256 , 0.041139 , 0.049671 , 0.044539 , 0.063894 , 0.06002 , 0.053105 
 346 , 0.019388 , 0.022207 , 0.031131 , 0.024429 , 0.043533 , 0.021321 , 0.037957 , 0.055179 , 0.037668 , 0.049812 , 0.019751 , 0.005108 , 0.023801 , 0.015083 , 0.011183 , 0.049046 , 0.044515 , 0.047284 , 0.036455 , 0.042488 , 0.049886 , 0.045755 , 0.065449 , 0.057625 , 0.050748 
 347 , 0.019478 , 0.023822 , 0.033672 , 0.025298 , 0.041973 , 0.022458 , 0.037603 , 0.053733 , 0.040352 , 0.05175 , 0.020674 , 0.007308 , 0.025758 , 0.016532 , 0.011143 , 0.052185 , 0.043355 , 0.050096 , 0.037394 , 0.043443 , 0.049804 , 0.046778 , 0.066658 , 0.055476 , 0.048656 
 348 , 0.019565 , 0.02542 , 0.036169 , 0.025974 , 0.040559 , 0.023358 , 0.037174 , 0.052388 , 0.042793 , 0.053514 , 0.021392 , 0.009375 , 0.02762 , 0.017774 , 0.011083 , 0.055034 , 0.042217 , 0.0527 , 0.038131 , 0.044106 , 0.049529 , 0.047644 , 0.067597 , 0.05354 , 0.04679 
 349 , 0.019542 , 0.025533 , 0.036146 , 0.026583 , 0.040332 , 0.025004 , 0.037234 , 0.052175 , 0.044417 , 0.049311 , 0.021527 , 0.010366 , 0.02855 , 0.017551 , 0.011613 , 0.054131 , 0.04123 , 0.051132 , 0.037713 , 0.045236 , 0.049436 , 0.046414 , 0.068911 , 0.053472 , 0.046789 
 350 , 0.019481 , 0.025041 , 0.035169 , 0.027056 , 0.040428 , 0.026959 , 0.037457 , 0.052293 , 0.045532 , 0.044296 , 0.021443 , 0.010809 , 0.028967 , 0.016856 , 0.012289 , 0.051995 , 0.040337 , 0.048326 , 0.036901 , 0.04644 , 0.04937 , 0.044579 , 0.070304 , 0.054017 , 0.047294 
 351 , 0.019427 , 0.024547 , 0.034259 , 0.027384 , 0.040399 , 0.028871 , 0.037641 , 0.052301 , 0.046421 , 0.040494 , 0.021348 , 0.011137 , 0.029236 , 0.016243 , 0.012857 , 0.050108 , 0.039514 , 0.045927 , 0.036133 , 0.047471 , 0.049238 , 0.042959 , 0.07157 , 0.054461 , 0.047597 
 352 , 0.019405 , 0.023903 , 0.033562 , 0.027397 , 0.039935 , 0.029837 , 0.036811 , 0.051926 , 0.045681 , 0.038456 , 0.021086 , 0.011278 , 0.028922 , 0.01616 , 0.013466 , 0.048108 , 0.039442 , 0.044367 , 0.035968 , 0.047397 , 0.049427 , 0.042189 , 0.071691 , 0.054845 , 0.047599 
 353 , 0.019437 , 0.022999 , 0.033178 , 0.026966 , 0.038781 , 0.028991 , 0.034412 , 0.050975 , 0.042328 , 0.038549 , 0.020564 , 0.011178 , 0.027735 , 0.016966 , 0.014267 , 0.045788 , 0.040755 , 0.043982 , 0.036919 , 0.045467 , 0.0503 , 0.042803 , 0.069813 , 0.055217 , 0.047204 
 354 , 0.019465 , 0.022205 , 0.032816 , 0.026569 , 0.037738 , 0.028234 , 0.032479 , 0.050103 , 0.039514 , 0.038626 , 0.020104 , 0.011082 , 0.026714 , 0.017641 , 0.014994 , 0.043798 , 0.041966 , 0.043609 , 0.037815 , 0.043766 , 0.051096 , 0.04335 , 0.068122 , 0.055563 , 0.046835 
 355 , 0.01949 , 0.021501 , 0.032476 , 0.026199 , 0.036789 , 0.027553 , 0.030885 , 0.049302 , 0.037121 , 0.038689 , 0.019692 , 0.010988 , 0.025827 , 0.01821 , 0.015656 , 0.04207 , 0.043086 , 0.043249 , 0.038662 , 0.042255 , 0.051825 , 0.04384 , 0.06659 , 0.055885 , 0.046489 
 356 , 0.019427 , 0.021823 , 0.031747 , 0.026434 , 0.03722 , 0.025631 , 0.032161 , 0.049406 , 0.037378 , 0.039714 , 0.020089 , 0.011091 , 0.025529 , 0.017615 , 0.015001 , 0.042487 , 0.04136 , 0.04172 , 0.038177 , 0.040834 , 0.050043 , 0.042629 , 0.063274 , 0.054494 , 0.044116 
 357 , 0.019363 , 0.022159 , 0.031066 , 0.026701 , 0.037695 , 0.023982 , 0.03362 , 0.04955 , 0.037734 , 0.040774 , 0.020503 , 0.011196 , 0.025276 , 0.017005 , 0.014362 , 0.042981 , 0.03968 , 0.040299 , 0.037671 , 0.039567 , 0.048342 , 0.041448 , 0.060363 , 0.053169 , 0.042022 
 358 , 0.019303 , 0.02246 , 0.030446 , 0.026967 , 0.038145 , 0.022599 , 0.035123 , 0.049686 , 0.038063 , 0.041817 , 0.020896 , 0.011293 , 0.025038 , 0.016434 , 0.013794 , 0.043447 , 0.038169 , 0.039025 , 0.037208 , 0.038433 , 0.046824 , 0.040372 , 0.05786 , 0.051979 , 0.040237 
