JUL14NANT00005.spu,JUL14NANT00004.spu,JUL14NANT00003.spu,
Wavelength,JUL14NANT00051.spu,JUL14NANT00052.spu,JUL14NANT00053.spu,JUL14NANT00054.spu,JUL14NANT00055.spu,JUL14NANT00056.spu,JUL14NANT00057.spu,JUL14NANT00058.spu,JUL14NANT00059.spu,JUL14NANT00060.spu,JUL14NANT00061.spu,JUL14NANT00062.spu,JUL14NANT00063.spu,JUL14NANT00064.spu,JUL14NANT00065.spu,JUL14NANT00066.spu,JUL14NANT00067.spu,JUL14NANT00068.spu,JUL14NANT00069.spu,JUL14NANT00070.spu
  (nm),7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 
  time  ,:36:01 A,:36:08 A,:36:15 A,:36:22 A,:36:28 A,:37:04 A,:37:11 A,:37:19 A,:37:27 A,:37:34 A,:37:59 A,:38:09 A,:38:17 A,:38:23 A,:38:29 A,:40:39 A,:40:48 A,:40:56 A,:41:01 A,:41:10 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 331 , 0 , 0.021579 , 0.0421 , 0.002999 , 0 , 0.020636 , 0.038824 , 0.003012 , 0.010838 , 0.003511 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001507 , 0 , 0 , 0 
 332 , 0.002952 , 0.031363 , 0.044867 , 0.009277 , 0.002758 , 0.032837 , 0.046916 , 0.011081 , 0.017975 , 0.011825 , 0.001937 , 0.001165 , 0 , 0 , 0 , 0.006084 , 0.007489 , 0.003954 , 0.004399 , 0.004182 
 333 , 0.006561 , 0.042798 , 0.045799 , 0.021116 , 0.008566 , 0.047027 , 0.05274 , 0.02203 , 0.026025 , 0.023263 , 0.004517 , 0.00287 , 0 , 0 , 0 , 0.013737 , 0.016707 , 0.009654 , 0.009883 , 0.009347 
 334 , 0.008928 , 0.05221 , 0.046479 , 0.035615 , 0.01689 , 0.057883 , 0.055299 , 0.030739 , 0.031081 , 0.032043 , 0.006392 , 0.004265 , 0 , 0 , 0 , 0.018927 , 0.025037 , 0.014232 , 0.013565 , 0.012776 
 335 , 0.011755 , 0.057509 , 0.048554 , 0.050386 , 0.027113 , 0.063199 , 0.057187 , 0.038899 , 0.035107 , 0.038648 , 0.009639 , 0.006389 , 0.001408 , 0.002493 , 0.001639 , 0.0232 , 0.031057 , 0.018879 , 0.017174 , 0.016383 
 336 , 0.018365 , 0.054357 , 0.055685 , 0.052779 , 0.028558 , 0.058567 , 0.061002 , 0.049729 , 0.040566 , 0.042961 , 0.018591 , 0.010997 , 0.007671 , 0.014666 , 0.008898 , 0.028536 , 0.03135 , 0.025519 , 0.023568 , 0.023483 
 337 , 0.023843 , 0.05156 , 0.060443 , 0.052893 , 0.028178 , 0.054788 , 0.063789 , 0.058786 , 0.044786 , 0.045903 , 0.02543 , 0.01393 , 0.012865 , 0.026577 , 0.014871 , 0.032325 , 0.030941 , 0.030053 , 0.028444 , 0.028957 
 338 , 0.028433 , 0.04908 , 0.063608 , 0.052096 , 0.027355 , 0.051621 , 0.065821 , 0.066444 , 0.048076 , 0.047899 , 0.030719 , 0.015837 , 0.017219 , 0.038496 , 0.019841 , 0.035035 , 0.030244 , 0.033185 , 0.032201 , 0.033225 
 339 , 0.029608 , 0.049884 , 0.063483 , 0.051617 , 0.030084 , 0.050258 , 0.064269 , 0.063469 , 0.050027 , 0.045057 , 0.031044 , 0.019275 , 0.02011 , 0.039649 , 0.020084 , 0.035467 , 0.034801 , 0.03653 , 0.034555 , 0.03508 
 340 , 0.029924 , 0.050888 , 0.062675 , 0.050931 , 0.032251 , 0.049121 , 0.062314 , 0.059643 , 0.051276 , 0.042158 , 0.030475 , 0.022146 , 0.022127 , 0.038745 , 0.019533 , 0.035346 , 0.03965 , 0.039014 , 0.036087 , 0.036138 
 341 , 0.030008 , 0.051646 , 0.061771 , 0.050107 , 0.033568 , 0.048017 , 0.060479 , 0.056482 , 0.052087 , 0.039786 , 0.029855 , 0.024269 , 0.023599 , 0.037777 , 0.018979 , 0.035079 , 0.043908 , 0.040707 , 0.0371 , 0.036849 
 342 , 0.031548 , 0.051388 , 0.060812 , 0.050528 , 0.034604 , 0.048053 , 0.059568 , 0.054548 , 0.051531 , 0.040006 , 0.029637 , 0.025819 , 0.024869 , 0.036885 , 0.019679 , 0.034352 , 0.046191 , 0.041568 , 0.038103 , 0.038194 
 343 , 0.034516 , 0.050167 , 0.059781 , 0.051974 , 0.035728 , 0.049262 , 0.059448 , 0.053514 , 0.049776 , 0.042453 , 0.029805 , 0.026893 , 0.025913 , 0.036018 , 0.021532 , 0.033225 , 0.046415 , 0.041787 , 0.03924 , 0.040344 
 344 , 0.036974 , 0.048992 , 0.05873 , 0.052851 , 0.036948 , 0.050425 , 0.059224 , 0.052502 , 0.048134 , 0.044388 , 0.02994 , 0.027637 , 0.026556 , 0.035206 , 0.023052 , 0.032161 , 0.046412 , 0.041892 , 0.040224 , 0.042343 
 345 , 0.038613 , 0.048251 , 0.057811 , 0.053375 , 0.038108 , 0.051282 , 0.058999 , 0.051479 , 0.046742 , 0.045916 , 0.030224 , 0.02815 , 0.026917 , 0.034733 , 0.024429 , 0.03139 , 0.046127 , 0.041819 , 0.041012 , 0.044094 
 346 , 0.035965 , 0.051777 , 0.058373 , 0.053622 , 0.038499 , 0.050322 , 0.059814 , 0.050587 , 0.046918 , 0.046924 , 0.032746 , 0.028542 , 0.026854 , 0.03776 , 0.027074 , 0.033034 , 0.044778 , 0.041028 , 0.041268 , 0.044746 
 347 , 0.033768 , 0.054904 , 0.058696 , 0.053855 , 0.038506 , 0.049226 , 0.060292 , 0.049605 , 0.046892 , 0.047734 , 0.034682 , 0.028797 , 0.026747 , 0.040144 , 0.029226 , 0.034427 , 0.043482 , 0.040203 , 0.041286 , 0.04509 
 348 , 0.031912 , 0.057702 , 0.058844 , 0.054073 , 0.038281 , 0.048086 , 0.060527 , 0.048594 , 0.046728 , 0.048387 , 0.036175 , 0.02895 , 0.026611 , 0.042035 , 0.030992 , 0.035615 , 0.042256 , 0.039377 , 0.041145 , 0.045216 
 349 , 0.031973 , 0.056897 , 0.057512 , 0.053311 , 0.036809 , 0.045743 , 0.059835 , 0.047629 , 0.047493 , 0.048175 , 0.035865 , 0.029536 , 0.026704 , 0.040593 , 0.032317 , 0.037208 , 0.041377 , 0.039273 , 0.042044 , 0.043802 
