JUL14NANT00005.spu,JUL14NANT00004.spu,JUL14NANT00003.spu,
Wavelength,JUL14NANT00031.spu,JUL14NANT00032.spu,JUL14NANT00033.spu,JUL14NANT00034.spu,JUL14NANT00035.spu,JUL14NANT00036.spu,JUL14NANT00037.spu,JUL14NANT00038.spu,JUL14NANT00039.spu,JUL14NANT00040.spu,JUL14NANT00041.spu,JUL14NANT00042.spu,JUL14NANT00043.spu,JUL14NANT00044.spu,JUL14NANT00045.spu,JUL14NANT00046.spu,JUL14NANT00047.spu,JUL14NANT00048.spu,JUL14NANT00049.spu,JUL14NANT00050.spu
  (nm),7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 ,7/14/2016 
  time  ,:31:35 A,:31:40 A,:31:46 A,:31:54 A,:32:01 A,:32:48 A,:32:54 A,:32:59 A,:33:07 A,:33:12 A,:34:00 A,:34:07 A,:34:13 A,:34:20 A,:34:28 A,:35:04 A,:35:10 A,:35:17 A,:35:23 A,:35:29 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 0 , 197.712942 , 197.712942 , 197.712942 , 197.712942 , 197.712942 
 311 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 0 , 188.465082 , 188.465082 , 188.465082 , 188.465082 , 188.465082 
 312 , 177.355328 , 177.355328 , 177.355328 , 0 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 0 , 177.355328 , 177.355328 , 177.355328 , 177.355328 , 177.355328 
 313 , 167.246383 , 167.246383 , 167.246383 , 0 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 0 , 167.246383 , 167.246383 , 167.246383 , 167.246383 , 167.246383 
 314 , 158.595344 , 158.595344 , 158.595344 , 0 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 0 , 158.595344 , 158.595344 , 158.595344 , 158.595344 , 158.595344 
 315 , 146.961833 , 146.961833 , 0 , 0 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 146.961833 , 0 , 146.961833 
 316 , 133.61611 , 133.61611 , 0 , 0 , 133.61611 , 133.61611 , 133.61611 , 133.61611 , 133.61611 , 133.61611 , 133.61611 , 133.61611 , 133.61611 , 133.61611 , 133.61611 , 133.61611 , 133.61611 , 133.61611 , 0 , 133.61611 
 317 , 122.594688 , 122.594688 , 0 , 0 , 122.594688 , 122.594688 , 122.594688 , 122.594688 , 122.594688 , 122.594688 , 122.594688 , 122.594688 , 122.594688 , 122.594688 , 122.594688 , 122.594688 , 122.594688 , 122.594688 , 0 , 122.594688 
 318 , 0 , 0 , 0 , 0 , 112.709723 , 0 , 112.709723 , 112.709723 , 0 , 0 , 0 , 112.709723 , 112.709723 , 0 , 112.709723 , 112.709723 , 0 , 0 , 0 , 112.709723 
 319 , 0 , 0 , 0 , 0 , 99.827858 , 0 , 99.827858 , 99.827858 , 0 , 0 , 0 , 99.827858 , 99.827858 , 0 , 99.827858 , 99.827858 , 0 , 0 , 0 , 99.827858 
 320 , 0 , 0 , 0 , 0 , 89.660099 , 0 , 89.660099 , 89.660099 , 0 , 0 , 0 , 89.660099 , 89.660099 , 0 , 89.660099 , 89.660099 , 0 , 0 , 0 , 89.660099 
 321 , 0 , 0 , 0 , 0 , 81.429773 , 0 , 81.429773 , 81.429773 , 0 , 0 , 0 , 81.429773 , 81.429773 , 0 , 81.429773 , 81.429773 , 0 , 0 , 0 , 81.429773 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 72.938928 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 72.938928 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 65.682417 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 65.682417 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 59.92551 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 59.92551 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0.015536 , 0.002507 , 0 , 0 , 0 , 0 , 0.018159 , 0.008346 , 0.008309 , 0.010458 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001506 , 0.012818 , 0.004369 , 0 
 330 , 0.033164 , 0.004802 , 0 , 0 , 0 , 0 , 0.028337 , 0.013588 , 0.013591 , 0.016041 , 0 , 0 , 0 , 0 , 0 , 0 , 0.002411 , 0.021925 , 0.008616 , 0 
 331 , 0.053388 , 0.006844 , 0 , 0 , 0 , 0 , 0.034078 , 0.016843 , 0.016905 , 0.019068 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00295 , 0.028232 , 0.012657 , 0 
 332 , 0.070124 , 0.014496 , 0.003232 , 0.002274 , 0.0077 , 0 , 0.040205 , 0.024035 , 0.026622 , 0.027128 , 0.001376 , 0 , 0 , 0 , 0.009145 , 0.008814 , 0.01112 , 0.03578 , 0.020357 , 0 
 333 , 0.080743 , 0.023125 , 0.007325 , 0.006186 , 0.017797 , 0 , 0.046667 , 0.032991 , 0.038487 , 0.037462 , 0.003208 , 0 , 0 , 0 , 0.018861 , 0.02097 , 0.02342 , 0.043654 , 0.028034 , 0 
 334 , 0.08892 , 0.028918 , 0.010124 , 0.010197 , 0.024997 , 0 , 0.052083 , 0.04027 , 0.047374 , 0.045793 , 0.004539 , 0 , 0 , 0 , 0.024304 , 0.030195 , 0.034181 , 0.050015 , 0.033169 , 0 
 335 , 0.086341 , 0.033555 , 0.014123 , 0.014098 , 0.029911 , 0.001986 , 0.055276 , 0.046207 , 0.053395 , 0.052979 , 0.007496 , 0.000949 , 0 , 0.000137 , 0.028439 , 0.035734 , 0.041583 , 0.054524 , 0.038343 , 0.001041 
 336 , 0.067708 , 0.039201 , 0.024147 , 0.016428 , 0.032441 , 0.00927 , 0.054321 , 0.050798 , 0.055705 , 0.05998 , 0.015618 , 0.005543 , 0 , 0.000748 , 0.033993 , 0.035093 , 0.041226 , 0.056514 , 0.048082 , 0.005048 
 337 , 0.057527 , 0.043529 , 0.031695 , 0.017556 , 0.033519 , 0.013693 , 0.052855 , 0.05322 , 0.056546 , 0.064386 , 0.020669 , 0.009964 , 0 , 0.001262 , 0.037168 , 0.034181 , 0.040375 , 0.056618 , 0.055866 , 0.007669 
 338 , 0.050901 , 0.046874 , 0.037448 , 0.018057 , 0.033829 , 0.016478 , 0.051226 , 0.054375 , 0.056564 , 0.067117 , 0.023894 , 0.014309 , 0 , 0.001698 , 0.038954 , 0.033178 , 0.039323 , 0.05588 , 0.062151 , 0.009429 
 339 , 0.05225 , 0.047137 , 0.04001 , 0.022372 , 0.036285 , 0.020124 , 0.049258 , 0.051805 , 0.055626 , 0.06404 , 0.026822 , 0.018537 , 0.002764 , 0.004338 , 0.040389 , 0.033422 , 0.041923 , 0.060025 , 0.055812 , 0.011108 
 340 , 0.054261 , 0.046719 , 0.041397 , 0.026164 , 0.038684 , 0.023436 , 0.047399 , 0.049166 , 0.054465 , 0.06069 , 0.029209 , 0.021247 , 0.005292 , 0.007019 , 0.041369 , 0.03372 , 0.044393 , 0.065078 , 0.049376 , 0.012608 
 341 , 0.055907 , 0.046152 , 0.042234 , 0.028933 , 0.040702 , 0.026232 , 0.04573 , 0.04692 , 0.053265 , 0.057847 , 0.031114 , 0.022904 , 0.007194 , 0.009329 , 0.042009 , 0.033934 , 0.046215 , 0.070437 , 0.044452 , 0.013925 
 342 , 0.055172 , 0.045993 , 0.040123 , 0.029901 , 0.040872 , 0.028168 , 0.044696 , 0.04616 , 0.053199 , 0.056257 , 0.032024 , 0.024048 , 0.00898 , 0.010413 , 0.041541 , 0.034017 , 0.047769 , 0.071752 , 0.043651 , 0.015143 
 343 , 0.052303 , 0.046183 , 0.035923 , 0.029356 , 0.03929 , 0.029288 , 0.044156 , 0.046668 , 0.05423 , 0.055623 , 0.032041 , 0.02492 , 0.010813 , 0.010289 , 0.040092 , 0.033902 , 0.049266 , 0.068543 , 0.046329 , 0.016075 
 344 , 0.04979 , 0.046157 , 0.032666 , 0.02879 , 0.037856 , 0.030215 , 0.043526 , 0.047078 , 0.055113 , 0.054894 , 0.032048 , 0.025543 , 0.012366 , 0.010132 , 0.038751 , 0.033588 , 0.050644 , 0.065669 , 0.04855 , 0.016638 
 345 , 0.047979 , 0.046085 , 0.030582 , 0.028447 , 0.036821 , 0.030966 , 0.043216 , 0.047454 , 0.055862 , 0.054395 , 0.032163 , 0.025899 , 0.013727 , 0.01017 , 0.037745 , 0.033248 , 0.051574 , 0.06287 , 0.050563 , 0.017006 
 346 , 0.050545 , 0.047057 , 0.034438 , 0.03061 , 0.038901 , 0.031582 , 0.046831 , 0.048547 , 0.056735 , 0.056859 , 0.033868 , 0.025188 , 0.01528 , 0.012647 , 0.039404 , 0.033814 , 0.049271 , 0.058709 , 0.053995 , 0.017658 
 347 , 0.052921 , 0.047736 , 0.038251 , 0.03249 , 0.040602 , 0.031931 , 0.050304 , 0.049318 , 0.05727 , 0.059032 , 0.035156 , 0.024532 , 0.016611 , 0.014719 , 0.040685 , 0.034126 , 0.047233 , 0.055244 , 0.057145 , 0.01814 
 348 , 0.055142 , 0.048196 , 0.042062 , 0.034137 , 0.042003 , 0.032092 , 0.05367 , 0.049849 , 0.057559 , 0.060965 , 0.036129 , 0.023927 , 0.017763 , 0.016466 , 0.041674 , 0.03426 , 0.045417 , 0.052306 , 0.060061 , 0.018495 
 349 , 0.054777 , 0.048221 , 0.042538 , 0.034377 , 0.042092 , 0.031681 , 0.053534 , 0.050282 , 0.056268 , 0.059101 , 0.035248 , 0.024382 , 0.017854 , 0.016912 , 0.040842 , 0.033043 , 0.044981 , 0.051322 , 0.058853 , 0.019179 
 350 , 0.053475 , 0.048062 , 0.041675 , 0.034056 , 0.041684 , 0.031081 , 0.052094 , 0.050645 , 0.054528 , 0.056194 , 0.033824 , 0.025153 , 0.017547 , 0.016819 , 0.039456 , 0.031514 , 0.044977 , 0.050973 , 0.056322 , 0.019919 
 351 , 0.05227 , 0.047868 , 0.040866 , 0.033711 , 0.04127 , 0.030499 , 0.050776 , 0.050939 , 0.052961 , 0.053703 , 0.032568 , 0.025807 , 0.01725 , 0.01667 , 0.038214 , 0.030186 , 0.044892 , 0.050585 , 0.054103 , 0.020554 
 352 , 0.05118 , 0.047417 , 0.039751 , 0.033037 , 0.040706 , 0.030134 , 0.049784 , 0.050979 , 0.051895 , 0.051877 , 0.032067 , 0.026191 , 0.016918 , 0.016769 , 0.037905 , 0.029941 , 0.044557 , 0.050319 , 0.05225 , 0.021302 
 353 , 0.050244 , 0.046553 , 0.038125 , 0.031838 , 0.039899 , 0.030155 , 0.049306 , 0.050616 , 0.051627 , 0.050874 , 0.032823 , 0.026179 , 0.01652 , 0.017392 , 0.039231 , 0.031633 , 0.043867 , 0.050319 , 0.050832 , 0.022396 
 354 , 0.049387 , 0.045761 , 0.036727 , 0.030793 , 0.039163 , 0.030153 , 0.048846 , 0.050261 , 0.051348 , 0.049952 , 0.033465 , 0.026149 , 0.016158 , 0.017981 , 0.04043 , 0.033354 , 0.043228 , 0.050306 , 0.049568 , 0.023433 
 355 , 0.048598 , 0.045032 , 0.035509 , 0.029873 , 0.038488 , 0.030132 , 0.048404 , 0.049913 , 0.051063 , 0.049103 , 0.034011 , 0.026104 , 0.015829 , 0.018538 , 0.04152 , 0.035108 , 0.042635 , 0.050283 , 0.048433 , 0.024418 
 356 , 0.05037 , 0.043427 , 0.035076 , 0.030223 , 0.03869 , 0.028433 , 0.046331 , 0.048483 , 0.049738 , 0.047706 , 0.033702 , 0.025822 , 0.015508 , 0.018986 , 0.040754 , 0.034093 , 0.042327 , 0.049977 , 0.047257 , 0.022915 
 357 , 0.052293 , 0.04197 , 0.034708 , 0.030607 , 0.038918 , 0.026898 , 0.044422 , 0.047145 , 0.048489 , 0.046425 , 0.033376 , 0.025551 , 0.015224 , 0.019404 , 0.03996 , 0.033061 , 0.042049 , 0.049673 , 0.046169 , 0.021543 
 358 , 0.054234 , 0.040679 , 0.034365 , 0.030964 , 0.03913 , 0.02557 , 0.042729 , 0.045937 , 0.047354 , 0.045274 , 0.033076 , 0.025302 , 0.014971 , 0.019797 , 0.039226 , 0.032142 , 0.041785 , 0.049385 , 0.045166 , 0.020378 
 359 , 0.053332 , 0.039909 , 0.034077 , 0.030717 , 0.03877 , 0.025464 , 0.041974 , 0.045791 , 0.046444 , 0.0444 , 0.032663 , 0.025508 , 0.015285 , 0.019348 , 0.03875 , 0.031222 , 0.041724 , 0.048476 , 0.044582 , 0.019913 
 360 , 0.050637 , 0.039479 , 0.033824 , 0.030078 , 0.03804 , 0.026158 , 0.041821 , 0.046353 , 0.045699 , 0.043719 , 0.032184 , 0.026026 , 0.015993 , 0.018385 , 0.03845 , 0.030336 , 0.04179 , 0.047208 , 0.044278 , 0.019879 
 361 , 0.048322 , 0.039074 , 0.03358 , 0.029494 , 0.037372 , 0.026819 , 0.041667 , 0.046877 , 0.045012 , 0.043089 , 0.031739 , 0.026519 , 0.016679 , 0.017538 , 0.038165 , 0.029545 , 0.041834 , 0.046069 , 0.043984 , 0.01984 
 362 , 0.046733 , 0.038786 , 0.033295 , 0.02902 , 0.036768 , 0.027184 , 0.041629 , 0.047083 , 0.044497 , 0.04259 , 0.031342 , 0.026585 , 0.017208 , 0.017066 , 0.037756 , 0.028977 , 0.041725 , 0.045127 , 0.043589 , 0.019871 
