JUN24SHB100005.spu,JUN24SHB100004.spu,
Wavelength,JUN24SHB100007.spu,JUN24SHB100008.spu,JUN24SHB100009.spu,JUN24SHB100010.spu,JUN24SHB100011.spu,JUN24SHB100012.spu,JUN24SHB100013.spu,JUN24SHB100014.spu,JUN24SHB100015.spu,JUN24SHB100016.spu,JUN24SHB100017.spu,JUN24SHB100018.spu,JUN24SHB100019.spu,JUN24SHB100020.spu
  (nm),6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 
  time  ,33:46 PM,33:56 PM,34:04 PM,34:15 PM,34:31 PM,35:18 PM,35:25 PM,35:35 PM,35:44 PM,35:55 PM,36:31 PM,36:40 PM,36:51 PM,36:59 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,
 344 , 0 , 0 , 0.00165 , 0.003021 , 0.003116 , 0.009682 , 0 , 0.003236 , 0.005434 , 0.009133 , 0.006743 , 0.006463 , 0.013838 , 0.001463 
 345 , 0.000089 , 0.000028 , 0.002209 , 0.003074 , 0.003849 , 0.010754 , 0.000054 , 0.00455 , 0.005419 , 0.009187 , 0.007449 , 0.007733 , 0.014555 , 0.001839 
 346 , 0.001251 , 0.000438 , 0.002732 , 0.004436 , 0.004762 , 0.010937 , 0.000775 , 0.004711 , 0.00707 , 0.010935 , 0.007838 , 0.007866 , 0.016956 , 0.003826 
 347 , 0.002252 , 0.000869 , 0.003193 , 0.005571 , 0.005669 , 0.011094 , 0.001424 , 0.00484 , 0.008971 , 0.01275 , 0.008187 , 0.007982 , 0.019104 , 0.005508 
 348 , 0.003123 , 0.001318 , 0.003601 , 0.006533 , 0.006567 , 0.01123 , 0.002011 , 0.004946 , 0.011175 , 0.014629 , 0.008502 , 0.008085 , 0.021034 , 0.006952 
 349 , 0.003536 , 0.001844 , 0.004203 , 0.007045 , 0.006918 , 0.011852 , 0.002697 , 0.005289 , 0.011186 , 0.015002 , 0.00929 , 0.008147 , 0.021313 , 0.007578 
 350 , 0.003717 , 0.002307 , 0.004812 , 0.007354 , 0.007004 , 0.012636 , 0.003314 , 0.00567 , 0.010401 , 0.014735 , 0.010207 , 0.008151 , 0.020958 , 0.007834 
 351 , 0.00384 , 0.002684 , 0.005333 , 0.007612 , 0.007049 , 0.013383 , 0.003811 , 0.005987 , 0.009772 , 0.014466 , 0.011037 , 0.008111 , 0.02062 , 0.008018 
 352 , 0.004027 , 0.002979 , 0.005717 , 0.007704 , 0.007072 , 0.013738 , 0.004158 , 0.006382 , 0.009633 , 0.014637 , 0.011365 , 0.008213 , 0.020158 , 0.008344 
 353 , 0.004403 , 0.003211 , 0.005916 , 0.007531 , 0.007081 , 0.013385 , 0.004341 , 0.007006 , 0.010275 , 0.015671 , 0.010908 , 0.008631 , 0.019658 , 0.009027 
 354 , 0.004752 , 0.003431 , 0.006096 , 0.007379 , 0.007082 , 0.013086 , 0.004511 , 0.007588 , 0.010871 , 0.016662 , 0.010572 , 0.009019 , 0.019354 , 0.009663 
 355 , 0.005077 , 0.003638 , 0.00626 , 0.007244 , 0.007077 , 0.012829 , 0.004671 , 0.008132 , 0.011427 , 0.01761 , 0.010319 , 0.009379 , 0.019174 , 0.010256 
 356 , 0.004856 , 0.003655 , 0.00644 , 0.007709 , 0.007386 , 0.013424 , 0.004681 , 0.008164 , 0.011487 , 0.01725 , 0.011398 , 0.009202 , 0.020016 , 0.009196 
 357 , 0.004598 , 0.003662 , 0.006606 , 0.008188 , 0.007696 , 0.014034 , 0.004688 , 0.008161 , 0.011515 , 0.016878 , 0.012648 , 0.009017 , 0.020888 , 0.008318 
 358 , 0.004333 , 0.003668 , 0.006759 , 0.00865 , 0.007988 , 0.014614 , 0.004697 , 0.008153 , 0.011539 , 0.016552 , 0.014016 , 0.00885 , 0.021739 , 0.007627 
 359 , 0.004565 , 0.003855 , 0.007176 , 0.009185 , 0.008432 , 0.014672 , 0.004828 , 0.008335 , 0.012098 , 0.017105 , 0.014406 , 0.009195 , 0.021951 , 0.008034 
 360 , 0.005169 , 0.004171 , 0.007786 , 0.009764 , 0.008977 , 0.014396 , 0.005039 , 0.008646 , 0.013049 , 0.018281 , 0.014071 , 0.009905 , 0.021753 , 0.00922 
 361 , 0.005761 , 0.004479 , 0.008377 , 0.010318 , 0.009498 , 0.014167 , 0.005236 , 0.008936 , 0.013983 , 0.019431 , 0.013816 , 0.010597 , 0.021615 , 0.010438 
