JUN24SHB200005.spu,JUN24SHB200004.spu,JUN24SHB200003.spu,
Wavelength,JUN24SHB200006.spu,JUN24SHB200007.spu,JUN24SHB200008.spu,JUN24SHB200009.spu,JUN24SHB200010.spu,JUN24SHB200011.spu,JUN24SHB200012.spu,JUN24SHB200013.spu,JUN24SHB200014.spu,JUN24SHB200015.spu,JUN24SHB200016.spu,JUN24SHB200017.spu,JUN24SHB200018.spu,JUN24SHB200019.spu,JUN24SHB200020.spu,JUN24SHB200021.spu,JUN24SHB200022.spu,JUN24SHB200023.spu,JUN24SHB200024.spu,JUN24SHB200025.spu
  (nm),6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 
  time  ,01:50 PM,01:57 PM,02:05 PM,02:12 PM,02:20 PM,02:46 PM,02:51 PM,02:56 PM,03:02 PM,03:10 PM,03:20 PM,03:28 PM,03:33 PM,03:38 PM,03:46 PM,06:31 PM,06:39 PM,06:46 PM,06:53 PM,07:02 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 311 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 312 , 0 , 1.260186 , 1.260186 , 0 , 1.260186 , 1.260186 , 1.260186 , 1.260186 , 1.260186 , 0 , 1.260186 , 1.260186 , 1.260186 , 1.260186 , 1.260186 , 1.260186 , 1.260186 , 1.260186 , 1.260186 , 1.260186 
 313 , 0 , 1.729086 , 1.729086 , 0 , 1.729086 , 1.729086 , 1.729086 , 1.729086 , 1.729086 , 0 , 1.729086 , 1.729086 , 1.729086 , 1.729086 , 1.729086 , 1.729086 , 1.729086 , 1.729086 , 1.729086 , 1.729086 
 314 , 0 , 1.960644 , 1.960644 , 0 , 1.960644 , 1.960644 , 1.960644 , 1.960644 , 1.960644 , 0 , 1.960644 , 1.960644 , 1.960644 , 1.960644 , 1.960644 , 1.960644 , 1.960644 , 1.960644 , 1.960644 , 1.960644 
 315 , 0 , 1.865153 , 1.865153 , 0 , 1.865153 , 0 , 0 , 0 , 1.865153 , 0 , 0 , 1.865153 , 0 , 1.865153 , 0 , 1.865153 , 1.865153 , 1.865153 , 1.865153 , 1.865153 
 316 , 0 , 1.454078 , 1.454078 , 0 , 1.454078 , 0 , 0 , 0 , 1.454078 , 0 , 0 , 1.454078 , 0 , 1.454078 , 0 , 1.454078 , 1.454078 , 1.454078 , 1.454078 , 1.454078 
 317 , 0 , 0.83321 , 0.83321 , 0 , 0.83321 , 0 , 0 , 0 , 0.83321 , 0 , 0 , 0.83321 , 0 , 0.83321 , 0 , 0.83321 , 0.83321 , 0.83321 , 0.83321 , 0.83321 
 318 , 0 , 0 , 0.255991 , 0 , 0 , 0 , 0 , 0 , 0.255991 , 0 , 0 , 0 , 0 , 0.255991 , 0 , 0.255991 , 0 , 0.255991 , 0.255991 , 0.255991 
 319 , 0 , 0 , 1.107599 , 0 , 0 , 0 , 0 , 0 , 1.107599 , 0 , 0 , 0 , 0 , 1.107599 , 0 , 1.107599 , 0 , 1.107599 , 1.107599 , 1.107599 
 320 , 0 , 0 , 1.469789 , 0 , 0 , 0 , 0 , 0 , 1.469789 , 0 , 0 , 0 , 0 , 1.469789 , 0 , 1.469789 , 0 , 1.469789 , 1.469789 , 1.469789 
 321 , 0 , 0 , 1.670291 , 0 , 0 , 0 , 0 , 0 , 1.670291 , 0 , 0 , 0 , 0 , 1.670291 , 0 , 1.670291 , 0 , 1.670291 , 1.670291 , 1.670291 
 322 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.942473 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.090958 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.764588 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.001812 , 0.001557 , 0 , 0.000745 
 330 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003377 , 0.002596 , 0 , 0.001367 
