JUN24SHB100005.spu,JUN24SHB100004.spu,
Wavelength,JUN24SHB100021.spu,JUN24SHB100020.spu,JUN24SHB100019.spu,JUN24SHB100018.spu
  (nm),6/24/2016 ,6/24/2016 ,6/24/2016 ,6/24/2016 
  time  ,37:08 PM,36:59 PM,36:51 PM,36:40 PM
temp C,SW,SW,SW,SW
,,,,
 408 , 0.011565 , 0.015262 , 0.032361 , 0.017029 
 409 , 0.011721 , 0.015476 , 0.032651 , 0.017151 
 410 , 0.011769 , 0.015677 , 0.032959 , 0.017366 
 411 , 0.011814 , 0.015865 , 0.033251 , 0.017567 
 412 , 0.011852 , 0.016044 , 0.033527 , 0.017759 
 413 , 0.012031 , 0.016267 , 0.033799 , 0.017922 
 414 , 0.012273 , 0.016505 , 0.034065 , 0.018071 
 415 , 0.012509 , 0.016735 , 0.034324 , 0.018213 
 416 , 0.012748 , 0.01694 , 0.034589 , 0.018374 
 417 , 0.013017 , 0.017099 , 0.034901 , 0.018603 
 418 , 0.013281 , 0.017254 , 0.035203 , 0.018823 
 419 , 0.013534 , 0.017402 , 0.035496 , 0.019035 
 420 , 0.01363 , 0.017632 , 0.035872 , 0.019279 
 421 , 0.01371 , 0.017863 , 0.03625 , 0.019516 
 422 , 0.013788 , 0.018089 , 0.036618 , 0.019753 
 423 , 0.013856 , 0.018294 , 0.036948 , 0.019902 
 424 , 0.013926 , 0.01849 , 0.037244 , 0.019986 
 425 , 0.013991 , 0.018678 , 0.03754 , 0.020065 
 426 , 0.014059 , 0.01887 , 0.037819 , 0.020166 
 427 , 0.014154 , 0.019075 , 0.038031 , 0.020361 
 428 , 0.014245 , 0.01928 , 0.038243 , 0.020559 
 429 , 0.014335 , 0.019478 , 0.03845 , 0.020754 
 430 , 0.014624 , 0.019772 , 0.038889 , 0.021057 
 431 , 0.014952 , 0.020084 , 0.039381 , 0.021385 
 432 , 0.015278 , 0.020391 , 0.039861 , 0.021708 
 433 , 0.015629 , 0.020814 , 0.040557 , 0.022133 
 434 , 0.016009 , 0.02138 , 0.041534 , 0.022694 
 435 , 0.016395 , 0.021945 , 0.042504 , 0.023256 
 436 , 0.016774 , 0.022511 , 0.04347 , 0.02381 
 437 , 0.017127 , 0.023067 , 0.044404 , 0.024311 
 438 , 0.017484 , 0.023625 , 0.04534 , 0.02481 
 439 , 0.017841 , 0.024188 , 0.046274 , 0.025316 
 440 , 0.018191 , 0.024621 , 0.047058 , 0.025743 
 441 , 0.01854 , 0.025008 , 0.047777 , 0.026136 
 442 , 0.018887 , 0.025396 , 0.048498 , 0.026535 
 443 , 0.019222 , 0.025773 , 0.049208 , 0.026968 
 444 , 0.019539 , 0.026145 , 0.049889 , 0.027463 
 445 , 0.019852 , 0.026518 , 0.050568 , 0.027958 
 446 , 0.020167 , 0.026888 , 0.051249 , 0.028452 
 447 , 0.020342 , 0.027128 , 0.051743 , 0.028707 
 448 , 0.020515 , 0.027371 , 0.05223 , 0.028964 
 449 , 0.020684 , 0.02761 , 0.052719 , 0.029212 
 450 , 0.020821 , 0.027742 , 0.053013 , 0.029339 
 451 , 0.02093 , 0.027806 , 0.053193 , 0.029393 
 452 , 0.021045 , 0.027875 , 0.053367 , 0.029441 
 453 , 0.021116 , 0.027934 , 0.053481 , 0.029495 
 454 , 0.021069 , 0.027983 , 0.053399 , 0.029564 
 455 , 0.021018 , 0.028026 , 0.053322 , 0.029632 
 456 , 0.020976 , 0.028072 , 0.053238 , 0.029698 
 457 , 0.02099 , 0.027992 , 0.053275 , 0.029674 
 458 , 0.021013 , 0.027901 , 0.053325 , 0.029644 
 459 , 0.021036 , 0.027811 , 0.053373 , 0.029608 
 460 , 0.020946 , 0.027717 , 0.053288 , 0.029548 
 461 , 0.020747 , 0.02762 , 0.05309 , 0.029467 
 462 , 0.020549 , 0.027523 , 0.052891 , 0.02938 
 463 , 0.020361 , 0.027414 , 0.052685 , 0.029282 
 464 , 0.020226 , 0.027271 , 0.052457 , 0.029107 
 465 , 0.020087 , 0.027133 , 0.052227 , 0.028928 
 466 , 0.019947 , 0.026994 , 0.051997 , 0.028753 
 467 , 0.019885 , 0.026865 , 0.051816 , 0.028611 
 468 , 0.019841 , 0.026746 , 0.05165 , 0.028476 
 469 , 0.019797 , 0.026623 , 0.051478 , 0.028341 
 470 , 0.019754 , 0.026538 , 0.05142 , 0.02831 
 471 , 0.019711 , 0.026497 , 0.051488 , 0.028411 
 472 , 0.019673 , 0.026456 , 0.051552 , 0.028512 
 473 , 0.019636 , 0.02643 , 0.051641 , 0.028603 
 474 , 0.019643 , 0.026555 , 0.05191 , 0.028665 
 475 , 0.019651 , 0.026681 , 0.05218 , 0.02873 
 476 , 0.019653 , 0.026804 , 0.052455 , 0.02879 
 477 , 0.019694 , 0.026902 , 0.052605 , 0.02885 
 478 , 0.019751 , 0.02699 , 0.052709 , 0.028912 
 479 , 0.019804 , 0.027078 , 0.052814 , 0.028975 
 480 , 0.019816 , 0.027115 , 0.052871 , 0.029014 
 481 , 0.019752 , 0.027047 , 0.052841 , 0.02901 
 482 , 0.019689 , 0.026983 , 0.05281 , 0.02901 
 483 , 0.01963 , 0.026915 , 0.052779 , 0.029004 
 484 , 0.019708 , 0.026811 , 0.052718 , 0.028972 
 485 , 0.019792 , 0.026706 , 0.052661 , 0.028942 
 486 , 0.01987 , 0.0266 , 0.052602 , 0.028911 
 487 , 0.019883 , 0.026719 , 0.052813 , 0.029029 
 488 , 0.019854 , 0.026951 , 0.053153 , 0.029227 
 489 , 0.01983 , 0.027183 , 0.053494 , 0.029426 
 490 , 0.01992 , 0.027446 , 0.053933 , 0.02967 
 491 , 0.020292 , 0.027767 , 0.054598 , 0.030027 
 492 , 0.020667 , 0.028094 , 0.055261 , 0.030385 
 493 , 0.021039 , 0.028419 , 0.055924 , 0.03074 
 494 , 0.02135 , 0.028711 , 0.056483 , 0.031131 
 495 , 0.021657 , 0.029005 , 0.057036 , 0.031524 
 496 , 0.021961 , 0.029296 , 0.057583 , 0.031914 
 497 , 0.022243 , 0.0296 , 0.05815 , 0.032351 
 498 , 0.022504 , 0.029912 , 0.05873 , 0.032824 
 499 , 0.022761 , 0.030225 , 0.059313 , 0.033294 
 500 , 0.023086 , 0.030561 , 0.059919 , 0.033777 
 501 , 0.023619 , 0.030964 , 0.060622 , 0.034298 
 502 , 0.024157 , 0.03137 , 0.06133 , 0.034814 
 503 , 0.024693 , 0.031774 , 0.062032 , 0.035333 
 504 , 0.025262 , 0.032449 , 0.062884 , 0.036118 
 505 , 0.025841 , 0.033162 , 0.063753 , 0.036941 
 506 , 0.02642 , 0.033876 , 0.064622 , 0.037765 
 507 , 0.027118 , 0.034526 , 0.065511 , 0.038623 
 508 , 0.027929 , 0.035122 , 0.066413 , 0.039512 
 509 , 0.028742 , 0.035712 , 0.067317 , 0.040399 
 510 , 0.029562 , 0.036317 , 0.068154 , 0.041286 
 511 , 0.030408 , 0.036971 , 0.068654 , 0.042183 
 512 , 0.031254 , 0.037628 , 0.06916 , 0.043069 
 513 , 0.032102 , 0.038286 , 0.069662 , 0.043963 
 514 , 0.033109 , 0.039065 , 0.070292 , 0.044962 
 515 , 0.034157 , 0.039875 , 0.070949 , 0.045992 
 516 , 0.035203 , 0.040687 , 0.071602 , 0.047025 
 517 , 0.036446 , 0.041645 , 0.072415 , 0.048251 
 518 , 0.037924 , 0.042786 , 0.073408 , 0.049706 
 519 , 0.0394 , 0.043921 , 0.074402 , 0.051164 
 520 , 0.040904 , 0.04509 , 0.075421 , 0.052666 
 521 , 0.042604 , 0.046481 , 0.076676 , 0.054533 
 522 , 0.044303 , 0.047871 , 0.07793 , 0.056402 
 523 , 0.045998 , 0.049256 , 0.079182 , 0.058275 
 524 , 0.047851 , 0.050764 , 0.08057 , 0.060133 
 525 , 0.049758 , 0.052313 , 0.082 , 0.061994 
 526 , 0.051671 , 0.053865 , 0.083429 , 0.063845 
 527 , 0.053516 , 0.055365 , 0.084798 , 0.065672 
 528 , 0.05527 , 0.056797 , 0.086054 , 0.06745 
 529 , 0.057019 , 0.058235 , 0.087313 , 0.069232 
 530 , 0.058759 , 0.059659 , 0.088567 , 0.071005 
 531 , 0.060299 , 0.060938 , 0.089689 , 0.072678 
 532 , 0.061837 , 0.062222 , 0.090802 , 0.074347 
 533 , 0.063372 , 0.0635 , 0.091921 , 0.07602 
 534 , 0.064705 , 0.064494 , 0.092848 , 0.077363 
 535 , 0.065942 , 0.065355 , 0.093703 , 0.078556 
 536 , 0.067182 , 0.066222 , 0.094561 , 0.079743 
 537 , 0.068297 , 0.067065 , 0.095364 , 0.080888 
 538 , 0.069162 , 0.067885 , 0.096068 , 0.08195 
 539 , 0.070025 , 0.068709 , 0.096768 , 0.083012 
 540 , 0.070888 , 0.069532 , 0.09747 , 0.084073 
 541 , 0.071674 , 0.070265 , 0.098207 , 0.085004 
 542 , 0.07245 , 0.071001 , 0.098936 , 0.085933 
 543 , 0.073224 , 0.071741 , 0.099673 , 0.086861 
 544 , 0.073989 , 0.072431 , 0.100361 , 0.087761 
 545 , 0.074759 , 0.073084 , 0.101018 , 0.088644 
 546 , 0.075532 , 0.073746 , 0.101677 , 0.089525 
 547 , 0.076223 , 0.074345 , 0.102327 , 0.09035 
 548 , 0.076685 , 0.0748 , 0.102944 , 0.091053 
 549 , 0.077147 , 0.075253 , 0.10356 , 0.091763 
 550 , 0.077609 , 0.075714 , 0.104177 , 0.092468 
 551 , 0.077829 , 0.075907 , 0.104544 , 0.092836 
 552 , 0.07802 , 0.076088 , 0.104903 , 0.093192 
 553 , 0.078219 , 0.076269 , 0.105264 , 0.093541 
 554 , 0.078075 , 0.076303 , 0.10542 , 0.093631 
 555 , 0.077687 , 0.076231 , 0.105421 , 0.093528 
 556 , 0.077299 , 0.076158 , 0.105421 , 0.093425 
 557 , 0.076888 , 0.076013 , 0.105405 , 0.093256 
 558 , 0.076368 , 0.07562 , 0.105351 , 0.092862 
 559 , 0.075847 , 0.075226 , 0.105291 , 0.092463 
 560 , 0.07532 , 0.074832 , 0.105238 , 0.092074 
 561 , 0.074619 , 0.0743 , 0.105143 , 0.091558 
 562 , 0.073899 , 0.073746 , 0.105042 , 0.091022 
 563 , 0.073174 , 0.073194 , 0.104933 , 0.090487 
 564 , 0.07227 , 0.072601 , 0.104781 , 0.089862 
 565 , 0.071218 , 0.071968 , 0.104591 , 0.089163 
 566 , 0.070159 , 0.071337 , 0.104399 , 0.088474 
 567 , 0.069121 , 0.070683 , 0.104201 , 0.087728 
 568 , 0.068155 , 0.069932 , 0.103966 , 0.086773 
 569 , 0.067182 , 0.069178 , 0.10373 , 0.085824 
 570 , 0.06621 , 0.068428 , 0.103489 , 0.084866 
 571 , 0.065126 , 0.067609 , 0.103138 , 0.083939 
 572 , 0.064016 , 0.066772 , 0.102765 , 0.083017 
 573 , 0.062908 , 0.06594 , 0.102394 , 0.082093 
 574 , 0.061849 , 0.065139 , 0.102036 , 0.081207 
 575 , 0.060838 , 0.064373 , 0.101711 , 0.080357 
 576 , 0.059821 , 0.063605 , 0.101384 , 0.079503 
 577 , 0.058819 , 0.062834 , 0.101037 , 0.078639 
 578 , 0.057914 , 0.062057 , 0.100561 , 0.077722 
 579 , 0.057017 , 0.061284 , 0.100091 , 0.076806 
 580 , 0.056108 , 0.060511 , 0.099618 , 0.075888 
 581 , 0.05508 , 0.059728 , 0.098782 , 0.074848 
 582 , 0.054021 , 0.05895 , 0.097843 , 0.073773 
 583 , 0.05296 , 0.058163 , 0.096909 , 0.072698 
 584 , 0.051932 , 0.057245 , 0.095863 , 0.071521 
 585 , 0.05094 , 0.056171 , 0.094713 , 0.070235 
 586 , 0.049952 , 0.055093 , 0.09356 , 0.068953 
 587 , 0.04896 , 0.054041 , 0.092404 , 0.067692 
 588 , 0.047978 , 0.053189 , 0.091225 , 0.066622 
 589 , 0.046993 , 0.05234 , 0.090044 , 0.065555 
 590 , 0.046008 , 0.051485 , 0.088871 , 0.064483 
 591 , 0.045256 , 0.050831 , 0.08804 , 0.063595 
 592 , 0.044571 , 0.050234 , 0.087311 , 0.06277 
 593 , 0.043886 , 0.049634 , 0.086578 , 0.06194 
 594 , 0.043316 , 0.049089 , 0.085913 , 0.061221 
 595 , 0.042901 , 0.048628 , 0.085332 , 0.06065 
 596 , 0.042487 , 0.04817 , 0.084747 , 0.06007 
 597 , 0.042071 , 0.047708 , 0.084173 , 0.059504 
 598 , 0.041586 , 0.047269 , 0.083688 , 0.059021 
 599 , 0.041101 , 0.046823 , 0.083199 , 0.058534 
 600 , 0.040612 , 0.046385 , 0.082712 , 0.058043 
 601 , 0.040209 , 0.045985 , 0.082317 , 0.057511 
 602 , 0.039844 , 0.04561 , 0.081955 , 0.056962 
 603 , 0.039475 , 0.045231 , 0.081597 , 0.056411 
 604 , 0.039022 , 0.044866 , 0.081222 , 0.055865 
 605 , 0.038453 , 0.044524 , 0.080836 , 0.055345 
 606 , 0.037881 , 0.044178 , 0.080449 , 0.054817 
 607 , 0.037316 , 0.043836 , 0.080064 , 0.054297 
 608 , 0.036926 , 0.043464 , 0.079662 , 0.053804 
 609 , 0.036538 , 0.043088 , 0.079251 , 0.053311 
 610 , 0.036146 , 0.042713 , 0.078839 , 0.052814 
 611 , 0.035808 , 0.042318 , 0.078629 , 0.052405 
 612 , 0.035487 , 0.041915 , 0.07851 , 0.052042 
 613 , 0.035162 , 0.041508 , 0.078389 , 0.05168 
 614 , 0.034813 , 0.041183 , 0.07832 , 0.051356 
 615 , 0.034415 , 0.041 , 0.078342 , 0.051106 
 616 , 0.034016 , 0.040817 , 0.078361 , 0.050855 
 617 , 0.033616 , 0.040633 , 0.078385 , 0.050599 
 618 , 0.033441 , 0.040489 , 0.078443 , 0.050349 
 619 , 0.033267 , 0.040344 , 0.078497 , 0.050103 
 620 , 0.033092 , 0.0402 , 0.078553 , 0.049856 
 621 , 0.032912 , 0.040097 , 0.07855 , 0.049714 
 622 , 0.032726 , 0.040009 , 0.078522 , 0.049615 
 623 , 0.032541 , 0.039921 , 0.078488 , 0.049516 
 624 , 0.032411 , 0.039839 , 0.078523 , 0.049444 
 625 , 0.032391 , 0.039779 , 0.078684 , 0.049451 
 626 , 0.032373 , 0.039716 , 0.07884 , 0.049454 
 627 , 0.03236 , 0.039652 , 0.079001 , 0.049459 
 628 , 0.032301 , 0.039576 , 0.079162 , 0.04941 
 629 , 0.032241 , 0.039493 , 0.07933 , 0.049356 
 630 , 0.032177 , 0.039415 , 0.079494 , 0.049307 
 631 , 0.032094 , 0.039412 , 0.079637 , 0.04929 
 632 , 0.032001 , 0.039443 , 0.079781 , 0.049295 
 633 , 0.031908 , 0.039479 , 0.079925 , 0.049305 
 634 , 0.031819 , 0.039462 , 0.080068 , 0.049262 
 635 , 0.03174 , 0.03933 , 0.080192 , 0.04911 
 636 , 0.031659 , 0.039197 , 0.080309 , 0.048957 
 637 , 0.031577 , 0.039063 , 0.080431 , 0.048808 
 638 , 0.031378 , 0.038878 , 0.080479 , 0.048642 
 639 , 0.031186 , 0.038695 , 0.080529 , 0.048474 
 640 , 0.030988 , 0.038512 , 0.080584 , 0.048305 
 641 , 0.03064 , 0.038334 , 0.080651 , 0.048016 
 642 , 0.030204 , 0.03815 , 0.080731 , 0.047661 
 643 , 0.029772 , 0.037961 , 0.080811 , 0.047301 
 644 , 0.029405 , 0.037767 , 0.080878 , 0.046923 
 645 , 0.02921 , 0.037538 , 0.080904 , 0.046499 
 646 , 0.02901 , 0.037313 , 0.080921 , 0.046075 
 647 , 0.028811 , 0.037082 , 0.080943 , 0.045641 
 648 , 0.028512 , 0.036918 , 0.08086 , 0.045396 
 649 , 0.028205 , 0.036758 , 0.080772 , 0.045157 
 650 , 0.027893 , 0.036597 , 0.080684 , 0.044912 
 651 , 0.02765 , 0.036397 , 0.080652 , 0.044676 
 652 , 0.027443 , 0.03616 , 0.080652 , 0.044425 
 653 , 0.027241 , 0.035923 , 0.080651 , 0.044174 
 654 , 0.026996 , 0.035709 , 0.080655 , 0.043921 
 655 , 0.026671 , 0.03556 , 0.0807 , 0.04367 
 656 , 0.026351 , 0.035413 , 0.080754 , 0.043414 
 657 , 0.026025 , 0.035266 , 0.080803 , 0.043158 
 658 , 0.025843 , 0.035149 , 0.080884 , 0.042928 
 659 , 0.025668 , 0.035032 , 0.080966 , 0.04271 
 660 , 0.025493 , 0.03492 , 0.081048 , 0.042491 
 661 , 0.025399 , 0.03476 , 0.081089 , 0.042233 
 662 , 0.025346 , 0.034569 , 0.081087 , 0.041933 
 663 , 0.025293 , 0.034382 , 0.08109 , 0.041637 
 664 , 0.025188 , 0.03423 , 0.081108 , 0.041395 
 665 , 0.024935 , 0.034165 , 0.081176 , 0.041268 
 666 , 0.024684 , 0.034099 , 0.081245 , 0.041143 
 667 , 0.024437 , 0.034039 , 0.081318 , 0.041023 
 668 , 0.024328 , 0.033998 , 0.081398 , 0.040828 
 669 , 0.024229 , 0.033962 , 0.081478 , 0.040627 
 670 , 0.024125 , 0.03393 , 0.081557 , 0.040431 
 671 , 0.024122 , 0.033929 , 0.081622 , 0.040366 
 672 , 0.024181 , 0.033951 , 0.081672 , 0.040385 
 673 , 0.024235 , 0.033979 , 0.081721 , 0.040408 
 674 , 0.024324 , 0.034017 , 0.081807 , 0.040471 
 675 , 0.024474 , 0.034074 , 0.081992 , 0.04062 
 676 , 0.024626 , 0.034126 , 0.082171 , 0.040764 
 677 , 0.024779 , 0.034179 , 0.082351 , 0.040914 
 678 , 0.025014 , 0.034361 , 0.08269 , 0.041159 
 679 , 0.025263 , 0.034569 , 0.083061 , 0.041416 
 680 , 0.025513 , 0.034774 , 0.083436 , 0.041681 
 681 , 0.025888 , 0.035173 , 0.083833 , 0.042201 
 682 , 0.026347 , 0.035683 , 0.084249 , 0.042897 
 683 , 0.026814 , 0.036205 , 0.084673 , 0.043602 
 684 , 0.027456 , 0.036835 , 0.085203 , 0.044482 
 685 , 0.028512 , 0.03772 , 0.085984 , 0.045776 
 686 , 0.029592 , 0.038624 , 0.086776 , 0.047091 
 687 , 0.030685 , 0.039546 , 0.087582 , 0.048424 
 688 , 0.032585 , 0.040985 , 0.08865 , 0.050417 
 689 , 0.034508 , 0.042445 , 0.089723 , 0.052435 
 690 , 0.03644 , 0.043906 , 0.090798 , 0.05446 
 691 , 0.038796 , 0.045925 , 0.09215 , 0.057099 
 692 , 0.041382 , 0.048274 , 0.093681 , 0.060091 
 693 , 0.043943 , 0.050592 , 0.095199 , 0.063055 
 694 , 0.046804 , 0.053103 , 0.096747 , 0.066161 
 695 , 0.050439 , 0.0561 , 0.098374 , 0.06966 
 696 , 0.054031 , 0.059063 , 0.099984 , 0.07312 
 697 , 0.057577 , 0.061992 , 0.101578 , 0.076541 
 698 , 0.061894 , 0.065702 , 0.103219 , 0.080587 
 699 , 0.066198 , 0.069407 , 0.104827 , 0.084616 
 700 , 0.07045 , 0.073074 , 0.10642 , 0.088601 
 701 , 0.075144 , 0.077025 , 0.108138 , 0.092749 
 702 , 0.080047 , 0.081099 , 0.109944 , 0.096961 
 703 , 0.084891 , 0.085126 , 0.111732 , 0.101124 
 704 , 0.089769 , 0.089233 , 0.113493 , 0.105273 
 705 , 0.094817 , 0.0936 , 0.11521 , 0.109447 
 706 , 0.09984 , 0.097942 , 0.116912 , 0.113591 
 707 , 0.104827 , 0.102253 , 0.118605 , 0.117706 
 708 , 0.109863 , 0.106709 , 0.120099 , 0.121514 
 709 , 0.114944 , 0.111204 , 0.121602 , 0.125336 
 710 , 0.120045 , 0.115706 , 0.123111 , 0.129166 
 711 , 0.125118 , 0.119995 , 0.124514 , 0.13271 
 712 , 0.130318 , 0.124242 , 0.125906 , 0.136229 
 713 , 0.135619 , 0.12857 , 0.127321 , 0.139811 
 714 , 0.140976 , 0.132971 , 0.128731 , 0.143385 
 715 , 0.146313 , 0.137442 , 0.130085 , 0.14679 
 716 , 0.151781 , 0.142008 , 0.13146 , 0.15024 
 717 , 0.157387 , 0.146681 , 0.132866 , 0.153773 
 718 , 0.163032 , 0.151413 , 0.134426 , 0.157249 
 719 , 0.168749 , 0.156234 , 0.136019 , 0.160801 
 720 , 0.174566 , 0.161138 , 0.137637 , 0.16441 
 721 , 0.180384 , 0.165895 , 0.139222 , 0.167836 
 722 , 0.186138 , 0.170555 , 0.14076 , 0.171178 
 723 , 0.191919 , 0.175243 , 0.142307 , 0.17453 
 724 , 0.197592 , 0.179868 , 0.143847 , 0.177838 
 725 , 0.202944 , 0.184283 , 0.145346 , 0.180989 
 726 , 0.208262 , 0.18867 , 0.146836 , 0.184119 
 727 , 0.213555 , 0.193038 , 0.148321 , 0.187231 
 728 , 0.218577 , 0.197065 , 0.149736 , 0.19008 
 729 , 0.22347 , 0.200989 , 0.151138 , 0.192897 
 730 , 0.228301 , 0.204864 , 0.152525 , 0.195672 
 731 , 0.232708 , 0.208489 , 0.15387 , 0.198278 
 732 , 0.236801 , 0.211969 , 0.155176 , 0.200736 
 733 , 0.240843 , 0.215402 , 0.156463 , 0.203162 
 734 , 0.244631 , 0.218597 , 0.157664 , 0.205389 
 735 , 0.24808 , 0.221463 , 0.158747 , 0.207329 
