"","Research_location","Date","Time","Site","Block","Treatment","ref_filenames","Weather","REP","Spufilename","NDVI(MODIS)","EVI(MODIS)","EVI2(MODIS)","PRI(550Reference)","PRI(570Ref)","WBI","ChlIndex","FileNum","Process_file","key_num","key"
"1","Toolik",2016-05-27,"0.41666666666666669","HIST",NA,"REF1","MAY27HIST00005, MAY27HIST00006, MAY27HIST00007","Overcast skies",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx",NA,"2016-05-27_HISTNA"
"2","Toolik",2016-05-27,"0.41666666666666669","HIST","1","CT",NA,NA,"4","may27hist00016.spu","0.52864314840293425","0.42810327091627071","0.3591398817681295","7.3516043996000396E-2","8.4429073514715278E-2","0.9998501705411782","0.21107673168266342",16,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00016","2016-05-27_HIST00016"
"3","Toolik",2016-05-27,"0.41666666666666669","HIST","1","CT",NA,NA,"5","may27hist00017.spu","0.53486493647070477","0.44942054960194727","0.3812130326234619","7.82692480057363E-2","9.5780050448153256E-2","1.0050815217391305","0.20494226962952622",17,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00017","2016-05-27_HIST00017"
"4","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,NA,"1","may27hist00018.spu","0.46290649362329134","0.34061719586085665","0.2772286920394017","5.6787657552173014E-2","6.2314912555989845E-2","1.0055274255338102","0.17175302435903972",18,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00018","2016-05-27_HIST00018"
"5","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,NA,"2","may27hist00019.spu","0.3205833072959845","0.15860260335281923","0.13426704517855639","4.5778907449946254E-2","4.1806567848660992E-2","0.96222385861561122","8.4485912562065071E-2",19,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00019","2016-05-27_HIST00019"
"6","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,NA,"3","may27hist00020.spu","0.41371727389566576","0.20787765652034879","0.17833725293053371","5.0096433591579191E-2","5.1600058747694938E-2","1.0001758664353044","0.12996830271146045",20,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00020","2016-05-27_HIST00020"
"7","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,NA,"4","may27hist00021.spu","0.37739749362458791","0.21832155084299362","0.18457281817736199","5.2109307414380884E-2","5.2332347610416857E-2","0.96678433497873673","0.11156625938743321",21,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00021","2016-05-27_HIST00021"
"8","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,NA,"5","may27hist00022.spu","0.34560653302391553","0.21317445233606508","0.18539733128589037","5.9707866152768033E-2","6.7928603602381246E-2","0.95923860713720221","9.4402413411751165E-2",22,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00022","2016-05-27_HIST00022"
"9","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,NA,"1","may27hist00023.spu","0.3590657518159297","0.16321650516935424","0.13948618775044461","4.7430010841145308E-2","4.5634603712104246E-2","1.0088669526665424","0.11471924824770854",23,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00023","2016-05-27_HIST00023"
"10","Toolik",2016-05-27,"0.41666666666666669","HIST","1","NP",NA,NA,"2","may27hist00024.spu","0.370134670071671","0.1610125172098657","0.13869334998632249","5.0424804148736575E-2","4.9109267695655115E-2","1.0109051173024888","0.11799435454329983",24,"HistoricUnispecData/2016/Processed Data//HIST_2016-05-27_CTNP.xlsx","00024","2016-05-27_HIST00024"
