  time  ,13:14 PM,13:20 PM,13:35 PM,13:45 PM,13:51 PM,15:09 PM,15:22 PM,15:31 PM,15:40 PM,15:51 PM,16:45 PM,16:55 PM,17:02 PM,17:11 PM,17:18 PM,17:50 PM,17:57 PM,18:04 PM,18:13 PM,18:21 PM,19:37 PM,19:50 PM,20:15 PM,20:20 PM,20:28 PM,21:24 PM,21:31 PM,21:41 PM,21:49 PM,22:06 PM,22:26 PM,22:34 PM,22:45 PM,22:52 PM,23:01 PM,23:58 PM,24:06 PM,24:16 PM,24:25 PM,24:35 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 319 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0 , 0.779957 , 0.779957 , 0.779957 , 0 , 0 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0.779957 , 0 , 0 , 0 , 0.779957 , 0.779957 , 0.779957 , 0 
 320 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0 , 0.913953 , 0.913953 , 0.913953 , 0 , 0 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0.913953 , 0 , 0 , 0 , 0.913953 , 0.913953 , 0.913953 , 0 
 321 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0 , 0.975471 , 0.975471 , 0.975471 , 0 , 0 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0.975471 , 0 , 0 , 0 , 0.975471 , 0.975471 , 0.975471 , 0 
 322 , 0.632916 , 0.632916 , 0.632916 , 0.632916 , 0.632916 , 0.632916 , 0.632916 , 0.632916 , 0.632916 , 0.632916 , 0.632916 , 0.632916 , 0.632916 , 0.632916 , 0.632916 , 0.632916 , 0.632916 , 0 , 0.632916 , 0 , 0 , 0.632916 , 0 , 0.632916 , 0.632916 , 0.632916 , 0 , 0 , 0 , 0.632916 , 0.632916 , 0.632916 , 0 , 0 , 0 , 0 , 0.632916 , 0 , 0 , 0 
 323 , 1.104358 , 1.104358 , 1.104358 , 1.104358 , 1.104358 , 1.104358 , 1.104358 , 1.104358 , 1.104358 , 1.104358 , 1.104358 , 1.104358 , 1.104358 , 1.104358 , 1.104358 , 1.104358 , 1.104358 , 0 , 1.104358 , 0 , 0 , 1.104358 , 0 , 1.104358 , 1.104358 , 1.104358 , 0 , 0 , 0 , 1.104358 , 1.104358 , 1.104358 , 0 , 0 , 0 , 0 , 1.104358 , 0 , 0 , 0 
 324 , 1.402901 , 1.402901 , 1.402901 , 1.402901 , 1.402901 , 1.402901 , 1.402901 , 1.402901 , 1.402901 , 1.402901 , 1.402901 , 1.402901 , 1.402901 , 1.402901 , 1.402901 , 1.402901 , 1.402901 , 0 , 1.402901 , 0 , 0 , 1.402901 , 0 , 1.402901 , 1.402901 , 1.402901 , 0 , 0 , 0 , 1.402901 , 1.402901 , 1.402901 , 0 , 0 , 0 , 0 , 1.402901 , 0 , 0 , 0 
 325 , 0.782859 , 0.782859 , 0.782859 , 0.782859 , 0.782859 , 0.782859 , 0.782859 , 0.782859 , 0.782859 , 0.782859 , 0.782859 , 0.782859 , 0.782859 , 0.782859 , 0.782859 , 0.782859 , 0.782859 , 0 , 0 , 0 , 0 , 0 , 0.782859 , 0.782859 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.782859 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 1.052881 , 1.052881 , 1.052881 , 1.052881 , 1.052881 , 1.052881 , 1.052881 , 1.052881 , 1.052881 , 1.052881 , 1.052881 , 1.052881 , 1.052881 , 1.052881 , 1.052881 , 1.052881 , 1.052881 , 0 , 0 , 0 , 0 , 0 , 1.052881 , 1.052881 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.052881 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0.726753 , 0.726753 , 0.726753 , 0.726753 , 0.726753 , 0.726753 , 0.726753 , 0.726753 , 0.726753 , 0.726753 , 0.726753 , 0.726753 , 0.726753 , 0.726753 , 0.726753 , 0.726753 , 0.726753 , 0 , 0 , 0 , 0 , 0 , 0.726753 , 0.726753 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.726753 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0 , 0 , 0.035431 , 0.035431 , 0.035431 , 0.035431 , 0.035431 , 0.035431 , 0 , 0.035431 , 0.035431 , 0.035431 , 0.035431 , 0.035431 , 0.035431 , 0.006619 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.035431 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
