  time  ,20:22 PM,20:30 PM,20:38 PM,20:49 PM,21:02 PM,21:24 PM,21:34 PM,21:43 PM,21:55 PM,22:04 PM,22:37 PM,22:47 PM,22:55 PM,23:08 PM,23:15 PM,23:36 PM,23:45 PM,23:54 PM,24:08 PM,24:16 PM,25:40 PM,25:49 PM,25:57 PM,26:06 PM,26:17 PM,26:35 PM,26:43 PM,26:57 PM,27:07 PM,27:17 PM,27:51 PM,28:05 PM,28:15 PM,28:25 PM,28:35 PM,28:58 PM,29:06 PM,29:18 PM,29:31 PM,29:42 PM,30:24 PM,30:38 PM,30:49 PM,31:00 PM,31:09 PM,31:29 PM,31:36 PM,31:43 PM,31:52 PM,32:07 PM,32:35 PM,32:47 PM,32:57 PM,33:05 PM,33:12 PM,33:37 PM,33:51 PM,34:02 PM,34:13 PM,34:22 PM,35:11 PM,35:21 PM,35:30 PM,35:38 PM,35:46 PM,36:01 PM,36:10 PM,36:19 PM,36:26 PM,36:35 PM,37:05 PM,37:16 PM,37:29 PM,37:38 PM,37:48 PM,38:07 PM,38:15 PM,38:23 PM,38:31 PM,38:39 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 316 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 317 , 0 , 1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 
 318 , 0 , 0.154987 , 0.154987 , 0.154987 , 0 , 0.154987 , 0 , 0 , 0 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 , 0.154987 
 319 , 0 , 0.630812 , 0.630812 , 0.630812 , 0 , 0.630812 , 0 , 0 , 0 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 , 0.630812 
 320 , 0 , 0.816496 , 0.816496 , 0.816496 , 0 , 0.816496 , 0 , 0 , 0 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 , 0.816496 
 321 , 0 , 0.91541 , 0.91541 , 0.91541 , 0 , 0.91541 , 0 , 0 , 0 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 , 0.91541 
 322 , 0 , 0 , 0 , 1.203761 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.203761 , 1.203761 , 1.203761 , 0 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 0 , 0 , 0 , 0 , 0 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 0 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 0 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 0 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 , 1.203761 
 323 , 0 , 0 , 0 , 2.264373 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.264373 , 2.264373 , 2.264373 , 0 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 0 , 0 , 0 , 0 , 0 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 0 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 0 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 0 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 , 2.264373 
 324 , 0 , 0 , 0 , 3.074138 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 3.074138 , 3.074138 , 3.074138 , 0 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 0 , 0 , 0 , 0 , 0 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 0 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 0 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 0 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 , 3.074138 
 325 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 4.05638 , 0 , 0 , 0 , 4.05638 , 0 , 0 , 4.05638 , 0 , 0 , 4.05638 , 0 , 0 , 0 , 0 , 4.05638 , 0 , 4.05638 , 0 , 0 , 4.05638 , 4.05638 , 4.05638 , 0 , 4.05638 , 4.05638 , 4.05638 , 4.05638 , 4.05638 , 4.05638 , 0 , 0 , 4.05638 , 4.05638 , 4.05638 , 4.05638 , 4.05638 , 4.05638 , 4.05638 , 4.05638 , 4.05638 , 4.05638 
