  time  ,:22:36 A,:22:54 A,:23:04 A,:23:12 A,:23:22 A,:24:01 A,:24:13 A,:24:21 A,:24:29 A,:24:41 A,:25:14 A,:25:33 A,:25:43 A,:25:56 A,:26:08 A,:26:44 A,:26:57 A,:27:05 A,:27:15 A,:27:25 A,:27:48 A,:27:57 A,:28:06 A,:28:16 A,:28:25 A,:28:48 A,:28:58 A,:29:10 A,:29:19 A,:29:33 A,:30:02 A,:30:14 A,:30:22 A,:30:34 A,:30:46 A,:31:13 A,:31:28 A,:31:38 A,:31:47 A,:31:58 A,:32:57 A,:33:09 A,:33:21 A,:33:32 A,:33:43 A,:34:21 A,:34:31 A,:34:42 A,:34:55 A,:35:07 A,:35:42 A,:35:51 A,:36:04 A,:36:14 A,:36:23 A,:36:50 A,:37:01 A,:37:14 A,:37:25 A,:37:34 A,:38:00 A,:38:11 A,:38:28 A,:38:38 A,:38:49 A,:39:13 A,:39:25 A,:39:43 A,:39:54 A,:40:08 A,:40:39 A,:40:51 A,:41:01 A,:41:11 A,:41:21 A,:42:16 A,:42:27 A,:42:39 A,:42:52 A,:43:04 A,:45:00 A,:45:13 A,:45:25 A,:45:39 A,:45:57 A,:46:39 A,:46:52 A,:47:06 A,:47:17 A,:47:26 A,:47:55 A,:48:07 A,:48:19 A,:48:31 A,:48:40 A,:49:15 A,:49:26 A,:49:35 A,:49:47 A,:50:00 A,:50:28 A,:50:37 A,:50:47 A,:50:57 A,:51:09 A,:51:38 A,:51:50 A,:51:59 A,:52:09 A,:52:18 A,:52:45 A,:52:55 A,:53:05 A,:53:17 A,:53:28 A,:54:01 A,:54:12 A,:54:23 A,:54:31 A,:54:41 A,:00:16 P,:00:27 P,:00:37 P,:00:47 P,:00:57 P,:01:25 P,:01:37 P,:01:48 P,:01:59 P,:02:09 P,:02:38 P,:02:52 P,:03:01 P,:03:10 P,:03:20 P,:03:50 P,:04:02 P,:04:13 P,:04:24 P,:04:34 P,:05:04 P,:05:14 P,:05:23 P,:05:32 P,:05:40 P,:06:09 P,:06:28 P,:06:39 P,:06:50 P,:07:00 P,:07:31 P,:07:41 P,:07:52 P,:08:03 P,:08:13 P,:08:42 P,:08:53 P,:09:05 P,:09:17 P,:09:38 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 425 , 0.036506 , 0.035581 , 0.033265 , 0.038158 , 0.046417 , 0.035986 , 0.027831 , 0.052089 , 0.03769 , 0.035103 , 0.061844 , 0.068399 , 0.043934 , 0.090091 , 0.033036 , 0.051601 , 0.045284 , 0.035103 , 0.035685 , 0.034802 , 0.043331 , 0.047393 , 0.038719 , 0.028133 , 0.032454 , 0.038552 , 0.029649 , 0.04543 , 0.029566 , 0.044329 , 0.025348 , 0.025172 , 0.033379 , 0.026263 , 0.027239 , 0.046375 , 0.030543 , 0.032714 , 0.031478 , 0.037254 , 0.038563 , 0.024029 , 0.021931 , 0.060888 , 0.038345 , 0.048328 , 0.040464 , 0.043258 , 0.041472 , 0.035737 , 0.027727 , 0.034563 , 0.039477 , 0.037067 , 0.031 , 0.029816 , 0.043944 , 0.046489 , 0.032745 , 0.030408 , 0.029275 , 0.039165 , 0.038511 , 0.039196 , 0.025348 , 0.049274 , 0.059943 , 0.031062 , 0.051975 , 0.052141 , 0.039924 , 0.065521 , 0.034864 , 0.069583 , 0.052681 , 0.030657 , 0.027073 , 0.029099 , 0.026876 , 0.038075 , 0.054644 , 0.03527 , 0.032994 , 0.053647 , 0.041742 , 0.0409 , 0.030792 , 0.028912 , 0.043549 , 0.026065 , 0.061771 , 0.030356 , 0.035851 , 0.039467 , 0.030439 , 0.03769 , 0.030023 , 0.031769 , 0.037368 , 0.039519 , 0.03716 , 0.031883 , 0.040131 , 0.041295 , 0.040859 , 0.050458 , 0.051663 , 0.033192 , 0.060317 , 0.03527 , 0.037202 , 0.043684 , 0.038075 , 0.044214 , 0.041607 , 0.052754 , 0.059184 , 0.03663 , 0.037088 , 0.050198 , 0.043404 , 0.05186 , 0.054572 , 0.0441 , 0.039726 , 0.052972 , 0.039498 , 0.063246 , 0.041991 , 0.038085 , 0.045939 , 0.071713 , 0.081562 , 0.037254 , 0.051092 , 0.045752 , 0.044173 , 0.038667 , 0.054593 , 0.04624 , 0.058509 , 0.044619 , 0.053128 , 0.052214 , 0.036173 , 0.052214 , 0.045076 , 0.044609 , 0.051881 , 0.03154 , 0.054925 , 0.04998 , 0.041607 , 0.047778 , 0.052037 , 0.070872 , 0.056847 , 0.075463 , 0.054541 , 0.039456 
 426 , 0.036779 , 0.035842 , 0.033478 , 0.038466 , 0.046807 , 0.036259 , 0.02798 , 0.052565 , 0.037998 , 0.035384 , 0.062375 , 0.069008 , 0.044381 , 0.090802 , 0.033322 , 0.051889 , 0.045651 , 0.035394 , 0.035977 , 0.035092 , 0.043735 , 0.047859 , 0.038976 , 0.028324 , 0.032676 , 0.03882 , 0.029907 , 0.04587 , 0.029729 , 0.04462 , 0.025554 , 0.025356 , 0.033624 , 0.02647 , 0.027376 , 0.046734 , 0.03075 , 0.032937 , 0.031666 , 0.037487 , 0.038862 , 0.0242 , 0.022065 , 0.061385 , 0.03856 , 0.048827 , 0.040684 , 0.043579 , 0.041798 , 0.035925 , 0.027886 , 0.034822 , 0.039737 , 0.037373 , 0.031166 , 0.029969 , 0.04436 , 0.046776 , 0.032926 , 0.030604 , 0.029552 , 0.039341 , 0.038799 , 0.039487 , 0.025471 , 0.049514 , 0.060292 , 0.031177 , 0.052316 , 0.052409 , 0.040153 , 0.06603 , 0.035207 , 0.070164 , 0.053086 , 0.030875 , 0.02721 , 0.02925 , 0.027074 , 0.038341 , 0.055002 , 0.03555 , 0.033249 , 0.05395 , 0.042038 , 0.041194 , 0.030958 , 0.029136 , 0.043798 , 0.026179 , 0.062239 , 0.030563 , 0.036154 , 0.039726 , 0.030604 , 0.037914 , 0.03024 , 0.031979 , 0.037654 , 0.039768 , 0.037383 , 0.032093 , 0.04033 , 0.041517 , 0.041142 , 0.050785 , 0.052055 , 0.033468 , 0.060865 , 0.035571 , 0.037498 , 0.044016 , 0.038352 , 0.044516 , 0.041913 , 0.053149 , 0.059657 , 0.036831 , 0.037289 , 0.050566 , 0.043746 , 0.052159 , 0.054919 , 0.04437 , 0.039976 , 0.053367 , 0.039716 , 0.063572 , 0.042277 , 0.038424 , 0.046286 , 0.072298 , 0.082191 , 0.037435 , 0.051399 , 0.046026 , 0.044454 , 0.038914 , 0.054908 , 0.046515 , 0.058876 , 0.044943 , 0.05344 , 0.052503 , 0.036373 , 0.052513 , 0.045432 , 0.044964 , 0.052253 , 0.031708 , 0.055335 , 0.050347 , 0.041892 , 0.048129 , 0.05243 , 0.07158 , 0.057303 , 0.076151 , 0.055106 , 0.039799 
 427 , 0.036996 , 0.036119 , 0.03373 , 0.038728 , 0.04715 , 0.036453 , 0.028115 , 0.052963 , 0.038259 , 0.035587 , 0.062857 , 0.069619 , 0.044771 , 0.091514 , 0.033542 , 0.052222 , 0.046096 , 0.03565 , 0.036182 , 0.035399 , 0.044093 , 0.048298 , 0.039261 , 0.028501 , 0.032842 , 0.039062 , 0.030108 , 0.046284 , 0.029879 , 0.044875 , 0.025683 , 0.025475 , 0.033876 , 0.026602 , 0.02753 , 0.047025 , 0.030933 , 0.033093 , 0.03183 , 0.037685 , 0.039156 , 0.024358 , 0.022145 , 0.061803 , 0.038791 , 0.049269 , 0.04091 , 0.043873 , 0.042078 , 0.036088 , 0.028052 , 0.035003 , 0.039981 , 0.03757 , 0.031288 , 0.030098 , 0.044677 , 0.047056 , 0.033062 , 0.030724 , 0.029795 , 0.039542 , 0.039083 , 0.039803 , 0.025569 , 0.049749 , 0.060613 , 0.031256 , 0.05264 , 0.05264 , 0.040409 , 0.066509 , 0.035452 , 0.070715 , 0.053485 , 0.031058 , 0.027364 , 0.029378 , 0.02727 , 0.038603 , 0.055311 , 0.035775 , 0.03349 , 0.054268 , 0.042308 , 0.041494 , 0.031047 , 0.029284 , 0.043988 , 0.026289 , 0.062596 , 0.030714 , 0.036401 , 0.039991 , 0.030714 , 0.038154 , 0.030432 , 0.032154 , 0.037935 , 0.040002 , 0.03758 , 0.03231 , 0.040544 , 0.041776 , 0.04139 , 0.051095 , 0.0524 , 0.033667 , 0.061302 , 0.035796 , 0.037706 , 0.04426 , 0.038614 , 0.044823 , 0.042256 , 0.053496 , 0.060123 , 0.037027 , 0.037445 , 0.050897 , 0.044103 , 0.052483 , 0.055301 , 0.044646 , 0.040273 , 0.053788 , 0.039918 , 0.06388 , 0.042569 , 0.038749 , 0.046608 , 0.072886 , 0.082779 , 0.037601 , 0.051732 , 0.046336 , 0.044614 , 0.039188 , 0.055207 , 0.046712 , 0.059215 , 0.045178 , 0.053788 , 0.052838 , 0.036579 , 0.052869 , 0.045752 , 0.045335 , 0.05264 , 0.031861 , 0.055739 , 0.050699 , 0.042172 , 0.048465 , 0.052765 , 0.072239 , 0.057712 , 0.076862 , 0.055656 , 0.040106 
 428 , 0.037213 , 0.036397 , 0.033981 , 0.038991 , 0.047494 , 0.036638 , 0.02826 , 0.053351 , 0.03851 , 0.035791 , 0.063329 , 0.070221 , 0.045141 , 0.092206 , 0.033772 , 0.052546 , 0.046532 , 0.035906 , 0.036387 , 0.035696 , 0.044451 , 0.048749 , 0.039545 , 0.028678 , 0.033008 , 0.039305 , 0.03031 , 0.046699 , 0.030017 , 0.04512 , 0.025802 , 0.025604 , 0.034128 , 0.026733 , 0.027674 , 0.047306 , 0.031105 , 0.033249 , 0.031994 , 0.037893 , 0.039441 , 0.024505 , 0.022225 , 0.06221 , 0.039022 , 0.049701 , 0.041135 , 0.044158 , 0.042359 , 0.036251 , 0.028218 , 0.035194 , 0.040225 , 0.037778 , 0.031408 , 0.030226 , 0.044994 , 0.047337 , 0.033207 , 0.030843 , 0.030028 , 0.039744 , 0.039368 , 0.040121 , 0.025666 , 0.049973 , 0.060944 , 0.031325 , 0.052964 , 0.05286 , 0.040654 , 0.06699 , 0.035696 , 0.071267 , 0.053885 , 0.03123 , 0.027507 , 0.029505 , 0.027455 , 0.038876 , 0.05561 , 0.035989 , 0.03373 , 0.054575 , 0.042568 , 0.041794 , 0.031147 , 0.029421 , 0.044168 , 0.026398 , 0.062963 , 0.030864 , 0.036659 , 0.040267 , 0.030823 , 0.038395 , 0.030624 , 0.032318 , 0.038196 , 0.040246 , 0.037778 , 0.032527 , 0.040748 , 0.042035 , 0.041648 , 0.051385 , 0.052745 , 0.033866 , 0.061729 , 0.036021 , 0.037914 , 0.044492 , 0.038865 , 0.04513 , 0.042589 , 0.053853 , 0.060589 , 0.037213 , 0.03761 , 0.051218 , 0.044451 , 0.052818 , 0.055684 , 0.044921 , 0.04056 , 0.054209 , 0.04011 , 0.064187 , 0.042861 , 0.039075 , 0.046919 , 0.073474 , 0.083368 , 0.037767 , 0.052065 , 0.046637 , 0.044785 , 0.039462 , 0.055495 , 0.046908 , 0.059553 , 0.045423 , 0.054125 , 0.053173 , 0.036784 , 0.053215 , 0.046061 , 0.045706 , 0.053027 , 0.032004 , 0.056154 , 0.051061 , 0.042453 , 0.048802 , 0.0531 , 0.072878 , 0.05811 , 0.077564 , 0.056206 , 0.040413 
 429 , 0.037429 , 0.036675 , 0.034233 , 0.039253 , 0.047827 , 0.036811 , 0.028394 , 0.053739 , 0.038761 , 0.035993 , 0.063801 , 0.070823 , 0.045521 , 0.092908 , 0.033992 , 0.052879 , 0.046957 , 0.036161 , 0.036591 , 0.035993 , 0.044798 , 0.049179 , 0.039819 , 0.028856 , 0.033174 , 0.039547 , 0.030512 , 0.047114 , 0.030166 , 0.045374 , 0.025921 , 0.025722 , 0.034369 , 0.026864 , 0.027828 , 0.047586 , 0.031277 , 0.033394 , 0.032157 , 0.03809 , 0.039725 , 0.024652 , 0.022305 , 0.062627 , 0.039243 , 0.050133 , 0.04136 , 0.044442 , 0.042639 , 0.036402 , 0.028384 , 0.035375 , 0.040469 , 0.037974 , 0.031518 , 0.030344 , 0.045301 , 0.047607 , 0.033342 , 0.030962 , 0.03026 , 0.039935 , 0.039652 , 0.040427 , 0.025753 , 0.050196 , 0.061264 , 0.031403 , 0.053288 , 0.053089 , 0.040899 , 0.067469 , 0.035941 , 0.071809 , 0.054284 , 0.031403 , 0.027661 , 0.029631 , 0.02764 , 0.039138 , 0.055919 , 0.036203 , 0.033971 , 0.054881 , 0.042827 , 0.042094 , 0.031235 , 0.029568 , 0.044358 , 0.026518 , 0.063308 , 0.031004 , 0.036905 , 0.040532 , 0.030931 , 0.038635 , 0.030805 , 0.032482 , 0.038467 , 0.04048 , 0.037974 , 0.032744 , 0.040951 , 0.042282 , 0.041895 , 0.051684 , 0.053089 , 0.034065 , 0.062155 , 0.036245 , 0.038111 , 0.044725 , 0.039117 , 0.045427 , 0.042911 , 0.0542 , 0.061044 , 0.037408 , 0.037765 , 0.051538 , 0.044798 , 0.053131 , 0.056055 , 0.045196 , 0.040857 , 0.054619 , 0.040301 , 0.064493 , 0.043152 , 0.0394 , 0.04723 , 0.074052 , 0.083946 , 0.037922 , 0.052397 , 0.046936 , 0.044945 , 0.039735 , 0.055793 , 0.047104 , 0.059891 , 0.045657 , 0.054451 , 0.053498 , 0.036979 , 0.05356 , 0.046381 , 0.046066 , 0.053414 , 0.032157 , 0.056548 , 0.051412 , 0.042723 , 0.049127 , 0.053435 , 0.073517 , 0.058508 , 0.078255 , 0.056747 , 0.04071 
 430 , 0.037695 , 0.036983 , 0.034489 , 0.039549 , 0.048224 , 0.037077 , 0.028601 , 0.054227 , 0.039078 , 0.036312 , 0.064316 , 0.071503 , 0.045919 , 0.093682 , 0.034311 , 0.053242 , 0.047428 , 0.036501 , 0.036888 , 0.036312 , 0.045238 , 0.049649 , 0.040178 , 0.029136 , 0.033431 , 0.039853 , 0.030759 , 0.047574 , 0.030361 , 0.045678 , 0.026087 , 0.02594 , 0.034625 , 0.027114 , 0.028046 , 0.047952 , 0.031482 , 0.033641 , 0.032362 , 0.038324 , 0.040052 , 0.02484 , 0.022451 , 0.063122 , 0.039486 , 0.050623 , 0.041624 , 0.044798 , 0.043007 , 0.036605 , 0.028591 , 0.035652 , 0.040765 , 0.038303 , 0.031755 , 0.03055 , 0.045741 , 0.04791 , 0.033588 , 0.031158 , 0.030602 , 0.040178 , 0.039937 , 0.040733 , 0.025909 , 0.050403 , 0.061645 , 0.031524 , 0.053703 , 0.053358 , 0.041142 , 0.068025 , 0.03627 , 0.072404 , 0.05473 , 0.031639 , 0.027836 , 0.029827 , 0.027868 , 0.039403 , 0.056281 , 0.036469 , 0.034248 , 0.055243 , 0.043185 , 0.042462 , 0.031409 , 0.029858 , 0.04461 , 0.026663 , 0.063729 , 0.03121 , 0.03714 , 0.040807 , 0.031116 , 0.038879 , 0.031021 , 0.032698 , 0.038785 , 0.040807 , 0.038229 , 0.033043 , 0.041194 , 0.042588 , 0.042179 , 0.052037 , 0.053504 , 0.034311 , 0.062724 , 0.03648 , 0.038439 , 0.045081 , 0.039434 , 0.045804 , 0.043258 , 0.054604 , 0.06154 , 0.037653 , 0.037978 , 0.051933 , 0.045175 , 0.053515 , 0.056522 , 0.0455 , 0.041226 , 0.055086 , 0.040545 , 0.064882 , 0.043478 , 0.03979 , 0.047564 , 0.074688 , 0.08463 , 0.038114 , 0.052802 , 0.047313 , 0.045249 , 0.040084 , 0.056155 , 0.047365 , 0.060304 , 0.046055 , 0.054824 , 0.053829 , 0.037255 , 0.053986 , 0.046747 , 0.046453 , 0.053965 , 0.032394 , 0.056951 , 0.051828 , 0.043101 , 0.049492 , 0.053871 , 0.07429 , 0.058942 , 0.079015 , 0.057318 , 0.04111 
 431 , 0.037971 , 0.0373 , 0.034743 , 0.039857 , 0.048619 , 0.037342 , 0.028832 , 0.054718 , 0.039396 , 0.036661 , 0.064811 , 0.072179 , 0.046313 , 0.09445 , 0.034648 , 0.053597 , 0.047885 , 0.03686 , 0.037185 , 0.036629 , 0.045674 , 0.050097 , 0.040538 , 0.029419 , 0.033695 , 0.040182 , 0.031022 , 0.048042 , 0.030571 , 0.045978 , 0.026264 , 0.02617 , 0.034858 , 0.027385 , 0.028276 , 0.048336 , 0.031703 , 0.033894 , 0.032573 , 0.038568 , 0.040381 , 0.025017 , 0.022606 , 0.063627 , 0.039721 , 0.051103 , 0.04189 , 0.04516 , 0.0434 , 0.036828 , 0.028811 , 0.035958 , 0.041062 , 0.038662 , 0.031997 , 0.03076 , 0.046198 , 0.048221 , 0.033862 , 0.031357 , 0.030949 , 0.040434 , 0.040224 , 0.041031 , 0.026065 , 0.0506 , 0.062023 , 0.031661 , 0.054131 , 0.053628 , 0.041377 , 0.068595 , 0.036619 , 0.072996 , 0.05518 , 0.031892 , 0.028025 , 0.030037 , 0.028088 , 0.039668 , 0.056647 , 0.036734 , 0.034523 , 0.055609 , 0.043557 , 0.042834 , 0.031578 , 0.030184 , 0.044877 , 0.026809 , 0.064151 , 0.03142 , 0.037363 , 0.041083 , 0.031326 , 0.039113 , 0.031242 , 0.032919 , 0.039103 , 0.041146 , 0.038495 , 0.03337 , 0.04144 , 0.042886 , 0.042477 , 0.052402 , 0.053943 , 0.034575 , 0.063323 , 0.036703 , 0.038788 , 0.045454 , 0.039742 , 0.046187 , 0.043609 , 0.055022 , 0.062023 , 0.037918 , 0.038201 , 0.052339 , 0.045538 , 0.053911 , 0.057003 , 0.045821 , 0.041607 , 0.055546 , 0.0408 , 0.065272 , 0.043787 , 0.040182 , 0.047906 , 0.075323 , 0.085321 , 0.038317 , 0.053199 , 0.047707 , 0.04559 , 0.040455 , 0.056542 , 0.047634 , 0.060713 , 0.046481 , 0.05519 , 0.054163 , 0.037551 , 0.054425 , 0.047131 , 0.046827 , 0.05454 , 0.032657 , 0.057328 , 0.052266 , 0.043504 , 0.049855 , 0.05432 , 0.075082 , 0.059382 , 0.079767 , 0.057883 , 0.041534 
 432 , 0.038246 , 0.037606 , 0.034985 , 0.040154 , 0.049003 , 0.037596 , 0.029051 , 0.055199 , 0.039703 , 0.036988 , 0.065305 , 0.072833 , 0.046686 , 0.095196 , 0.034975 , 0.053951 , 0.048332 , 0.037198 , 0.037481 , 0.036935 , 0.046109 , 0.050533 , 0.040888 , 0.029701 , 0.033958 , 0.04049 , 0.031264 , 0.048489 , 0.030771 , 0.046277 , 0.026441 , 0.026399 , 0.03509 , 0.027657 , 0.028496 , 0.048699 , 0.031903 , 0.034136 , 0.032773 , 0.038812 , 0.040699 , 0.025193 , 0.02275 , 0.06411 , 0.039955 , 0.051561 , 0.042157 , 0.045511 , 0.043771 , 0.03703 , 0.02902 , 0.036244 , 0.041349 , 0.039011 , 0.032239 , 0.03096 , 0.046644 , 0.04851 , 0.034115 , 0.031557 , 0.031295 , 0.040678 , 0.0405 , 0.041318 , 0.02621 , 0.050795 , 0.062391 , 0.031798 , 0.054549 , 0.053888 , 0.041611 , 0.069132 , 0.036946 , 0.073567 , 0.055608 , 0.032134 , 0.028192 , 0.030236 , 0.028307 , 0.039913 , 0.057002 , 0.036988 , 0.034797 , 0.055964 , 0.043918 , 0.043194 , 0.031756 , 0.030488 , 0.045124 , 0.026965 , 0.064561 , 0.031631 , 0.037585 , 0.041349 , 0.031526 , 0.039347 , 0.031442 , 0.03313 , 0.03942 , 0.041475 , 0.03876 , 0.033675 , 0.041685 , 0.043173 , 0.042754 , 0.052756 , 0.05436 , 0.034818 , 0.063901 , 0.036914 , 0.039127 , 0.045815 , 0.040049 , 0.04656 , 0.043939 , 0.055419 , 0.062496 , 0.038173 , 0.038424 , 0.052725 , 0.045889 , 0.054276 , 0.057463 , 0.04612 , 0.041968 , 0.055996 , 0.041056 , 0.065651 , 0.044096 , 0.040552 , 0.048227 , 0.075936 , 0.08598 , 0.038498 , 0.053584 , 0.04808 , 0.04592 , 0.040815 , 0.056908 , 0.047881 , 0.061112 , 0.046895 , 0.055545 , 0.054475 , 0.037827 , 0.054842 , 0.047493 , 0.047189 , 0.055104 , 0.03291 , 0.057694 , 0.052683 , 0.043886 , 0.050208 , 0.054748 , 0.075842 , 0.059801 , 0.080486 , 0.058417 , 0.041936 
 433 , 0.038492 , 0.037906 , 0.035235 , 0.040461 , 0.049375 , 0.037843 , 0.029265 , 0.05567 , 0.040011 , 0.037277 , 0.065819 , 0.073444 , 0.047071 , 0.095932 , 0.035224 , 0.054298 , 0.048757 , 0.037518 , 0.03778 , 0.037256 , 0.046526 , 0.050967 , 0.041215 , 0.029956 , 0.034187 , 0.040776 , 0.031516 , 0.048914 , 0.03094 , 0.046557 , 0.026615 , 0.026583 , 0.035298 , 0.027882 , 0.028688 , 0.049061 , 0.032103 , 0.034365 , 0.032972 , 0.039058 , 0.041016 , 0.025368 , 0.022875 , 0.064583 , 0.040189 , 0.052046 , 0.042441 , 0.045824 , 0.044127 , 0.037204 , 0.029233 , 0.036502 , 0.041624 , 0.039372 , 0.03248 , 0.03116 , 0.04705 , 0.048799 , 0.034345 , 0.031768 , 0.0316 , 0.040912 , 0.040786 , 0.041593 , 0.026342 , 0.050998 , 0.062729 , 0.031915 , 0.054947 , 0.054151 , 0.041854 , 0.069653 , 0.037256 , 0.074146 , 0.056026 , 0.032375 , 0.028353 , 0.030417 , 0.028521 , 0.040179 , 0.057325 , 0.037246 , 0.035025 , 0.056309 , 0.044274 , 0.043572 , 0.031925 , 0.030752 , 0.045363 , 0.027096 , 0.065013 , 0.031841 , 0.037843 , 0.041603 , 0.031695 , 0.039592 , 0.031663 , 0.033329 , 0.039728 , 0.041781 , 0.039026 , 0.033967 , 0.041928 , 0.043478 , 0.043048 , 0.053093 , 0.054769 , 0.035036 , 0.064447 , 0.037141 , 0.039414 , 0.04617 , 0.040357 , 0.046945 , 0.044274 , 0.055795 , 0.06297 , 0.038377 , 0.038628 , 0.053083 , 0.046233 , 0.054654 , 0.057911 , 0.046432 , 0.042347 , 0.056413 , 0.041289 , 0.065997 , 0.044379 , 0.040933 , 0.048558 , 0.076524 , 0.086652 , 0.038691 , 0.053962 , 0.048464 , 0.046222 , 0.041153 , 0.057262 , 0.04816 , 0.061504 , 0.047259 , 0.0559 , 0.0548 , 0.038084 , 0.055251 , 0.047856 , 0.047573 , 0.055649 , 0.03313 , 0.058089 , 0.053093 , 0.044243 , 0.050579 , 0.055167 , 0.076566 , 0.060215 , 0.081195 , 0.058969 , 0.042305 
 434 , 0.038715 , 0.038191 , 0.035491 , 0.040777 , 0.049715 , 0.038066 , 0.029463 , 0.056152 , 0.040306 , 0.037511 , 0.066356 , 0.073986 , 0.047475 , 0.096646 , 0.035397 , 0.054644 , 0.04916 , 0.037825 , 0.038087 , 0.037595 , 0.04692 , 0.051379 , 0.041509 , 0.030153 , 0.034392 , 0.041028 , 0.031765 , 0.049286 , 0.031074 , 0.046816 , 0.026783 , 0.02672 , 0.035491 , 0.02806 , 0.028866 , 0.049411 , 0.032299 , 0.034581 , 0.033168 , 0.039311 , 0.041321 , 0.025527 , 0.022973 , 0.065037 , 0.040431 , 0.05253 , 0.042755 , 0.046073 , 0.04445 , 0.037344 , 0.029473 , 0.036726 , 0.041876 , 0.03973 , 0.032718 , 0.031346 , 0.047423 , 0.049076 , 0.034518 , 0.031995 , 0.03188 , 0.041132 , 0.041101 , 0.041855 , 0.026438 , 0.051222 , 0.063028 , 0.032027 , 0.055314 , 0.054425 , 0.042116 , 0.070134 , 0.037532 , 0.07474 , 0.056424 , 0.032613 , 0.0285 , 0.030582 , 0.02874 , 0.040463 , 0.057617 , 0.03748 , 0.035209 , 0.056633 , 0.044628 , 0.043979 , 0.0321 , 0.030959 , 0.045581 , 0.027212 , 0.065487 , 0.032069 , 0.03815 , 0.041844 , 0.031817 , 0.039866 , 0.03188 , 0.033523 , 0.040033 , 0.042053 , 0.03929 , 0.034235 , 0.04219 , 0.043812 , 0.043351 , 0.053409 , 0.055189 , 0.035219 , 0.064975 , 0.037365 , 0.039646 , 0.046491 , 0.040661 , 0.04736 , 0.044639 , 0.05612 , 0.063436 , 0.038516 , 0.038819 , 0.053399 , 0.046564 , 0.055011 , 0.058349 , 0.046753 , 0.042755 , 0.056811 , 0.04152 , 0.066304 , 0.044649 , 0.041289 , 0.048909 , 0.077074 , 0.08732 , 0.038882 , 0.05432 , 0.048857 , 0.046491 , 0.041467 , 0.057627 , 0.048459 , 0.061877 , 0.047559 , 0.056235 , 0.055136 , 0.038327 , 0.055628 , 0.048208 , 0.047977 , 0.056183 , 0.033314 , 0.058506 , 0.053514 , 0.044544 , 0.05096 , 0.055586 , 0.077262 , 0.060631 , 0.081867 , 0.059511 , 0.042629 
