TEST_00013.spu,TEST_00012.spu,TEST_00011.spu,
Wavelength,SHB1_00001.spu,SHB1_00002.spu,SHB1_00003.spu,SHB1_00004.spu,SHB1_00005.spu,SHB1_00006.spu,SHB1_00007.spu,SHB1_00008.spu,SHB1_00009.spu,SHB1_00010.spu,SHB1_00011.spu,SHB1_00012.spu,SHB1_00013.spu,SHB1_00014.spu,SHB1_00015.spu,SHB1_00016.spu,SHB1_00017.spu,SHB1_00018.spu,SHB1_00019.spu,SHB1_00020.spu
  (nm),8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 4,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5,8/7/2017 5
  time  ,4:17 PM",4:44 PM",5:12 PM",5:33 PM",6:06 PM",7:23 PM",7:45 PM",8:31 PM",8:58 PM",9:19 PM",0:41 PM",1:02 PM",1:30 PM",3:47 PM",4:21 PM",5:28 PM",5:40 PM",5:55 PM",6:15 PM",6:31 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 335 , 0.005818 , 0.004254 , 0.000453 , 0.006851 , 0.001363 , 0.005412 , 0.001839 , 0.001564 , 0.012995 , 0.006768 , 0.00365 , 0.002348 , 0.008041 , 0.002151 , 0.011492 , 0.004743 , 0.00835 , 0.010175 , 0.015666 , 0.01393 
 336 , 0.007154 , 0.007165 , 0.002503 , 0.008025 , 0.002881 , 0.005694 , 0.00444 , 0.00391 , 0.013025 , 0.007756 , 0.005106 , 0.002773 , 0.00924 , 0.002304 , 0.011265 , 0.005126 , 0.009181 , 0.01087 , 0.015819 , 0.014902 
 337 , 0.008283 , 0.00968 , 0.004247 , 0.009005 , 0.004174 , 0.005951 , 0.006708 , 0.005888 , 0.013031 , 0.008614 , 0.00634 , 0.003137 , 0.010266 , 0.002442 , 0.011075 , 0.005452 , 0.009901 , 0.011463 , 0.015942 , 0.015724 
 338 , 0.009249 , 0.011874 , 0.005746 , 0.009832 , 0.005287 , 0.006187 , 0.008707 , 0.007573 , 0.01302 , 0.009368 , 0.007397 , 0.003453 , 0.011154 , 0.002568 , 0.010913 , 0.005734 , 0.010531 , 0.011975 , 0.016041 , 0.016426 
 339 , 0.009974 , 0.012773 , 0.007207 , 0.011522 , 0.006528 , 0.007602 , 0.010675 , 0.008309 , 0.01357 , 0.010595 , 0.008541 , 0.005184 , 0.011054 , 0.003528 , 0.012108 , 0.006613 , 0.011479 , 0.012648 , 0.016553 , 0.017039 
 340 , 0.010528 , 0.013288 , 0.008382 , 0.013047 , 0.007625 , 0.008935 , 0.012276 , 0.008777 , 0.014099 , 0.011681 , 0.009531 , 0.006879 , 0.010798 , 0.004462 , 0.013333 , 0.00745 , 0.012341 , 0.01322 , 0.017044 , 0.017525 
 341 , 0.010957 , 0.013662 , 0.009299 , 0.014262 , 0.008554 , 0.009986 , 0.013536 , 0.00915 , 0.014503 , 0.012547 , 0.010352 , 0.008282 , 0.010564 , 0.00522 , 0.014335 , 0.008135 , 0.013055 , 0.013661 , 0.017434 , 0.017896 
 342 , 0.011285 , 0.013726 , 0.009792 , 0.014562 , 0.008844 , 0.010804 , 0.013051 , 0.009282 , 0.014852 , 0.012921 , 0.01082 , 0.008877 , 0.010945 , 0.005442 , 0.014623 , 0.008394 , 0.013464 , 0.014274 , 0.017412 , 0.017905 
 343 , 0.011551 , 0.013515 , 0.009931 , 0.014019 , 0.00851 , 0.011503 , 0.010893 , 0.009191 , 0.015186 , 0.012854 , 0.010973 , 0.008718 , 0.011946 , 0.005161 , 0.014236 , 0.008253 , 0.013599 , 0.015118 , 0.016997 , 0.017572 
 344 , 0.011802 , 0.013335 , 0.010052 , 0.01354 , 0.008217 , 0.012186 , 0.008997 , 0.009113 , 0.015497 , 0.012799 , 0.01112 , 0.00858 , 0.01282 , 0.004912 , 0.013896 , 0.008134 , 0.013728 , 0.015901 , 0.016631 , 0.01729 
