MAT_00004.spu,MAT_00003.spu,
Wavelength,WSG1_00000.spu,WSG1_00001.spu,WSG1_00002.spu,WSG1_00003.spu,WSG1_00004.spu,WSG1_00005.spu,WSG1_00006.spu,WSG1_00007.spu,WSG1_00008.spu,WSG1_00009.spu,WSG1_00010.spu,WSG1_00011.spu,WSG1_00012.spu,WSG1_00013.spu,WSG1_00014.spu,WSG1_00015.spu,WSG1_00016.spu,WSG1_00017.spu,WSG1_00018.spu,WSG1_00019.spu,WSG1_00020.spu,WSG1_00021.spu,WSG1_00022.spu,WSG1_00023.spu,WSG1_00024.spu
  (nm),7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 ,7/27/2017 
  time  ,:11:01 A,:11:18 A,:11:33 A,:11:40 A,:11:48 A,:12:10 A,:12:18 A,:12:26 A,:12:33 A,:12:40 A,:13:06 A,:13:14 A,:13:21 A,:13:28 A,:13:37 A,:14:15 A,:14:22 A,:14:31 A,:14:38 A,:14:46 A,:15:17 A,:15:26 A,:16:03 A,:16:14 A,:16:23 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 330 , 0 , 0.001934 , 0 , 0.003136 , 0.010084 , 0.003111 , 0.016634 , 0.005717 , 0.01056 , 0.013911 , 0.006965 , 0 , 0.000687 , 0.003364 , 0.00271 , 0.008062 , 0.01154 , 0.005409 , 0.002513 , 0.00128 , 0.012223 , 0.000672 , 0.00769 , 0.010606 , 0.017127 
 331 , 0 , 0.002692 , 0 , 0.004388 , 0.011981 , 0.0043 , 0.018898 , 0.007978 , 0.012741 , 0.015359 , 0.008063 , 0 , 0.00096 , 0.004674 , 0.003778 , 0.009222 , 0.015157 , 0.006992 , 0.0035 , 0.001791 , 0.01389 , 0.000942 , 0.009295 , 0.012646 , 0.018794 
 332 , 0.000321 , 0.003332 , 0.000931 , 0.005417 , 0.011964 , 0.005341 , 0.020001 , 0.009278 , 0.014241 , 0.01587 , 0.009437 , 0 , 0.001017 , 0.00617 , 0.004504 , 0.010511 , 0.016149 , 0.008665 , 0.004636 , 0.00283 , 0.014894 , 0.002011 , 0.010198 , 0.014008 , 0.020168 
 333 , 0.000813 , 0.003875 , 0.00236 , 0.006249 , 0.010855 , 0.006267 , 0.020398 , 0.009969 , 0.015278 , 0.015813 , 0.010873 , 0 , 0.000945 , 0.007725 , 0.005 , 0.011814 , 0.015567 , 0.010322 , 0.005808 , 0.004093 , 0.01546 , 0.003493 , 0.010657 , 0.014895 , 0.021288 
 334 , 0.001242 , 0.004345 , 0.003607 , 0.006945 , 0.009891 , 0.007077 , 0.020734 , 0.010576 , 0.016174 , 0.015757 , 0.012073 , 0 , 0.000883 , 0.009091 , 0.005427 , 0.012941 , 0.015059 , 0.011756 , 0.006821 , 0.00515 , 0.015943 , 0.004779 , 0.011049 , 0.015657 , 0.02223 
 335 , 0.001836 , 0.004835 , 0.004612 , 0.007436 , 0.009307 , 0.007936 , 0.021172 , 0.011262 , 0.016828 , 0.016119 , 0.013056 , 0.000097 , 0.000973 , 0.010213 , 0.006026 , 0.013893 , 0.014979 , 0.012771 , 0.007691 , 0.006115 , 0.016582 , 0.005801 , 0.011629 , 0.016405 , 0.022971 
 336 , 0.003159 , 0.005558 , 0.005153 , 0.007466 , 0.009749 , 0.00922 , 0.022078 , 0.012412 , 0.01691 , 0.017963 , 0.01375 , 0.000536 , 0.001583 , 0.010868 , 0.007396 , 0.014597 , 0.016266 , 0.012758 , 0.00838 , 0.007192 , 0.01795 , 0.006296 , 0.013022 , 0.017362 , 0.023346 
 337 , 0.004312 , 0.006189 , 0.005629 , 0.00751 , 0.010145 , 0.010392 , 0.022885 , 0.013417 , 0.016989 , 0.019574 , 0.01437 , 0.000917 , 0.002111 , 0.01144 , 0.008603 , 0.015215 , 0.017403 , 0.012754 , 0.00898 , 0.008163 , 0.019114 , 0.006723 , 0.014258 , 0.018198 , 0.023685 
 338 , 0.005327 , 0.006746 , 0.006053 , 0.007563 , 0.010505 , 0.011475 , 0.023609 , 0.014303 , 0.017064 , 0.020995 , 0.014929 , 0.001249 , 0.002571 , 0.011945 , 0.009679 , 0.015765 , 0.018415 , 0.012758 , 0.009506 , 0.009048 , 0.020115 , 0.007097 , 0.015368 , 0.018938 , 0.023993 
 339 , 0.005845 , 0.007532 , 0.00676 , 0.008783 , 0.011375 , 0.011723 , 0.023865 , 0.014125 , 0.017935 , 0.021505 , 0.015171 , 0.002124 , 0.003704 , 0.012216 , 0.00984 , 0.016237 , 0.019049 , 0.013699 , 0.009976 , 0.00944 , 0.020384 , 0.007881 , 0.015859 , 0.019474 , 0.025074 
