  time  ,7:18 PM",7:26 PM",7:35 PM",7:44 PM",8:00 PM",8:10 PM",8:16 PM",8:25 PM",8:32 PM",9:20 PM",9:30 PM",9:39 PM",9:47 PM",9:57 PM",0:13 PM",0:31 PM",0:39 PM",0:48 PM",0:55 PM",1:03 PM",1:31 PM",1:39 PM",1:47 PM",1:56 PM",2:13 PM",2:33 PM",2:44 PM",2:54 PM",3:03 PM",3:11 PM",3:59 PM",4:09 PM",4:21 PM",4:32 PM",4:41 PM",5:10 PM",5:16 PM",5:37 PM",5:46 PM",5:54 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 321 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000145 , 0.001788 , 0 , 0 , 0.002008 , 0.000164 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 322 , 0.001806 , 0.000735 , 0 , 0.000308 , 0.000667 , 0.000443 , 0 , 0.000413 , 0.0005 , 0.002846 , 0.001357 , 0.000424 , 0.003632 , 0.001106 , 0.000949 , 0 , 0.000467 , 0 , 0.000802 , 0.000812 , 0.000521 , 0.000307 , 0.000164 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 323 , 0.003843 , 0.001594 , 0 , 0.000661 , 0.001447 , 0.00095 , 0 , 0.000875 , 0.001064 , 0.003923 , 0.002912 , 0.000905 , 0.005357 , 0.002353 , 0.002033 , 0 , 0.001001 , 0 , 0.001711 , 0.001721 , 0.001125 , 0.000665 , 0.000351 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 324 , 0.005489 , 0.002322 , 0 , 0.000951 , 0.002102 , 0.001367 , 0 , 0.001242 , 0.001519 , 0.004811 , 0.004192 , 0.001298 , 0.006798 , 0.00336 , 0.002922 , 0 , 0.00144 , 0 , 0.002452 , 0.002449 , 0.001628 , 0.000964 , 0.000505 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 325 , 0.006814 , 0.003582 , 0.000234 , 0.001389 , 0.002861 , 0.001994 , 0.000459 , 0.001799 , 0.002371 , 0.005408 , 0.005076 , 0.002398 , 0.007737 , 0.004278 , 0.003458 , 0 , 0.001832 , 0 , 0.00315 , 0.002929 , 0.002501 , 0.001634 , 0.000681 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 326 , 0.007845 , 0.005665 , 0.000809 , 0.002081 , 0.003808 , 0.002976 , 0.001582 , 0.00269 , 0.003869 , 0.005638 , 0.005467 , 0.004607 , 0.008014 , 0.005166 , 0.003539 , 0 , 0.002193 , 0 , 0.003861 , 0.003117 , 0.003969 , 0.002885 , 0.000904 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 327 , 0.00871 , 0.007306 , 0.001255 , 0.002643 , 0.004551 , 0.003762 , 0.002446 , 0.003409 , 0.005064 , 0.005812 , 0.005777 , 0.006386 , 0.008221 , 0.005878 , 0.003605 , 0 , 0.002483 , 0 , 0.004435 , 0.003269 , 0.005152 , 0.003892 , 0.001081 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 328 , 0.009447 , 0.008622 , 0.001607 , 0.003108 , 0.005145 , 0.004406 , 0.003122 , 0.004001 , 0.006035 , 0.005946 , 0.006027 , 0.007845 , 0.008376 , 0.006459 , 0.003659 , 0 , 0.00272 , 0 , 0.004909 , 0.003395 , 0.006125 , 0.004719 , 0.001225 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 329 , 0.009847 , 0.010603 , 0.003152 , 0.003578 , 0.005652 , 0.005794 , 0.005067 , 0.004742 , 0.006357 , 0.007033 , 0.006319 , 0.007504 , 0.010292 , 0.006995 , 0.004374 , 0.000635 , 0.004417 , 0.000745 , 0.005213 , 0.004202 , 0.006652 , 0.005712 , 0.001967 , 0.000919 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000154 , 0 , 0 , 0.001464 , 0.00159 , 0.000888 , 0 , 0.000298 , 0.000911 , 0.000903 
 330 , 0.010136 , 0.012319 , 0.004488 , 0.003973 , 0.006076 , 0.00698 , 0.006728 , 0.00537 , 0.006611 , 0.007986 , 0.006561 , 0.007153 , 0.011911 , 0.007433 , 0.004993 , 0.00118 , 0.005873 , 0.001395 , 0.005452 , 0.00491 , 0.00708 , 0.006561 , 0.002608 , 0.001721 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000285 , 0 , 0 , 0.00275 , 0.003019 , 0.001655 , 0 , 0.000558 , 0.001698 , 0.001689 
