  time  ,10:47 PM,11:17 PM,11:34 PM,11:49 PM,11:57 PM,12:59 PM,13:14 PM,13:30 PM,13:44 PM,13:57 PM,14:35 PM,14:54 PM,15:06 PM,15:19 PM,15:27 PM,16:10 PM,16:21 PM,16:35 PM,16:50 PM,16:59 PM,17:48 PM,17:57 PM,18:11 PM,18:21 PM,18:38 PM,18:50 PM,19:01 PM,19:09 PM,19:19 PM,19:31 PM,20:08 PM,20:22 PM,20:35 PM,20:49 PM,20:56 PM,22:26 PM,22:38 PM,23:04 PM,23:14 PM,23:22 PM,23:34 PM,23:42 PM,23:52 PM,24:00 PM,24:09 PM,25:09 PM,25:21 PM,25:34 PM,25:45 PM,25:55 PM,26:33 PM,26:49 PM,27:00 PM,27:11 PM,27:23 PM,27:51 PM,28:03 PM,28:18 PM,28:30 PM,28:41 PM,29:02 PM,29:10 PM,29:19 PM,29:28 PM,29:36 PM,30:09 PM,30:34 PM,30:44 PM,30:56 PM,31:05 PM,31:38 PM,31:49 PM,32:01 PM,32:11 PM,32:23 PM,33:22 PM,33:31 PM,33:43 PM,33:53 PM,34:03 PM,34:58 PM,35:11 PM,35:19 PM,35:31 PM,35:46 PM,36:00 PM,36:08 PM,36:19 PM,36:26 PM,36:35 PM,37:45 PM,37:56 PM,38:06 PM,38:19 PM,38:30 PM,39:12 PM,39:23 PM,39:32 PM,39:43 PM,39:51 PM,40:14 PM,40:25 PM,40:34 PM,40:44 PM,40:56 PM,41:08 PM,41:20 PM,41:35 PM,42:02 PM,42:11 PM,43:08 PM,43:23 PM,43:31 PM,43:39 PM,43:48 PM,44:29 PM,44:37 PM,44:46 PM,44:55 PM,45:03 PM,45:34 PM,45:42 PM,45:53 PM,46:02 PM,46:12 PM,46:26 PM,46:37 PM,46:46 PM,46:57 PM,47:07 PM,47:35 PM,47:45 PM,47:53 PM,48:00 PM,48:08 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 466 , 0.026998 , 0.057641 , 0.041114 , 0.063599 , 0.056764 , 0.058613 , 0.067499 , 0.043112 , 0.043945 , 0.072581 , 0.058385 , 0.051866 , 0.045285 , 0.041123 , 0.038512 , 0.037662 , 0.029986 , 0.044199 , 0.037487 , 0.036435 , 0.03215 , 0.04022 , 0.042683 , 0.057658 , 0.063126 , 0.052287 , 0.039905 , 0.057947 , 0.038713 , 0.04539 , 0.047073 , 0.058561 , 0.044532 , 0.039108 , 0.048554 , 0.054872 , 0.049526 , 0.046118 , 0.071582 , 0.06607 , 0.043279 , 0.061575 , 0.069654 , 0.05566 , 0.078198 , 0.072222 , 0.069453 , 0.058613 , 0.054109 , 0.054477 , 0.041316 , 0.030476 , 0.030941 , 0.042192 , 0.061119 , 0.046258 , 0.054556 , 0.060357 , 0.068235 , 0.057132 , 0.049947 , 0.052839 , 0.049535 , 0.063976 , 0.05531 , 0.027313 , 0.039607 , 0.026393 , 0.03066 , 0.031081 , 0.032133 , 0.026656 , 0.021135 , 0.052988 , 0.06211 , 0.042692 , 0.05446 , 0.046319 , 0.066009 , 0.051927 , 0.051305 , 0.064616 , 0.041386 , 0.042823 , 0.049369 , 0.02316 , 0.052155 , 0.033473 , 0.049448 , 0.048247 , 0.038398 , 0.02521 , 0.043445 , 0.033946 , 0.036523 , 0.065124 , 0.093243 , 0.037951 , 0.058499 , 0.068164 , 0.049675 , 0.054801 , 0.055257 , 0.046363 , 0.056747 , 0.04865 , 0.049123 , 0.040992 , 0.048387 , 0.070232 , 0.07521 , 0.088476 , 0.062241 , 0.039852 , 0.085637 , 0.031212 , 0.036181 , 0.037285 , 0.059586 , 0.029004 , 0.026148 , 0.024194 , 0.050455 , 0.050622 , 0.071827 , 0.062442 , 0.054688 , 0.06586 , 0.07478 , 0.046214 , 0.074351 , 0.072143 , 0.074255 , 0.069251 , 0.068357 
 467 , 0.027066 , 0.057894 , 0.041262 , 0.063935 , 0.057 , 0.05878 , 0.067688 , 0.043217 , 0.044085 , 0.072817 , 0.058543 , 0.052055 , 0.045435 , 0.041244 , 0.038684 , 0.03779 , 0.0301 , 0.04433 , 0.037632 , 0.03658 , 0.032196 , 0.040271 , 0.042778 , 0.057833 , 0.063269 , 0.05252 , 0.040069 , 0.058184 , 0.038815 , 0.04554 , 0.04718 , 0.058683 , 0.044655 , 0.039201 , 0.048688 , 0.055071 , 0.049696 , 0.046312 , 0.071791 , 0.066311 , 0.043419 , 0.061822 , 0.069889 , 0.055895 , 0.078499 , 0.072528 , 0.069713 , 0.058841 , 0.054378 , 0.054712 , 0.041446 , 0.030582 , 0.031038 , 0.042331 , 0.061287 , 0.046408 , 0.054764 , 0.060656 , 0.068477 , 0.057316 , 0.050126 , 0.053063 , 0.049775 , 0.064207 , 0.055536 , 0.027426 , 0.039745 , 0.026497 , 0.030802 , 0.031214 , 0.032196 , 0.026707 , 0.021218 , 0.053107 , 0.062208 , 0.042822 , 0.054676 , 0.046452 , 0.066224 , 0.052099 , 0.051494 , 0.064821 , 0.041516 , 0.042901 , 0.049486 , 0.023209 , 0.052274 , 0.033572 , 0.049556 , 0.04846 , 0.038465 , 0.025243 , 0.043506 , 0.034028 , 0.036632 , 0.065338 , 0.093606 , 0.038053 , 0.058675 , 0.068381 , 0.049854 , 0.054983 , 0.055509 , 0.046496 , 0.056886 , 0.048855 , 0.049328 , 0.041113 , 0.048583 , 0.070538 , 0.075439 , 0.088748 , 0.062436 , 0.040025 , 0.085855 , 0.031284 , 0.036255 , 0.037386 , 0.059736 , 0.029074 , 0.026198 , 0.024234 , 0.050494 , 0.050836 , 0.072353 , 0.062699 , 0.054826 , 0.066013 , 0.075036 , 0.046382 , 0.074632 , 0.07237 , 0.07458 , 0.069503 , 0.068565 
 468 , 0.027141 , 0.058152 , 0.041413 , 0.064261 , 0.05723 , 0.058951 , 0.067878 , 0.043344 , 0.044222 , 0.073057 , 0.058714 , 0.052245 , 0.045591 , 0.041369 , 0.038868 , 0.037928 , 0.030213 , 0.044485 , 0.037805 , 0.036726 , 0.032258 , 0.040333 , 0.042879 , 0.058029 , 0.06341 , 0.052763 , 0.040246 , 0.058433 , 0.038929 , 0.045705 , 0.047294 , 0.058819 , 0.044801 , 0.039298 , 0.048821 , 0.055273 , 0.049866 , 0.046522 , 0.072003 , 0.066561 , 0.043572 , 0.062085 , 0.070125 , 0.056133 , 0.078806 , 0.072837 , 0.069984 , 0.059083 , 0.054659 , 0.054957 , 0.04158 , 0.030696 , 0.031143 , 0.042475 , 0.061461 , 0.046566 , 0.054957 , 0.060961 , 0.06872 , 0.057494 , 0.050296 , 0.053272 , 0.050006 , 0.064437 , 0.055756 , 0.027553 , 0.039886 , 0.026614 , 0.03095 , 0.031354 , 0.032284 , 0.026772 , 0.021303 , 0.053254 , 0.062313 , 0.042949 , 0.054896 , 0.046601 , 0.066438 , 0.052271 , 0.051683 , 0.065025 , 0.041659 , 0.042993 , 0.04962 , 0.02327 , 0.052403 , 0.033671 , 0.049673 , 0.048681 , 0.038543 , 0.025288 , 0.043572 , 0.034119 , 0.036743 , 0.065552 , 0.093965 , 0.038165 , 0.058846 , 0.068589 , 0.050042 , 0.055159 , 0.055756 , 0.046636 , 0.057037 , 0.04905 , 0.049541 , 0.041229 , 0.04876 , 0.070845 , 0.075664 , 0.089023 , 0.062629 , 0.040211 , 0.086074 , 0.031371 , 0.036331 , 0.037507 , 0.05989 , 0.029151 , 0.026245 , 0.024288 , 0.050533 , 0.05106 , 0.07289 , 0.062954 , 0.054966 , 0.066166 , 0.075286 , 0.046548 , 0.074917 , 0.072591 , 0.074909 , 0.069756 , 0.068773 
 469 , 0.027206 , 0.058411 , 0.041574 , 0.064597 , 0.057462 , 0.059131 , 0.068068 , 0.043463 , 0.04436 , 0.073306 , 0.058877 , 0.052444 , 0.045757 , 0.041495 , 0.039061 , 0.038068 , 0.030335 , 0.044632 , 0.03798 , 0.036864 , 0.032321 , 0.040388 , 0.04298 , 0.058218 , 0.06356 , 0.053007 , 0.040414 , 0.058692 , 0.039043 , 0.045871 , 0.047418 , 0.058947 , 0.044948 , 0.039395 , 0.048955 , 0.055476 , 0.050045 , 0.046732 , 0.072216 , 0.066812 , 0.043727 , 0.062348 , 0.070371 , 0.056381 , 0.079123 , 0.073156 , 0.070256 , 0.059316 , 0.054949 , 0.055203 , 0.041706 , 0.030809 , 0.031249 , 0.042628 , 0.061636 , 0.046723 , 0.055159 , 0.061267 , 0.068965 , 0.057673 , 0.050476 , 0.05349 , 0.050238 , 0.064668 , 0.055985 , 0.027681 , 0.040027 , 0.026732 , 0.031108 , 0.031486 , 0.032365 , 0.026837 , 0.021398 , 0.053393 , 0.062418 , 0.043085 , 0.055124 , 0.046741 , 0.066662 , 0.052435 , 0.051873 , 0.065239 , 0.041802 , 0.043077 , 0.049746 , 0.023331 , 0.052532 , 0.033779 , 0.049799 , 0.048903 , 0.038621 , 0.025326 , 0.043639 , 0.03421 , 0.036864 , 0.065766 , 0.094326 , 0.038279 , 0.059026 , 0.068798 , 0.050221 , 0.055344 , 0.056003 , 0.046776 , 0.057181 , 0.049245 , 0.049764 , 0.041354 , 0.048947 , 0.071162 , 0.075889 , 0.08929 , 0.062822 , 0.040388 , 0.086285 , 0.031459 , 0.036416 , 0.037628 , 0.060045 , 0.029227 , 0.026292 , 0.024333 , 0.050572 , 0.051284 , 0.073429 , 0.063218 , 0.055116 , 0.066328 , 0.075547 , 0.046723 , 0.075195 , 0.072822 , 0.075248 , 0.070019 , 0.068982 
 470 , 0.02725 , 0.058648 , 0.04171 , 0.064898 , 0.057699 , 0.059273 , 0.06823 , 0.043564 , 0.044479 , 0.073504 , 0.059009 , 0.052601 , 0.045885 , 0.041604 , 0.039222 , 0.038185 , 0.030423 , 0.044751 , 0.038097 , 0.03698 , 0.032348 , 0.040426 , 0.043055 , 0.058385 , 0.063676 , 0.053225 , 0.040549 , 0.058912 , 0.039134 , 0.046026 , 0.047502 , 0.059062 , 0.04505 , 0.039459 , 0.049067 , 0.055642 , 0.050175 , 0.046905 , 0.072405 , 0.067026 , 0.043863 , 0.062569 , 0.070559 , 0.056592 , 0.079385 , 0.073434 , 0.070498 , 0.059527 , 0.055203 , 0.055414 , 0.041798 , 0.030898 , 0.031337 , 0.042756 , 0.061769 , 0.046852 , 0.055326 , 0.061514 , 0.06917 , 0.05784 , 0.050614 , 0.053682 , 0.05043 , 0.064854 , 0.05617 , 0.027768 , 0.040145 , 0.026819 , 0.031223 , 0.031592 , 0.032401 , 0.026881 , 0.021457 , 0.053497 , 0.062516 , 0.043195 , 0.055291 , 0.046861 , 0.06685 , 0.052583 , 0.052021 , 0.065408 , 0.041921 , 0.043134 , 0.049849 , 0.023347 , 0.052627 , 0.033869 , 0.049876 , 0.049093 , 0.038659 , 0.025351 , 0.043687 , 0.034282 , 0.036954 , 0.065944 , 0.094627 , 0.038369 , 0.059158 , 0.068968 , 0.050377 , 0.055493 , 0.056214 , 0.046905 , 0.057312 , 0.049436 , 0.049946 , 0.041446 , 0.049102 , 0.071394 , 0.076088 , 0.089528 , 0.062973 , 0.040523 , 0.086478 , 0.031513 , 0.036471 , 0.037719 , 0.060169 , 0.02928 , 0.026318 , 0.024358 , 0.050614 , 0.051476 , 0.073926 , 0.063439 , 0.055229 , 0.066463 , 0.075772 , 0.04687 , 0.075429 , 0.073012 , 0.075508 , 0.070234 , 0.06917 
 471 , 0.027261 , 0.058861 , 0.041833 , 0.065179 , 0.057937 , 0.059389 , 0.068356 , 0.043637 , 0.044553 , 0.073653 , 0.05909 , 0.05271 , 0.045978 , 0.04171 , 0.039334 , 0.038252 , 0.030464 , 0.044834 , 0.038155 , 0.037073 , 0.032347 , 0.040434 , 0.043109 , 0.0585 , 0.063771 , 0.053405 , 0.040637 , 0.059107 , 0.039202 , 0.046163 , 0.047544 , 0.059151 , 0.045098 , 0.039502 , 0.049155 , 0.055772 , 0.050255 , 0.047043 , 0.072544 , 0.06722 , 0.043989 , 0.062741 , 0.070705 , 0.056766 , 0.079593 , 0.073653 , 0.070714 , 0.059697 , 0.05542 , 0.055579 , 0.041851 , 0.030966 , 0.031406 , 0.042837 , 0.061861 , 0.046955 , 0.055464 , 0.061703 , 0.069332 , 0.057998 , 0.050704 , 0.053836 , 0.050572 , 0.064985 , 0.056309 , 0.027798 , 0.040232 , 0.026874 , 0.0313 , 0.031661 , 0.032383 , 0.026883 , 0.021498 , 0.053555 , 0.062592 , 0.043285 , 0.055403 , 0.046972 , 0.066983 , 0.052701 , 0.052129 , 0.06554 , 0.041992 , 0.043162 , 0.049938 , 0.02331 , 0.052683 , 0.033958 , 0.049894 , 0.049243 , 0.038666 , 0.025361 , 0.043725 , 0.034345 , 0.037002 , 0.066068 , 0.09486 , 0.038419 , 0.059248 , 0.069095 , 0.050484 , 0.055605 , 0.056362 , 0.047025 , 0.057426 , 0.049621 , 0.050088 , 0.041508 , 0.049216 , 0.071532 , 0.076249 , 0.089721 , 0.063058 , 0.040584 , 0.086632 , 0.031529 , 0.036501 , 0.037786 , 0.060278 , 0.02932 , 0.026302 , 0.02434 , 0.050642 , 0.051654 , 0.074375 , 0.063639 , 0.055315 , 0.066569 , 0.07595 , 0.04699 , 0.075615 , 0.073169 , 0.075668 , 0.070406 , 0.069332 
 472 , 0.027282 , 0.059065 , 0.041958 , 0.065451 , 0.058184 , 0.059496 , 0.068482 , 0.043711 , 0.044636 , 0.073802 , 0.059179 , 0.052828 , 0.046071 , 0.041808 , 0.039456 , 0.038328 , 0.030506 , 0.044909 , 0.038214 , 0.037165 , 0.032347 , 0.040442 , 0.043173 , 0.058616 , 0.063866 , 0.053594 , 0.040724 , 0.059294 , 0.039271 , 0.046292 , 0.047595 , 0.059241 , 0.045155 , 0.039535 , 0.049234 , 0.055902 , 0.050344 , 0.047181 , 0.072684 , 0.067407 , 0.044125 , 0.062906 , 0.070843 , 0.056951 , 0.079801 , 0.073873 , 0.070931 , 0.059866 , 0.055638 , 0.055753 , 0.041896 , 0.031026 , 0.031475 , 0.042918 , 0.061945 , 0.047058 , 0.055594 , 0.061893 , 0.069495 , 0.058157 , 0.050793 , 0.053991 , 0.050714 , 0.065125 , 0.056457 , 0.027828 , 0.040319 , 0.026921 , 0.031378 , 0.03173 , 0.032365 , 0.026885 , 0.021529 , 0.053612 , 0.062668 , 0.043376 , 0.055515 , 0.047076 , 0.067116 , 0.052819 , 0.052229 , 0.065672 , 0.042072 , 0.043191 , 0.050018 , 0.023274 , 0.05274 , 0.034038 , 0.049921 , 0.049401 , 0.038672 , 0.02537 , 0.043755 , 0.034399 , 0.03706 , 0.066191 , 0.095094 , 0.038469 , 0.059338 , 0.069222 , 0.050599 , 0.055717 , 0.056519 , 0.047146 , 0.057541 , 0.049815 , 0.050238 , 0.04157 , 0.049331 , 0.071671 , 0.076419 , 0.089923 , 0.063152 , 0.040654 , 0.086796 , 0.031536 , 0.03654 , 0.037853 , 0.060377 , 0.029361 , 0.026286 , 0.024331 , 0.050679 , 0.051824 , 0.074824 , 0.063831 , 0.0554 , 0.066667 , 0.076128 , 0.047111 , 0.075793 , 0.073327 , 0.075837 , 0.070587 , 0.069495 
 473 , 0.027295 , 0.05928 , 0.04208 , 0.065734 , 0.058425 , 0.059615 , 0.068608 , 0.04379 , 0.044716 , 0.073959 , 0.059263 , 0.052941 , 0.046171 , 0.041912 , 0.039576 , 0.038403 , 0.030548 , 0.044989 , 0.038271 , 0.037249 , 0.032356 , 0.040449 , 0.043226 , 0.058734 , 0.06397 , 0.053788 , 0.04081 , 0.059492 , 0.039347 , 0.046426 , 0.047643 , 0.059333 , 0.045201 , 0.039576 , 0.049318 , 0.056027 , 0.050429 , 0.047325 , 0.072831 , 0.067594 , 0.044249 , 0.06308 , 0.070988 , 0.057129 , 0.080016 , 0.0741 , 0.071147 , 0.060038 , 0.055868 , 0.05593 , 0.041948 , 0.031095 , 0.031544 , 0.043006 , 0.06204 , 0.047158 , 0.055727 , 0.062084 , 0.069657 , 0.05831 , 0.050887 , 0.05414 , 0.050861 , 0.065266 , 0.0566 , 0.027859 , 0.040405 , 0.026978 , 0.031447 , 0.0318 , 0.032356 , 0.026889 , 0.021573 , 0.053664 , 0.062754 , 0.043473 , 0.05563 , 0.047184 , 0.06725 , 0.052941 , 0.052333 , 0.065804 , 0.04215 , 0.043217 , 0.050103 , 0.02324 , 0.052809 , 0.034128 , 0.049953 , 0.049556 , 0.038686 , 0.025382 , 0.043781 , 0.034463 , 0.037107 , 0.066324 , 0.09533 , 0.038527 , 0.059421 , 0.069348 , 0.050711 , 0.055833 , 0.056671 , 0.047264 , 0.057658 , 0.050006 , 0.050385 , 0.04163 , 0.04945 , 0.071808 , 0.076578 , 0.090119 , 0.063256 , 0.040731 , 0.086946 , 0.031553 , 0.03657 , 0.037919 , 0.060479 , 0.029402 , 0.026272 , 0.024315 , 0.050711 , 0.051998 , 0.075282 , 0.064023 , 0.05548 , 0.066774 , 0.076313 , 0.047228 , 0.075969 , 0.073483 , 0.076013 , 0.07075 , 0.069657 
 474 , 0.027334 , 0.059519 , 0.042214 , 0.066037 , 0.058663 , 0.059713 , 0.068718 , 0.043854 , 0.044816 , 0.074099 , 0.059387 , 0.053036 , 0.046289 , 0.042011 , 0.039682 , 0.038492 , 0.030624 , 0.045071 , 0.038368 , 0.037327 , 0.032379 , 0.040485 , 0.043281 , 0.058857 , 0.06407 , 0.05398 , 0.040917 , 0.059695 , 0.039418 , 0.0465 , 0.047717 , 0.059422 , 0.045257 , 0.039629 , 0.049429 , 0.056158 , 0.050558 , 0.047471 , 0.072979 , 0.067792 , 0.044366 , 0.063223 , 0.071153 , 0.057287 , 0.080211 , 0.074337 , 0.071409 , 0.060207 , 0.05607 , 0.056114 , 0.042011 , 0.031162 , 0.031638 , 0.043104 , 0.062165 , 0.047259 , 0.05585 , 0.062262 , 0.069812 , 0.058434 , 0.05099 , 0.054262 , 0.050999 , 0.06542 , 0.056723 , 0.027934 , 0.040485 , 0.027034 , 0.031515 , 0.031876 , 0.032397 , 0.026937 , 0.021636 , 0.053742 , 0.062862 , 0.043572 , 0.055753 , 0.047321 , 0.067395 , 0.05308 , 0.052445 , 0.065975 , 0.042249 , 0.04329 , 0.050187 , 0.023241 , 0.052921 , 0.034205 , 0.050037 , 0.049728 , 0.038721 , 0.025393 , 0.043792 , 0.034514 , 0.037151 , 0.066478 , 0.095532 , 0.038589 , 0.05951 , 0.069503 , 0.05084 , 0.055947 , 0.056811 , 0.047347 , 0.057746 , 0.050169 , 0.050531 , 0.041755 , 0.049596 , 0.071955 , 0.076727 , 0.09031 , 0.063435 , 0.040855 , 0.087065 , 0.031594 , 0.036613 , 0.037998 , 0.060569 , 0.029424 , 0.026284 , 0.024344 , 0.050716 , 0.052189 , 0.075775 , 0.064238 , 0.055594 , 0.066919 , 0.076507 , 0.047356 , 0.076163 , 0.073614 , 0.07618 , 0.070871 , 0.069795 
 475 , 0.027371 , 0.059747 , 0.042341 , 0.06634 , 0.058891 , 0.059817 , 0.068829 , 0.043921 , 0.044918 , 0.074231 , 0.059509 , 0.053136 , 0.046401 , 0.042111 , 0.03979 , 0.03859 , 0.03069 , 0.045148 , 0.038457 , 0.037407 , 0.032411 , 0.040514 , 0.043338 , 0.058979 , 0.06416 , 0.054168 , 0.041017 , 0.059906 , 0.03949 , 0.046586 , 0.047787 , 0.059509 , 0.045298 , 0.039684 , 0.049535 , 0.056278 , 0.050691 , 0.04761 , 0.073128 , 0.067991 , 0.044477 , 0.063366 , 0.07131 , 0.057443 , 0.080401 , 0.074567 , 0.071672 , 0.060365 , 0.056278 , 0.056296 , 0.042076 , 0.031219 , 0.03174 , 0.043197 , 0.06228 , 0.047354 , 0.05596 , 0.06243 , 0.069968 , 0.058555 , 0.051097 , 0.05438 , 0.051141 , 0.065581 , 0.056852 , 0.028015 , 0.040558 , 0.027097 , 0.031581 , 0.031952 , 0.032446 , 0.026974 , 0.021704 , 0.053815 , 0.062969 , 0.043674 , 0.055872 , 0.04746 , 0.067532 , 0.053224 , 0.052553 , 0.066137 , 0.04235 , 0.043365 , 0.050276 , 0.023249 , 0.053039 , 0.034282 , 0.050117 , 0.049896 , 0.038757 , 0.025412 , 0.043806 , 0.034565 , 0.037195 , 0.066632 , 0.095733 , 0.038651 , 0.059588 , 0.069659 , 0.050964 , 0.056057 , 0.056949 , 0.047434 , 0.05784 , 0.050329 , 0.050682 , 0.041873 , 0.049738 , 0.072095 , 0.076862 , 0.090499 , 0.063613 , 0.040973 , 0.087189 , 0.031634 , 0.036648 , 0.038078 , 0.060656 , 0.029454 , 0.026303 , 0.024361 , 0.050735 , 0.052377 , 0.076261 , 0.064451 , 0.055704 , 0.067055 , 0.076694 , 0.047469 , 0.076341 , 0.073746 , 0.07635 , 0.070992 , 0.069933 
 476 , 0.027417 , 0.059975 , 0.042468 , 0.066644 , 0.059118 , 0.059922 , 0.06894 , 0.043987 , 0.045012 , 0.074372 , 0.059621 , 0.053235 , 0.046514 , 0.042203 , 0.039898 , 0.038679 , 0.030756 , 0.045224 , 0.038546 , 0.037486 , 0.032443 , 0.040551 , 0.043387 , 0.0591 , 0.064259 , 0.054366 , 0.041117 , 0.060116 , 0.039562 , 0.046664 , 0.047856 , 0.059595 , 0.045348 , 0.039739 , 0.04964 , 0.056406 , 0.050815 , 0.04775 , 0.073268 , 0.068189 , 0.044588 , 0.063517 , 0.071475 , 0.057608 , 0.080591 , 0.074796 , 0.071934 , 0.060522 , 0.056486 , 0.056477 , 0.042132 , 0.031286 , 0.031833 , 0.043298 , 0.062395 , 0.047459 , 0.056079 , 0.062607 , 0.070132 , 0.058676 , 0.051195 , 0.054498 , 0.051283 , 0.065743 , 0.056972 , 0.028088 , 0.040631 , 0.027152 , 0.031648 , 0.032028 , 0.032487 , 0.02702 , 0.021764 , 0.053898 , 0.063084 , 0.043767 , 0.055982 , 0.047591 , 0.067677 , 0.053368 , 0.052661 , 0.066299 , 0.04245 , 0.04344 , 0.050365 , 0.023257 , 0.053156 , 0.03436 , 0.050197 , 0.050073 , 0.038785 , 0.025421 , 0.043811 , 0.034616 , 0.037239 , 0.066776 , 0.095933 , 0.038714 , 0.059666 , 0.069814 , 0.051089 , 0.056168 , 0.057078 , 0.04752 , 0.057934 , 0.050488 , 0.050824 , 0.041991 , 0.049879 , 0.072244 , 0.077004 , 0.090695 , 0.063782 , 0.04109 , 0.087303 , 0.031674 , 0.036683 , 0.038158 , 0.060743 , 0.029484 , 0.026313 , 0.024387 , 0.050744 , 0.052564 , 0.076739 , 0.064656 , 0.055814 , 0.067191 , 0.076881 , 0.047591 , 0.076527 , 0.073869 , 0.076519 , 0.071113 , 0.070071 
 477 , 0.027464 , 0.060233 , 0.042611 , 0.066953 , 0.059331 , 0.060039 , 0.069058 , 0.044061 , 0.045113 , 0.074496 , 0.059738 , 0.053336 , 0.046625 , 0.042336 , 0.040011 , 0.038773 , 0.030824 , 0.045325 , 0.038632 , 0.037588 , 0.032469 , 0.040595 , 0.043477 , 0.059207 , 0.06438 , 0.054574 , 0.041231 , 0.060313 , 0.039648 , 0.046793 , 0.047942 , 0.059694 , 0.045422 , 0.039816 , 0.049764 , 0.056528 , 0.050949 , 0.047898 , 0.073399 , 0.068368 , 0.044706 , 0.063673 , 0.071648 , 0.057766 , 0.080756 , 0.075035 , 0.072179 , 0.060684 , 0.056732 , 0.05667 , 0.042213 , 0.031354 , 0.031929 , 0.043406 , 0.062523 , 0.047553 , 0.056228 , 0.062815 , 0.070287 , 0.058818 , 0.051302 , 0.054645 , 0.051426 , 0.065892 , 0.057121 , 0.028171 , 0.040727 , 0.027225 , 0.031744 , 0.032115 , 0.032539 , 0.027066 , 0.021831 , 0.053973 , 0.063178 , 0.043866 , 0.056104 , 0.047695 , 0.067811 , 0.053504 , 0.052797 , 0.066467 , 0.042558 , 0.043512 , 0.050471 , 0.023255 , 0.053257 , 0.034458 , 0.050286 , 0.050259 , 0.038835 , 0.025439 , 0.043875 , 0.03467 , 0.037296 , 0.066927 , 0.096124 , 0.038791 , 0.059764 , 0.069986 , 0.051232 , 0.056281 , 0.057253 , 0.047615 , 0.058058 , 0.050666 , 0.050966 , 0.042071 , 0.05002 , 0.072382 , 0.077139 , 0.09088 , 0.06392 , 0.041196 , 0.087441 , 0.031717 , 0.036739 , 0.038234 , 0.060834 , 0.029533 , 0.026341 , 0.024413 , 0.050772 , 0.052744 , 0.077237 , 0.064893 , 0.055945 , 0.067333 , 0.077095 , 0.047721 , 0.076697 , 0.074009 , 0.07668 , 0.071268 , 0.070207 
 478 , 0.027518 , 0.060496 , 0.042759 , 0.067258 , 0.059549 , 0.060169 , 0.069188 , 0.044131 , 0.045219 , 0.074613 , 0.05985 , 0.053442 , 0.046724 , 0.042476 , 0.040139 , 0.038864 , 0.030899 , 0.045441 , 0.038705 , 0.037687 , 0.03251 , 0.040635 , 0.043582 , 0.059319 , 0.064506 , 0.054787 , 0.04136 , 0.060505 , 0.03975 , 0.046937 , 0.048025 , 0.059788 , 0.045512 , 0.039891 , 0.049902 , 0.056664 , 0.051088 , 0.048043 , 0.073525 , 0.068542 , 0.044821 , 0.063833 , 0.071825 , 0.057929 , 0.080924 , 0.07526 , 0.07241 , 0.060841 , 0.056982 , 0.056858 , 0.042299 , 0.03143 , 0.032023 , 0.04352 , 0.062656 , 0.047662 , 0.05638 , 0.063036 , 0.070436 , 0.058956 , 0.051415 , 0.054787 , 0.051557 , 0.066037 , 0.057274 , 0.028261 , 0.040829 , 0.027296 , 0.031846 , 0.032191 , 0.032589 , 0.02711 , 0.021906 , 0.054053 , 0.063267 , 0.043963 , 0.05623 , 0.047777 , 0.06794 , 0.053646 , 0.052955 , 0.066639 , 0.04267 , 0.0436 , 0.050592 , 0.023251 , 0.053345 , 0.034572 , 0.05038 , 0.05045 , 0.038882 , 0.025464 , 0.043945 , 0.03474 , 0.037369 , 0.067072 , 0.096316 , 0.038873 , 0.059877 , 0.070153 , 0.051389 , 0.05638 , 0.057434 , 0.047707 , 0.058195 , 0.050858 , 0.051114 , 0.042139 , 0.050158 , 0.072525 , 0.077278 , 0.091076 , 0.064037 , 0.041298 , 0.087571 , 0.031757 , 0.036811 , 0.038307 , 0.060921 , 0.02958 , 0.026376 , 0.024429 , 0.050813 , 0.052929 , 0.077729 , 0.065134 , 0.056071 , 0.067471 , 0.077313 , 0.047866 , 0.076853 , 0.074162 , 0.076844 , 0.071436 , 0.070338 
