  time  ,:46:36 A,:47:21 A,:47:42 A,:48:05 A,:48:23 A,:48:59 A,:49:19 A,:49:38 A,:50:01 A,:50:27 A,:52:51 A,:53:12 A,:53:30 A,:53:47 A,:54:07 A,:55:48 A,:56:06 A,:56:18 A,:56:32 A,:56:48 A,:02:00 P,:02:33 P,:03:00 P,:03:40 P,:03:56 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,
 342 , 0.022562 , 0.030979 , 0.026128 , 0.035902 , 0.033194 , 0.022153 , 0.024812 , 0.023499 , 0.02344 , 0.030345 , 0.030065 , 0.028904 , 0.03037 , 0.03184 , 0.030941 , 0.035222 , 0.033918 , 0.029087 , 0.021352 , 0.032853 , 0.033121 , 0.028543 , 0.031082 , 0.029478 , 0.030652 
 343 , 0.022459 , 0.031008 , 0.025989 , 0.035684 , 0.033295 , 0.021875 , 0.024398 , 0.023205 , 0.023375 , 0.03047 , 0.030127 , 0.028708 , 0.030345 , 0.031766 , 0.030648 , 0.034861 , 0.033298 , 0.028888 , 0.020761 , 0.032322 , 0.032934 , 0.028335 , 0.03086 , 0.029384 , 0.03059 
 344 , 0.022382 , 0.031057 , 0.025886 , 0.035498 , 0.033416 , 0.021639 , 0.024037 , 0.022954 , 0.023327 , 0.030611 , 0.03021 , 0.028549 , 0.030331 , 0.031718 , 0.0304 , 0.034554 , 0.032754 , 0.028724 , 0.020239 , 0.031855 , 0.032788 , 0.028165 , 0.030678 , 0.029315 , 0.03055 
 345 , 0.022253 , 0.031062 , 0.025743 , 0.035303 , 0.033475 , 0.021393 , 0.023699 , 0.022692 , 0.023203 , 0.030664 , 0.030245 , 0.028375 , 0.030233 , 0.031607 , 0.030152 , 0.034297 , 0.032259 , 0.028515 , 0.019766 , 0.031449 , 0.03261 , 0.027988 , 0.030476 , 0.029204 , 0.030497 
 346 , 0.021302 , 0.030418 , 0.024874 , 0.034698 , 0.032705 , 0.02066 , 0.023148 , 0.021921 , 0.022004 , 0.029611 , 0.029546 , 0.027725 , 0.029034 , 0.030566 , 0.029531 , 0.034161 , 0.031636 , 0.027502 , 0.01923 , 0.031151 , 0.031731 , 0.027394 , 0.029711 , 0.028343 , 0.030078 
 347 , 0.020467 , 0.029853 , 0.024109 , 0.034174 , 0.032026 , 0.020017 , 0.022668 , 0.021246 , 0.020949 , 0.028684 , 0.028938 , 0.027157 , 0.02798 , 0.02965 , 0.02899 , 0.034056 , 0.031097 , 0.026613 , 0.018764 , 0.030908 , 0.030957 , 0.026879 , 0.029039 , 0.027592 , 0.029724 
 348 , 0.019728 , 0.029354 , 0.02343 , 0.033718 , 0.031424 , 0.019449 , 0.022248 , 0.020649 , 0.020015 , 0.027862 , 0.028405 , 0.026656 , 0.027047 , 0.028838 , 0.028514 , 0.033975 , 0.030628 , 0.025825 , 0.018356 , 0.03071 , 0.030268 , 0.026429 , 0.028445 , 0.026934 , 0.029422 
 349 , 0.019772 , 0.029219 , 0.023521 , 0.033618 , 0.031371 , 0.019487 , 0.022074 , 0.020702 , 0.020014 , 0.027774 , 0.02828 , 0.026341 , 0.026673 , 0.028922 , 0.028403 , 0.033785 , 0.030579 , 0.025823 , 0.018148 , 0.030397 , 0.030205 , 0.026146 , 0.028315 , 0.026742 , 0.029445 
 350 , 0.020096 , 0.029224 , 0.023885 , 0.03365 , 0.031517 , 0.019746 , 0.021995 , 0.020986 , 0.020348 , 0.027959 , 0.028308 , 0.02611 , 0.026521 , 0.029335 , 0.028432 , 0.033563 , 0.030678 , 0.026104 , 0.018027 , 0.030054 , 0.030371 , 0.025936 , 0.028363 , 0.026729 , 0.029577 
 351 , 0.020387 , 0.029227 , 0.024213 , 0.033675 , 0.031645 , 0.019983 , 0.021917 , 0.021243 , 0.020645 , 0.028133 , 0.028331 , 0.025898 , 0.026379 , 0.029723 , 0.028461 , 0.033358 , 0.03076 , 0.026354 , 0.017919 , 0.029733 , 0.030519 , 0.025739 , 0.028407 , 0.026712 , 0.029689 
 352 , 0.020454 , 0.029218 , 0.024322 , 0.033707 , 0.031669 , 0.020068 , 0.021814 , 0.02132 , 0.020802 , 0.028172 , 0.028294 , 0.025752 , 0.02629 , 0.029828 , 0.02849 , 0.033172 , 0.030758 , 0.026417 , 0.017801 , 0.029543 , 0.030495 , 0.025629 , 0.028363 , 0.026677 , 0.02958 
 353 , 0.02011 , 0.029188 , 0.02404 , 0.033753 , 0.031501 , 0.019874 , 0.021656 , 0.021075 , 0.020718 , 0.027961 , 0.028145 , 0.025713 , 0.02629 , 0.029403 , 0.028516 , 0.032998 , 0.030611 , 0.026137 , 0.017646 , 0.02958 , 0.030147 , 0.02567 , 0.028146 , 0.026609 , 0.029056 
 354 , 0.019788 , 0.029159 , 0.023776 , 0.033797 , 0.031346 , 0.019694 , 0.02151 , 0.020846 , 0.02064 , 0.027764 , 0.028004 , 0.025679 , 0.026291 , 0.029006 , 0.028546 , 0.032837 , 0.030475 , 0.025876 , 0.017502 , 0.02962 , 0.029823 , 0.025713 , 0.027943 , 0.026546 , 0.028566 
 355 , 0.019487 , 0.029133 , 0.023529 , 0.033839 , 0.0312 , 0.019526 , 0.021374 , 0.020631 , 0.020567 , 0.02758 , 0.027872 , 0.025648 , 0.026294 , 0.028635 , 0.028578 , 0.032686 , 0.030348 , 0.025632 , 0.017367 , 0.029663 , 0.029519 , 0.025759 , 0.027753 , 0.026487 , 0.028107 
 356 , 0.019526 , 0.02903 , 0.023399 , 0.033572 , 0.031232 , 0.019416 , 0.021248 , 0.020492 , 0.020403 , 0.027554 , 0.027623 , 0.025457 , 0.026151 , 0.028435 , 0.028404 , 0.032528 , 0.030206 , 0.025521 , 0.017191 , 0.02959 , 0.029478 , 0.025505 , 0.027491 , 0.026307 , 0.028046 
 357 , 0.019581 , 0.028928 , 0.023281 , 0.033302 , 0.031272 , 0.019315 , 0.021129 , 0.020363 , 0.020244 , 0.027537 , 0.027381 , 0.025266 , 0.026008 , 0.028253 , 0.028227 , 0.032377 , 0.03007 , 0.025422 , 0.01702 , 0.029517 , 0.029453 , 0.025248 , 0.027237 , 0.02613 , 0.028006 
 358 , 0.019635 , 0.028831 , 0.023168 , 0.033045 , 0.031309 , 0.019218 , 0.021014 , 0.02024 , 0.020093 , 0.027521 , 0.02715 , 0.025085 , 0.025873 , 0.02808 , 0.028058 , 0.032233 , 0.02994 , 0.025327 , 0.016858 , 0.029447 , 0.02943 , 0.025006 , 0.026997 , 0.025961 , 0.027969 
 359 , 0.019722 , 0.028845 , 0.023231 , 0.033055 , 0.031324 , 0.019184 , 0.020984 , 0.020202 , 0.02011 , 0.027501 , 0.027171 , 0.025082 , 0.025962 , 0.028107 , 0.028091 , 0.032318 , 0.030035 , 0.025338 , 0.016887 , 0.029353 , 0.029408 , 0.024951 , 0.026899 , 0.025859 , 0.028105 
 360 , 0.019824 , 0.028932 , 0.023407 , 0.033236 , 0.031316 , 0.019189 , 0.021008 , 0.020217 , 0.020239 , 0.027473 , 0.027365 , 0.025196 , 0.026198 , 0.028264 , 0.028254 , 0.032552 , 0.03028 , 0.025417 , 0.017042 , 0.029237 , 0.029377 , 0.025027 , 0.026895 , 0.025799 , 0.028357 
 361 , 0.019915 , 0.029009 , 0.023565 , 0.033391 , 0.031301 , 0.01919 , 0.021025 , 0.020222 , 0.020355 , 0.027439 , 0.027544 , 0.025294 , 0.026413 , 0.0284 , 0.028398 , 0.032764 , 0.030503 , 0.025487 , 0.017183 , 0.029119 , 0.029339 , 0.025096 , 0.026883 , 0.025736 , 0.02859 
 362 , 0.019969 , 0.029107 , 0.023713 , 0.033549 , 0.031288 , 0.019188 , 0.020998 , 0.020207 , 0.020416 , 0.02741 , 0.02766 , 0.025351 , 0.026559 , 0.028501 , 0.028498 , 0.032921 , 0.03066 , 0.025516 , 0.017259 , 0.029017 , 0.02934 , 0.025154 , 0.026866 , 0.025712 , 0.028751 
 363 , 0.019928 , 0.029349 , 0.023889 , 0.033842 , 0.031338 , 0.019206 , 0.020848 , 0.020173 , 0.020323 , 0.027447 , 0.027576 , 0.025324 , 0.02651 , 0.028553 , 0.02851 , 0.032955 , 0.030638 , 0.025439 , 0.017142 , 0.029011 , 0.029553 , 0.025204 , 0.026881 , 0.025874 , 0.028699 
 364 , 0.019893 , 0.029591 , 0.02406 , 0.034129 , 0.03139 , 0.019227 , 0.02071 , 0.020145 , 0.020238 , 0.027487 , 0.027499 , 0.025303 , 0.026468 , 0.028608 , 0.028527 , 0.032992 , 0.030622 , 0.025372 , 0.017034 , 0.029012 , 0.029766 , 0.025257 , 0.0269 , 0.026036 , 0.028653 
 365 , 0.019863 , 0.029831 , 0.024227 , 0.034412 , 0.031442 , 0.019251 , 0.020582 , 0.020123 , 0.020161 , 0.027531 , 0.027428 , 0.025288 , 0.026432 , 0.028667 , 0.028548 , 0.033033 , 0.03061 , 0.025313 , 0.016934 , 0.029019 , 0.029978 , 0.025312 , 0.026923 , 0.026196 , 0.028613 
 366 , 0.019922 , 0.02996 , 0.024195 , 0.034401 , 0.031593 , 0.01916 , 0.020643 , 0.020193 , 0.020143 , 0.027539 , 0.027534 , 0.025359 , 0.02661 , 0.028813 , 0.028662 , 0.033122 , 0.030674 , 0.025336 , 0.016855 , 0.029127 , 0.030055 , 0.025431 , 0.027051 , 0.026198 , 0.028693 
 367 , 0.019995 , 0.030057 , 0.024119 , 0.034325 , 0.031758 , 0.019044 , 0.02074 , 0.020276 , 0.020135 , 0.027536 , 0.027674 , 0.025444 , 0.026829 , 0.028971 , 0.02879 , 0.033216 , 0.030749 , 0.025371 , 0.01678 , 0.02925 , 0.030096 , 0.025557 , 0.027195 , 0.026162 , 0.028794 
 368 , 0.020066 , 0.030153 , 0.024045 , 0.034253 , 0.031919 , 0.018933 , 0.020833 , 0.020358 , 0.020129 , 0.027533 , 0.02781 , 0.025524 , 0.027041 , 0.029124 , 0.028913 , 0.033305 , 0.030822 , 0.025408 , 0.016706 , 0.029369 , 0.030136 , 0.02568 , 0.027336 , 0.026127 , 0.028892 
 369 , 0.02025 , 0.030373 , 0.024182 , 0.034399 , 0.032188 , 0.018992 , 0.020988 , 0.020492 , 0.020229 , 0.027696 , 0.02803 , 0.025708 , 0.027298 , 0.029364 , 0.029177 , 0.033467 , 0.031046 , 0.025567 , 0.016815 , 0.029642 , 0.03032 , 0.02589 , 0.027587 , 0.026309 , 0.029114 
 370 , 0.020576 , 0.030757 , 0.02458 , 0.034817 , 0.032597 , 0.019261 , 0.02122 , 0.020695 , 0.020465 , 0.028067 , 0.028359 , 0.02602 , 0.027616 , 0.029717 , 0.029621 , 0.033721 , 0.031461 , 0.025885 , 0.017149 , 0.030114 , 0.030687 , 0.026214 , 0.027985 , 0.026762 , 0.029492 
 371 , 0.020906 , 0.031146 , 0.024985 , 0.035246 , 0.033013 , 0.019535 , 0.021458 , 0.020904 , 0.020706 , 0.028444 , 0.028694 , 0.026341 , 0.027937 , 0.030075 , 0.030071 , 0.033982 , 0.03188 , 0.026205 , 0.017488 , 0.030593 , 0.031057 , 0.026543 , 0.028384 , 0.027218 , 0.029874 
 372 , 0.021211 , 0.031514 , 0.025371 , 0.035667 , 0.033402 , 0.019785 , 0.02167 , 0.021104 , 0.020933 , 0.02879 , 0.029011 , 0.026643 , 0.028237 , 0.030423 , 0.030483 , 0.03422 , 0.032271 , 0.026501 , 0.01779 , 0.031039 , 0.031403 , 0.026842 , 0.028751 , 0.027642 , 0.03024 
 373 , 0.021159 , 0.0316 , 0.025456 , 0.035962 , 0.033414 , 0.019697 , 0.021564 , 0.021171 , 0.020956 , 0.028711 , 0.029075 , 0.026666 , 0.02823 , 0.030624 , 0.030323 , 0.034083 , 0.032247 , 0.026466 , 0.017595 , 0.031046 , 0.031403 , 0.026728 , 0.028709 , 0.027619 , 0.030392 
 374 , 0.021109 , 0.031674 , 0.025533 , 0.036233 , 0.033419 , 0.01961 , 0.021446 , 0.021226 , 0.020967 , 0.02863 , 0.02913 , 0.02668 , 0.028222 , 0.03081 , 0.030173 , 0.03396 , 0.032226 , 0.026423 , 0.017401 , 0.031042 , 0.031402 , 0.026606 , 0.028661 , 0.027589 , 0.030521 
 375 , 0.021062 , 0.031739 , 0.025603 , 0.036483 , 0.033419 , 0.019524 , 0.021321 , 0.021271 , 0.02097 , 0.028548 , 0.029177 , 0.026685 , 0.028213 , 0.030984 , 0.03003 , 0.033847 , 0.032207 , 0.026374 , 0.017207 , 0.031029 , 0.031401 , 0.026479 , 0.028607 , 0.027551 , 0.030631 
 376 , 0.021237 , 0.032103 , 0.025933 , 0.036873 , 0.033758 , 0.019618 , 0.021496 , 0.021469 , 0.021178 , 0.028905 , 0.029373 , 0.026912 , 0.028407 , 0.031359 , 0.030286 , 0.034238 , 0.032464 , 0.026604 , 0.017279 , 0.031329 , 0.03159 , 0.026708 , 0.028774 , 0.027954 , 0.030915 
 377 , 0.021506 , 0.032589 , 0.026368 , 0.037311 , 0.034224 , 0.019778 , 0.021789 , 0.021724 , 0.021472 , 0.02942 , 0.029639 , 0.027224 , 0.028683 , 0.031808 , 0.030701 , 0.034792 , 0.032819 , 0.026941 , 0.017455 , 0.03175 , 0.031858 , 0.027073 , 0.029035 , 0.0285 , 0.031245 
 378 , 0.021778 , 0.033074 , 0.026802 , 0.037743 , 0.034677 , 0.019932 , 0.022078 , 0.021976 , 0.02177 , 0.02991 , 0.029915 , 0.02753 , 0.02896 , 0.032246 , 0.031113 , 0.035298 , 0.033158 , 0.027274 , 0.017628 , 0.032165 , 0.032129 , 0.027427 , 0.029302 , 0.029006 , 0.03155 
