MAT_00009.ref_MAT_DARK.spu,MAT_00008.ref_MAT_DARK.spu,MAT_00007.ref_MAT_DARK.spu,MAT_00006.ref_MAT_DARK.spu,MAT_00005.ref_MAT_DARK.spu,
Wavelength,MAT_00010_B2_P.spu,MAT_00011_B2_P.spu,MAT_00012_B2_P.spu,MAT_00013_B2_P.spu,MAT_00014_B2_P.spu,MAT_00015_B2_CT2.spu,MAT_00016_B2_CT2.spu,MAT_00017_B2_CT2.spu,MAT_00018_B2_CT2.spu,MAT_00019_B2_CT2.spu,MAT_00020_B2_CT1.spu,MAT_00021_B2_CT1.spu,MAT_00022_B2_CT1.spu,MAT_00023_B2_CT1.spu,MAT_00024_B2_CT1.spu,MAT_00025_B2_N.spu,MAT_00026_B2_N.spu,MAT_00027_B2_N.spu,MAT_00028_B2_N.spu,MAT_00029_B2_N.spu,MAT_00030_B2_NP.spu,MAT_00031_B2_NP.spu,MAT_00032_B2_NP.spu,MAT_00033_B2_NP.spu,MAT_00034_B2_NP.spu,MAT_00040_B4_CT2.spu,MAT_00041_B4_CT2.spu,MAT_00042_B4_CT2.spu,MAT_00043_B4_CT2.spu,MAT_00044_B4_CT2.spu,MAT_00045_B4_CT1.spu,MAT_00046_B4_CT1.spu,MAT_00047_B4_CT1.spu,MAT_00048_B4_CT1.spu,MAT_00049_B4_CT1.spu,MAT_00050_B4_N.spu,MAT_00051_B4_N.spu,MAT_00052_B4_N.spu,MAT_00053_B4_N.spu,MAT_00054_B4_N.spu,MAT_00055_B4_P.spu,MAT_00056_B4_P.spu,MAT_00057_B4_P.spu,MAT_00058_B4_P.spu,MAT_00059_B4_P.spu,MAT_00060_B4_NP.spu,MAT_00061_B4_NP.spu,MAT_00062_B4_NP.spu,MAT_00063_B4_NP.spu,MAT_00064_B4_NP.spu,MAT_00065_B3_N.spu,MAT_00066_B3_N.spu,MAT_00067_B3_N.spu,MAT_00068_B3_N.spu,MAT_00069_B3_N.spu,MAT_00070_B3_CT2.spu,MAT_00071_B3_CT2.spu,MAT_00072_B3_CT2.spu,MAT_00073_B3_CT2.spu,MAT_00074_B3_CT2.spu,MAT_00075_B3_CT1.spu,MAT_00076_B3_CT1.spu,MAT_00077_B3_CT1.spu,MAT_00078_B3_CT1.spu,MAT_00079_B3_CT1.spu,MAT_00080_B3_NP.spu,MAT_00081_B3_NP.spu,MAT_00082_B3_NP.spu,MAT_00083_B3_NP.spu,MAT_00084_B3_NP.spu,MAT_00085_B3_P.spu,MAT_00086_B3_P.spu,MAT_00087_B3_P.spu,MAT_00088_B3_P.spu,MAT_00089_B3_P.spu,MAT_00090_B1_CT2.spu,MAT_00091_B1_CT2.spu,MAT_00092_B1_CT2.spu,MAT_00093_B1_CT2.spu,MAT_00094_B1_CT2.spu,MAT_00095_B1_NP.spu,MAT_00096_B1_NP.spu,MAT_00097_B1_NP.spu,MAT_00098_B1_NP.spu,MAT_00099_B1_NP.spu,MAT_00100_B1_N.spu,MAT_00101_B1_N.spu,MAT_00102_B1_N.spu,MAT_00103_B1_N.spu,MAT_00104_B1_N.spu,MAT_00105_B1_P.spu,MAT_00106_B1_P.spu,MAT_00107_B1_P.spu,MAT_00108_B1_P.spu,MAT_00109_B1_P.spu,MAT_00110_B1_CT1.spu,MAT_00111_B1_CT1.spu,MAT_00112_B1_CT1.spu,MAT_00113_B1_CT1.spu,MAT_00114_B1_CT1.spu
 567 , 0.072567 , 0.079317 , 0.080786 , 0.09112 , 0.055774 , 0.062663 , 0.079342 , 0.095818 , 0.052418 , 0.091234 , 0.109952 , 0.105405 , 0.050366 , 0.072617 , 0.083053 , 0.080241 , 0.084079 , 0.099922 , 0.080165 , 0.081356 , 0.058066 , 0.051785 , 0.108609 , 0.081774 , 0.089714 , 0.06108 , 0.068375 , 0.093754 , 0.086257 , 0.079292 , 0.072313 , 0.055014 , 0.052899 , 0.077291 , 0.09378 , 0.083623 , 0.068198 , 0.077443 , 0.091171 , 0.091069 , 0.089917 , 0.069097 , 0.088878 , 0.073681 , 0.083395 , 0.060181 , 0.062701 , 0.033282 , 0.040247 , 0.061789 , 0.065449 , 0.065918 , 0.065627 , 0.087194 , 0.064993 , 0.083293 , 0.088321 , 0.091829 , 0.074606 , 0.099453 , 0.083825 , 0.075214 , 0.099137 , 0.092323 , 0.068856 , 0.053469 , 0.071946 , 0.069641 , 0.054761 , 0.065627 , 0.098643 , 0.091462 , 0.081837 , 0.065677 , 0.090208 , 0.079747 , 0.098769 , 0.081989 , 0.077835 , 0.087536 , 0.087473 , 0.085864 , 0.070224 , 0.069033 , 0.064614 , 0.072085 , 0.041704 , 0.067311 , 0.061954 , 0.056369 , 0.086523 , 0.106343 , 0.1156 , 0.099833 , 0.114904 , 0.08841 , 0.069958 , 0.087422 , 0.08803 , 0.074694 
 568 , 0.071823 , 0.078617 , 0.080142 , 0.090478 , 0.055222 , 0.062041 , 0.07907 , 0.095205 , 0.052146 , 0.090692 , 0.109461 , 0.10481 , 0.050256 , 0.072112 , 0.08231 , 0.079146 , 0.083381 , 0.098797 , 0.079045 , 0.080558 , 0.057781 , 0.05134 , 0.107242 , 0.081402 , 0.089066 , 0.060566 , 0.067575 , 0.092532 , 0.085663 , 0.078919 , 0.07186 , 0.05473 , 0.052663 , 0.076701 , 0.093263 , 0.083054 , 0.067663 , 0.076751 , 0.090339 , 0.090188 , 0.089129 , 0.068545 , 0.088637 , 0.073159 , 0.082801 , 0.059344 , 0.06194 , 0.033063 , 0.039894 , 0.061159 , 0.064764 , 0.065268 , 0.064827 , 0.086243 , 0.064398 , 0.082776 , 0.087415 , 0.091158 , 0.074444 , 0.0991 , 0.083079 , 0.074722 , 0.098469 , 0.091801 , 0.068155 , 0.052613 , 0.070991 , 0.069012 , 0.054214 , 0.065079 , 0.098217 , 0.090818 , 0.081075 , 0.064928 , 0.089948 , 0.079348 , 0.098557 , 0.081818 , 0.077394 , 0.087264 , 0.086961 , 0.084768 , 0.06973 , 0.068495 , 0.063629 , 0.071066 , 0.041168 , 0.066365 , 0.061134 , 0.055663 , 0.085978 , 0.105906 , 0.115234 , 0.098948 , 0.114288 , 0.088146 , 0.069617 , 0.087062 , 0.087339 , 0.074079 
 569 , 0.071099 , 0.077934 , 0.079502 , 0.089824 , 0.054669 , 0.061417 , 0.0788 , 0.09459 , 0.051872 , 0.09015 , 0.108975 , 0.104209 , 0.050154 , 0.071588 , 0.081559 , 0.078047 , 0.082675 , 0.097675 , 0.077934 , 0.079765 , 0.057491 , 0.050894 , 0.105864 , 0.081032 , 0.088419 , 0.06005 , 0.066759 , 0.091316 , 0.085083 , 0.078561 , 0.071412 , 0.054456 , 0.052412 , 0.076103 , 0.092746 , 0.082487 , 0.067136 , 0.076053 , 0.089485 , 0.089309 , 0.088356 , 0.067989 , 0.088381 , 0.072616 , 0.082211 , 0.058507 , 0.061178 , 0.032834 , 0.039531 , 0.060526 , 0.064088 , 0.064615 , 0.064025 , 0.085284 , 0.0638 , 0.082248 , 0.086513 , 0.090488 , 0.074297 , 0.098741 , 0.082311 , 0.074222 , 0.097813 , 0.091291 , 0.067437 , 0.051747 , 0.07002 , 0.06839 , 0.053666 , 0.06454 , 0.097788 , 0.090175 , 0.080305 , 0.064163 , 0.089673 , 0.07895 , 0.098339 , 0.081634 , 0.076943 , 0.086989 , 0.086462 , 0.083678 , 0.06923 , 0.067938 , 0.062658 , 0.070033 , 0.040635 , 0.065418 , 0.060313 , 0.05497 , 0.085422 , 0.105476 , 0.114869 , 0.098064 , 0.113653 , 0.08788 , 0.069268 , 0.086701 , 0.086651 , 0.073444 
 570 , 0.070352 , 0.077228 , 0.078862 , 0.089169 , 0.054106 , 0.060794 , 0.078525 , 0.093974 , 0.05161 , 0.089606 , 0.108486 , 0.103607 , 0.05005 , 0.071076 , 0.080797 , 0.076953 , 0.081969 , 0.096532 , 0.076803 , 0.078975 , 0.0572 , 0.050437 , 0.104493 , 0.080672 , 0.087772 , 0.059534 , 0.065947 , 0.09008 , 0.08449 , 0.078201 , 0.070951 , 0.05418 , 0.052171 , 0.075493 , 0.092227 , 0.081907 , 0.066596 , 0.075356 , 0.088645 , 0.088421 , 0.087572 , 0.06742 , 0.088134 , 0.072087 , 0.08162 , 0.057662 , 0.06042 , 0.032606 , 0.039182 , 0.059895 , 0.063402 , 0.063963 , 0.063215 , 0.084328 , 0.063202 , 0.08172 , 0.085601 , 0.089806 , 0.074146 , 0.098378 , 0.081545 , 0.073721 , 0.097143 , 0.090767 , 0.066734 , 0.050886 , 0.069054 , 0.067757 , 0.053107 , 0.063988 , 0.097355 , 0.089519 , 0.079524 , 0.063389 , 0.089406 , 0.07855 , 0.098129 , 0.081458 , 0.076479 , 0.086711 , 0.08595 , 0.082568 , 0.06873 , 0.067382 , 0.061667 , 0.068992 , 0.040093 , 0.064463 , 0.059484 , 0.054255 , 0.084864 , 0.105042 , 0.1145 , 0.09718 , 0.113028 , 0.08761 , 0.068917 , 0.086324 , 0.08595 , 0.072823 
 571 , 0.069609 , 0.076522 , 0.078185 , 0.088548 , 0.053538 , 0.06019 , 0.07821 , 0.093363 , 0.051354 , 0.089069 , 0.108032 , 0.102993 , 0.049914 , 0.070565 , 0.080034 , 0.075889 , 0.081238 , 0.095423 , 0.075752 , 0.078173 , 0.056938 , 0.049976 , 0.103167 , 0.080332 , 0.087145 , 0.059048 , 0.065092 , 0.088895 , 0.083943 , 0.077775 , 0.070503 , 0.053898 , 0.05195 , 0.074871 , 0.091687 , 0.081362 , 0.066072 , 0.074673 , 0.087766 , 0.087555 , 0.086773 , 0.066879 , 0.087865 , 0.071583 , 0.081027 , 0.056839 , 0.059607 , 0.032378 , 0.038844 , 0.059284 , 0.062784 , 0.06333 , 0.062436 , 0.083422 , 0.062684 , 0.081188 , 0.084738 , 0.089193 , 0.074015 , 0.098054 , 0.080816 , 0.073258 , 0.096428 , 0.090335 , 0.066072 , 0.050187 , 0.068157 , 0.06709 , 0.052607 , 0.063466 , 0.096825 , 0.08887 , 0.078805 , 0.062635 , 0.089106 , 0.078148 , 0.097892 , 0.081275 , 0.076026 , 0.086438 , 0.085395 , 0.081449 , 0.068257 , 0.066867 , 0.060649 , 0.067922 , 0.039552 , 0.063553 , 0.058639 , 0.0536 , 0.084266 , 0.104644 , 0.114026 , 0.096267 , 0.112375 , 0.087344 , 0.068592 , 0.085941 , 0.085271 , 0.072203 
 572 , 0.068843 , 0.075813 , 0.077516 , 0.087916 , 0.052977 , 0.059577 , 0.077886 , 0.09274 , 0.051114 , 0.088533 , 0.107607 , 0.102376 , 0.049769 , 0.070064 , 0.079256 , 0.074826 , 0.080514 , 0.09432 , 0.074715 , 0.077368 , 0.056678 , 0.049522 , 0.10187 , 0.080008 , 0.08651 , 0.058566 , 0.064229 , 0.087707 , 0.083401 , 0.077343 , 0.070064 , 0.053631 , 0.051743 , 0.074234 , 0.091149 , 0.08081 , 0.065549 , 0.074 , 0.086868 , 0.086683 , 0.08598 , 0.066338 , 0.087596 , 0.071101 , 0.080415 , 0.056012 , 0.058788 , 0.032151 , 0.038517 , 0.058677 , 0.062168 , 0.062686 , 0.061662 , 0.082525 , 0.062168 , 0.080662 , 0.083882 , 0.088583 , 0.073864 , 0.097712 , 0.080095 , 0.072791 , 0.095701 , 0.089903 , 0.065413 , 0.04951 , 0.067251 , 0.066412 , 0.052113 , 0.062933 , 0.096269 , 0.0882 , 0.078096 , 0.061872 , 0.088792 , 0.077738 , 0.097663 , 0.081094 , 0.075554 , 0.086152 , 0.084832 , 0.080329 , 0.067794 , 0.066338 , 0.059614 , 0.066844 , 0.038986 , 0.062649 , 0.057776 , 0.052952 , 0.08366 , 0.104239 , 0.113517 , 0.095344 , 0.111728 , 0.08709 , 0.068275 , 0.085548 , 0.084598 , 0.071569 
 573 , 0.068078 , 0.075106 , 0.076835 , 0.087296 , 0.052405 , 0.058978 , 0.077559 , 0.092116 , 0.050872 , 0.088008 , 0.107176 , 0.101768 , 0.049621 , 0.069538 , 0.078478 , 0.073757 , 0.079778 , 0.093208 , 0.073671 , 0.076565 , 0.056415 , 0.049057 , 0.100554 , 0.079693 , 0.085874 , 0.058083 , 0.063369 , 0.086511 , 0.082857 , 0.076909 , 0.069624 , 0.053361 , 0.051522 , 0.073597 , 0.090608 , 0.080269 , 0.065025 , 0.073315 , 0.085972 , 0.085812 , 0.085187 , 0.065797 , 0.087333 , 0.070605 , 0.079815 , 0.055176 , 0.05796 , 0.031924 , 0.038191 , 0.058071 , 0.061554 , 0.062044 , 0.060892 , 0.081618 , 0.061664 , 0.080134 , 0.083016 , 0.087971 , 0.07372 , 0.097377 , 0.079361 , 0.072334 , 0.094974 , 0.089467 , 0.064767 , 0.048824 , 0.066349 , 0.065736 , 0.05162 , 0.062412 , 0.095697 , 0.087542 , 0.077387 , 0.061112 , 0.088474 , 0.077338 , 0.097439 , 0.080907 , 0.075093 , 0.085874 , 0.084255 , 0.079202 , 0.06733 , 0.065809 , 0.058574 , 0.065748 , 0.038436 , 0.061738 , 0.056918 , 0.052282 , 0.083053 , 0.103841 , 0.113014 , 0.09441 , 0.111064 , 0.086818 , 0.067956 , 0.085162 , 0.083911 , 0.070948 
 574 , 0.067364 , 0.074434 , 0.076202 , 0.086697 , 0.05187 , 0.058416 , 0.077262 , 0.091537 , 0.050651 , 0.087526 , 0.106775 , 0.101216 , 0.04948 , 0.069058 , 0.07775 , 0.072764 , 0.079091 , 0.092147 , 0.072679 , 0.075799 , 0.056173 , 0.048627 , 0.099302 , 0.079408 , 0.085283 , 0.057599 , 0.062548 , 0.085405 , 0.082346 , 0.076519 , 0.069229 , 0.053113 , 0.051321 , 0.07302 , 0.090123 , 0.079749 , 0.064548 , 0.072666 , 0.085149 , 0.085003 , 0.08443 , 0.065279 , 0.087075 , 0.070167 , 0.079274 , 0.054418 , 0.057221 , 0.031731 , 0.0379 , 0.057489 , 0.060939 , 0.061524 , 0.060171 , 0.080797 , 0.061159 , 0.079651 , 0.082175 , 0.087429 , 0.073593 , 0.097096 , 0.078676 , 0.071874 , 0.094377 , 0.089062 , 0.064121 , 0.048176 , 0.065462 , 0.065133 , 0.051138 , 0.061927 , 0.095218 , 0.086929 , 0.076665 , 0.060415 , 0.088197 , 0.076957 , 0.09723 , 0.080761 , 0.074641 , 0.085625 , 0.083735 , 0.078176 , 0.066888 , 0.06534 , 0.057624 , 0.064816 , 0.037924 , 0.060854 , 0.056136 , 0.051663 , 0.082492 , 0.103447 , 0.112577 , 0.093548 , 0.110444 , 0.086563 , 0.067644 , 0.084784 , 0.083284 , 0.070362 
 575 , 0.066699 , 0.073825 , 0.075642 , 0.086161 , 0.051381 , 0.057925 , 0.077 , 0.091032 , 0.050473 , 0.087094 , 0.106411 , 0.100751 , 0.049382 , 0.068614 , 0.077072 , 0.071813 , 0.078466 , 0.091166 , 0.071716 , 0.075085 , 0.05595 , 0.048231 , 0.09811 , 0.079181 , 0.084719 , 0.057138 , 0.061803 , 0.084416 , 0.081871 , 0.076175 , 0.068892 , 0.052921 , 0.051127 , 0.072528 , 0.089724 , 0.079278 , 0.064118 , 0.072067 , 0.084428 , 0.084283 , 0.083737 , 0.064796 , 0.086852 , 0.069789 , 0.078805 , 0.053708 , 0.056568 , 0.031568 , 0.037651 , 0.056956 , 0.060313 , 0.061125 , 0.059549 , 0.080078 , 0.060676 , 0.079241 , 0.081374 , 0.086961 , 0.073485 , 0.096898 , 0.078042 , 0.071449 , 0.093917 , 0.088682 , 0.063512 , 0.04754 , 0.064627 , 0.064603 , 0.050654 , 0.061488 , 0.094838 , 0.086367 , 0.075933 , 0.059779 , 0.087979 , 0.07666 , 0.097055 , 0.080659 , 0.074237 , 0.08541 , 0.083253 , 0.077254 , 0.066493 , 0.06493 , 0.056798 , 0.064045 , 0.037482 , 0.060022 , 0.055453 , 0.051066 , 0.081992 , 0.103078 , 0.112252 , 0.092778 , 0.10984 , 0.086331 , 0.067365 , 0.084452 , 0.082719 , 0.069838 
 576 , 0.066036 , 0.073227 , 0.075082 , 0.085611 , 0.050894 , 0.057423 , 0.076733 , 0.090525 , 0.05028 , 0.086671 , 0.106053 , 0.100283 , 0.049268 , 0.068168 , 0.076383 , 0.070878 , 0.077829 , 0.090176 , 0.070758 , 0.07436 , 0.055737 , 0.047834 , 0.09691 , 0.078937 , 0.084165 , 0.056676 , 0.061049 , 0.08343 , 0.081395 , 0.075817 , 0.068566 , 0.052713 , 0.05093 , 0.072023 , 0.089333 , 0.078805 , 0.063687 , 0.071457 , 0.083707 , 0.083551 , 0.083045 , 0.064313 , 0.086635 , 0.069409 , 0.078335 , 0.05299 , 0.055917 , 0.031404 , 0.037391 , 0.056423 , 0.0597 , 0.060724 , 0.058917 , 0.079347 , 0.060194 , 0.078829 , 0.080563 , 0.086502 , 0.073372 , 0.096693 , 0.077407 , 0.071023 , 0.093453 , 0.088285 , 0.062904 , 0.046895 , 0.063783 , 0.06406 , 0.050183 , 0.061049 , 0.09444 , 0.085815 , 0.075203 , 0.059146 , 0.087755 , 0.076359 , 0.096874 , 0.080551 , 0.07383 , 0.085201 , 0.08278 , 0.076323 , 0.066096 , 0.064518 , 0.055966 , 0.063277 , 0.037029 , 0.059182 , 0.054773 , 0.050473 , 0.081491 , 0.102704 , 0.111919 , 0.092007 , 0.109245 , 0.086092 , 0.067072 , 0.084129 , 0.082153 , 0.069312 
 577 , 0.065384 , 0.072629 , 0.074533 , 0.085083 , 0.050427 , 0.056942 , 0.076473 , 0.090029 , 0.050104 , 0.086245 , 0.105704 , 0.099825 , 0.049158 , 0.067743 , 0.075719 , 0.069959 , 0.077228 , 0.089215 , 0.069827 , 0.073659 , 0.055529 , 0.047445 , 0.095741 , 0.078713 , 0.08361 , 0.056223 , 0.060307 , 0.082461 , 0.08094 , 0.075479 , 0.068246 , 0.052523 , 0.050751 , 0.071539 , 0.088927 , 0.078341 , 0.063277 , 0.070869 , 0.083012 , 0.082844 , 0.082377 , 0.063839 , 0.086413 , 0.069049 , 0.077874 , 0.052307 , 0.055289 , 0.031243 , 0.037147 , 0.055912 , 0.059109 , 0.060307 , 0.058307 , 0.078641 , 0.059732 , 0.078437 , 0.07979 , 0.086065 , 0.073264 , 0.096496 , 0.076785 , 0.070605 , 0.092987 , 0.087909 , 0.062307 , 0.046272 , 0.062953 , 0.063552 , 0.049709 , 0.06063 , 0.094065 , 0.085287 , 0.074509 , 0.058534 , 0.08755 , 0.076066 , 0.096711 , 0.080449 , 0.07342 , 0.084999 , 0.082317 , 0.075419 , 0.065708 , 0.064115 , 0.055157 , 0.06251 , 0.036596 , 0.058379 , 0.054104 , 0.049888 , 0.081012 , 0.102339 , 0.111608 , 0.091262 , 0.108674 , 0.085874 , 0.066797 , 0.083802 , 0.081599 , 0.068809 
 578 , 0.064858 , 0.072131 , 0.074098 , 0.084637 , 0.050038 , 0.056548 , 0.076256 , 0.089609 , 0.049931 , 0.085925 , 0.105478 , 0.099469 , 0.049037 , 0.067397 , 0.075207 , 0.069233 , 0.076757 , 0.08844 , 0.069102 , 0.073073 , 0.055344 , 0.047129 , 0.094771 , 0.078485 , 0.083147 , 0.05588 , 0.059696 , 0.081633 , 0.08056 , 0.075219 , 0.067958 , 0.052351 , 0.050611 , 0.071153 , 0.088548 , 0.077985 , 0.062879 , 0.070378 , 0.082444 , 0.082265 , 0.081847 , 0.063463 , 0.086271 , 0.068733 , 0.077496 , 0.051767 , 0.054748 , 0.03107 , 0.036876 , 0.055487 , 0.058694 , 0.059755 , 0.057788 , 0.078044 , 0.059338 , 0.078163 , 0.079201 , 0.085734 , 0.073156 , 0.096333 , 0.076268 , 0.070247 , 0.09253 , 0.087582 , 0.061782 , 0.045687 , 0.062283 , 0.063141 , 0.049252 , 0.060292 , 0.09371 , 0.084911 , 0.074026 , 0.058026 , 0.087403 , 0.07585 , 0.096584 , 0.080333 , 0.073049 , 0.084852 , 0.081907 , 0.074634 , 0.065371 , 0.063773 , 0.05445 , 0.061806 , 0.036208 , 0.057776 , 0.053567 , 0.049371 , 0.080643 , 0.102116 , 0.111355 , 0.09067 , 0.108232 , 0.085674 , 0.066587 , 0.083517 , 0.081144 , 0.068399 
 579 , 0.064333 , 0.071635 , 0.073653 , 0.084183 , 0.049648 , 0.056154 , 0.076027 , 0.089181 , 0.049767 , 0.085596 , 0.105256 , 0.099106 , 0.048912 , 0.067052 , 0.074686 , 0.068512 , 0.076288 , 0.087662 , 0.068382 , 0.072489 , 0.055157 , 0.046811 , 0.093799 , 0.078259 , 0.082675 , 0.055536 , 0.059074 , 0.0808 , 0.08017 , 0.074959 , 0.067681 , 0.052189 , 0.050491 , 0.070756 , 0.088148 , 0.077606 , 0.062493 , 0.069878 , 0.08188 , 0.081678 , 0.081322 , 0.063075 , 0.086118 , 0.068417 , 0.077108 , 0.051227 , 0.054219 , 0.030891 , 0.036601 , 0.055073 , 0.058291 , 0.059217 , 0.057258 , 0.077428 , 0.058932 , 0.077879 , 0.078592 , 0.085418 , 0.073036 , 0.09615 , 0.075742 , 0.069878 , 0.092054 , 0.087258 , 0.061247 , 0.045101 , 0.061603 , 0.062719 , 0.048805 , 0.059953 , 0.09336 , 0.084527 , 0.073546 , 0.057519 , 0.087246 , 0.075635 , 0.096435 , 0.080218 , 0.072679 , 0.084706 , 0.081512 , 0.073843 , 0.06501 , 0.063443 , 0.053744 , 0.061092 , 0.035817 , 0.057175 , 0.053008 , 0.048853 , 0.080277 , 0.101872 , 0.111097 , 0.090083 , 0.107796 , 0.085489 , 0.066375 , 0.083233 , 0.080669 , 0.06799 
 580 , 0.063798 , 0.071127 , 0.073207 , 0.08374 , 0.04927 , 0.055748 , 0.075808 , 0.088763 , 0.049601 , 0.085276 , 0.105029 , 0.09874 , 0.048785 , 0.066706 , 0.074165 , 0.067793 , 0.07582 , 0.086884 , 0.067663 , 0.071895 , 0.054967 , 0.046492 , 0.09283 , 0.078018 , 0.082203 , 0.055192 , 0.058455 , 0.079969 , 0.07978 , 0.074685 , 0.067403 , 0.052024 , 0.050357 , 0.070358 , 0.087759 , 0.077238 , 0.062107 , 0.069365 , 0.081304 , 0.081092 , 0.080796 , 0.062686 , 0.085962 , 0.068112 , 0.07673 , 0.050676 , 0.053679 , 0.030723 , 0.036326 , 0.054648 , 0.057875 , 0.058667 , 0.056729 , 0.076813 , 0.058526 , 0.077593 , 0.077983 , 0.085087 , 0.072912 , 0.095974 , 0.075217 , 0.069519 , 0.091577 , 0.086919 , 0.060701 , 0.044506 , 0.060913 , 0.062308 , 0.048348 , 0.059601 , 0.093007 , 0.084141 , 0.073065 , 0.057001 , 0.087097 , 0.075418 , 0.096293 , 0.080111 , 0.072297 , 0.084555 , 0.081104 , 0.073053 , 0.064661 , 0.0631 , 0.053041 , 0.060381 , 0.035416 , 0.056563 , 0.05245 , 0.048324 , 0.07991 , 0.101636 , 0.110833 , 0.089485 , 0.10737 , 0.085288 , 0.066162 , 0.082948 , 0.080205 , 0.06758 
 581 , 0.063347 , 0.070745 , 0.072821 , 0.083393 , 0.048906 , 0.055395 , 0.07563 , 0.088467 , 0.04946 , 0.085021 , 0.104855 , 0.098448 , 0.048717 , 0.066438 , 0.073742 , 0.06717 , 0.075417 , 0.086248 , 0.06704 , 0.071417 , 0.054781 , 0.046204 , 0.092042 , 0.077777 , 0.0818 , 0.054899 , 0.057967 , 0.07924 , 0.079452 , 0.07445 , 0.067146 , 0.051902 , 0.050227 , 0.070002 , 0.087511 , 0.076927 , 0.06179 , 0.06894 , 0.080809 , 0.080609 , 0.080337 , 0.062344 , 0.085835 , 0.067854 , 0.076408 , 0.05018 , 0.053224 , 0.030547 , 0.036104 , 0.05425 , 0.057448 , 0.058238 , 0.056256 , 0.076279 , 0.058203 , 0.077329 , 0.077506 , 0.084774 , 0.07281 , 0.095888 , 0.07478 , 0.069235 , 0.091263 , 0.08665 , 0.060327 , 0.04408 , 0.060386 , 0.061955 , 0.048009 , 0.059312 , 0.092714 , 0.083723 , 0.072645 , 0.056551 , 0.086945 , 0.07524 , 0.096195 , 0.080066 , 0.072043 , 0.084431 , 0.080786 , 0.072409 , 0.064326 , 0.062745 , 0.052469 , 0.059749 , 0.035101 , 0.055997 , 0.051961 , 0.047926 , 0.079559 , 0.101457 , 0.110648 , 0.088974 , 0.107014 , 0.085163 , 0.066002 , 0.082673 , 0.079806 , 0.067229 
 582 , 0.062903 , 0.070376 , 0.072435 , 0.083062 , 0.048545 , 0.055053 , 0.07546 , 0.088205 , 0.049322 , 0.084781 , 0.104705 , 0.098173 , 0.048651 , 0.066186 , 0.073342 , 0.066551 , 0.075025 , 0.085652 , 0.066445 , 0.070953 , 0.054606 , 0.045921 , 0.091289 , 0.077531 , 0.081427 , 0.054606 , 0.057489 , 0.078543 , 0.079155 , 0.074224 , 0.066892 , 0.05177 , 0.050099 , 0.069646 , 0.087287 , 0.076613 , 0.061491 , 0.068517 , 0.08032 , 0.080144 , 0.079885 , 0.062009 , 0.085722 , 0.06761 , 0.076107 , 0.049687 , 0.052782 , 0.030386 , 0.035882 , 0.053865 , 0.05703 , 0.057842 , 0.055795 , 0.075754 , 0.05789 , 0.07706 , 0.077049 , 0.084463 , 0.072718 , 0.09582 , 0.074365 , 0.068987 , 0.090983 , 0.086393 , 0.059973 , 0.043697 , 0.059902 , 0.061608 , 0.04771 , 0.059043 , 0.092442 , 0.083298 , 0.072235 , 0.056124 , 0.086805 , 0.075072 , 0.096102 , 0.080026 , 0.071812 , 0.084298 , 0.080497 , 0.0718 , 0.063997 , 0.062397 , 0.051923 , 0.059149 , 0.0348 , 0.05543 , 0.051476 , 0.047557 , 0.079202 , 0.101268 , 0.11046 , 0.088464 , 0.106682 , 0.08504 , 0.065857 , 0.082392 , 0.079402 , 0.066904 
 583 , 0.062458 , 0.070017 , 0.072048 , 0.082718 , 0.048173 , 0.054699 , 0.075288 , 0.087941 , 0.04917 , 0.084537 , 0.10455 , 0.097895 , 0.048584 , 0.065932 , 0.072928 , 0.065932 , 0.074618 , 0.085054 , 0.065838 , 0.070487 , 0.054417 , 0.045637 , 0.090523 , 0.077283 , 0.081039 , 0.0543 , 0.057011 , 0.077823 , 0.078844 , 0.073996 , 0.066637 , 0.051647 , 0.049969 , 0.069301 , 0.087061 , 0.076297 , 0.061178 , 0.068092 , 0.07983 , 0.079666 , 0.079431 , 0.06166 , 0.085593 , 0.067364 , 0.075804 , 0.049194 , 0.052328 , 0.030214 , 0.03566 , 0.053467 , 0.056589 , 0.057434 , 0.055321 , 0.075217 , 0.057575 , 0.076802 , 0.07659 , 0.08415 , 0.072623 , 0.095747 , 0.073949 , 0.068726 , 0.0907 , 0.086122 , 0.059617 , 0.043301 , 0.059406 , 0.061272 , 0.04741 , 0.05876 , 0.092155 , 0.082859 , 0.071825 , 0.055685 , 0.08665 , 0.074888 , 0.096017 , 0.079994 , 0.071578 , 0.084161 , 0.080206 , 0.071167 , 0.063667 , 0.062035 , 0.051377 , 0.058526 , 0.034498 , 0.054863 , 0.05099 , 0.047187 , 0.078844 , 0.101088 , 0.110267 , 0.087953 , 0.106346 , 0.084924 , 0.065709 , 0.082107 , 0.079008 , 0.066578 
