  time  ,:31:08 A,:31:21 A,:31:30 A,:31:38 A,:31:48 A,:32:14 A,:32:23 A,:32:32 A,:32:40 A,:32:48 A,:33:15 A,:33:25 A,:33:33 A,:33:43 A,:33:54 A,:34:21 A,:34:30 A,:34:39 A,:34:46 A,:34:56 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 316 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 333 , 0.004366 , 0.00249 , 0.001346 , 0.005076 , 0.008115 , 0.00566 , 0.011498 , 0.002074 , 0.004586 , 0.002901 , 0.011231 , 0.014188 , 0.011987 , 0.005278 , 0.005705 , 0.008831 , 0.006806 , 0.003065 , 0.005498 , 0.010598 
 334 , 0.005244 , 0.003818 , 0.00204 , 0.005576 , 0.00886 , 0.006286 , 0.012246 , 0.003171 , 0.005308 , 0.003963 , 0.012185 , 0.014975 , 0.012588 , 0.006162 , 0.006129 , 0.009981 , 0.00726 , 0.004172 , 0.006502 , 0.011167 
 335 , 0.006037 , 0.004864 , 0.00266 , 0.006008 , 0.009462 , 0.006881 , 0.012924 , 0.003998 , 0.005981 , 0.004815 , 0.012973 , 0.015638 , 0.013198 , 0.006966 , 0.006586 , 0.010935 , 0.007799 , 0.005088 , 0.007347 , 0.01173 
 336 , 0.006763 , 0.005297 , 0.003271 , 0.006343 , 0.009763 , 0.007567 , 0.013576 , 0.0042 , 0.006701 , 0.005231 , 0.01345 , 0.016147 , 0.01399 , 0.007753 , 0.007282 , 0.011501 , 0.008785 , 0.00572 , 0.007931 , 0.012453 
 337 , 0.007381 , 0.00567 , 0.003804 , 0.006628 , 0.010025 , 0.008168 , 0.014144 , 0.004373 , 0.007316 , 0.005587 , 0.013872 , 0.016585 , 0.014649 , 0.008441 , 0.007886 , 0.011988 , 0.009634 , 0.006278 , 0.008426 , 0.013063 
 338 , 0.007915 , 0.005993 , 0.004273 , 0.006873 , 0.010257 , 0.0087 , 0.014642 , 0.004524 , 0.007847 , 0.005893 , 0.014248 , 0.016967 , 0.015204 , 0.00905 , 0.008416 , 0.012412 , 0.010373 , 0.006774 , 0.008848 , 0.013583 
 339 , 0.00871 , 0.006785 , 0.005111 , 0.007706 , 0.011228 , 0.009644 , 0.015514 , 0.005151 , 0.008583 , 0.006752 , 0.015011 , 0.017759 , 0.016139 , 0.009693 , 0.009249 , 0.013308 , 0.011212 , 0.007609 , 0.00971 , 0.014537 
 340 , 0.009475 , 0.007577 , 0.005922 , 0.008546 , 0.012223 , 0.010569 , 0.016353 , 0.005796 , 0.009274 , 0.007625 , 0.01577 , 0.01853 , 0.01704 , 0.010265 , 0.010044 , 0.014196 , 0.011982 , 0.008403 , 0.010557 , 0.01548 
 341 , 0.010157 , 0.008278 , 0.006636 , 0.009281 , 0.0131 , 0.011395 , 0.017087 , 0.006367 , 0.009879 , 0.008403 , 0.01645 , 0.019199 , 0.017835 , 0.010759 , 0.01074 , 0.014985 , 0.012661 , 0.009089 , 0.011304 , 0.016331 
 342 , 0.010577 , 0.008707 , 0.0072 , 0.009857 , 0.013587 , 0.011961 , 0.017661 , 0.006881 , 0.010397 , 0.008875 , 0.017007 , 0.019716 , 0.018278 , 0.011174 , 0.011188 , 0.015519 , 0.01312 , 0.00951 , 0.011875 , 0.016928 
 343 , 0.010727 , 0.00886 , 0.007616 , 0.010278 , 0.013684 , 0.01226 , 0.018085 , 0.007341 , 0.010832 , 0.009034 , 0.017432 , 0.020089 , 0.018367 , 0.011519 , 0.011391 , 0.015797 , 0.013358 , 0.009675 , 0.012271 , 0.017258 
 344 , 0.010852 , 0.008989 , 0.007981 , 0.010647 , 0.013764 , 0.012515 , 0.01847 , 0.007751 , 0.011214 , 0.009163 , 0.017789 , 0.02042 , 0.018439 , 0.011825 , 0.011568 , 0.016035 , 0.013563 , 0.009825 , 0.012618 , 0.017538 
 345 , 0.010983 , 0.009127 , 0.008302 , 0.010972 , 0.013855 , 0.012745 , 0.018817 , 0.008118 , 0.011555 , 0.009301 , 0.018096 , 0.020732 , 0.018545 , 0.012107 , 0.011746 , 0.016255 , 0.013744 , 0.009994 , 0.012928 , 0.017794 
 346 , 0.011393 , 0.009564 , 0.008554 , 0.011224 , 0.014217 , 0.013061 , 0.019095 , 0.008434 , 0.011861 , 0.009762 , 0.018367 , 0.02119 , 0.019165 , 0.012458 , 0.01217 , 0.016587 , 0.013934 , 0.010565 , 0.013221 , 0.018191 
 347 , 0.011753 , 0.009957 , 0.008777 , 0.011451 , 0.014528 , 0.013342 , 0.019338 , 0.008713 , 0.012142 , 0.010176 , 0.018612 , 0.021602 , 0.01973 , 0.012769 , 0.012546 , 0.016886 , 0.014099 , 0.011066 , 0.013482 , 0.018544 
 348 , 0.012071 , 0.010312 , 0.008976 , 0.011655 , 0.014798 , 0.013593 , 0.019552 , 0.008962 , 0.012401 , 0.010552 , 0.018835 , 0.021976 , 0.020249 , 0.013048 , 0.012883 , 0.017157 , 0.014243 , 0.011509 , 0.013717 , 0.018861 
 349 , 0.012319 , 0.010593 , 0.009141 , 0.011877 , 0.01504 , 0.01395 , 0.019731 , 0.009245 , 0.012622 , 0.010791 , 0.01901 , 0.022281 , 0.020471 , 0.013325 , 0.013182 , 0.017422 , 0.014571 , 0.011824 , 0.013931 , 0.019044 
 350 , 0.012526 , 0.010822 , 0.009281 , 0.012086 , 0.015263 , 0.014321 , 0.019877 , 0.009519 , 0.01281 , 0.010963 , 0.019148 , 0.022542 , 0.020563 , 0.01358 , 0.013446 , 0.017659 , 0.014948 , 0.012071 , 0.01412 , 0.019163 
 351 , 0.012712 , 0.01102 , 0.009401 , 0.012268 , 0.01547 , 0.014652 , 0.019995 , 0.00976 , 0.012976 , 0.011115 , 0.019263 , 0.022779 , 0.020637 , 0.013806 , 0.013679 , 0.017863 , 0.015291 , 0.012291 , 0.014284 , 0.019268 
 352 , 0.012879 , 0.011206 , 0.009595 , 0.012491 , 0.015729 , 0.014902 , 0.02022 , 0.009996 , 0.013156 , 0.011271 , 0.019425 , 0.022986 , 0.020829 , 0.01403 , 0.013929 , 0.018102 , 0.015566 , 0.012512 , 0.014483 , 0.019471 
 353 , 0.013027 , 0.011401 , 0.009952 , 0.012825 , 0.016112 , 0.015034 , 0.020687 , 0.010253 , 0.013388 , 0.011459 , 0.019703 , 0.023164 , 0.021274 , 0.014284 , 0.014246 , 0.018452 , 0.015743 , 0.012763 , 0.014777 , 0.019887 
 354 , 0.013165 , 0.011582 , 0.010287 , 0.013138 , 0.016467 , 0.015156 , 0.021128 , 0.010493 , 0.013603 , 0.011634 , 0.019964 , 0.023325 , 0.021691 , 0.014522 , 0.014543 , 0.018784 , 0.015906 , 0.012997 , 0.015054 , 0.020275 
 355 , 0.013292 , 0.011751 , 0.010601 , 0.013432 , 0.016799 , 0.01527 , 0.021548 , 0.010717 , 0.013804 , 0.011796 , 0.02021 , 0.023472 , 0.022083 , 0.014744 , 0.014823 , 0.019099 , 0.016059 , 0.013214 , 0.015314 , 0.020639 
 356 , 0.01337 , 0.011853 , 0.010653 , 0.013353 , 0.016754 , 0.015379 , 0.021609 , 0.010687 , 0.013905 , 0.011896 , 0.020293 , 0.023558 , 0.022164 , 0.014863 , 0.014913 , 0.019065 , 0.016089 , 0.013378 , 0.015427 , 0.020656 
 357 , 0.013443 , 0.011947 , 0.010689 , 0.01326 , 0.016694 , 0.015482 , 0.021651 , 0.010645 , 0.013998 , 0.011989 , 0.020364 , 0.023636 , 0.022226 , 0.01497 , 0.014989 , 0.019016 , 0.016112 , 0.013533 , 0.015527 , 0.020655 
 358 , 0.013512 , 0.012038 , 0.010723 , 0.013171 , 0.016636 , 0.015579 , 0.02169 , 0.010605 , 0.014086 , 0.012078 , 0.020432 , 0.023711 , 0.022285 , 0.015073 , 0.015062 , 0.018969 , 0.016133 , 0.013682 , 0.015622 , 0.020654 
 359 , 0.013627 , 0.012143 , 0.010806 , 0.013291 , 0.016771 , 0.015776 , 0.021862 , 0.010669 , 0.014198 , 0.012184 , 0.020552 , 0.023969 , 0.02234 , 0.015177 , 0.015171 , 0.019072 , 0.016287 , 0.013848 , 0.015768 , 0.020738 
 360 , 0.01377 , 0.012255 , 0.010922 , 0.013552 , 0.017034 , 0.016036 , 0.02212 , 0.010804 , 0.014322 , 0.012295 , 0.020702 , 0.024348 , 0.022388 , 0.015277 , 0.015301 , 0.019274 , 0.016527 , 0.01402 , 0.015945 , 0.020874 
 361 , 0.013903 , 0.012359 , 0.01103 , 0.013795 , 0.017278 , 0.01628 , 0.022359 , 0.010928 , 0.014438 , 0.012396 , 0.02084 , 0.024705 , 0.022428 , 0.015368 , 0.01542 , 0.019463 , 0.016753 , 0.014178 , 0.016109 , 0.020999 
 362 , 0.014004 , 0.012452 , 0.011126 , 0.013985 , 0.017459 , 0.01646 , 0.022545 , 0.011016 , 0.014517 , 0.012471 , 0.020979 , 0.025006 , 0.022474 , 0.015463 , 0.01551 , 0.01961 , 0.016933 , 0.014295 , 0.016231 , 0.02112 
 363 , 0.014007 , 0.01253 , 0.011192 , 0.014015 , 0.017458 , 0.016443 , 0.022572 , 0.010984 , 0.014482 , 0.012476 , 0.021165 , 0.025143 , 0.022569 , 0.015599 , 0.015524 , 0.019639 , 0.016981 , 0.014287 , 0.016221 , 0.021271 
 364 , 0.014009 , 0.012601 , 0.011255 , 0.014043 , 0.017457 , 0.016428 , 0.022596 , 0.010954 , 0.014449 , 0.012482 , 0.021339 , 0.025269 , 0.022661 , 0.015728 , 0.015537 , 0.019666 , 0.017025 , 0.014279 , 0.016211 , 0.021413 
 365 , 0.01401 , 0.012668 , 0.011314 , 0.014071 , 0.017456 , 0.016414 , 0.022618 , 0.010926 , 0.014417 , 0.012488 , 0.021502 , 0.025386 , 0.022748 , 0.015849 , 0.01555 , 0.019692 , 0.017066 , 0.01427 , 0.016202 , 0.021546 
 366 , 0.014048 , 0.012703 , 0.011396 , 0.014165 , 0.017556 , 0.016524 , 0.02273 , 0.010895 , 0.014502 , 0.012522 , 0.021634 , 0.025543 , 0.022864 , 0.016023 , 0.015795 , 0.019873 , 0.017173 , 0.014396 , 0.016308 , 0.021673 
