NANT_00015.spu,NANT_00014.spu,NANT_00013.spu,NANT_00012.spu,NANT_00011.spu,
Wavelength,MNAT_00050.spu,MNAT_00051.spu,MNAT_00052.spu,MNAT_00053.spu,MNAT_00054.spu,MNAT_00055.spu,MNAT_00056.spu,MNAT_00057.spu,MNAT_00058.spu,MNAT_00059.spu,MNAT_00060.spu,MNAT_00061.spu,MNAT_00062.spu,MNAT_00063.spu,MNAT_00064.spu,MNAT_00065.spu,MNAT_00066.spu,MNAT_00067.spu,MNAT_00068.spu,MNAT_00069.spu,MNAT_00070.spu,MNAT_00071.spu,MNAT_00072.spu,MNAT_00073.spu,MNAT_00074.spu,MNAT_00075.spu,MNAT_00076.spu,MNAT_00077.spu,MNAT_00078.spu,MNAT_00079.spu,MNAT_00080.spu,MNAT_00081.spu,MNAT_00082.spu,MNAT_00083.spu,MNAT_00084.spu,MNAT_00085.spu,MNAT_00086.spu,MNAT_00087.spu,MNAT_00088.spu,MNAT_00089.spu
  (nm),7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 ,7/22/2018 
  time  ,:58:26 A,:58:36 A,:58:45 A,:58:59 A,:59:39 A,:00:49 P,:01:09 P,:01:22 P,:01:44 P,:01:56 P,:03:35 P,:03:48 P,:03:59 P,:04:08 P,:04:18 P,:05:08 P,:05:20 P,:05:32 P,:05:42 P,:05:52 P,:06:35 P,:06:46 P,:06:58 P,:07:13 P,:07:41 P,:08:02 P,:08:13 P,:08:24 P,:08:36 P,:08:51 P,:09:27 P,:09:41 P,:09:53 P,:10:04 P,:10:17 P,:10:56 P,:11:06 P,:11:16 P,:11:27 P,:11:35 P
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 311 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 312 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 313 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 314 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
 315 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 
