MNAT_00215.spu,MNAT_00214.spu,MNAT_00213.spu,MNAT_00212.spu,MNAT_00211.spu,
Wavelength,MNAT_00220.spu,MNAT_00221.spu,MNAT_00222.spu,MNAT_00223.spu,MNAT_00228.spu,MNAT_00229.spu,MNAT_00230.spu,MNAT_00231.spu,MNAT_00236.spu,MNAT_00237.spu,MNAT_00238.spu,MNAT_00239.spu,MNAT_00244.spu,MNAT_00245.spu,MNAT_00246.spu,MNAT_00247.spu
  (nm),8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 
  time  ,41:41 PM,42:27 PM,42:36 PM,42:46 PM,45:53 PM,46:02 PM,46:12 PM,46:24 PM,07:12 PM,07:23 PM,07:34 PM,07:43 PM,09:28 PM,09:38 PM,09:49 PM,09:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,
 332 , 0.015065 , 0.013504 , 0.016368 , 0.013713 , 0.008035 , 0.011763 , 0.024938 , 0.022185 , 0.012451 , 0.012801 , 0.018002 , 0.019607 , 0.021485 , 0.022143 , 0.015518 , 0.017653 
 333 , 0.015856 , 0.012799 , 0.014992 , 0.014636 , 0.00895 , 0.012214 , 0.025809 , 0.022855 , 0.012211 , 0.013269 , 0.017382 , 0.020035 , 0.02164 , 0.022886 , 0.016808 , 0.017072 
 334 , 0.01653 , 0.012188 , 0.013798 , 0.015432 , 0.009739 , 0.012608 , 0.026581 , 0.02346 , 0.012001 , 0.01369 , 0.016844 , 0.020416 , 0.021762 , 0.023554 , 0.017909 , 0.016567 
 335 , 0.016625 , 0.011762 , 0.013067 , 0.015743 , 0.010288 , 0.012814 , 0.026987 , 0.023738 , 0.011971 , 0.01392 , 0.016311 , 0.020413 , 0.021789 , 0.023884 , 0.018681 , 0.016053 
 336 , 0.014898 , 0.011812 , 0.013586 , 0.01459 , 0.010239 , 0.012488 , 0.026317 , 0.023031 , 0.012514 , 0.013584 , 0.015626 , 0.019169 , 0.02152 , 0.023179 , 0.018681 , 0.015357 
 337 , 0.013411 , 0.011842 , 0.014023 , 0.013598 , 0.010199 , 0.012203 , 0.025735 , 0.022415 , 0.012987 , 0.013294 , 0.015038 , 0.018099 , 0.021298 , 0.022573 , 0.018677 , 0.014757 
 338 , 0.012117 , 0.011859 , 0.014395 , 0.012736 , 0.010164 , 0.011951 , 0.025228 , 0.021872 , 0.013403 , 0.013039 , 0.014526 , 0.017169 , 0.021114 , 0.022045 , 0.018668 , 0.014234 
 339 , 0.012561 , 0.012298 , 0.015172 , 0.012784 , 0.009877 , 0.011816 , 0.024448 , 0.021303 , 0.012951 , 0.012644 , 0.014367 , 0.017237 , 0.020252 , 0.021875 , 0.0183 , 0.014042 
 340 , 0.013245 , 0.012774 , 0.015943 , 0.012979 , 0.009579 , 0.011714 , 0.023704 , 0.020786 , 0.012404 , 0.012266 , 0.014287 , 0.017465 , 0.019372 , 0.021782 , 0.01791 , 0.013925 
 341 , 0.01384 , 0.013206 , 0.01663 , 0.013149 , 0.009317 , 0.011626 , 0.023051 , 0.020337 , 0.011923 , 0.011936 , 0.014219 , 0.017666 , 0.0186 , 0.021698 , 0.017567 , 0.013822 
 342 , 0.013798 , 0.012726 , 0.016248 , 0.013259 , 0.008945 , 0.011465 , 0.022687 , 0.020006 , 0.011558 , 0.011513 , 0.014097 , 0.017488 , 0.018221 , 0.021439 , 0.017174 , 0.013624 
 343 , 0.013112 , 0.011306 , 0.014778 , 0.01331 , 0.008462 , 0.011229 , 0.022614 , 0.019789 , 0.011306 , 0.01099 , 0.013915 , 0.016921 , 0.018232 , 0.021002 , 0.016727 , 0.013329 
 344 , 0.012507 , 0.01005 , 0.013484 , 0.013355 , 0.008035 , 0.011023 , 0.022553 , 0.019595 , 0.011084 , 0.010529 , 0.013756 , 0.016423 , 0.018233 , 0.020614 , 0.016334 , 0.013069 
 345 , 0.011999 , 0.009052 , 0.012454 , 0.013358 , 0.007705 , 0.010849 , 0.022496 , 0.019419 , 0.010895 , 0.010138 , 0.013614 , 0.015977 , 0.018228 , 0.020293 , 0.015994 , 0.012861 
 346 , 0.011955 , 0.0097 , 0.013014 , 0.012915 , 0.008018 , 0.010803 , 0.022387 , 0.019242 , 0.010836 , 0.010032 , 0.01347 , 0.015551 , 0.018179 , 0.0203 , 0.015787 , 0.012976 
 347 , 0.011913 , 0.010261 , 0.013511 , 0.012526 , 0.008297 , 0.010759 , 0.022292 , 0.019089 , 0.010784 , 0.00994 , 0.013343 , 0.015176 , 0.018145 , 0.020309 , 0.015605 , 0.01308 
 348 , 0.011872 , 0.01075 , 0.013955 , 0.012182 , 0.008546 , 0.010717 , 0.02221 , 0.018956 , 0.010739 , 0.009858 , 0.013232 , 0.014845 , 0.018123 , 0.02032 , 0.015446 , 0.013175 
 349 , 0.011774 , 0.010849 , 0.0139 , 0.012141 , 0.008206 , 0.010249 , 0.022001 , 0.01852 , 0.010232 , 0.009324 , 0.012752 , 0.014678 , 0.01774 , 0.020125 , 0.015194 , 0.012769 
 350 , 0.011664 , 0.010804 , 0.013667 , 0.01221 , 0.007677 , 0.009656 , 0.02176 , 0.018006 , 0.009593 , 0.008664 , 0.012172 , 0.014585 , 0.017253 , 0.01987 , 0.014929 , 0.012211 
