WSG1_00009.spu,WSG1_00008.spu,WSG1_00007.spu,WSG1_00006.spu,WSG1_00005.spu,
Wavelength,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu
  (nm),7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 
  time  ,15:49 PM,16:04 PM,16:15 PM,16:30 PM,16:41 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 575 , 0.073139 , 0.059071 , 0.056757 , 0.066631 , 0.059452 
 576 , 0.073127 , 0.05908 , 0.05675 , 0.066708 , 0.059481 
 577 , 0.07312 , 0.059092 , 0.056753 , 0.066789 , 0.05952 
 578 , 0.073137 , 0.059121 , 0.056769 , 0.066883 , 0.05957 
 579 , 0.073151 , 0.059154 , 0.05679 , 0.06698 , 0.05963 
 580 , 0.073167 , 0.059176 , 0.056807 , 0.067072 , 0.059679 
 581 , 0.073167 , 0.059203 , 0.056817 , 0.067152 , 0.059712 
 582 , 0.073149 , 0.059226 , 0.056819 , 0.06722 , 0.05974 
 583 , 0.073134 , 0.059244 , 0.056824 , 0.067283 , 0.059764 
 584 , 0.073123 , 0.059273 , 0.056835 , 0.067352 , 0.059792 
 585 , 0.073105 , 0.059298 , 0.056834 , 0.0674 , 0.059809 
 586 , 0.073091 , 0.059327 , 0.056839 , 0.067453 , 0.05983 
 587 , 0.073073 , 0.05936 , 0.056847 , 0.067509 , 0.059848 
 588 , 0.073098 , 0.059406 , 0.0569 , 0.067562 , 0.059894 
 589 , 0.073131 , 0.059457 , 0.056957 , 0.06762 , 0.059939 
 590 , 0.073165 , 0.059502 , 0.057007 , 0.067678 , 0.059984 
 591 , 0.073281 , 0.059637 , 0.057136 , 0.067796 , 0.060097 
 592 , 0.073424 , 0.059785 , 0.057277 , 0.067938 , 0.060232 
 593 , 0.073569 , 0.059944 , 0.057421 , 0.068076 , 0.06037 
 594 , 0.073709 , 0.060096 , 0.057563 , 0.068216 , 0.060501 
 595 , 0.073801 , 0.06022 , 0.057685 , 0.068318 , 0.060604 
 596 , 0.0739 , 0.060344 , 0.057799 , 0.068427 , 0.060706 
 597 , 0.073997 , 0.060473 , 0.057927 , 0.068534 , 0.060807 
 598 , 0.074149 , 0.060652 , 0.058096 , 0.068667 , 0.060957 
