  time  ,:43:31 A,:43:16 A,:43:02 A,:42:45 A,:42:31 A,:41:06 A,:40:54 A,:40:39 A,:40:24 A,:40:08 A,:39:34 A,:39:21 A,:39:07 A,:38:54 A,:38:42 A,:38:13 A,:37:54 A,:37:34 A,:37:23 A,:37:12 A,:36:37 A,:36:24 A,:36:09 A,:35:51 A,:35:32 A,:35:01 A,:34:50 A,:34:31 A,:34:16 A,:33:59 A,:33:23 A,:33:13 A,:32:57 A,:32:42 A,:32:25 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 318 , 0.02464 , 0.022428 , 0.02578 , 0.02961 , 0.029516 , 0.02147 , 0.024725 , 0.030284 , 0.025828 , 0.02944 , 0.024301 , 0.024179 , 0.029816 , 0.025978 , 0.023104 , 0.019645 , 0.019684 , 0.02929 , 0.022016 , 0.030258 , 0.023977 , 0.023359 , 0.025328 , 0.018315 , 0.025817 , 0.022182 , 0.028089 , 0.019917 , 0.026461 , 0.020509 , 0.030611 , 0.026799 , 0.024399 , 0.02917 , 0.027362 
 319 , 0.026079 , 0.020584 , 0.023216 , 0.027551 , 0.028982 , 0.018349 , 0.022992 , 0.026955 , 0.023711 , 0.025913 , 0.022788 , 0.02152 , 0.027375 , 0.023538 , 0.020401 , 0.018141 , 0.018262 , 0.026799 , 0.020216 , 0.026788 , 0.021459 , 0.021081 , 0.022871 , 0.017977 , 0.023638 , 0.019952 , 0.023538 , 0.017403 , 0.025665 , 0.019973 , 0.027466 , 0.024524 , 0.02148 , 0.026751 , 0.025449 
 320 , 0.027167 , 0.019145 , 0.021224 , 0.025961 , 0.028592 , 0.015923 , 0.021627 , 0.02437 , 0.022068 , 0.023171 , 0.021609 , 0.019453 , 0.025464 , 0.021633 , 0.018301 , 0.016965 , 0.017159 , 0.024873 , 0.018807 , 0.024093 , 0.019502 , 0.019315 , 0.020966 , 0.017703 , 0.021944 , 0.018219 , 0.020006 , 0.015448 , 0.02503 , 0.019543 , 0.025027 , 0.022755 , 0.019211 , 0.024879 , 0.023952 
 321 , 0.028014 , 0.01799 , 0.019635 , 0.024698 , 0.028296 , 0.01398 , 0.02052 , 0.022301 , 0.020757 , 0.020977 , 0.020666 , 0.017799 , 0.023922 , 0.020104 , 0.016622 , 0.016018 , 0.01628 , 0.023336 , 0.017675 , 0.021936 , 0.017935 , 0.017904 , 0.01945 , 0.017474 , 0.020587 , 0.016832 , 0.017184 , 0.013885 , 0.02451 , 0.01919 , 0.023079 , 0.021338 , 0.017395 , 0.023388 , 0.022747 
 322 , 0.026707 , 0.019551 , 0.019182 , 0.023262 , 0.027743 , 0.014001 , 0.020325 , 0.021689 , 0.01998 , 0.020723 , 0.019758 , 0.017287 , 0.023483 , 0.020099 , 0.016314 , 0.016245 , 0.016817 , 0.022457 , 0.017511 , 0.021656 , 0.017559 , 0.017368 , 0.018415 , 0.017307 , 0.020543 , 0.016174 , 0.017695 , 0.013715 , 0.023571 , 0.019612 , 0.022702 , 0.020748 , 0.016783 , 0.022524 , 0.022379 
 323 , 0.025034 , 0.021566 , 0.019114 , 0.02202 , 0.027208 , 0.014558 , 0.020402 , 0.021562 , 0.019479 , 0.021034 , 0.019015 , 0.017172 , 0.0234 , 0.020508 , 0.016414 , 0.016749 , 0.017656 , 0.021902 , 0.017638 , 0.021929 , 0.017551 , 0.017164 , 0.017684 , 0.01719 , 0.020853 , 0.01582 , 0.01901 , 0.013947 , 0.022671 , 0.020172 , 0.0228 , 0.020472 , 0.016584 , 0.02196 , 0.022285 
 324 , 0.023712 , 0.023131 , 0.01906 , 0.021038 , 0.026774 , 0.015006 , 0.020462 , 0.021454 , 0.019084 , 0.021266 , 0.018437 , 0.017098 , 0.023324 , 0.020842 , 0.016469 , 0.017146 , 0.018331 , 0.021456 , 0.017747 , 0.022157 , 0.017528 , 0.017004 , 0.017097 , 0.017106 , 0.021084 , 0.015541 , 0.020027 , 0.01413 , 0.021964 , 0.02061 , 0.022851 , 0.020244 , 0.016404 , 0.021487 , 0.022198 
 325 , 0.023125 , 0.02343 , 0.019129 , 0.020748 , 0.026387 , 0.015359 , 0.020324 , 0.021098 , 0.018898 , 0.020634 , 0.018168 , 0.01699 , 0.023266 , 0.020811 , 0.016493 , 0.017334 , 0.01867 , 0.02135 , 0.017723 , 0.022197 , 0.017495 , 0.016949 , 0.016823 , 0.01692 , 0.021154 , 0.015595 , 0.020574 , 0.01421 , 0.021431 , 0.020653 , 0.022933 , 0.020257 , 0.016239 , 0.021062 , 0.021994 
 326 , 0.023482 , 0.022014 , 0.01938 , 0.021389 , 0.026011 , 0.015621 , 0.019885 , 0.020352 , 0.018977 , 0.01872 , 0.018291 , 0.016811 , 0.023222 , 0.020254 , 0.016489 , 0.01725 , 0.018579 , 0.021708 , 0.017501 , 0.021972 , 0.017451 , 0.017035 , 0.016953 , 0.016561 , 0.021006 , 0.016118 , 0.020552 , 0.014156 , 0.021069 , 0.020149 , 0.023085 , 0.020614 , 0.016081 , 0.020665 , 0.021595 
 327 , 0.023813 , 0.020867 , 0.01957 , 0.021923 , 0.025717 , 0.015835 , 0.019535 , 0.019752 , 0.019038 , 0.017166 , 0.018379 , 0.016662 , 0.023238 , 0.019805 , 0.016507 , 0.017202 , 0.018508 , 0.02201 , 0.017323 , 0.021793 , 0.01744 , 0.017108 , 0.017068 , 0.01627 , 0.020916 , 0.016554 , 0.020537 , 0.014119 , 0.020776 , 0.019742 , 0.023236 , 0.020922 , 0.015969 , 0.020332 , 0.021296 
 328 , 0.024121 , 0.019917 , 0.019717 , 0.022376 , 0.025481 , 0.016015 , 0.01925 , 0.019258 , 0.019085 , 0.01588 , 0.018443 , 0.016538 , 0.023291 , 0.019434 , 0.016537 , 0.017177 , 0.018449 , 0.022271 , 0.017176 , 0.021645 , 0.01745 , 0.01717 , 0.017169 , 0.016029 , 0.020863 , 0.016921 , 0.020526 , 0.014093 , 0.020535 , 0.019404 , 0.023383 , 0.02119 , 0.015888 , 0.020049 , 0.021066 
 329 , 0.024818 , 0.020771 , 0.019932 , 0.022607 , 0.026056 , 0.016179 , 0.020012 , 0.019571 , 0.019874 , 0.01741 , 0.019042 , 0.01681 , 0.02326 , 0.019909 , 0.016899 , 0.017153 , 0.018036 , 0.022306 , 0.017074 , 0.022036 , 0.017471 , 0.017487 , 0.01778 , 0.016401 , 0.021261 , 0.016962 , 0.020299 , 0.014493 , 0.020952 , 0.01951 , 0.023789 , 0.020981 , 0.016109 , 0.020468 , 0.021108 
 330 , 0.02541 , 0.021547 , 0.02012 , 0.022788 , 0.026562 , 0.016322 , 0.020686 , 0.019861 , 0.020589 , 0.018814 , 0.019569 , 0.017061 , 0.023215 , 0.020345 , 0.01722 , 0.017133 , 0.017662 , 0.022321 , 0.016977 , 0.022377 , 0.017478 , 0.017763 , 0.018309 , 0.016729 , 0.021597 , 0.016983 , 0.020097 , 0.014846 , 0.021351 , 0.019606 , 0.024142 , 0.020776 , 0.016299 , 0.02086 , 0.021147 
 331 , 0.02589 , 0.022197 , 0.020288 , 0.022928 , 0.026978 , 0.01645 , 0.02125 , 0.020103 , 0.021222 , 0.020023 , 0.020023 , 0.017282 , 0.023144 , 0.020719 , 0.017489 , 0.01711 , 0.017324 , 0.022321 , 0.01688 , 0.022654 , 0.017463 , 0.017994 , 0.01875 , 0.016999 , 0.021855 , 0.016996 , 0.019921 , 0.015145 , 0.021716 , 0.019675 , 0.024436 , 0.020584 , 0.016444 , 0.021212 , 0.021165 
 332 , 0.025676 , 0.022352 , 0.020212 , 0.02283 , 0.026582 , 0.016467 , 0.021383 , 0.020002 , 0.021067 , 0.020471 , 0.020139 , 0.017303 , 0.023033 , 0.020499 , 0.017479 , 0.017324 , 0.01732 , 0.022113 , 0.016803 , 0.022732 , 0.017316 , 0.018054 , 0.018665 , 0.016873 , 0.02164 , 0.016817 , 0.019842 , 0.015232 , 0.021512 , 0.019556 , 0.02406 , 0.020646 , 0.016573 , 0.021262 , 0.021011 
 333 , 0.025067 , 0.022214 , 0.019996 , 0.022597 , 0.025735 , 0.016418 , 0.021259 , 0.019704 , 0.020455 , 0.020456 , 0.020054 , 0.017206 , 0.022902 , 0.019942 , 0.017307 , 0.017669 , 0.017514 , 0.021793 , 0.016742 , 0.022692 , 0.017097 , 0.018011 , 0.018278 , 0.01652 , 0.021158 , 0.016536 , 0.019823 , 0.015192 , 0.020988 , 0.019332 , 0.023309 , 0.020857 , 0.016688 , 0.021132 , 0.020764 
 334 , 0.024539 , 0.0221 , 0.019815 , 0.022396 , 0.024994 , 0.016376 , 0.021154 , 0.019446 , 0.019923 , 0.020448 , 0.019988 , 0.017114 , 0.02279 , 0.019453 , 0.017155 , 0.017983 , 0.017693 , 0.021516 , 0.016692 , 0.022663 , 0.016911 , 0.017976 , 0.017939 , 0.016214 , 0.020741 , 0.016288 , 0.019808 , 0.015165 , 0.020524 , 0.01914 , 0.022656 , 0.021058 , 0.016792 , 0.021027 , 0.020546 
 335 , 0.024249 , 0.021908 , 0.019652 , 0.022184 , 0.024528 , 0.01634 , 0.021085 , 0.019273 , 0.019603 , 0.020437 , 0.019906 , 0.017043 , 0.022655 , 0.019155 , 0.017029 , 0.018189 , 0.017899 , 0.021297 , 0.016598 , 0.022592 , 0.016716 , 0.01793 , 0.017697 , 0.015986 , 0.020486 , 0.016046 , 0.01979 , 0.015075 , 0.020261 , 0.019044 , 0.022165 , 0.021137 , 0.016832 , 0.020843 , 0.020343 
 336 , 0.024646 , 0.021386 , 0.0195 , 0.021883 , 0.024794 , 0.016319 , 0.021104 , 0.019319 , 0.01988 , 0.020401 , 0.019753 , 0.017019 , 0.022386 , 0.019364 , 0.016935 , 0.018095 , 0.018237 , 0.021187 , 0.016326 , 0.022352 , 0.016439 , 0.017844 , 0.01769 , 0.015934 , 0.02068 , 0.015748 , 0.01974 , 0.014746 , 0.020547 , 0.019221 , 0.022051 , 0.02082 , 0.016672 , 0.020353 , 0.020128 
