JUL8MAT00005.spu,JUL8MAT00003.spu,JUL8MAT00004.spu,
Wavelength,JUL8MAT00006.spu,JUL8MAT00007.spu,JUL8MAT00008.spu,JUL8MAT00009.spu,JUL8MAT00010.spu,JUL8MAT00011.spu,JUL8MAT00012.spu,JUL8MAT00013.spu,JUL8MAT00014.spu,JUL8MAT00015.spu,JUL8MAT00016.spu,JUL8MAT00017.spu,JUL8MAT00018.spu,JUL8MAT00019.spu,JUL8MAT00020.spu,JUL8MAT00021.spu,JUL8MAT00022.spu,JUL8MAT00023.spu,JUL8MAT00024.spu,JUL8MAT00025.spu
  (nm),7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2
  time  ,9:48 PM",9:57 PM",0:06 PM",0:49 PM",1:02 PM",2:28 PM",2:40 PM",2:49 PM",2:57 PM",3:08 PM",4:02 PM",4:09 PM",4:17 PM",4:25 PM",4:32 PM",5:02 PM",5:11 PM",5:24 PM",5:34 PM",6:02 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,
 333 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 1.809616 , 1.809616 , 1.809616 , 1.809616 , 1.809616 , 1.809616 , 1.809616 , 1.809616 
 334 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 2.454118 , 2.454118 , 2.454118 , 2.454118 , 2.454118 , 2.454118 , 2.454118 , 2.454118 
 335 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000773 , 0 , 2.979568 , 2.979568 , 2.979568 , 0 , 2.979568 , 2.979568 , 2.979568 
 336 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.003845 , 0 , 3.358588 , 3.358588 , 3.358588 , 0 , 3.358588 , 3.358588 , 3.358588 
 337 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.005664 , 0 , 3.41296 , 3.41296 , 3.41296 , 0 , 3.41296 , 3.41296 , 3.41296 
 338 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0.006532 , 0 , 3.272915 , 3.272915 , 3.272915 , 0 , 3.272915 , 3.272915 , 3.272915 
 339 , 0.000348 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000239 , 0 , 0 , 0.00037 , 0.008105 , 0.001903 , 3.7777 , 3.7777 , 0.073681 , 0.009172 , 3.7777 , 3.7777 , 3.7777 
 340 , 0.000827 , 0 , 0 , 0 , 0 , 0 , 0 , 0.00053 , 0 , 0 , 0.000739 , 0.009441 , 0.002664 , 4.226279 , 4.226279 , 0.050279 , 0.014268 , 4.226279 , 4.226279 , 4.226279 
 341 , 0.001333 , 0 , 0 , 0 , 0 , 0 , 0 , 0.000802 , 0 , 0 , 0.001037 , 0.010471 , 0.003105 , 4.561703 , 4.561703 , 0.043835 , 0.017392 , 4.561703 , 4.561703 , 4.561703 
 342 , 0.001952 , 0.000561 , 0.00026 , 0.000394 , 0 , 0.000393 , 0 , 0.001355 , 0 , 0.000307 , 0.001347 , 0.011402 , 0.004069 , 0.013142 , 4.760906 , 0.035276 , 0.019326 , 4.760906 , 0.314686 , 4.760906 
