JUL8MAT00029.spu,JUL8MAT00028.spu,JUL8MAT00027.spu,JUL8MAT00026.spu,
Wavelength,JUL8MAT00031.spu,JUL8MAT00032.spu,JUL8MAT00033.spu,JUL8MAT00034.spu,JUL8MAT00035.spu,JUL8MAT00036.spu,JUL8MAT00037.spu,JUL8MAT00038.spu,JUL8MAT00039.spu,JUL8MAT00040.spu,JUL8MAT00041.spu,JUL8MAT00042.spu,JUL8MAT00043.spu,JUL8MAT00044.spu,JUL8MAT00045.spu
  (nm),7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2,7/8/2016 2
  time  ,3:09 PM",3:18 PM",3:27 PM",3:37 PM",3:44 PM",5:02 PM",5:14 PM",6:48 PM",6:56 PM",8:53 PM",9:33 PM",9:41 PM",9:50 PM",9:59 PM",0:07 PM"
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,
 345 , 0.005774 , 0.002708 , 0.013308 , 0.013503 , 0.002493 , 0.004607 , 0.003277 , 0.001854 , 0.002686 , 0.003917 , 0.002896 , 0.006314 , 0.002969 , 0.002413 , 0.005521 
 346 , 0.007456 , 0.003203 , 0.012365 , 0.01163 , 0.002714 , 0.005583 , 0.003582 , 0.002553 , 0.003282 , 0.004173 , 0.004752 , 0.007637 , 0.004146 , 0.003043 , 0.006207 
 347 , 0.009029 , 0.00364 , 0.011692 , 0.010668 , 0.002902 , 0.006502 , 0.003859 , 0.003207 , 0.003813 , 0.004383 , 0.006032 , 0.008638 , 0.005131 , 0.003507 , 0.006814 
 348 , 0.010492 , 0.004027 , 0.011181 , 0.01008 , 0.003064 , 0.007363 , 0.00411 , 0.003816 , 0.004286 , 0.004556 , 0.006969 , 0.009417 , 0.005962 , 0.00386 , 0.007351 
 349 , 0.011289 , 0.004659 , 0.012227 , 0.010433 , 0.003623 , 0.008061 , 0.00465 , 0.004438 , 0.005016 , 0.004968 , 0.007279 , 0.010371 , 0.006119 , 0.004632 , 0.008069 
 350 , 0.011753 , 0.00526 , 0.013693 , 0.011021 , 0.004307 , 0.008651 , 0.005267 , 0.005025 , 0.005891 , 0.005402 , 0.007363 , 0.011352 , 0.006044 , 0.00558 , 0.008787 
 351 , 0.012138 , 0.005732 , 0.014952 , 0.011522 , 0.004935 , 0.009187 , 0.005825 , 0.005556 , 0.006798 , 0.005754 , 0.007427 , 0.012243 , 0.005983 , 0.006502 , 0.009407 
 352 , 0.012189 , 0.006471 , 0.016065 , 0.011814 , 0.005459 , 0.009481 , 0.0062 , 0.005963 , 0.007443 , 0.006217 , 0.0076 , 0.012727 , 0.006154 , 0.007097 , 0.009791 
 353 , 0.011768 , 0.007863 , 0.017108 , 0.011805 , 0.005836 , 0.009382 , 0.006271 , 0.006183 , 0.007488 , 0.007016 , 0.007997 , 0.012549 , 0.006766 , 0.007051 , 0.009803 
 354 , 0.011451 , 0.009146 , 0.018096 , 0.011797 , 0.006188 , 0.009302 , 0.006326 , 0.006379 , 0.007522 , 0.007821 , 0.008361 , 0.012405 , 0.007343 , 0.007 , 0.0098 
 355 , 0.011205 , 0.010328 , 0.019034 , 0.01179 , 0.006517 , 0.009233 , 0.006371 , 0.006555 , 0.007549 , 0.008629 , 0.008696 , 0.012286 , 0.007885 , 0.006946 , 0.009785 
 356 , 0.011579 , 0.009644 , 0.018256 , 0.011607 , 0.006397 , 0.00943 , 0.006781 , 0.006292 , 0.007665 , 0.008127 , 0.008788 , 0.012055 , 0.007649 , 0.006949 , 0.009723 
 357 , 0.011959 , 0.009006 , 0.017515 , 0.011419 , 0.006259 , 0.009618 , 0.007196 , 0.006022 , 0.007769 , 0.0076 , 0.008853 , 0.011827 , 0.007398 , 0.006951 , 0.009654 
 358 , 0.012317 , 0.008475 , 0.016877 , 0.011239 , 0.006124 , 0.009786 , 0.007598 , 0.005766 , 0.007859 , 0.007114 , 0.008906 , 0.011607 , 0.00717 , 0.006951 , 0.009583 
 359 , 0.012476 , 0.008342 , 0.016635 , 0.011386 , 0.006365 , 0.010017 , 0.007717 , 0.005988 , 0.007971 , 0.007119 , 0.00902 , 0.011735 , 0.0072 , 0.007006 , 0.010039 
 360 , 0.012494 , 0.008455 , 0.016652 , 0.011754 , 0.006871 , 0.01029 , 0.007628 , 0.006558 , 0.008099 , 0.007453 , 0.009175 , 0.012098 , 0.007399 , 0.007097 , 0.010887 
 361 , 0.012511 , 0.008558 , 0.016673 , 0.012095 , 0.007358 , 0.010546 , 0.007538 , 0.007123 , 0.008216 , 0.007762 , 0.009318 , 0.012438 , 0.00758 , 0.007181 , 0.011727 
 362 , 0.012535 , 0.00864 , 0.016635 , 0.012409 , 0.007728 , 0.010864 , 0.007499 , 0.007621 , 0.008398 , 0.008012 , 0.009533 , 0.012806 , 0.007729 , 0.007322 , 0.012337 
 363 , 0.012584 , 0.008659 , 0.016355 , 0.012688 , 0.007688 , 0.011478 , 0.007643 , 0.007845 , 0.008863 , 0.008097 , 0.010061 , 0.013339 , 0.007825 , 0.007722 , 0.012048 
 364 , 0.01263 , 0.008677 , 0.016116 , 0.012942 , 0.007648 , 0.012065 , 0.007773 , 0.008051 , 0.009304 , 0.008173 , 0.010559 , 0.013837 , 0.00791 , 0.008113 , 0.011795 
 365 , 0.012671 , 0.008692 , 0.015909 , 0.013175 , 0.007607 , 0.012628 , 0.007892 , 0.008241 , 0.009723 , 0.008242 , 0.011026 , 0.014304 , 0.007984 , 0.008494 , 0.01157 
 366 , 0.012613 , 0.008957 , 0.01648 , 0.013068 , 0.007762 , 0.01246 , 0.008052 , 0.008085 , 0.009684 , 0.008425 , 0.010783 , 0.013667 , 0.008182 , 0.008647 , 0.01152 
 367 , 0.012543 , 0.009271 , 0.01722 , 0.012889 , 0.007954 , 0.012156 , 0.008218 , 0.007863 , 0.009551 , 0.008628 , 0.010402 , 0.012898 , 0.0084 , 0.008748 , 0.01151 
 368 , 0.012482 , 0.009577 , 0.017952 , 0.012711 , 0.00814 , 0.011876 , 0.008378 , 0.00765 , 0.009423 , 0.008822 , 0.010039 , 0.01223 , 0.008613 , 0.008847 , 0.011503 
 369 , 0.012633 , 0.009652 , 0.018189 , 0.01268 , 0.008297 , 0.011863 , 0.008483 , 0.007611 , 0.009422 , 0.008987 , 0.009833 , 0.011998 , 0.008735 , 0.00887 , 0.011603 
 370 , 0.013039 , 0.009468 , 0.01781 , 0.012831 , 0.008414 , 0.012162 , 0.008514 , 0.00778 , 0.009567 , 0.009116 , 0.00981 , 0.012234 , 0.008751 , 0.008806 , 0.011831 
 371 , 0.013409 , 0.009308 , 0.017438 , 0.012987 , 0.008512 , 0.012443 , 0.008525 , 0.007943 , 0.009697 , 0.009237 , 0.009793 , 0.012455 , 0.008771 , 0.008756 , 0.012045 
 372 , 0.013708 , 0.009132 , 0.017059 , 0.01312 , 0.008581 , 0.012706 , 0.008532 , 0.008079 , 0.009826 , 0.009328 , 0.009777 , 0.012647 , 0.008764 , 0.008707 , 0.012233 
 373 , 0.013237 , 0.00856 , 0.016402 , 0.01289 , 0.008448 , 0.012854 , 0.008714 , 0.007912 , 0.010145 , 0.0091 , 0.009742 , 0.012536 , 0.008389 , 0.00861 , 0.012213 
 374 , 0.012915 , 0.008045 , 0.01592 , 0.012699 , 0.008309 , 0.013002 , 0.008858 , 0.007739 , 0.010416 , 0.008888 , 0.009702 , 0.012472 , 0.008029 , 0.008492 , 0.012177 
 375 , 0.012689 , 0.007569 , 0.015553 , 0.012536 , 0.008165 , 0.01315 , 0.008975 , 0.007562 , 0.010651 , 0.008688 , 0.009658 , 0.01244 , 0.007679 , 0.00836 , 0.01213 
 376 , 0.012518 , 0.007475 , 0.015399 , 0.012637 , 0.008326 , 0.01337 , 0.009033 , 0.007746 , 0.010797 , 0.008814 , 0.009462 , 0.012411 , 0.007564 , 0.008435 , 0.01221 
 377 , 0.012404 , 0.007566 , 0.015431 , 0.012848 , 0.00859 , 0.013569 , 0.009041 , 0.008053 , 0.010871 , 0.009052 , 0.0093 , 0.012383 , 0.007579 , 0.008609 , 0.012357 
 378 , 0.012325 , 0.007684 , 0.015552 , 0.013064 , 0.008836 , 0.013727 , 0.009025 , 0.008337 , 0.010915 , 0.009272 , 0.009211 , 0.012357 , 0.007621 , 0.008795 , 0.012515 
 379 , 0.01228 , 0.007755 , 0.015495 , 0.013127 , 0.008986 , 0.013868 , 0.009077 , 0.008467 , 0.011005 , 0.009431 , 0.009095 , 0.012257 , 0.007627 , 0.008858 , 0.012588 
 380 , 0.012303 , 0.007719 , 0.015064 , 0.012879 , 0.008917 , 0.014013 , 0.009234 , 0.008268 , 0.011169 , 0.009456 , 0.008853 , 0.012031 , 0.007509 , 0.008647 , 0.012439 
 381 , 0.012365 , 0.007696 , 0.014709 , 0.012631 , 0.008798 , 0.014152 , 0.009319 , 0.008028 , 0.011275 , 0.009453 , 0.008604 , 0.011833 , 0.007359 , 0.008422 , 0.012244 
 382 , 0.012447 , 0.007682 , 0.014388 , 0.01238 , 0.00865 , 0.014291 , 0.009367 , 0.007761 , 0.01135 , 0.009434 , 0.008347 , 0.011647 , 0.00719 , 0.008186 , 0.01202 
 383 , 0.012434 , 0.007696 , 0.014368 , 0.012444 , 0.008906 , 0.014517 , 0.009581 , 0.007951 , 0.011443 , 0.009292 , 0.00834 , 0.011674 , 0.007428 , 0.008628 , 0.012258 
