  time  ,28:22 AM,28:33 AM,28:45 AM,28:54 AM,29:05 AM,30:29 AM,30:42 AM,30:54 AM,31:04 AM,31:18 AM,32:22 AM,32:32 AM,32:43 AM,32:54 AM,33:03 AM,33:35 AM,33:45 AM,33:57 AM,34:06 AM,34:16 AM,35:44 AM,35:56 AM,36:07 AM,36:17 AM,36:25 AM,37:15 AM,37:28 AM,37:42 AM,37:54 AM,38:05 AM,38:53 AM,39:05 AM,39:18 AM,39:28 AM,39:42 AM,40:23 AM,40:33 AM,40:44 AM,40:56 AM,41:11 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 456 , 0.03361 , 0.03947 , 0.04912 , 0.04572 , 0.03632 , 0.02134 , 0.02813 , 0.03446 , 0.03839 , 0.03346 , 0.04311 , 0.05136 , 0.04761 , 0.04963 , 0.04526 , 0.04932 , 0.03631 , 0.02907 , 0.02045 , 0.03401 , 0.03862 , 0.0423 , 0.02776 , 0.04772 , 0.04309 , 0.04853 , 0.04257 , 0.07271 , 0.05818 , 0.05757 , 0.05062 , 0.02516 , 0.02366 , 0.02777 , 0.04334 , 0.03661 , 0.04222 , 0.03194 , 0.0344 , 0.03395 
 457 , 0.03372 , 0.03965 , 0.04929 , 0.04593 , 0.03644 , 0.02141 , 0.02822 , 0.03449 , 0.03847 , 0.03353 , 0.0433 , 0.05156 , 0.04777 , 0.04984 , 0.04541 , 0.04952 , 0.03642 , 0.02919 , 0.02053 , 0.03411 , 0.03879 , 0.04248 , 0.02789 , 0.04793 , 0.04328 , 0.04877 , 0.04279 , 0.07312 , 0.05846 , 0.05786 , 0.05066 , 0.02523 , 0.02373 , 0.02785 , 0.04354 , 0.03681 , 0.04244 , 0.0321 , 0.03462 , 0.0341 
 458 , 0.03383 , 0.03984 , 0.04945 , 0.04614 , 0.03658 , 0.02147 , 0.02831 , 0.03451 , 0.03856 , 0.03361 , 0.04349 , 0.05177 , 0.04793 , 0.05006 , 0.04556 , 0.04974 , 0.03653 , 0.02931 , 0.02061 , 0.03422 , 0.03896 , 0.04268 , 0.02803 , 0.04815 , 0.04349 , 0.04902 , 0.04302 , 0.07354 , 0.05875 , 0.05816 , 0.0507 , 0.0253 , 0.02381 , 0.02793 , 0.04377 , 0.03701 , 0.04267 , 0.03226 , 0.03485 , 0.03426 
 459 , 0.03394 , 0.04003 , 0.04962 , 0.04636 , 0.03672 , 0.02154 , 0.0284 , 0.03454 , 0.03864 , 0.03369 , 0.04369 , 0.05198 , 0.0481 , 0.05028 , 0.04572 , 0.04995 , 0.03665 , 0.02944 , 0.02069 , 0.03433 , 0.03914 , 0.04287 , 0.02817 , 0.04836 , 0.0437 , 0.04927 , 0.04325 , 0.07396 , 0.05904 , 0.05845 , 0.05075 , 0.02538 , 0.02389 , 0.02802 , 0.04399 , 0.03722 , 0.04289 , 0.03243 , 0.03508 , 0.03442 
 460 , 0.03398 , 0.04013 , 0.04971 , 0.04649 , 0.03677 , 0.02155 , 0.02843 , 0.03453 , 0.03865 , 0.03369 , 0.04379 , 0.05212 , 0.04819 , 0.05041 , 0.04581 , 0.05009 , 0.03672 , 0.0295 , 0.02072 , 0.03438 , 0.03927 , 0.04302 , 0.02826 , 0.0485 , 0.04385 , 0.04943 , 0.0434 , 0.07424 , 0.05923 , 0.05864 , 0.0507 , 0.02539 , 0.0239 , 0.02804 , 0.04414 , 0.03737 , 0.04305 , 0.03253 , 0.03525 , 0.03452 
 461 , 0.03397 , 0.04019 , 0.04975 , 0.04657 , 0.03677 , 0.02152 , 0.02843 , 0.03451 , 0.03863 , 0.03365 , 0.04384 , 0.05223 , 0.04824 , 0.05049 , 0.04588 , 0.05021 , 0.03677 , 0.02952 , 0.02074 , 0.0344 , 0.03938 , 0.04314 , 0.02833 , 0.04859 , 0.04396 , 0.04956 , 0.04351 , 0.07446 , 0.05937 , 0.05877 , 0.0506 , 0.02537 , 0.02388 , 0.02802 , 0.04425 , 0.0375 , 0.04318 , 0.0326 , 0.0354 , 0.03458 
 462 , 0.03395 , 0.04024 , 0.04979 , 0.04666 , 0.03677 , 0.02148 , 0.02842 , 0.03449 , 0.03861 , 0.03361 , 0.0439 , 0.05234 , 0.04829 , 0.05057 , 0.04595 , 0.05032 , 0.03682 , 0.02954 , 0.02075 , 0.03443 , 0.0395 , 0.04327 , 0.02839 , 0.04868 , 0.04407 , 0.04969 , 0.04362 , 0.07467 , 0.05952 , 0.0589 , 0.05049 , 0.02535 , 0.02386 , 0.028 , 0.04436 , 0.03763 , 0.04331 , 0.03266 , 0.03554 , 0.03464 
 463 , 0.03394 , 0.04029 , 0.04982 , 0.04674 , 0.03677 , 0.02145 , 0.02842 , 0.03446 , 0.03858 , 0.03357 , 0.04395 , 0.05245 , 0.04834 , 0.05064 , 0.04602 , 0.05042 , 0.03686 , 0.02956 , 0.02077 , 0.03444 , 0.03961 , 0.04339 , 0.02846 , 0.04877 , 0.04418 , 0.04981 , 0.04373 , 0.07487 , 0.05965 , 0.05903 , 0.05038 , 0.02532 , 0.02384 , 0.02799 , 0.04446 , 0.03775 , 0.04344 , 0.03272 , 0.03568 , 0.0347 
 464 , 0.03394 , 0.04037 , 0.04986 , 0.04684 , 0.03681 , 0.02144 , 0.02846 , 0.03443 , 0.03857 , 0.03356 , 0.04404 , 0.05258 , 0.04842 , 0.05076 , 0.04614 , 0.05051 , 0.03694 , 0.02961 , 0.02082 , 0.03448 , 0.03973 , 0.04354 , 0.02857 , 0.04892 , 0.04431 , 0.04995 , 0.04386 , 0.07508 , 0.05981 , 0.05919 , 0.05033 , 0.02533 , 0.02383 , 0.02802 , 0.0446 , 0.03792 , 0.04362 , 0.03282 , 0.03585 , 0.03477 
 465 , 0.03394 , 0.04046 , 0.0499 , 0.04694 , 0.03686 , 0.02143 , 0.02849 , 0.03439 , 0.03857 , 0.03355 , 0.04413 , 0.05272 , 0.0485 , 0.05087 , 0.04626 , 0.05059 , 0.03701 , 0.02966 , 0.02086 , 0.03452 , 0.03985 , 0.04369 , 0.02868 , 0.04906 , 0.04444 , 0.0501 , 0.04399 , 0.0753 , 0.05997 , 0.05936 , 0.05027 , 0.02534 , 0.02383 , 0.02805 , 0.04474 , 0.0381 , 0.0438 , 0.03291 , 0.03601 , 0.03485 
