
Wavelength,WSG1_00030.spu,WSG1_00031.spu,WSG1_00032.spu,WSG1_00033.spu,WSG1_00034.spu
  (nm),7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 ,7/30/2018 
  time  ,15:49 PM,16:04 PM,16:15 PM,16:30 PM,16:41 PM
temp C,SW,SW,SW,SW,SW
,,,,,
 400 , 0.03157 , 0.02568 , 0.02487 , 0.03566 , 0.02547 
 401 , 0.03162 , 0.02578 , 0.02505 , 0.03552 , 0.02543 
 402 , 0.03166 , 0.02586 , 0.0252 , 0.03541 , 0.02539 
 403 , 0.03161 , 0.02586 , 0.02522 , 0.03531 , 0.02544 
 404 , 0.03158 , 0.02587 , 0.02524 , 0.03528 , 0.02555 
 405 , 0.03155 , 0.02587 , 0.02525 , 0.03525 , 0.02566 
 406 , 0.03156 , 0.02587 , 0.02525 , 0.03522 , 0.02573 
 407 , 0.03165 , 0.02588 , 0.02524 , 0.0352 , 0.02579 
 408 , 0.03174 , 0.02588 , 0.02523 , 0.03519 , 0.02584 
 409 , 0.03181 , 0.02589 , 0.02522 , 0.03517 , 0.02588 
 410 , 0.03215 , 0.02617 , 0.02552 , 0.0355 , 0.02616 
 411 , 0.03245 , 0.02643 , 0.02579 , 0.03579 , 0.02642 
 412 , 0.03273 , 0.02667 , 0.02603 , 0.03606 , 0.02665 
 413 , 0.03302 , 0.0269 , 0.02624 , 0.03632 , 0.02688 
 414 , 0.03331 , 0.02711 , 0.02643 , 0.03658 , 0.02709 
 415 , 0.03359 , 0.02732 , 0.0266 , 0.03682 , 0.02729 
 416 , 0.03385 , 0.02753 , 0.02677 , 0.03703 , 0.0275 
 417 , 0.03409 , 0.02779 , 0.02696 , 0.03725 , 0.02776 
 418 , 0.03433 , 0.02804 , 0.02714 , 0.03746 , 0.02801 
 419 , 0.03455 , 0.02828 , 0.02731 , 0.03765 , 0.02824 
 420 , 0.03496 , 0.02858 , 0.02765 , 0.038 , 0.02861 
 421 , 0.03539 , 0.02888 , 0.028 , 0.03837 , 0.02898 
 422 , 0.03579 , 0.02917 , 0.02834 , 0.03873 , 0.02934 
 423 , 0.03613 , 0.02941 , 0.02858 , 0.03897 , 0.02963 
 424 , 0.03646 , 0.02966 , 0.02878 , 0.03917 , 0.0299 
 425 , 0.03678 , 0.02989 , 0.02897 , 0.03937 , 0.03016 
 426 , 0.0371 , 0.03012 , 0.02915 , 0.03957 , 0.03042 
 427 , 0.0375 , 0.03034 , 0.02934 , 0.03984 , 0.03071 
 428 , 0.03789 , 0.03056 , 0.02951 , 0.04009 , 0.03099 
 429 , 0.03827 , 0.03077 , 0.02969 , 0.04035 , 0.03127 
 430 , 0.03879 , 0.03113 , 0.03009 , 0.04078 , 0.03174 
 431 , 0.03926 , 0.03147 , 0.03048 , 0.04118 , 0.03219 
 432 , 0.03972 , 0.0318 , 0.03086 , 0.04157 , 0.03262 
 433 , 0.04024 , 0.03215 , 0.03124 , 0.04199 , 0.03308 
 434 , 0.04076 , 0.03248 , 0.03157 , 0.0424 , 0.03351 
 435 , 0.04125 , 0.0328 , 0.03187 , 0.04278 , 0.03392 
 436 , 0.04171 , 0.03309 , 0.03216 , 0.04315 , 0.0343 
 437 , 0.04226 , 0.03347 , 0.03252 , 0.04359 , 0.03472 
 438 , 0.04279 , 0.03384 , 0.03286 , 0.04401 , 0.03512 
 439 , 0.0433 , 0.03419 , 0.03318 , 0.04442 , 0.03551 
 440 , 0.0438 , 0.03451 , 0.03349 , 0.04477 , 0.03593 
 441 , 0.04432 , 0.03483 , 0.03382 , 0.04512 , 0.03639 
 442 , 0.04482 , 0.03514 , 0.03413 , 0.04546 , 0.03683 
 443 , 0.04532 , 0.03545 , 0.03444 , 0.04581 , 0.03725 
 444 , 0.04585 , 0.03581 , 0.03478 , 0.04622 , 0.03769 
 445 , 0.04637 , 0.03616 , 0.03511 , 0.04663 , 0.03811 
 446 , 0.04688 , 0.03651 , 0.03543 , 0.04703 , 0.03853 
 447 , 0.04738 , 0.03682 , 0.03572 , 0.0474 , 0.03894 
 448 , 0.0479 , 0.03716 , 0.03602 , 0.0478 , 0.03937 
 449 , 0.04842 , 0.0375 , 0.03633 , 0.04819 , 0.0398 
 450 , 0.0489 , 0.0378 , 0.0366 , 0.04856 , 0.0402 
 451 , 0.04941 , 0.03813 , 0.03692 , 0.04897 , 0.04064 
 452 , 0.04993 , 0.03846 , 0.03724 , 0.04938 , 0.04107 
 453 , 0.05039 , 0.03877 , 0.03753 , 0.04976 , 0.04146 
 454 , 0.05085 , 0.03914 , 0.03785 , 0.05018 , 0.04184 
 455 , 0.05131 , 0.0395 , 0.03817 , 0.05061 , 0.04222 
 456 , 0.05178 , 0.03987 , 0.0385 , 0.05104 , 0.04261 
 457 , 0.0522 , 0.04014 , 0.03877 , 0.0514 , 0.04296 
 458 , 0.05262 , 0.0404 , 0.03905 , 0.05177 , 0.04333 
 459 , 0.05305 , 0.04067 , 0.03933 , 0.05214 , 0.04369 
 460 , 0.05342 , 0.04093 , 0.03957 , 0.05246 , 0.04401 
 461 , 0.05376 , 0.04123 , 0.03981 , 0.05277 , 0.04433 
 462 , 0.0541 , 0.04152 , 0.04004 , 0.05309 , 0.04464 
 463 , 0.05442 , 0.0418 , 0.04027 , 0.05339 , 0.04494 
 464 , 0.0547 , 0.04202 , 0.04047 , 0.05366 , 0.04519 
 465 , 0.05498 , 0.04224 , 0.04068 , 0.05393 , 0.04543 
 466 , 0.05526 , 0.04246 , 0.04088 , 0.05421 , 0.04568 
 467 , 0.05557 , 0.04269 , 0.0411 , 0.0545 , 0.04594 
 468 , 0.05585 , 0.04289 , 0.0413 , 0.05478 , 0.04618 
 469 , 0.05614 , 0.0431 , 0.04151 , 0.05505 , 0.04643 
 470 , 0.05649 , 0.04338 , 0.04175 , 0.0554 , 0.04673 
 471 , 0.05681 , 0.04367 , 0.04197 , 0.05574 , 0.04702 
 472 , 0.05714 , 0.04397 , 0.0422 , 0.05608 , 0.0473 
 473 , 0.05748 , 0.04427 , 0.04243 , 0.05644 , 0.0476 
 474 , 0.05778 , 0.04452 , 0.04269 , 0.05674 , 0.04787 
 475 , 0.05807 , 0.04477 , 0.04292 , 0.05702 , 0.04814 
 476 , 0.05835 , 0.04501 , 0.04316 , 0.05731 , 0.0484 
 477 , 0.05866 , 0.04526 , 0.04342 , 0.05763 , 0.04868 
 478 , 0.05899 , 0.04552 , 0.0437 , 0.05798 , 0.04899 
 479 , 0.05932 , 0.04579 , 0.04397 , 0.05833 , 0.04929 
 480 , 0.05958 , 0.04599 , 0.04419 , 0.05859 , 0.04952 
 481 , 0.05987 , 0.04622 , 0.04441 , 0.05885 , 0.04975 
 482 , 0.06017 , 0.04645 , 0.04463 , 0.0591 , 0.04998 
 483 , 0.06047 , 0.04668 , 0.04485 , 0.05936 , 0.0502 
 484 , 0.06069 , 0.04685 , 0.04502 , 0.05959 , 0.05041 
 485 , 0.06093 , 0.04703 , 0.04519 , 0.05984 , 0.05061 
 486 , 0.06116 , 0.04721 , 0.04537 , 0.06008 , 0.05082 
 487 , 0.06158 , 0.04755 , 0.04567 , 0.06048 , 0.05119 
 488 , 0.06199 , 0.04787 , 0.04596 , 0.06085 , 0.05155 
 489 , 0.06239 , 0.0482 , 0.04625 , 0.06121 , 0.0519 
 490 , 0.06292 , 0.04864 , 0.04664 , 0.06171 , 0.05237 
 491 , 0.06354 , 0.04919 , 0.0471 , 0.0623 , 0.05288 
 492 , 0.06415 , 0.04972 , 0.04756 , 0.06288 , 0.05339 
 493 , 0.06475 , 0.05025 , 0.04801 , 0.06345 , 0.05389 
 494 , 0.06516 , 0.0506 , 0.04835 , 0.06388 , 0.05425 
 495 , 0.06557 , 0.05096 , 0.04868 , 0.06431 , 0.05461 
 496 , 0.06598 , 0.05131 , 0.04901 , 0.06474 , 0.05497 
 497 , 0.0664 , 0.05169 , 0.04934 , 0.0651 , 0.05531 
 498 , 0.06688 , 0.05211 , 0.0497 , 0.06544 , 0.05566 
 499 , 0.06735 , 0.05253 , 0.05006 , 0.06577 , 0.056 
 500 , 0.06787 , 0.05298 , 0.05045 , 0.06616 , 0.05639 
 501 , 0.0684 , 0.05341 , 0.05086 , 0.06659 , 0.05679 
 502 , 0.06893 , 0.05384 , 0.05126 , 0.06702 , 0.05718 
 503 , 0.06945 , 0.05427 , 0.05165 , 0.06744 , 0.05757 
 504 , 0.07013 , 0.05484 , 0.05222 , 0.06805 , 0.05811 
 505 , 0.07078 , 0.05539 , 0.05277 , 0.06864 , 0.05863 
 506 , 0.07141 , 0.05593 , 0.05331 , 0.06921 , 0.05914 
 507 , 0.07204 , 0.05648 , 0.05384 , 0.06972 , 0.05963 
 508 , 0.07267 , 0.05705 , 0.05436 , 0.07018 , 0.0601 
 509 , 0.07329 , 0.05761 , 0.05488 , 0.07064 , 0.06056 
 510 , 0.07385 , 0.05811 , 0.05535 , 0.07103 , 0.06097 
 511 , 0.07439 , 0.05856 , 0.0558 , 0.07137 , 0.06133 
 512 , 0.07496 , 0.05903 , 0.05626 , 0.07174 , 0.0617 
 513 , 0.07551 , 0.05949 , 0.05672 , 0.0721 , 0.06207 
 514 , 0.07604 , 0.05996 , 0.05721 , 0.07242 , 0.06242 
 515 , 0.07655 , 0.06042 , 0.0577 , 0.07272 , 0.06275 
 516 , 0.07706 , 0.06088 , 0.05818 , 0.07301 , 0.06307 
 517 , 0.07774 , 0.06148 , 0.05878 , 0.07346 , 0.06355 
 518 , 0.07839 , 0.06206 , 0.05934 , 0.07386 , 0.064 
 519 , 0.07903 , 0.06263 , 0.05988 , 0.07425 , 0.06445 
 520 , 0.07969 , 0.06322 , 0.06045 , 0.07468 , 0.06492 
 521 , 0.08042 , 0.06386 , 0.0611 , 0.07517 , 0.0654 
 522 , 0.08108 , 0.06444 , 0.06168 , 0.07559 , 0.06584 
 523 , 0.08172 , 0.065 , 0.06226 , 0.076 , 0.06626 
