
Wavelength,MNAT_00220.spu,MNAT_00221.spu,MNAT_00222.spu,MNAT_00223.spu,MNAT_00228.spu,MNAT_00229.spu,MNAT_00230.spu,MNAT_00231.spu,MNAT_00236.spu,MNAT_00237.spu,MNAT_00238.spu,MNAT_00239.spu,MNAT_00244.spu,MNAT_00245.spu,MNAT_00246.spu,MNAT_00247.spu
  (nm),8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 ,8/11/2018 
  time  ,41:41 PM,42:27 PM,42:36 PM,42:46 PM,45:53 PM,46:02 PM,46:12 PM,46:24 PM,07:12 PM,07:23 PM,07:34 PM,07:43 PM,09:28 PM,09:38 PM,09:49 PM,09:57 PM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,
 333 , 0.18062 , 0.1458 , 0.17078 , 0.16673 , 0.10195 , 0.13914 , 0.29401 , 0.26036 , 0.1391 , 0.15116 , 0.19801 , 0.22823 , 0.24651 , 0.26071 , 0.19147 , 0.19448 
 334 , 0.19996 , 0.14743 , 0.16691 , 0.18668 , 0.11781 , 0.15251 , 0.32154 , 0.28378 , 0.14517 , 0.1656 , 0.20375 , 0.24696 , 0.26324 , 0.28492 , 0.21664 , 0.2004 
 335 , 0.21298 , 0.15068 , 0.16739 , 0.20167 , 0.13179 , 0.16415 , 0.34572 , 0.30409 , 0.15336 , 0.17832 , 0.20895 , 0.2615 , 0.27913 , 0.30597 , 0.23931 , 0.20565 
 336 , 0.20277 , 0.16076 , 0.18491 , 0.19858 , 0.13936 , 0.16997 , 0.35818 , 0.31346 , 0.17032 , 0.18489 , 0.21268 , 0.2609 , 0.2929 , 0.31548 , 0.25426 , 0.20902 
 337 , 0.1929 , 0.17033 , 0.2017 , 0.19559 , 0.14669 , 0.17552 , 0.37016 , 0.3224 , 0.18679 , 0.19121 , 0.21629 , 0.26032 , 0.30634 , 0.32467 , 0.26863 , 0.21225 
 338 , 0.18333 , 0.17943 , 0.2178 , 0.1927 , 0.15378 , 0.18082 , 0.38171 , 0.33094 , 0.20279 , 0.19729 , 0.21978 , 0.25977 , 0.31946 , 0.33355 , 0.28246 , 0.21536 
 339 , 0.20011 , 0.19592 , 0.2417 , 0.20365 , 0.15735 , 0.18823 , 0.38947 , 0.33936 , 0.20632 , 0.20142 , 0.22887 , 0.2746 , 0.32263 , 0.34848 , 0.29153 , 0.2237 
 340 , 0.22142 , 0.21354 , 0.26653 , 0.21697 , 0.16014 , 0.19582 , 0.39627 , 0.34749 , 0.20736 , 0.20505 , 0.23883 , 0.29196 , 0.32385 , 0.36413 , 0.2994 , 0.23279 
 341 , 0.24184 , 0.23077 , 0.2906 , 0.22977 , 0.1628 , 0.20315 , 0.40279 , 0.35537 , 0.20835 , 0.20857 , 0.24847 , 0.3087 , 0.32502 , 0.37915 , 0.30696 , 0.24152 
 342 , 0.25261 , 0.23299 , 0.29746 , 0.24275 , 0.16377 , 0.2099 , 0.41536 , 0.36626 , 0.21161 , 0.21077 , 0.25809 , 0.32017 , 0.33359 , 0.39251 , 0.31442 , 0.24942 
