
Wavelength,MNAT_00089.spu,MNAT_00088.spu,MNAT_00087.spu,MNAT_00086.spu,MNAT_00085.spu,MNAT_00084.spu,MNAT_00083.spu,MNAT_00082.spu,MNAT_00081.spu,MNAT_00080.spu,MNAT_00079.spu,MNAT_00078.spu,MNAT_00077.spu,MNAT_00076.spu,MNAT_00075.spu,MNAT_00074.spu,MNAT_00073.spu,MNAT_00072.spu,MNAT_00071.spu,MNAT_00070.spu,MNAT_00069.spu,MNAT_00068.spu,MNAT_00067.spu,MNAT_00066.spu,MNAT_00065.spu,MNAT_00064.spu,MNAT_00063.spu,MNAT_00062.spu,MNAT_00061.spu,MNAT_00060.spu
  (nm),6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 ,6/25/2018 
  time  ,:37:46 A,:37:37 A,:37:27 A,:37:16 A,:37:07 A,:36:28 A,:36:18 A,:36:09 A,:36:01 A,:35:47 A,:34:50 A,:34:42 A,:34:34 A,:34:26 A,:34:18 A,:33:59 A,:33:48 A,:33:39 A,:33:25 A,:33:14 A,:32:36 A,:32:26 A,:32:17 A,:32:09 A,:32:01 A,:31:21 A,:31:09 A,:30:56 A,:30:47 A,:30:39 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 310 , 0.06703 , 0.09442 , 0.06486 , 0.11452 , 0.07439 , 0.10407 , 0.09396 , 0.11053 , 0.11365 , 0.12406 , 0.09851 , 0.10565 , 0.06712 , 0.09635 , 0.08668 , 0.11721 , 0.12493 , 0.09818 , 0.08643 , 0.09174 , 0.21174 , 0.19344 , 0.20525 , 0.22944 , 0.20517 , 0.10959 , 0.09635 , 0.08754 , 0.12352 , 0.12358 
 311 , 0.07284 , 0.08396 , 0.06864 , 0.10438 , 0.07301 , 0.116 , 0.09197 , 0.11504 , 0.12036 , 0.13057 , 0.09335 , 0.11037 , 0.063 , 0.10032 , 0.09199 , 0.12296 , 0.12379 , 0.09333 , 0.08136 , 0.09011 , 0.22177 , 0.19722 , 0.21403 , 0.22898 , 0.21016 , 0.10193 , 0.10032 , 0.09205 , 0.1247 , 0.12136 
 312 , 0.07747 , 0.0969 , 0.06607 , 0.10821 , 0.07429 , 0.1237 , 0.09107 , 0.12145 , 0.12513 , 0.13372 , 0.09899 , 0.11915 , 0.06685 , 0.09936 , 0.09381 , 0.12969 , 0.13171 , 0.0972 , 0.09213 , 0.08902 , 0.22807 , 0.19979 , 0.22145 , 0.23613 , 0.21472 , 0.10982 , 0.10982 , 0.09149 , 0.13866 , 0.12622 
 313 , 0.08184 , 0.11325 , 0.06245 , 0.11414 , 0.07595 , 0.13049 , 0.09026 , 0.12799 , 0.12946 , 0.1363 , 0.10612 , 0.12836 , 0.07183 , 0.09764 , 0.09511 , 0.1363 , 0.14088 , 0.10233 , 0.10503 , 0.088 , 0.23353 , 0.20219 , 0.22846 , 0.24428 , 0.21901 , 0.11993 , 0.11993 , 0.09014 , 0.15425 , 0.13202 
 314 , 0.08602 , 0.12931 , 0.05891 , 0.11984 , 0.07754 , 0.13709 , 0.08947 , 0.13429 , 0.13367 , 0.13875 , 0.11304 , 0.13725 , 0.07668 , 0.09598 , 0.09636 , 0.14269 , 0.14973 , 0.10736 , 0.11756 , 0.08699 , 0.23884 , 0.2045 , 0.23534 , 0.25219 , 0.22321 , 0.12981 , 0.12981 , 0.08883 , 0.16938 , 0.13759 
 315 , 0.09461 , 0.13668 , 0.06502 , 0.12551 , 0.08196 , 0.14749 , 0.09495 , 0.13991 , 0.1373 , 0.14558 , 0.12185 , 0.1387 , 0.0815 , 0.10021 , 0.10168 , 0.14955 , 0.15851 , 0.11603 , 0.13067 , 0.0928 , 0.24688 , 0.21204 , 0.24133 , 0.26156 , 0.23153 , 0.13844 , 0.13742 , 0.09461 , 0.18059 , 0.14338 
