  time  ,00:20 AM,00:10 AM,00:01 AM,59:48 AM,59:36 AM,58:57 AM,58:46 AM,58:27 AM,58:15 AM,58:02 AM,57:14 AM,57:04 AM,56:54 AM,56:45 AM,56:36 AM,56:17 AM,56:04 AM,55:52 AM,55:41 AM,55:17 AM,54:28 AM,54:17 AM,54:05 AM,53:51 AM,53:39 AM,52:58 AM,52:44 AM,52:31 AM,52:16 AM,52:05 AM,49:46 AM,49:35 AM,49:23 AM,49:08 AM,48:55 AM,47:49 AM,47:36 AM,47:15 AM,46:52 AM,46:40 AM,46:11 AM,46:00 AM,45:45 AM,45:28 AM,45:13 AM,44:12 AM,44:02 AM,43:51 AM,43:28 AM,43:11 AM,42:28 AM,42:12 AM,41:59 AM,41:43 AM,41:27 AM,40:39 AM,40:26 AM,40:15 AM,39:57 AM,39:40 AM
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 595 , 0.11446 , 0.10788 , 0.11234 , 0.11066 , 0.13111 , 0.17716 , 0.20862 , 0.11165 , 0.17265 , 0.17055 , 0.10225 , 0.124 , 0.11769 , 0.09663 , 0.12246 , 0.11531 , 0.11296 , 0.11271 , 0.12153 , 0.12777 , 0.09436 , 0.10452 , 0.12833 , 0.11181 , 0.08754 , 0.18889 , 0.14728 , 0.14213 , 0.16958 , 0.15183 , 0.15224 , 0.15853 , 0.14786 , 0.14121 , 0.12236 , 0.10188 , 0.09815 , 0.11045 , 0.09783 , 0.11052 , 0.10805 , 0.11471 , 0.09009 , 0.10836 , 0.10421 , 0.10804 , 0.11104 , 0.11337 , 0.11124 , 0.12039 , 0.14881 , 0.12271 , 0.14554 , 0.13838 , 0.14193 , 0.12316 , 0.11199 , 0.10298 , 0.12077 , 0.10812 
 596 , 0.11458 , 0.10804 , 0.11247 , 0.11076 , 0.13127 , 0.17717 , 0.20878 , 0.11151 , 0.17275 , 0.17069 , 0.1023 , 0.12413 , 0.11771 , 0.09665 , 0.12257 , 0.1155 , 0.11328 , 0.11293 , 0.12181 , 0.12807 , 0.09449 , 0.10462 , 0.12848 , 0.11196 , 0.08754 , 0.18906 , 0.14743 , 0.14225 , 0.16981 , 0.15201 , 0.15253 , 0.15876 , 0.14814 , 0.14137 , 0.12252 , 0.10188 , 0.09816 , 0.11045 , 0.09796 , 0.11068 , 0.10832 , 0.11494 , 0.0902 , 0.10864 , 0.10447 , 0.10815 , 0.11121 , 0.11352 , 0.1113 , 0.12059 , 0.14896 , 0.1227 , 0.14559 , 0.13844 , 0.1419 , 0.12331 , 0.11217 , 0.10314 , 0.12094 , 0.10827 
 597 , 0.11472 , 0.10822 , 0.11261 , 0.11088 , 0.13144 , 0.17721 , 0.20895 , 0.11139 , 0.17287 , 0.17085 , 0.10237 , 0.12428 , 0.11776 , 0.09668 , 0.12269 , 0.11572 , 0.11362 , 0.11317 , 0.12211 , 0.1284 , 0.09462 , 0.10473 , 0.12865 , 0.11212 , 0.08754 , 0.18925 , 0.14759 , 0.14239 , 0.17006 , 0.1522 , 0.15283 , 0.15902 , 0.14842 , 0.14155 , 0.12269 , 0.10189 , 0.09817 , 0.11046 , 0.09811 , 0.11085 , 0.10859 , 0.11518 , 0.09033 , 0.10895 , 0.10473 , 0.10828 , 0.11139 , 0.11368 , 0.11138 , 0.1208 , 0.14911 , 0.12271 , 0.14564 , 0.13852 , 0.14189 , 0.12347 , 0.11237 , 0.10331 , 0.12112 , 0.10844 
 598 , 0.11496 , 0.10851 , 0.11286 , 0.11112 , 0.13169 , 0.1774 , 0.20926 , 0.11139 , 0.17313 , 0.17118 , 0.10249 , 0.12451 , 0.11791 , 0.09683 , 0.1229 , 0.11603 , 0.11404 , 0.11352 , 0.1225 , 0.12881 , 0.0948 , 0.10492 , 0.12888 , 0.11237 , 0.08763 , 0.18955 , 0.1479 , 0.14265 , 0.17041 , 0.15253 , 0.15318 , 0.15938 , 0.14874 , 0.14185 , 0.12301 , 0.10203 , 0.09827 , 0.11058 , 0.09837 , 0.11103 , 0.10883 , 0.11545 , 0.09058 , 0.10934 , 0.10502 , 0.10851 , 0.11165 , 0.11392 , 0.11154 , 0.12108 , 0.14929 , 0.12286 , 0.14578 , 0.13867 , 0.14199 , 0.12368 , 0.11264 , 0.10353 , 0.12139 , 0.10871 
 599 , 0.11519 , 0.10879 , 0.1131 , 0.11133 , 0.13191 , 0.17758 , 0.20955 , 0.11138 , 0.17338 , 0.17149 , 0.10259 , 0.1247 , 0.11804 , 0.09695 , 0.12307 , 0.11632 , 0.11443 , 0.11385 , 0.12287 , 0.12919 , 0.09496 , 0.10508 , 0.12908 , 0.11261 , 0.0877 , 0.18983 , 0.14819 , 0.14289 , 0.17073 , 0.15283 , 0.1535 , 0.15971 , 0.14904 , 0.14212 , 0.1233 , 0.10214 , 0.09835 , 0.11068 , 0.09861 , 0.11119 , 0.10905 , 0.11569 , 0.0908 , 0.10972 , 0.10529 , 0.10871 , 0.11189 , 0.11413 , 0.11167 , 0.12133 , 0.14943 , 0.123 , 0.14589 , 0.1388 , 0.14206 , 0.12387 , 0.1129 , 0.10373 , 0.12163 , 0.10896 
 600 , 0.11541 , 0.10906 , 0.11334 , 0.11156 , 0.13214 , 0.17775 , 0.20985 , 0.11138 , 0.17363 , 0.1718 , 0.1027 , 0.1249 , 0.11817 , 0.09708 , 0.12325 , 0.11662 , 0.11483 , 0.11418 , 0.12325 , 0.12958 , 0.09512 , 0.10524 , 0.12928 , 0.11286 , 0.08778 , 0.19011 , 0.14848 , 0.14313 , 0.17106 , 0.15313 , 0.15383 , 0.16005 , 0.14933 , 0.1424 , 0.1236 , 0.10225 , 0.09843 , 0.11078 , 0.09886 , 0.11135 , 0.10927 , 0.11594 , 0.09103 , 0.11011 , 0.10556 , 0.10892 , 0.11214 , 0.11433 , 0.11181 , 0.12158 , 0.14958 , 0.12313 , 0.14599 , 0.13892 , 0.14214 , 0.12405 , 0.11315 , 0.10393 , 0.12188 , 0.10921 
 601 , 0.11558 , 0.10931 , 0.11352 , 0.1117 , 0.13233 , 0.17786 , 0.21009 , 0.11131 , 0.17383 , 0.17207 , 0.10276 , 0.12505 , 0.11825 , 0.09713 , 0.12339 , 0.1169 , 0.1152 , 0.11448 , 0.12356 , 0.12995 , 0.09524 , 0.10536 , 0.12946 , 0.11307 , 0.0878 , 0.19037 , 0.14869 , 0.14329 , 0.17135 , 0.15337 , 0.15412 , 0.16037 , 0.14958 , 0.14264 , 0.12384 , 0.10224 , 0.09844 , 0.11086 , 0.09902 , 0.11142 , 0.10949 , 0.11613 , 0.09118 , 0.11041 , 0.10575 , 0.1091 , 0.11232 , 0.11446 , 0.11186 , 0.12173 , 0.14969 , 0.12316 , 0.14603 , 0.139 , 0.14213 , 0.1242 , 0.11336 , 0.10407 , 0.12207 , 0.10937 
 602 , 0.11569 , 0.10951 , 0.11364 , 0.11178 , 0.13247 , 0.1779 , 0.21024 , 0.1112 , 0.17396 , 0.17228 , 0.10279 , 0.12517 , 0.11828 , 0.09714 , 0.12348 , 0.11716 , 0.11554 , 0.11471 , 0.1238 , 0.1303 , 0.09532 , 0.10545 , 0.12961 , 0.11323 , 0.08776 , 0.19056 , 0.14882 , 0.14337 , 0.17158 , 0.15355 , 0.15435 , 0.16064 , 0.14977 , 0.14283 , 0.12402 , 0.10215 , 0.09839 , 0.11089 , 0.09911 , 0.11143 , 0.10968 , 0.11625 , 0.09127 , 0.11066 , 0.10589 , 0.10922 , 0.11243 , 0.11454 , 0.11182 , 0.12179 , 0.14975 , 0.12312 , 0.14599 , 0.13901 , 0.14205 , 0.12429 , 0.11351 , 0.10414 , 0.1222 , 0.10945 
 603 , 0.11581 , 0.10972 , 0.11376 , 0.11186 , 0.13261 , 0.17794 , 0.2104 , 0.11109 , 0.17409 , 0.17249 , 0.10281 , 0.12529 , 0.11832 , 0.09715 , 0.12358 , 0.11742 , 0.11589 , 0.11494 , 0.12404 , 0.13066 , 0.09541 , 0.10553 , 0.12976 , 0.11339 , 0.08772 , 0.19075 , 0.14896 , 0.14346 , 0.17182 , 0.15372 , 0.15459 , 0.16091 , 0.14996 , 0.14302 , 0.1242 , 0.10207 , 0.09834 , 0.11093 , 0.0992 , 0.11143 , 0.10987 , 0.11637 , 0.09137 , 0.1109 , 0.10603 , 0.10934 , 0.11255 , 0.11462 , 0.11177 , 0.12185 , 0.14981 , 0.12308 , 0.14596 , 0.13903 , 0.14196 , 0.12438 , 0.11367 , 0.10422 , 0.12234 , 0.10952 
 604 , 0.1159 , 0.10989 , 0.11388 , 0.11192 , 0.13273 , 0.17792 , 0.21051 , 0.11095 , 0.17419 , 0.17267 , 0.10282 , 0.12539 , 0.11833 , 0.09714 , 0.12366 , 0.11767 , 0.11624 , 0.11517 , 0.1243 , 0.131 , 0.09548 , 0.10559 , 0.12989 , 0.11353 , 0.08767 , 0.19093 , 0.14907 , 0.14352 , 0.17203 , 0.15387 , 0.15482 , 0.16116 , 0.15015 , 0.14316 , 0.12436 , 0.10198 , 0.09827 , 0.11093 , 0.0993 , 0.11144 , 0.11006 , 0.11651 , 0.09144 , 0.11114 , 0.10617 , 0.10943 , 0.11263 , 0.11467 , 0.11172 , 0.12189 , 0.14984 , 0.12302 , 0.1459 , 0.13901 , 0.14186 , 0.12445 , 0.11381 , 0.10427 , 0.12245 , 0.10959 
 605 , 0.116 , 0.11008 , 0.11406 , 0.11201 , 0.13289 , 0.17795 , 0.21068 , 0.11084 , 0.17435 , 0.17292 , 0.10283 , 0.12551 , 0.11838 , 0.09715 , 0.12376 , 0.11797 , 0.11665 , 0.11546 , 0.1247 , 0.13139 , 0.09558 , 0.10567 , 0.13006 , 0.11368 , 0.08762 , 0.19117 , 0.14923 , 0.14364 , 0.1723 , 0.15409 , 0.15514 , 0.16148 , 0.15041 , 0.14333 , 0.12455 , 0.10195 , 0.09821 , 0.11094 , 0.09947 , 0.11152 , 0.11032 , 0.11672 , 0.09154 , 0.11141 , 0.10634 , 0.10954 , 0.11273 , 0.11471 , 0.11171 , 0.12199 , 0.14989 , 0.12299 , 0.14587 , 0.13903 , 0.14181 , 0.12454 , 0.11396 , 0.10432 , 0.12253 , 0.10971 
 606 , 0.11611 , 0.11028 , 0.11425 , 0.11209 , 0.13306 , 0.17798 , 0.21085 , 0.11073 , 0.17451 , 0.17317 , 0.10285 , 0.12564 , 0.11843 , 0.09716 , 0.12387 , 0.11827 , 0.11707 , 0.11576 , 0.1251 , 0.13178 , 0.09569 , 0.10576 , 0.13023 , 0.11383 , 0.08758 , 0.19143 , 0.14939 , 0.14376 , 0.17257 , 0.15431 , 0.15547 , 0.16179 , 0.15068 , 0.14349 , 0.12474 , 0.10193 , 0.09815 , 0.11094 , 0.09965 , 0.11159 , 0.11058 , 0.11695 , 0.09163 , 0.11168 , 0.10652 , 0.10965 , 0.11283 , 0.11476 , 0.1117 , 0.12209 , 0.14994 , 0.12295 , 0.14585 , 0.13905 , 0.14176 , 0.12464 , 0.11413 , 0.10437 , 0.12262 , 0.10983 
 607 , 0.11621 , 0.11047 , 0.11443 , 0.11218 , 0.13322 , 0.178 , 0.21101 , 0.11061 , 0.17467 , 0.17343 , 0.10287 , 0.12577 , 0.11847 , 0.09717 , 0.12398 , 0.11858 , 0.11749 , 0.11605 , 0.1255 , 0.13218 , 0.09579 , 0.10584 , 0.13041 , 0.11398 , 0.08753 , 0.19168 , 0.14955 , 0.14388 , 0.17285 , 0.15453 , 0.1558 , 0.16211 , 0.15095 , 0.14366 , 0.12493 , 0.1019 , 0.09809 , 0.11095 , 0.09983 , 0.11167 , 0.11084 , 0.11717 , 0.09173 , 0.11195 , 0.1067 , 0.10976 , 0.11293 , 0.1148 , 0.11169 , 0.12218 , 0.14999 , 0.12292 , 0.14583 , 0.13906 , 0.14171 , 0.12474 , 0.11429 , 0.10442 , 0.12271 , 0.10995 
 608 , 0.1163 , 0.1106 , 0.11453 , 0.1122 , 0.13327 , 0.17796 , 0.2111 , 0.11037 , 0.17475 , 0.17362 , 0.10279 , 0.12584 , 0.11842 , 0.09709 , 0.12407 , 0.1189 , 0.11791 , 0.11633 , 0.12586 , 0.13253 , 0.09583 , 0.10588 , 0.13054 , 0.11404 , 0.08742 , 0.19195 , 0.14966 , 0.14395 , 0.17312 , 0.15476 , 0.15607 , 0.16237 , 0.15118 , 0.14384 , 0.12503 , 0.10183 , 0.0979 , 0.11088 , 0.09997 , 0.11169 , 0.11097 , 0.11737 , 0.09175 , 0.11211 , 0.10685 , 0.10977 , 0.11305 , 0.11477 , 0.11163 , 0.12218 , 0.15 , 0.12283 , 0.14578 , 0.13898 , 0.14158 , 0.12477 , 0.11445 , 0.10448 , 0.12286 , 0.11002 
 609 , 0.11643 , 0.11074 , 0.11465 , 0.11226 , 0.13336 , 0.17796 , 0.21122 , 0.11016 , 0.17487 , 0.17385 , 0.10273 , 0.12593 , 0.11839 , 0.09703 , 0.12418 , 0.11925 , 0.11835 , 0.11664 , 0.12623 , 0.13291 , 0.0959 , 0.10593 , 0.1307 , 0.11413 , 0.08733 , 0.19225 , 0.14979 , 0.14405 , 0.1734 , 0.15501 , 0.15638 , 0.16266 , 0.15144 , 0.14405 , 0.12514 , 0.10178 , 0.09773 , 0.11084 , 0.10012 , 0.11173 , 0.11112 , 0.11759 , 0.0918 , 0.1123 , 0.10702 , 0.1098 , 0.11319 , 0.11477 , 0.11158 , 0.12221 , 0.15006 , 0.12277 , 0.14573 , 0.13891 , 0.14146 , 0.12481 , 0.11463 , 0.10457 , 0.12305 , 0.11011 
 610 , 0.11657 , 0.11089 , 0.11477 , 0.11231 , 0.13344 , 0.17795 , 0.21135 , 0.10994 , 0.17499 , 0.17408 , 0.10267 , 0.12603 , 0.11836 , 0.09697 , 0.12429 , 0.1196 , 0.1188 , 0.11694 , 0.12662 , 0.1333 , 0.09596 , 0.10599 , 0.13085 , 0.11422 , 0.08723 , 0.19256 , 0.14993 , 0.14415 , 0.17369 , 0.15526 , 0.15669 , 0.16295 , 0.1517 , 0.14426 , 0.12526 , 0.10173 , 0.09756 , 0.1108 , 0.10028 , 0.11178 , 0.11127 , 0.11782 , 0.09184 , 0.11249 , 0.10719 , 0.10983 , 0.11334 , 0.11476 , 0.11153 , 0.12223 , 0.15012 , 0.12271 , 0.14569 , 0.13885 , 0.14134 , 0.12485 , 0.11482 , 0.10466 , 0.12325 , 0.1102 
 611 , 0.11677 , 0.11109 , 0.11495 , 0.1124 , 0.13361 , 0.17803 , 0.21158 , 0.10976 , 0.17521 , 0.17441 , 0.10265 , 0.12619 , 0.1184 , 0.09693 , 0.12447 , 0.12003 , 0.11931 , 0.11735 , 0.1271 , 0.13372 , 0.09607 , 0.10611 , 0.13108 , 0.11437 , 0.08716 , 0.19298 , 0.15012 , 0.14426 , 0.17406 , 0.15561 , 0.15713 , 0.16337 , 0.15207 , 0.14453 , 0.12546 , 0.10166 , 0.09747 , 0.11079 , 0.10049 , 0.11188 , 0.11155 , 0.11812 , 0.09188 , 0.11273 , 0.10744 , 0.10992 , 0.1135 , 0.11481 , 0.1115 , 0.12229 , 0.15032 , 0.12271 , 0.14572 , 0.13888 , 0.1413 , 0.12497 , 0.11505 , 0.10476 , 0.12343 , 0.11033 
