  time  ,:54:32 A,:54:39 A,:54:47 A,:54:55 A,:55:04 A,:55:21 A,:55:37 A,:55:44 A,:55:52 A,:56:00 A,:56:34 A,:56:43 A,:56:51 A,:57:00 A,:57:08 A,:57:33 A,:57:41 A,:57:50 A,:57:57 A,:58:04 A,:58:57 A,:59:10 A,:59:18 A,:59:26 A,:59:33 A,:00:17 A,:00:28 A,:00:35 A,:00:46 A,:00:54 A,:01:48 A,:02:00 A,:02:10 A,:02:18 A,:02:27 A,:02:48 A,:02:57 A,:03:06 A,:03:17 A,:03:27 A,:04:13 A,:04:23 A,:04:30 A,:04:38 A,:04:46 A,:05:06 A,:05:15 A,:05:25 A,:05:34 A,:05:44 A,:06:22 A,:06:32 A,:06:42 A,:06:53 A,:07:05 A,:07:32 A,:07:42 A,:07:54 A,:08:03 A,:08:13 A,:09:01 A,:09:09 A,:09:17 A,:09:25 A,:09:33 A,:09:58 A,:10:34 A,:10:41 A,:10:48 A,:10:56 A,:12:44 A,:12:51 A,:12:58 A,:13:13 A,:13:22 A,:13:41 A,:13:48 A,:13:54 A,:14:03 A,:14:16 A
temp C,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW,SW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 495 , 0.012993 , 0.030424 , 0.026489 , 0.025122 , 0.026866 , 0.035197 , 0.030211 , 0.024334 , 0.035767 , 0.024558 , 0.015209 , 0.046757 , 0.04361 , 0.037714 , 0.01403 , 0.020389 , 0.022977 , 0.028711 , 0.027089 , 0.039488 , 0.024944 , 0.044927 , 0.0302 , 0.043641 , 0.027318 , 0.027948 , 0.032666 , 0.025986 , 0.026825 , 0.019083 , 0.023002 , 0.025219 , 0.048577 , 0.037124 , 0.033499 , 0.027155 , 0.037785 , 0.029636 , 0.053447 , 0.029646 , 0.040174 , 0.041821 , 0.036473 , 0.044225 , 0.039523 , 0.034186 , 0.028828 , 0.021884 , 0.048363 , 0.0265 , 0.031924 , 0.040428 , 0.026169 , 0.031085 , 0.029107 , 0.027669 , 0.030083 , 0.026245 , 0.034852 , 0.040093 , 0.026312 , 0.023938 , 0.044449 , 0.028121 , 0.03506 , 0.025417 , 0.021803 , 0.037775 , 0.017965 , 0.020105 , 0.045389 , 0.028914 , 0.033113 , 0.034613 , 0.034775 , 0.022077 , 0.030404 , 0.035258 , 0.042894 , 0.033662 
 496 , 0.013125 , 0.030735 , 0.026832 , 0.025442 , 0.027179 , 0.03566 , 0.030658 , 0.024609 , 0.036094 , 0.024808 , 0.015352 , 0.047236 , 0.044079 , 0.037984 , 0.014192 , 0.020583 , 0.02324 , 0.029054 , 0.027424 , 0.039879 , 0.025207 , 0.045407 , 0.03053 , 0.044089 , 0.027675 , 0.028272 , 0.033049 , 0.02629 , 0.027133 , 0.019322 , 0.02323 , 0.025519 , 0.04906 , 0.037535 , 0.033815 , 0.027383 , 0.038168 , 0.029984 , 0.053908 , 0.029979 , 0.040579 , 0.042322 , 0.036876 , 0.044692 , 0.039956 , 0.034541 , 0.029177 , 0.022162 , 0.048927 , 0.026801 , 0.032237 , 0.040804 , 0.026505 , 0.031481 , 0.029391 , 0.027945 , 0.030387 , 0.02651 , 0.035164 , 0.040528 , 0.026622 , 0.024206 , 0.044912 , 0.028487 , 0.035455 , 0.025733 , 0.022034 , 0.038224 , 0.018177 , 0.020348 , 0.045806 , 0.029166 , 0.033458 , 0.034929 , 0.035077 , 0.022295 , 0.030648 , 0.035552 , 0.043262 , 0.033979 
 497 , 0.013266 , 0.031102 , 0.027224 , 0.025736 , 0.027521 , 0.036083 , 0.031066 , 0.024859 , 0.036473 , 0.0251 , 0.015548 , 0.04765 , 0.044465 , 0.038289 , 0.014363 , 0.020796 , 0.023484 , 0.029368 , 0.027742 , 0.040248 , 0.02549 , 0.045881 , 0.030861 , 0.044526 , 0.028039 , 0.028604 , 0.033431 , 0.026588 , 0.02748 , 0.01955 , 0.023458 , 0.025854 , 0.049461 , 0.037924 , 0.034175 , 0.027598 , 0.03855 , 0.030343 , 0.054329 , 0.030327 , 0.040997 , 0.042777 , 0.037273 , 0.045142 , 0.040387 , 0.034903 , 0.029517 , 0.022438 , 0.049451 , 0.027075 , 0.032538 , 0.041136 , 0.026829 , 0.031876 , 0.029717 , 0.028234 , 0.030661 , 0.026767 , 0.035436 , 0.040961 , 0.026921 , 0.024479 , 0.045321 , 0.028814 , 0.035862 , 0.026039 , 0.022273 , 0.038637 , 0.01838 , 0.020591 , 0.046199 , 0.029409 , 0.033738 , 0.035221 , 0.03538 , 0.022489 , 0.030891 , 0.035821 , 0.043608 , 0.034287 
 498 , 0.013423 , 0.03152 , 0.027648 , 0.026007 , 0.027889 , 0.036483 , 0.031453 , 0.025092 , 0.036889 , 0.025426 , 0.015778 , 0.048029 , 0.044784 , 0.038612 , 0.014539 , 0.021014 , 0.023713 , 0.029669 , 0.028044 , 0.040592 , 0.025781 , 0.046347 , 0.031186 , 0.044953 , 0.028419 , 0.028933 , 0.033814 , 0.026881 , 0.027853 , 0.019774 , 0.023698 , 0.026208 , 0.049808 , 0.038298 , 0.034565 , 0.027802 , 0.038931 , 0.030708 , 0.054714 , 0.030682 , 0.041425 , 0.043205 , 0.037671 , 0.045576 , 0.040813 , 0.035275 , 0.029854 , 0.022721 , 0.049952 , 0.027334 , 0.032842 , 0.041425 , 0.027139 , 0.032271 , 0.030065 , 0.028537 , 0.030919 , 0.02702 , 0.035676 , 0.041389 , 0.027211 , 0.024763 , 0.045694 , 0.029119 , 0.036277 , 0.026326 , 0.022515 , 0.039029 , 0.018576 , 0.020834 , 0.046578 , 0.029638 , 0.033973 , 0.035496 , 0.035686 , 0.022664 , 0.031119 , 0.036067 , 0.04394 , 0.034601 
 499 , 0.01358 , 0.031935 , 0.028073 , 0.026279 , 0.028254 , 0.036885 , 0.031832 , 0.025325 , 0.037308 , 0.025743 , 0.016014 , 0.048403 , 0.045103 , 0.038932 , 0.01472 , 0.021237 , 0.023949 , 0.029971 , 0.028347 , 0.040942 , 0.026073 , 0.046815 , 0.031507 , 0.045382 , 0.028795 , 0.029264 , 0.034199 , 0.027171 , 0.028228 , 0.019994 , 0.023933 , 0.026563 , 0.050156 , 0.038674 , 0.034951 , 0.028012 , 0.039313 , 0.031074 , 0.0551 , 0.031038 , 0.041855 , 0.043634 , 0.038065 , 0.046011 , 0.041241 , 0.035642 , 0.030187 , 0.023005 , 0.05045 , 0.027589 , 0.033142 , 0.041716 , 0.027444 , 0.032667 , 0.030414 , 0.028842 , 0.031177 , 0.027269 , 0.035921 , 0.041814 , 0.027496 , 0.025047 , 0.046067 , 0.029424 , 0.036699 , 0.02662 , 0.022758 , 0.039421 , 0.018772 , 0.021072 , 0.046954 , 0.029868 , 0.034209 , 0.035766 , 0.035993 , 0.022845 , 0.031353 , 0.036307 , 0.044268 , 0.034915 
 500 , 0.013744 , 0.032374 , 0.028533 , 0.02661 , 0.028641 , 0.03732 , 0.032249 , 0.025618 , 0.037775 , 0.026083 , 0.016251 , 0.048832 , 0.045487 , 0.039284 , 0.014892 , 0.021472 , 0.024212 , 0.030301 , 0.028698 , 0.041316 , 0.026393 , 0.047322 , 0.031872 , 0.045849 , 0.029205 , 0.029639 , 0.034612 , 0.027484 , 0.028631 , 0.020257 , 0.024191 , 0.026931 , 0.050558 , 0.039093 , 0.035372 , 0.028243 , 0.039713 , 0.031479 , 0.055525 , 0.031417 , 0.042314 , 0.044107 , 0.038499 , 0.04648 , 0.041709 , 0.036054 , 0.030554 , 0.023323 , 0.050987 , 0.027887 , 0.03348 , 0.04204 , 0.027799 , 0.033097 , 0.030797 , 0.029184 , 0.031469 , 0.027561 , 0.036209 , 0.042277 , 0.027814 , 0.025354 , 0.04648 , 0.029758 , 0.03715 , 0.026951 , 0.023033 , 0.039853 , 0.019006 , 0.021353 , 0.047379 , 0.03013 , 0.034472 , 0.036064 , 0.036323 , 0.023033 , 0.031614 , 0.036571 , 0.044619 , 0.035247 
 501 , 0.013951 , 0.032891 , 0.029112 , 0.027118 , 0.029117 , 0.037855 , 0.032772 , 0.0261 , 0.038431 , 0.026484 , 0.016516 , 0.049449 , 0.046089 , 0.039724 , 0.015052 , 0.02176 , 0.024584 , 0.030726 , 0.029205 , 0.041801 , 0.026827 , 0.047985 , 0.032351 , 0.046443 , 0.029729 , 0.030155 , 0.03516 , 0.02785 , 0.029122 , 0.020643 , 0.024532 , 0.027357 , 0.051146 , 0.039672 , 0.035877 , 0.028561 , 0.040181 , 0.03203 , 0.056074 , 0.031879 , 0.04286 , 0.044729 , 0.039034 , 0.047071 , 0.04233 , 0.036598 , 0.031043 , 0.023743 , 0.051645 , 0.028307 , 0.033935 , 0.042476 , 0.028302 , 0.03366 , 0.031297 , 0.029662 , 0.031874 , 0.027985 , 0.036656 , 0.04286 , 0.028219 , 0.025737 , 0.047045 , 0.030192 , 0.037715 , 0.027409 , 0.023411 , 0.040404 , 0.019351 , 0.021765 , 0.047948 , 0.030513 , 0.034833 , 0.036422 , 0.036749 , 0.02325 , 0.031988 , 0.036905 , 0.045051 , 0.035648 
 502 , 0.014154 , 0.033408 , 0.02969 , 0.027624 , 0.029591 , 0.038394 , 0.033299 , 0.026581 , 0.039093 , 0.026889 , 0.016777 , 0.050065 , 0.046696 , 0.040167 , 0.015212 , 0.02205 , 0.024954 , 0.03115 , 0.029711 , 0.042284 , 0.027254 , 0.048641 , 0.032834 , 0.047035 , 0.030248 , 0.03067 , 0.035708 , 0.028224 , 0.029617 , 0.021027 , 0.024871 , 0.027786 , 0.051734 , 0.040255 , 0.036381 , 0.028881 , 0.040647 , 0.032579 , 0.056626 , 0.032344 , 0.043405 , 0.045351 , 0.039572 , 0.047656 , 0.042946 , 0.037142 , 0.031536 , 0.024167 , 0.052302 , 0.028725 , 0.034388 , 0.04291 , 0.028808 , 0.034216 , 0.031791 , 0.030143 , 0.032276 , 0.028407 , 0.0371 , 0.043447 , 0.028621 , 0.026117 , 0.047609 , 0.030628 , 0.038274 , 0.027864 , 0.023791 , 0.04096 , 0.019692 , 0.022175 , 0.048516 , 0.030889 , 0.035202 , 0.036787 , 0.037173 , 0.023468 , 0.03236 , 0.037241 , 0.045481 , 0.036047 
 503 , 0.014353 , 0.033928 , 0.030272 , 0.028129 , 0.030067 , 0.038925 , 0.033818 , 0.027066 , 0.039748 , 0.027286 , 0.017045 , 0.050685 , 0.047301 , 0.040612 , 0.015374 , 0.022341 , 0.025327 , 0.031571 , 0.030214 , 0.04277 , 0.027684 , 0.049302 , 0.033315 , 0.047626 , 0.030774 , 0.031183 , 0.036254 , 0.02859 , 0.030104 , 0.021414 , 0.025211 , 0.028213 , 0.052319 , 0.040837 , 0.036887 , 0.029198 , 0.041115 , 0.033126 , 0.057175 , 0.032807 , 0.043954 , 0.045976 , 0.040104 , 0.048244 , 0.043566 , 0.037689 , 0.032026 , 0.024593 , 0.052958 , 0.029145 , 0.034839 , 0.043346 , 0.029308 , 0.034776 , 0.032288 , 0.030617 , 0.032686 , 0.028826 , 0.037542 , 0.044027 , 0.029025 , 0.026495 , 0.048171 , 0.031063 , 0.038836 , 0.028323 , 0.024169 , 0.041513 , 0.020036 , 0.022582 , 0.049087 , 0.031272 , 0.035567 , 0.037149 , 0.0376 , 0.023687 , 0.032734 , 0.037574 , 0.045908 , 0.036453 
 504 , 0.014623 , 0.034645 , 0.030953 , 0.02874 , 0.0307 , 0.039676 , 0.034587 , 0.027592 , 0.040492 , 0.027876 , 0.017399 , 0.05147 , 0.047925 , 0.041198 , 0.015603 , 0.022783 , 0.025801 , 0.032196 , 0.030863 , 0.043437 , 0.028266 , 0.050201 , 0.03395 , 0.048383 , 0.03149 , 0.031811 , 0.036989 , 0.029156 , 0.030858 , 0.021945 , 0.025685 , 0.028798 , 0.053087 , 0.041583 , 0.037579 , 0.029609 , 0.041825 , 0.033887 , 0.057897 , 0.033507 , 0.044754 , 0.046777 , 0.040782 , 0.04901 , 0.044322 , 0.038369 , 0.032659 , 0.025127 , 0.053825 , 0.029694 , 0.03542 , 0.043911 , 0.029978 , 0.035509 , 0.03296 , 0.0312 , 0.033234 , 0.029367 , 0.038117 , 0.044817 , 0.029625 , 0.027002 , 0.04891 , 0.031664 , 0.039597 , 0.02893 , 0.024647 , 0.042262 , 0.020438 , 0.023114 , 0.049769 , 0.031732 , 0.036083 , 0.0377 , 0.038111 , 0.024036 , 0.033202 , 0.038043 , 0.046519 , 0.036974 
 505 , 0.014906 , 0.035395 , 0.031647 , 0.029362 , 0.031361 , 0.040462 , 0.035395 , 0.028132 , 0.041252 , 0.028493 , 0.017769 , 0.052289 , 0.048552 , 0.041809 , 0.015839 , 0.023245 , 0.026282 , 0.032845 , 0.03153 , 0.044125 , 0.028864 , 0.051139 , 0.034605 , 0.049167 , 0.032235 , 0.032463 , 0.037748 , 0.029749 , 0.031647 , 0.022492 , 0.026182 , 0.02941 , 0.053884 , 0.042355 , 0.038305 , 0.03003 , 0.042572 , 0.034674 , 0.058639 , 0.03425 , 0.045599 , 0.047603 , 0.041475 , 0.049803 , 0.045095 , 0.039074 , 0.033311 , 0.025678 , 0.054717 , 0.030258 , 0.03602 , 0.044496 , 0.030677 , 0.036269 , 0.033651 , 0.031801 , 0.033804 , 0.029935 , 0.038708 , 0.045631 , 0.030263 , 0.027533 , 0.04967 , 0.032294 , 0.040383 , 0.029558 , 0.025143 , 0.043049 , 0.020849 , 0.023664 , 0.050465 , 0.032209 , 0.036624 , 0.038284 , 0.038634 , 0.024406 , 0.033688 , 0.038533 , 0.047158 , 0.03751 
 506 , 0.015187 , 0.03614 , 0.032342 , 0.02999 , 0.032017 , 0.041245 , 0.036199 , 0.028667 , 0.042013 , 0.02911 , 0.018137 , 0.053103 , 0.049177 , 0.042419 , 0.016078 , 0.023706 , 0.026768 , 0.0335 , 0.032198 , 0.044819 , 0.029467 , 0.052074 , 0.03526 , 0.049946 , 0.032982 , 0.03311 , 0.038509 , 0.030342 , 0.032433 , 0.023039 , 0.026672 , 0.030022 , 0.054677 , 0.043128 , 0.039031 , 0.030454 , 0.043315 , 0.035468 , 0.059382 , 0.034983 , 0.046446 , 0.048436 , 0.042168 , 0.050596 , 0.04587 , 0.039773 , 0.033969 , 0.026229 , 0.055605 , 0.030827 , 0.03662 , 0.045075 , 0.031371 , 0.037031 , 0.034348 , 0.032395 , 0.034375 , 0.030496 , 0.039298 , 0.046446 , 0.030897 , 0.028059 , 0.050431 , 0.032924 , 0.041165 , 0.030192 , 0.025632 , 0.043827 , 0.021257 , 0.024213 , 0.051162 , 0.032684 , 0.037164 , 0.038866 , 0.039159 , 0.024778 , 0.034172 , 0.039026 , 0.04779 , 0.03805 
 507 , 0.015511 , 0.03692 , 0.033137 , 0.030614 , 0.032686 , 0.042019 , 0.037012 , 0.029256 , 0.04283 , 0.029798 , 0.018517 , 0.053929 , 0.049898 , 0.042996 , 0.016337 , 0.024173 , 0.027254 , 0.034205 , 0.032954 , 0.045518 , 0.030115 , 0.053032 , 0.035906 , 0.050767 , 0.03377 , 0.033775 , 0.039287 , 0.030974 , 0.033281 , 0.02361 , 0.027184 , 0.030684 , 0.055474 , 0.04393 , 0.03976 , 0.030872 , 0.044059 , 0.036319 , 0.060133 , 0.03575 , 0.047274 , 0.049286 , 0.042905 , 0.05139 , 0.046683 , 0.040495 , 0.034688 , 0.026868 , 0.056543 , 0.031414 , 0.037253 , 0.045669 , 0.032122 , 0.037876 , 0.035122 , 0.033035 , 0.034967 , 0.031086 , 0.039872 , 0.047306 , 0.031516 , 0.028644 , 0.051186 , 0.033571 , 0.042008 , 0.030893 , 0.026154 , 0.044638 , 0.021758 , 0.024812 , 0.051927 , 0.033179 , 0.037699 , 0.039427 , 0.039754 , 0.025134 , 0.034666 , 0.039491 , 0.048411 , 0.038632 
 508 , 0.015885 , 0.037724 , 0.034021 , 0.031241 , 0.033374 , 0.042782 , 0.037843 , 0.029897 , 0.043699 , 0.030551 , 0.018913 , 0.054759 , 0.050705 , 0.043543 , 0.016614 , 0.024656 , 0.027744 , 0.03496 , 0.033795 , 0.046231 , 0.030815 , 0.054025 , 0.036547 , 0.051623 , 0.034604 , 0.034464 , 0.040088 , 0.03163 , 0.034189 , 0.024203 , 0.027711 , 0.031382 , 0.056276 , 0.044768 , 0.040498 , 0.03129 , 0.044806 , 0.037238 , 0.060901 , 0.036537 , 0.048082 , 0.050166 , 0.043683 , 0.05219 , 0.047531 , 0.041232 , 0.035479 , 0.027576 , 0.057528 , 0.032019 , 0.037913 , 0.046268 , 0.03292 , 0.038798 , 0.035981 , 0.033708 , 0.035587 , 0.031706 , 0.040423 , 0.048201 , 0.032132 , 0.029277 , 0.051931 , 0.034243 , 0.042911 , 0.031657 , 0.026702 , 0.045464 , 0.022352 , 0.02545 , 0.052751 , 0.033692 , 0.038237 , 0.039975 , 0.040412 , 0.025482 , 0.035176 , 0.039937 , 0.049021 , 0.039262 
 509 , 0.016252 , 0.038534 , 0.034903 , 0.031874 , 0.034056 , 0.043544 , 0.03867 , 0.030533 , 0.04457 , 0.031304 , 0.019308 , 0.055584 , 0.051507 , 0.044093 , 0.016887 , 0.025132 , 0.028232 , 0.035722 , 0.034631 , 0.046942 , 0.031516 , 0.055014 , 0.037183 , 0.052479 , 0.03544 , 0.035147 , 0.040885 , 0.032286 , 0.035093 , 0.024796 , 0.028237 , 0.03208 , 0.057077 , 0.045607 , 0.041232 , 0.031711 , 0.045547 , 0.038154 , 0.061674 , 0.037324 , 0.048886 , 0.051041 , 0.044462 , 0.052989 , 0.048386 , 0.04197 , 0.036265 , 0.028286 , 0.05851 , 0.032628 , 0.038572 , 0.046872 , 0.03372 , 0.039718 , 0.036835 , 0.034387 , 0.036206 , 0.032324 , 0.040982 , 0.049097 , 0.032742 , 0.029909 , 0.052675 , 0.034908 , 0.043816 , 0.032428 , 0.027249 , 0.046296 , 0.022945 , 0.026088 , 0.053576 , 0.034208 , 0.038779 , 0.040521 , 0.041069 , 0.025827 , 0.035684 , 0.040385 , 0.049629 , 0.039897 
 510 , 0.016621 , 0.03934 , 0.03577 , 0.032516 , 0.034744 , 0.044312 , 0.039509 , 0.031174 , 0.045431 , 0.032058 , 0.019694 , 0.056381 , 0.052304 , 0.044613 , 0.017162 , 0.025611 , 0.028717 , 0.036468 , 0.035475 , 0.047637 , 0.032211 , 0.055983 , 0.037822 , 0.053308 , 0.036283 , 0.035835 , 0.041681 , 0.032937 , 0.036004 , 0.025404 , 0.028761 , 0.032778 , 0.057855 , 0.046447 , 0.041971 , 0.032123 , 0.046277 , 0.039078 , 0.062402 , 0.038111 , 0.049678 , 0.051894 , 0.045229 , 0.053772 , 0.049225 , 0.042708 , 0.037063 , 0.028996 , 0.059465 , 0.033232 , 0.039225 , 0.047451 , 0.034525 , 0.040644 , 0.037691 , 0.035076 , 0.036818 , 0.032948 , 0.041528 , 0.049995 , 0.033363 , 0.030546 , 0.053406 , 0.035573 , 0.044711 , 0.033204 , 0.027811 , 0.047118 , 0.023532 , 0.026736 , 0.054372 , 0.034711 , 0.039296 , 0.041059 , 0.041709 , 0.026174 , 0.03619 , 0.040802 , 0.050224 , 0.040508 
 511 , 0.016959 , 0.040133 , 0.036553 , 0.033219 , 0.035416 , 0.045112 , 0.040428 , 0.031803 , 0.046243 , 0.032836 , 0.020064 , 0.057016 , 0.053009 , 0.044981 , 0.017424 , 0.026087 , 0.029191 , 0.037171 , 0.036318 , 0.048249 , 0.032891 , 0.056835 , 0.038471 , 0.053988 , 0.037187 , 0.036558 , 0.04245 , 0.03352 , 0.036914 , 0.026081 , 0.029262 , 0.033481 , 0.058497 , 0.047298 , 0.042707 , 0.032498 , 0.046926 , 0.040051 , 0.062902 , 0.038876 , 0.05037 , 0.052654 , 0.045959 , 0.054441 , 0.05002 , 0.04345 , 0.037936 , 0.029705 , 0.060284 , 0.03382 , 0.039838 , 0.047899 , 0.035356 , 0.041581 , 0.038542 , 0.035842 , 0.0374 , 0.033569 , 0.042024 , 0.0509 , 0.034006 , 0.031159 , 0.054037 , 0.036225 , 0.045571 , 0.034028 , 0.028415 , 0.047888 , 0.024097 , 0.027431 , 0.055037 , 0.035148 , 0.039723 , 0.041559 , 0.042248 , 0.026513 , 0.036662 , 0.041084 , 0.05073 , 0.041035 
 512 , 0.017302 , 0.040927 , 0.037339 , 0.033926 , 0.036092 , 0.045916 , 0.041349 , 0.032438 , 0.047059 , 0.033614 , 0.020431 , 0.057649 , 0.053722 , 0.045342 , 0.017685 , 0.026568 , 0.02967 , 0.03787 , 0.037164 , 0.048859 , 0.033565 , 0.057693 , 0.039122 , 0.054668 , 0.038088 , 0.037279 , 0.043219 , 0.034101 , 0.037826 , 0.026754 , 0.029763 , 0.034183 , 0.059137 , 0.048153 , 0.043449 , 0.03287 , 0.047574 , 0.041026 , 0.063399 , 0.039647 , 0.051058 , 0.05341 , 0.046687 , 0.055117 , 0.050812 , 0.044193 , 0.038799 , 0.030414 , 0.061101 , 0.034407 , 0.040451 , 0.048345 , 0.03619 , 0.042525 , 0.03939 , 0.036611 , 0.037984 , 0.034188 , 0.042519 , 0.051807 , 0.034653 , 0.031776 , 0.054674 , 0.036874 , 0.04643 , 0.034845 , 0.029024 , 0.048657 , 0.024665 , 0.028127 , 0.055697 , 0.035589 , 0.040145 , 0.04206 , 0.042782 , 0.026853 , 0.037131 , 0.04137 , 0.051239 , 0.041562 
 513 , 0.017645 , 0.041723 , 0.038121 , 0.034633 , 0.036769 , 0.046716 , 0.042265 , 0.033073 , 0.047871 , 0.034393 , 0.020793 , 0.058284 , 0.05443 , 0.045703 , 0.017946 , 0.027045 , 0.030144 , 0.03857 , 0.038006 , 0.04947 , 0.034245 , 0.058547 , 0.039769 , 0.055344 , 0.038991 , 0.038 , 0.043984 , 0.034688 , 0.038739 , 0.027434 , 0.030259 , 0.03488 , 0.059779 , 0.049005 , 0.044187 , 0.033237 , 0.048222 , 0.041997 , 0.063891 , 0.040415 , 0.051748 , 0.054167 , 0.047417 , 0.055788 , 0.051605 , 0.044937 , 0.039665 , 0.031124 , 0.061914 , 0.034995 , 0.041066 , 0.048791 , 0.037026 , 0.043464 , 0.040245 , 0.037376 , 0.03857 , 0.034809 , 0.043015 , 0.052717 , 0.035296 , 0.032394 , 0.055306 , 0.037524 , 0.047286 , 0.035668 , 0.029635 , 0.049426 , 0.025233 , 0.028819 , 0.056357 , 0.036029 , 0.040574 , 0.042555 , 0.043322 , 0.027188 , 0.037601 , 0.041652 , 0.051753 , 0.042085 
 514 , 0.018056 , 0.042639 , 0.039121 , 0.035406 , 0.037598 , 0.047588 , 0.043346 , 0.033828 , 0.048728 , 0.035378 , 0.021257 , 0.059068 , 0.055243 , 0.046256 , 0.018221 , 0.027602 , 0.030731 , 0.039417 , 0.039006 , 0.050174 , 0.035061 , 0.059512 , 0.040508 , 0.056109 , 0.040009 , 0.038803 , 0.044831 , 0.035411 , 0.039839 , 0.028222 , 0.030841 , 0.035713 , 0.060493 , 0.049988 , 0.045034 , 0.033696 , 0.04893 , 0.043133 , 0.064444 , 0.041368 , 0.052547 , 0.05498 , 0.04818 , 0.056575 , 0.052536 , 0.045774 , 0.04065 , 0.032008 , 0.062789 , 0.035685 , 0.041812 , 0.049292 , 0.038042 , 0.044601 , 0.041302 , 0.038288 , 0.039258 , 0.035554 , 0.043549 , 0.053709 , 0.036025 , 0.033192 , 0.055978 , 0.038288 , 0.048267 , 0.036666 , 0.030381 , 0.050322 , 0.025969 , 0.029668 , 0.057183 , 0.036551 , 0.041138 , 0.043138 , 0.043976 , 0.027564 , 0.038129 , 0.041971 , 0.052328 , 0.042771 
 515 , 0.018485 , 0.04358 , 0.040168 , 0.036202 , 0.038462 , 0.048478 , 0.044474 , 0.034606 , 0.049597 , 0.036416 , 0.021743 , 0.059882 , 0.056086 , 0.046855 , 0.018507 , 0.028183 , 0.031348 , 0.040294 , 0.040042 , 0.050903 , 0.035912 , 0.060513 , 0.041271 , 0.056887 , 0.041051 , 0.039625 , 0.045697 , 0.036175 , 0.04098 , 0.029044 , 0.031436 , 0.03657 , 0.06122 , 0.051007 , 0.045906 , 0.034173 , 0.049657 , 0.044304 , 0.065011 , 0.042373 , 0.053376 , 0.055806 , 0.048955 , 0.057381 , 0.053503 , 0.04663 , 0.041666 , 0.032933 , 0.063678 , 0.0364 , 0.042587 , 0.0498 , 0.039109 , 0.04579 , 0.042412 , 0.03923 , 0.039971 , 0.036323 , 0.04409 , 0.05472 , 0.036778 , 0.03403 , 0.056662 , 0.039077 , 0.049279 , 0.0377 , 0.031156 , 0.051254 , 0.026746 , 0.030553 , 0.05805 , 0.037091 , 0.041737 , 0.043744 , 0.04466 , 0.027958 , 0.038676 , 0.042302 , 0.052921 , 0.043492 
 516 , 0.018915 , 0.044528 , 0.041222 , 0.037 , 0.039328 , 0.04937 , 0.045598 , 0.035391 , 0.050463 , 0.03745 , 0.022231 , 0.060691 , 0.056925 , 0.047448 , 0.018794 , 0.028759 , 0.031965 , 0.041173 , 0.04108 , 0.051627 , 0.036764 , 0.06151 , 0.042029 , 0.057672 , 0.042101 , 0.040454 , 0.046559 , 0.036934 , 0.042117 , 0.029863 , 0.032031 , 0.037428 , 0.061949 , 0.052022 , 0.046779 , 0.03465 , 0.05038 , 0.045477 , 0.065572 , 0.043375 , 0.054207 , 0.056634 , 0.049727 , 0.058193 , 0.054471 , 0.047487 , 0.042677 , 0.03386 , 0.064562 , 0.037115 , 0.043358 , 0.050309 , 0.040174 , 0.046971 , 0.043523 , 0.040174 , 0.040684 , 0.037094 , 0.044637 , 0.055734 , 0.037533 , 0.03487 , 0.057348 , 0.039872 , 0.050287 , 0.038741 , 0.031938 , 0.052187 , 0.027518 , 0.031433 , 0.058913 , 0.037632 , 0.042337 , 0.044352 , 0.045335 , 0.028347 , 0.039224 , 0.042633 , 0.05351 , 0.04422 
 517 , 0.019435 , 0.045663 , 0.042456 , 0.037934 , 0.040343 , 0.05046 , 0.046923 , 0.036339 , 0.051554 , 0.038616 , 0.02284 , 0.061698 , 0.057963 , 0.048177 , 0.019116 , 0.029457 , 0.032686 , 0.042208 , 0.042335 , 0.052528 , 0.037775 , 0.062716 , 0.042929 , 0.058678 , 0.043336 , 0.041438 , 0.047627 , 0.03783 , 0.043473 , 0.030805 , 0.032747 , 0.03844 , 0.062875 , 0.053232 , 0.047863 , 0.035222 , 0.051296 , 0.046857 , 0.066319 , 0.044541 , 0.055229 , 0.057666 , 0.050702 , 0.059189 , 0.055614 , 0.048518 , 0.043892 , 0.034964 , 0.065675 , 0.037995 , 0.044304 , 0.050966 , 0.041411 , 0.048342 , 0.044854 , 0.041312 , 0.041548 , 0.038044 , 0.045338 , 0.056995 , 0.038407 , 0.035833 , 0.05821 , 0.0408 , 0.051505 , 0.039997 , 0.032851 , 0.053304 , 0.028451 , 0.032466 , 0.059954 , 0.038297 , 0.043072 , 0.045102 , 0.046174 , 0.028836 , 0.039876 , 0.043072 , 0.054233 , 0.045091 
