filename,Date,Site,FileNum,Block,Treatment,Measurement,int,Weather,Notes,n_maxed
UnispecData/2017/spu/2017-07-06/DHT_00129.spu,2017-07-06,DHT,129,B3,N,5,90,NA,NA,24
UnispecData/2017/spu/2017-07-06/DHT_00130.spu,2017-07-06,DHT,130,B3,EXNP-L,1,90,NA,NA,21
UnispecData/2017/spu/2017-07-06/DHT_00131.spu,2017-07-06,DHT,131,B3,EXNP-L,2,90,NA,NA,19
UnispecData/2017/spu/2017-07-06/DHT_00132.spu,2017-07-06,DHT,132,B3,EXNP-L,3,90,NA,NA,21
UnispecData/2017/spu/2017-07-06/DHT_00133.spu,2017-07-06,DHT,133,B3,EXNP-L,4,90,NA,NA,22
UnispecData/2017/spu/2017-07-06/DHT_00134.spu,2017-07-06,DHT,134,B3,EXNP-L,5,90,NA,NA,27
UnispecData/2017/spu/2017-07-06/DHT_00135.spu,2017-07-06,DHT,135,B3,EXNP-S,1,90,NA,NA,27
UnispecData/2017/spu/2017-07-06/DHT_00136.spu,2017-07-06,DHT,136,B3,EXNP-S,2,90,NA,NA,35
UnispecData/2017/spu/2017-07-06/DHT_00137.spu,2017-07-06,DHT,137,B3,EXNP-S,3,90,NA,NA,31
UnispecData/2017/spu/2017-07-06/DHT_00138.spu,2017-07-06,DHT,138,B3,EXNP-S,4,90,NA,NA,39
UnispecData/2017/spu/2017-07-06/DHT_00139.spu,2017-07-06,DHT,139,B3,EXNP-S,5,90,NA,NA,49
UnispecData/2017/spu/2017-07-06/DHT_00140.spu,2017-07-06,DHT,140,B3,P,1,90,NA,NA,39
UnispecData/2017/spu/2017-07-14/NANT_00035.spu,2017-07-14,NANT,35,B2,CT,1,70,NA,NA,7
UnispecData/2017/spu/2017-07-14/NANT_00036.spu,2017-07-14,NANT,36,B2,CT,2,70,NA,NA,6
UnispecData/2017/spu/2017-07-14/NANT_00037.spu,2017-07-14,NANT,37,B2,CT,3,70,NA,NA,3
UnispecData/2017/spu/2017-07-14/NANT_00041.spu,2017-07-14,NANT,41,B2,N,2,70,NA,NA,4
UnispecData/2017/spu/2017-07-14/NANT_00042.spu,2017-07-14,NANT,42,B2,N,3,70,NA,NA,7
UnispecData/2017/spu/2017-07-14/NANT_00043.spu,2017-07-14,NANT,43,B2,N,4,70,NA,NA,7
UnispecData/2017/spu/2017-07-14/NANT_00044.spu,2017-07-14,NANT,44,B2,N,5,70,NA,NA,5
UnispecData/2017/spu/2017-07-25/DHT_00036.spu,2017-07-25,DHT,36,B1,EXNP-NF,1,70,NA,NA,13
UnispecData/2017/spu/2017-07-25/DHT_00037.spu,2017-07-25,DHT,37,B1,EXNP-NF,2,70,NA,NA,18
UnispecData/2017/spu/2017-07-25/DHT_00047.spu,2017-07-25,DHT,47,B1,EXNP-LF,2,60,NA,NA,18
UnispecData/2017/spu/2017-07-25/DHT_00048.spu,2017-07-25,DHT,48,B1,EXNP-LF,3,60,NA,NA,13
UnispecData/2017/spu/2017-07-25/DHT_00104.spu,2017-07-25,DHT,104,B2,N,4,50,NA,NA,4
UnispecData/2017/spu/2017-07-31/LMAT_00020.spu,2017-07-31,LMAT,20,B1,CT,1,570,NA,NA,148
UnispecData/2017/spu/2017-08-04/HST_00020.spu,2017-08-04,HST,20,B3,NP,5,100,NA,NA,9
UnispecData/2017/spu/2017-08-04/HST_00025.spu,2017-08-04,HST,25,B3,CT,5,65,NA,NA,6
UnispecData/2017/spu/2017-08-04/HST_00026.spu,2017-08-04,HST,26,B2,NP,1,65,NA,NA,5
